XXXXX***
XXXOOXO*
XXOX*XXO
X**OO*X*
O***XXXO
XOXOOXOX
O*X*OOX*
X**XOX*O
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
e3,2,-Infinity
g1,3,32
e3,2,32
h2,3,40
e3,2,40
b4,3,101
e3,2,101
c4,3,114
e3,2,114
f4,3,116
e3,2,116
h4,3,106
e3,2,116
c5,3,110
e3,2,116
d5,3,98
e3,2,116
d7,3,87
e3,2,116
h7,3,80
e3,2,116
a1,1,116
c4,2,-Infinity
g1,3,46
c4,2,46
h1,3,153
c4,2,153
h2,3,46
c4,2,153
e3,3,116
c4,2,153
b4,3,107
c4,2,153
h4,3,120
c4,2,153
c5,3,130
c4,2,153
d5,3,112
c4,2,153
d7,3,93
c4,2,153
h7,3,86
c4,2,153
a1,1,116
f4,2,-Infinity
f1,3,90
f4,2,90
g1,3,32
f4,2,90
h1,3,139
f4,2,139
h2,3,32
f4,2,139
e3,3,88
f4,2,139
b4,3,93
f4,2,139
c4,3,114
f4,2,139
h4,3,106
f4,2,139
c5,3,94
f4,2,139
d5,3,96
f4,2,139
d7,3,87
f4,2,139
h7,3,80
f4,2,139
a1,1,116
h4,2,-Infinity
f1,3,102
h4,2,102
g1,3,44
h4,2,102
h1,3,151
h4,2,151
h2,3,84
h4,2,151
e3,3,92
h4,2,151
b4,3,105
h4,2,151
c4,3,118
h4,2,151
f4,3,98
h4,2,151
c5,3,106
h4,2,151
d5,3,100
h4,2,151
d7,3,91
h4,2,151
h7,3,84
h4,2,151
a1,1,116
d5,2,-Infinity
f1,3,114
d5,2,114
g1,3,56
d5,2,114
h1,3,163
d5,2,163
h2,3,56
d5,2,163
e3,3,104
d5,2,163
b4,3,117
d5,2,163
c4,3,130
d5,2,163
f4,3,126
d5,2,163
h4,3,124
d5,2,163
c5,3,118
d5,2,163
d7,3,119
d5,2,163
h7,3,104
d5,2,163
a1,1,116
h7,2,-Infinity
f1,3,156
h7,2,156
g1,3,98
h7,2,156
h1,3,205
h7,2,205
h2,3,98
h7,2,205
e3,3,146
h7,2,205
b4,3,159
h7,2,205
c4,3,172
h7,2,205
c5,3,160
h7,2,205
d5,3,154
h7,2,205
d7,3,159
h7,2,205
g8,3,90
h7,2,205
a1,1,116
b8,2,-Infinity
f1,3,132
b8,2,132
g1,3,74
b8,2,132
h1,3,181
b8,2,181
h2,3,74
b8,2,181
e3,3,122
b8,2,181
b4,3,135
b8,2,181
c4,3,148
b8,2,181
h4,3,148
b8,2,181
c5,3,136
b8,2,181
d5,3,130
b8,2,181
d7,3,121
b8,2,181
h7,3,114
b8,2,181
c8,3,114
b8,2,181
a1,1,116
c8,2,-Infinity
f1,3,96
c8,2,96
g1,3,38
c8,2,96
h1,3,145
c8,2,145
h2,3,38
c8,2,145
e3,3,86
c8,2,145
b4,3,99
c8,2,145
c4,3,112
c8,2,145
h4,3,112
c8,2,145
c5,3,100
c8,2,145
d5,3,94
c8,2,145
d7,3,85
c8,2,145
h7,3,78
c8,2,145
b8,3,126
c8,2,145
a1,1,116
g8,2,-Infinity
f1,3,156
g8,2,156
g1,3,98
g8,2,156
h1,3,205
g8,2,205
h2,3,98
g8,2,205
e3,3,146
g8,2,205
b4,3,159
g8,2,205
c4,3,172
g8,2,205
h4,3,172
g8,2,205
d5,3,154
g8,2,205
d7,3,159
g8,2,205
h7,3,138
g8,2,205
a1,1,116
root,0,116
f1,1,Infinity
a1,2,-Infinity
g1,3,-86
a1,2,-86
h1,3,21
a1,2,21
h2,3,-86
a1,2,21
e3,3,-26
a1,2,21
b4,3,-25
a1,2,21
c4,3,-12
a1,2,21
h4,3,-12
a1,2,21
c5,3,-24
a1,2,21
d5,3,-30
a1,2,21
d7,3,-39
a1,2,21
h7,3,-46
a1,2,21
f1,1,21
g1,2,-Infinity
a1,3,84
g1,2,84
h1,3,52
g1,2,84
h2,3,-55
g1,2,84
e3,3,5
g1,2,84
c4,3,19
g1,2,84
h4,3,19
g1,2,84
c5,3,7
g1,2,84
d5,3,1
g1,2,84
d7,3,-8
g1,2,84
h7,3,-15
g1,2,84
f1,1,21
e3,2,-Infinity
a1,3,98
e3,2,98
g1,3,-61
e3,2,98
h2,3,-53
e3,2,98
b4,3,8
e3,2,98
c4,3,29
e3,2,98
f4,3,21
e3,2,98
h4,3,13
e3,2,98
c5,3,17
e3,2,98
d7,3,-6
e3,2,98
h7,3,-13
e3,2,98
f1,1,21
b4,2,-Infinity
a1,3,141
b4,2,141
g1,3,24
b4,2,141
h1,3,131
b4,2,141
h2,3,24
b4,2,141
e3,3,84
b4,2,141
c4,3,92
b4,2,141
h4,3,98
b4,2,141
c5,3,80
b4,2,141
d5,3,80
b4,2,141
d7,3,71
b4,2,141
h7,3,64
b4,2,141
f1,1,21
c4,2,-Infinity
a1,3,120
c4,2,120
g1,3,-31
c4,2,120
h1,3,76
c4,2,120
h2,3,-31
c4,2,120
e3,3,29
c4,2,120
b4,3,22
c4,2,120
h4,3,43
c4,2,120
b5,3,30
c4,2,120
c5,3,53
c4,2,120
d5,3,25
c4,2,120
d7,3,16
c4,2,120
h7,3,9
c4,2,120
f1,1,21
f4,2,-Infinity
a1,3,90
f4,2,90
g1,3,-61
f4,2,90
h1,3,46
f4,2,90
h2,3,-61
f4,2,90
e3,3,7
f4,2,90
b4,3,0
f4,2,90
c4,3,21
f4,2,90
h4,3,13
f4,2,90
c5,3,1
f4,2,90
d5,3,3
f4,2,90
d7,3,-6
f4,2,90
h7,3,-13
f4,2,90
f1,1,21
h4,2,-Infinity
a1,3,102
h4,2,102
g1,3,-49
h4,2,102
h1,3,58
h4,2,102
h2,3,-9
h4,2,102
e3,3,11
h4,2,102
b4,3,12
h4,2,102
c4,3,25
h4,2,102
f4,3,5
h4,2,102
c5,3,13
h4,2,102
d5,3,7
h4,2,102
d7,3,-2
h4,2,102
h7,3,-9
h4,2,102
f1,1,21
d5,2,-Infinity
a1,3,114
d5,2,114
g1,3,-37
d5,2,114
h1,3,70
d5,2,114
h2,3,-37
d5,2,114
b4,3,24
d5,2,114
c4,3,37
d5,2,114
f4,3,33
d5,2,114
h4,3,31
d5,2,114
c5,3,25
d5,2,114
d7,3,26
d5,2,114
h7,3,11
d5,2,114
f1,1,21
h7,2,-Infinity
a1,3,156
h7,2,156
g1,3,5
h7,2,156
h1,3,112
h7,2,156
h2,3,5
h7,2,156
e3,3,65
h7,2,156
b4,3,66
h7,2,156
c4,3,79
h7,2,156
c5,3,67
h7,2,156
d5,3,61
h7,2,156
d7,3,66
h7,2,156
g8,3,-3
h7,2,156
f1,1,21
b8,2,-Infinity
a1,3,132
b8,2,132
g1,3,-19
b8,2,132
h1,3,88
b8,2,132
h2,3,-19
b8,2,132
e3,3,41
b8,2,132
b4,3,42
b8,2,132
c4,3,55
b8,2,132
h4,3,55
b8,2,132
c5,3,43
b8,2,132
d5,3,37
b8,2,132
d7,3,28
b8,2,132
h7,3,21
b8,2,132
c8,3,21
b8,2,132
f1,1,21
c8,2,-Infinity
a1,3,96
c8,2,96
g1,3,-55
c8,2,96
h1,3,52
c8,2,96
h2,3,-55
c8,2,96
e3,3,5
c8,2,96
b4,3,6
c8,2,96
c4,3,19
c8,2,96
h4,3,19
c8,2,96
c5,3,7
c8,2,96
d5,3,1
c8,2,96
d7,3,-8
c8,2,96
h7,3,-15
c8,2,96
b8,3,33
c8,2,96
f1,1,21
g8,2,-Infinity
a1,3,156
g8,2,156
g1,3,5
g8,2,156
h1,3,112
g8,2,156
h2,3,5
g8,2,156
e3,3,65
g8,2,156
b4,3,66
g8,2,156
c4,3,79
g8,2,156
h4,3,79
g8,2,156
d5,3,61
g8,2,156
d7,3,66
g8,2,156
h7,3,45
g8,2,156
f1,1,21
root,0,116
g1,1,Infinity
a1,2,-Infinity
f1,3,-86
a1,2,-86
e3,3,-90
a1,2,-86
b4,3,-83
a1,2,-83
c4,3,-70
a1,2,-70
h4,3,-70
a1,2,-70
c5,3,-82
a1,2,-70
d5,3,-88
a1,2,-70
d7,3,-97
a1,2,-70
h7,3,-104
a1,2,-70
g1,1,-70
f1,2,-Infinity
a1,3,114
f1,2,114
h1,3,42
f1,2,114
h2,3,-65
f1,2,114
e3,3,-5
f1,2,114
c4,3,9
f1,2,114
h4,3,9
f1,2,114
c5,3,-3
f1,2,114
d5,3,-9
f1,2,114
d7,3,-18
f1,2,114
h7,3,-25
f1,2,114
g1,1,-70
h1,2,-Infinity
a1,3,-7
h1,2,-7
f1,3,-100
h1,2,-7
h2,3,-158
h1,2,-7
e3,3,-90
h1,2,-7
b4,3,-97
h1,2,-7
c4,3,-84
h1,2,-7
f4,3,-84
h1,2,-7
h4,3,-84
h1,2,-7
c5,3,-96
h1,2,-7
d5,3,-102
h1,2,-7
d7,3,-111
h1,2,-7
h7,3,-118
h1,2,-7
g1,1,-70
h2,2,-Infinity
a1,3,122
h2,2,122
f1,3,21
h2,2,122
h1,3,78
h2,2,122
e3,3,17
h2,2,122
b4,3,32
h2,2,122
c4,3,45
h2,2,122
h4,3,45
h2,2,122
c5,3,33
h2,2,122
d5,3,27
h2,2,122
d7,3,18
h2,2,122
h7,3,11
h2,2,122
g1,1,-70
e3,2,-Infinity
a1,3,40
e3,2,40
b4,3,-50
e3,2,40
c4,3,-37
e3,2,40
f4,3,-37
e3,2,40
h4,3,-45
e3,2,40
c5,3,-41
e3,2,40
d5,3,-41
e3,2,40
d7,3,-64
e3,2,40
h7,3,-71
e3,2,40
g1,1,-70
b4,2,-Infinity
a1,3,83
b4,2,83
f1,3,24
b4,2,83
e3,3,20
b4,2,83
c4,3,34
b4,2,83
h4,3,40
b4,2,83
c5,3,22
b4,2,83
d5,3,22
b4,2,83
d7,3,13
b4,2,83
h7,3,6
b4,2,83
g1,1,-70
c4,2,-Infinity
a1,3,54
c4,2,54
e3,3,-29
c4,2,54
b4,3,-44
c4,2,54
h4,3,-23
c4,2,54
c5,3,-13
c4,2,54
d5,3,-41
c4,2,54
d7,3,-50
c4,2,54
h7,3,-57
c4,2,54
g1,1,-70
f4,2,-Infinity
a1,3,32
f4,2,32
f1,3,-61
f4,2,32
e3,3,-57
f4,2,32
b4,3,-58
f4,2,32
c4,3,-37
f4,2,32
h4,3,-45
f4,2,32
c5,3,-57
f4,2,32
d5,3,-55
f4,2,32
d7,3,-64
f4,2,32
h7,3,-71
f4,2,32
g1,1,-70
h4,2,-Infinity
a1,3,44
h4,2,44
f1,3,-49
h4,2,44
h2,3,-19
h4,2,44
e3,3,-53
h4,2,44
b4,3,-46
h4,2,44
c4,3,-33
h4,2,44
f4,3,-53
h4,2,44
c5,3,-45
h4,2,44
d5,3,-51
h4,2,44
d7,3,-60
h4,2,44
h7,3,-67
h4,2,44
g1,1,-70
d5,2,-Infinity
a1,3,56
d5,2,56
f1,3,-37
d5,2,56
e3,3,-41
d5,2,56
b4,3,-34
d5,2,56
c4,3,-21
d5,2,56
f4,3,-25
d5,2,56
h4,3,-27
d5,2,56
c5,3,-33
d5,2,56
d7,3,-32
d5,2,56
h7,3,-47
d5,2,56
g1,1,-70
h7,2,-Infinity
a1,3,98
h7,2,98
f1,3,5
h7,2,98
e3,3,1
h7,2,98
b4,3,8
h7,2,98
c4,3,21
h7,2,98
c5,3,9
h7,2,98
d5,3,3
h7,2,98
d7,3,8
h7,2,98
g8,3,-61
h7,2,98
g1,1,-70
b8,2,-Infinity
a1,3,74
b8,2,74
f1,3,-19
b8,2,74
e3,3,-23
b8,2,74
b4,3,-16
b8,2,74
c4,3,-3
b8,2,74
h4,3,-3
b8,2,74
c5,3,-15
b8,2,74
d5,3,-21
b8,2,74
d7,3,-30
b8,2,74
h7,3,-37
b8,2,74
c8,3,-37
b8,2,74
g1,1,-70
c8,2,-Infinity
a1,3,38
c8,2,38
f1,3,-55
c8,2,38
e3,3,-59
c8,2,38
b4,3,-52
c8,2,38
c4,3,-39
c8,2,38
h4,3,-39
c8,2,38
c5,3,-51
c8,2,38
d5,3,-57
c8,2,38
d7,3,-66
c8,2,38
h7,3,-73
c8,2,38
b8,3,-25
c8,2,38
g1,1,-70
g8,2,-Infinity
a1,3,98
g8,2,98
f1,3,5
g8,2,98
e3,3,1
g8,2,98
b4,3,8
g8,2,98
c4,3,21
g8,2,98
h4,3,21
g8,2,98
d5,3,3
g8,2,98
d7,3,8
g8,2,98
h7,3,-13
g8,2,98
g1,1,-70
root,0,116
h1,1,Infinity
a1,2,-Infinity
f1,3,21
a1,2,21
e3,3,17
a1,2,21
b4,3,24
a1,2,24
c4,3,37
a1,2,37
h4,3,37
a1,2,37
c5,3,25
a1,2,37
d5,3,19
a1,2,37
d7,3,10
a1,2,37
h7,3,3
a1,2,37
h1,1,37
f1,2,-Infinity
a1,3,181
f1,2,181
g1,3,42
f1,2,181
h2,3,42
f1,2,181
e3,3,102
f1,2,181
c4,3,116
f1,2,181
h4,3,116
f1,2,181
c5,3,104
f1,2,181
d5,3,98
f1,2,181
d7,3,89
f1,2,181
h7,3,82
f1,2,181
h1,1,37
g1,2,-Infinity
a1,3,241
g1,2,241
f1,3,132
g1,2,241
h2,3,90
g1,2,241
e3,3,144
