O***OXXX
O*XXOO*X
*OO*OX**
***O*O**
**OOOO**
*OX**XX*
**XOXOO*
XXOXOO*O
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
c1,2,-Infinity
b2,3,-133
c1,2,-133
g2,3,-141
c1,2,-133
d3,3,-97
c1,2,-97
c4,3,-97
c1,2,-97
e4,3,-93
c1,2,-93
a5,3,-111
c1,2,-93
a6,3,-109
c1,2,-93
d6,3,-111
c1,2,-93
h7,3,-173
c1,2,-93
g8,3,-137
c1,2,-93
d1,1,-93
b2,2,-Infinity
h1,3,52
b2,2,52
d3,3,-31
b2,2,52
g3,3,-43
b2,2,52
a4,3,-41
b2,2,52
b4,3,-26
b2,2,52
c4,3,-19
b2,2,52
e4,3,-21
b2,2,52
a5,3,-33
b2,2,52
a6,3,-31
b2,2,52
d6,3,-33
b2,2,52
h7,3,-95
b2,2,52
g8,3,-59
b2,2,52
d1,1,-93
g3,2,-Infinity
h1,3,-2
g3,2,-2
b2,3,-95
g3,2,-2
g2,3,-117
g3,2,-2
a4,3,-87
g3,2,-2
b4,3,-74
g3,2,-2
c4,3,-59
g3,2,-2
e4,3,-69
g3,2,-2
g4,3,-74
g3,2,-2
h4,3,-95
g3,2,-2
a5,3,-87
g3,2,-2
g5,3,-72
g3,2,-2
a6,3,-85
g3,2,-2
d6,3,-87
g3,2,-2
h7,3,-149
g3,2,-2
g8,3,-113
g3,2,-2
d1,1,-93
b5,2,-Infinity
h1,3,-3
b5,2,-3
b2,3,-96
b5,2,-3
g2,3,-118
b5,2,-3
d3,3,-74
b5,2,-3
g3,3,-98
b5,2,-3
a4,3,-88
b5,2,-3
b4,3,-75
b5,2,-3
c4,3,-46
b5,2,-3
e4,3,-70
b5,2,-3
a5,3,-88
b5,2,-3
g5,3,-73
b5,2,-3
d6,3,-88
b5,2,-3
h7,3,-150
b5,2,-3
g8,3,-114
b5,2,-3
d1,1,-93
g5,2,-Infinity
h1,3,19
g5,2,19
b2,3,-74
g5,2,19
g2,3,-96
g5,2,19
d3,3,-52
g5,2,19
g3,3,-76
g5,2,19
a4,3,-66
g5,2,19
b4,3,-53
g5,2,19
c4,3,-38
g5,2,19
e4,3,-56
g5,2,19
h4,3,-64
g5,2,19
a5,3,-66
g5,2,19
a6,3,-64
g5,2,19
d6,3,-66
g5,2,19
h6,3,-54
g5,2,19
h7,3,-128
g5,2,19
g8,3,-44
g5,2,19
d1,1,-93
h5,2,-Infinity
h1,3,10
h5,2,10
b2,3,-83
h5,2,10
g2,3,-105
h5,2,10
d3,3,-61
h5,2,10
g3,3,-85
h5,2,10
a4,3,-75
h5,2,10
b4,3,-62
h5,2,10
c4,3,-47
h5,2,10
e4,3,-65
h5,2,10
a5,3,-75
h5,2,10
g5,3,-60
h5,2,10
a6,3,-73
h5,2,10
d6,3,-75
h5,2,10
h6,3,-73
h5,2,10
h7,3,-137
h5,2,10
g8,3,-53
h5,2,10
d1,1,-93
d6,2,-Infinity
h1,3,-4
d6,2,-4
b2,3,-97
d6,2,-4
g2,3,-119
d6,2,-4
d3,3,-73
d6,2,-4
g3,3,-83
d6,2,-4
a4,3,-89
d6,2,-4
b4,3,-76
d6,2,-4
c4,3,-47
d6,2,-4
e4,3,-71
d6,2,-4
a5,3,-89
d6,2,-4
g5,3,-74
d6,2,-4
h7,3,-163
d6,2,-4
g8,3,-115
d6,2,-4
d1,1,-93
e6,2,-Infinity
h1,3,10
e6,2,10
b2,3,-83
e6,2,10
g2,3,-105
e6,2,10
d3,3,-61
e6,2,10
g3,3,-85
e6,2,10
a4,3,-75
e6,2,10
b4,3,-62
e6,2,10
c4,3,-47
e6,2,10
e4,3,-57
e6,2,10
a5,3,-75
e6,2,10
g5,3,-60
e6,2,10
a6,3,-73
e6,2,10
d6,3,-67
e6,2,10
h7,3,-149
e6,2,10
g8,3,-101
e6,2,10
d1,1,-93
b7,2,-Infinity
h1,3,26
b7,2,26
b2,3,-67
b7,2,26
g2,3,-89
b7,2,26
d3,3,-45
b7,2,26
g3,3,-69
b7,2,26
a4,3,-59
b7,2,26
b4,3,-46
b7,2,26
c4,3,-39
b7,2,26
e4,3,-75
b7,2,26
a5,3,-67
b7,2,26
b5,3,-116
b7,2,26
g5,3,-44
b7,2,26
d6,3,-67
b7,2,26
a7,3,-127
b7,2,26
h7,3,-121
b7,2,26
g8,3,-85
b7,2,26
d1,1,-93
h7,2,-Infinity
h1,3,24
h7,2,24
b2,3,-69
h7,2,24
g2,3,-91
h7,2,24
d3,3,-47
h7,2,24
g3,3,-71
h7,2,24
a4,3,-61
h7,2,24
b4,3,-48
h7,2,24
c4,3,-33
h7,2,24
e4,3,-51
h7,2,24
a5,3,-61
h7,2,24
g5,3,-46
h7,2,24
a6,3,-59
h7,2,24
d6,3,-61
h7,2,24
h6,3,-59
h7,2,24
g8,3,-39
h7,2,24
d1,1,-93
root,0,-93
h1,1,Infinity
c1,2,-Infinity
d1,3,14
c1,2,14
b2,3,-8
c1,2,14
d3,3,8
c1,2,14
c4,3,14
c1,2,14
e4,3,10
c1,2,14
a5,3,0
c1,2,14
a6,3,2
c1,2,14
d6,3,0
c1,2,14
a7,3,-6
c1,2,14
h7,3,-62
c1,2,14
g8,3,-26
c1,2,14
h1,1,14
d1,2,-Infinity
c1,3,30
d1,2,30
b2,3,-20
d1,2,30
g2,3,-40
d1,2,30
d3,3,4
d1,2,30
