**O*OOOO
**O**OOO
X**XX**O
XOOX*XXX
OXOXXXO*
OXX***OX
OOX*X**O
OO*XOOOX
Node,Depth,Value
root,0,-Infinity
h1,1,Infinity
b1,2,-Infinity
a1,3,110
b1,2,110
a2,3,47
b1,2,110
d2,3,40
b1,2,110
e2,3,32
b1,2,110
c3,3,26
b1,2,110
g3,3,17
b1,2,110
e4,3,49
b1,2,110
h5,3,61
b1,2,110
d6,3,23
b1,2,110
e6,3,27
b1,2,110
d7,3,16
b1,2,110
c8,3,53
b1,2,110
h1,1,110
b3,2,-Infinity
a2,3,33
b3,2,33
b2,3,-39
b3,2,33
d2,3,26
b3,2,33
e2,3,20
b3,2,33
c3,3,22
b3,2,33
g3,3,3
b3,2,33
e4,3,43
b3,2,43
h5,3,47
b3,2,47
d6,3,9
b3,2,47
e6,3,13
b3,2,47
d7,3,2
b3,2,47
c8,3,39
b3,2,47
h1,1,47
c3,2,-Infinity
a2,3,8
c3,2,8
d2,3,15
c3,2,15
e2,3,-5
c3,2,15
g3,3,-22
c3,2,15
e4,3,26
c3,2,26
h5,3,22
c3,2,26
d6,3,-8
c3,2,26
e6,3,-12
c3,2,26
d7,3,-23
c3,2,26
c8,3,44
c3,2,44
h1,1,44
h5,2,-Infinity
a2,3,31
h5,2,31
e2,3,16
h5,2,31
g3,3,-5
h5,2,31
e4,3,41
h5,2,41
d6,3,7
h5,2,41
e6,3,11
h5,2,41
d7,3,0
h5,2,41
c8,3,37
h5,2,41
h1,1,41
d6,2,-Infinity
a2,3,25
d6,2,25
d2,3,18
d6,2,25
e2,3,10
d6,2,25
b3,3,-19
d6,2,25
c3,3,6
d6,2,25
g3,3,3
d6,2,25
e4,3,35
d6,2,35
h5,3,39
d6,2,39
e6,3,19
d6,2,39
d7,3,-6
d6,2,39
c8,3,39
d6,2,39
h1,1,39
f6,2,-Infinity
a2,3,38
f6,2,38
e2,3,23
f6,2,38
e4,3,40
f6,2,40
h5,3,54
f6,2,54
