*O**XO*O
*O*X*OOX
X**O**X*
OO*OOOXX
XXOO*OXX
XX*****X
*XO**OOX
O*X*OO*X
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
d1,2,-Infinity
g1,3,-275
d1,2,-275
e2,3,-278
d1,2,-275
b3,3,-229
d1,2,-229
c3,3,-218
d1,2,-218
e3,3,-199
d1,2,-199
c4,3,-207
d1,2,-199
e5,3,-195
d1,2,-195
c6,3,-220
d1,2,-195
d6,3,-213
d1,2,-195
e6,3,-207
d1,2,-195
d7,3,-230
d1,2,-195
d8,3,-221
d1,2,-195
h8,3,-120
d1,2,-120
c1,1,-120
a2,2,-Infinity
a1,3,-104
a2,2,-104
g1,3,-239
a2,2,-104
e2,3,-258
a2,2,-104
b3,3,-209
a2,2,-104
c3,3,-198
a2,2,-104
e3,3,-179
a2,2,-104
c4,3,-187
a2,2,-104
e5,3,-175
a2,2,-104
c6,3,-200
a2,2,-104
d6,3,-187
a2,2,-104
e6,3,-187
a2,2,-104
d7,3,-210
a2,2,-104
d8,3,-201
a2,2,-104
h8,3,-100
a2,2,-100
c1,1,-120
b3,2,-Infinity
a1,3,-56
b3,2,-56
g1,3,-179
b3,2,-56
e2,3,-198
b3,2,-56
c3,3,-146
b3,2,-56
e3,3,-119
b3,2,-56
c4,3,-127
b3,2,-56
e5,3,-115
b3,2,-56
c6,3,-140
b3,2,-56
d6,3,-125
b3,2,-56
e6,3,-127
b3,2,-56
d7,3,-150
b3,2,-56
d8,3,-141
b3,2,-56
h8,3,-40
b3,2,-40
c1,1,-120
h3,2,-Infinity
a1,3,-118
h3,2,-118
g1,3,-241
h3,2,-118
b3,3,-211
h3,2,-118
c3,3,-200
h3,2,-118
e3,3,-181
h3,2,-118
e5,3,-177
h3,2,-118
c6,3,-202
h3,2,-118
d6,3,-187
h3,2,-118
d7,3,-212
h3,2,-118
d8,3,-203
h3,2,-118
c1,1,-120
c6,2,-Infinity
a1,3,-61
c6,2,-61
g1,3,-184
c6,2,-61
e2,3,-203
c6,2,-61
b3,3,-160
c6,2,-61
c3,3,-143
c6,2,-61
e3,3,-124
c6,2,-61
c4,3,-124
c6,2,-61
e5,3,-126
c6,2,-61
d6,3,-116
c6,2,-61
e6,3,-132
c6,2,-61
b8,3,-200
c6,2,-61
d8,3,-146
c6,2,-61
h8,3,-45
c6,2,-45
c1,1,-120
g6,2,-Infinity
a1,3,-84
g6,2,-84
g1,3,-159
g6,2,-84
e2,3,-226
g6,2,-84
b3,3,-177
g6,2,-84
c3,3,-166
g6,2,-84
e3,3,-155
g6,2,-84
f3,3,-166
g6,2,-84
c4,3,-161
g6,2,-84
e5,3,-157
g6,2,-84
c6,3,-168
g6,2,-84
d6,3,-153
g6,2,-84
f6,3,-166
g6,2,-84
d7,3,-178
g6,2,-84
d8,3,-169
g6,2,-84
h8,3,-68
g6,2,-68
c1,1,-120
a7,2,-Infinity
a1,3,-72
a7,2,-72
g1,3,-195
a7,2,-72
e2,3,-214
a7,2,-72
b3,3,-165
a7,2,-72
e3,3,-143
a7,2,-72
c4,3,-143
a7,2,-72
e5,3,-131
a7,2,-72
c6,3,-156
a7,2,-72
d6,3,-141
a7,2,-72
e6,3,-143
a7,2,-72
b8,3,-219
a7,2,-72
h8,3,-56
a7,2,-56
c1,1,-120
b8,2,-Infinity
a1,3,-38
b8,2,-38
g1,3,-161
b8,2,-38
e2,3,-180
b8,2,-38
c3,3,-120
b8,2,-38
e3,3,-109
b8,2,-38
c4,3,-115
b8,2,-38
e5,3,-103
b8,2,-38
c6,3,-130
b8,2,-38
d6,3,-107
b8,2,-38
e6,3,-109
b8,2,-38
d8,3,-131
b8,2,-38
h8,3,-22
b8,2,-22
c1,1,-120
root,0,-120
g1,1,Infinity
d1,2,-Infinity
c1,3,-243
d1,2,-243
e2,3,-214
d1,2,-214
b3,3,-213
d1,2,-213
c3,3,-202
d1,2,-202
e3,3,-183
d1,2,-183
c4,3,-191
d1,2,-183
e5,3,-179
d1,2,-179
c6,3,-204
d1,2,-179
d6,3,-197
d1,2,-179
e6,3,-191
d1,2,-179
d7,3,-214
d1,2,-179
d8,3,-205
d1,2,-179
h8,3,-104
d1,2,-104
g1,1,-104
a2,2,-Infinity
a1,3,-88
a2,2,-88
e2,3,-210
a2,2,-88
b3,3,-209
a2,2,-88
c3,3,-198
a2,2,-88
e3,3,-187
a2,2,-88
f3,3,-200
a2,2,-88
c4,3,-187
a2,2,-88
e5,3,-175
a2,2,-88
c6,3,-200
a2,2,-88
d6,3,-187
a2,2,-88
e6,3,-187
a2,2,-88
d7,3,-210
a2,2,-88
d8,3,-201
a2,2,-88
h8,3,-100
a2,2,-88
g1,1,-104
f3,2,-Infinity
c1,3,-190
f3,2,-190
e2,3,-195
f3,2,-190
b3,3,-160
f3,2,-160
c3,3,-149
f3,2,-149
e3,3,-124
f3,2,-124
h3,3,-190
f3,2,-124
c4,3,-138
f3,2,-124
e5,3,-126
f3,2,-124
c6,3,-151
f3,2,-124
d6,3,-136
f3,2,-124
e6,3,-138
f3,2,-124
f6,3,-121
f3,2,-121
d7,3,-161
f3,2,-121
d8,3,-152
f3,2,-121
h8,3,-51
f3,2,-51
g1,1,-104
h3,2,-Infinity
c1,3,-241
h3,2,-241
e2,3,-212
h3,2,-212
b3,3,-211
h3,2,-211
c3,3,-200
h3,2,-200
e3,3,-189
h3,2,-189
f3,3,-202
h3,2,-189
e5,3,-177
h3,2,-177
c6,3,-202
h3,2,-177
d6,3,-187
h3,2,-177
d7,3,-212
h3,2,-177
d8,3,-203
h3,2,-177
g1,1,-177
c6,2,-Infinity
c1,3,-184
c6,2,-184
e2,3,-155
c6,2,-155
b3,3,-160
c6,2,-155
c3,3,-143
c6,2,-143
e3,3,-132
c6,2,-132
f3,3,-145
c6,2,-132
c4,3,-124
c6,2,-124
e5,3,-126
c6,2,-124
d6,3,-116
c6,2,-116
e6,3,-132
c6,2,-116
b8,3,-200
c6,2,-116
d8,3,-146
c6,2,-116
h8,3,-45
c6,2,-45
g1,1,-177
a7,2,-Infinity
c1,3,-195
a7,2,-195
e2,3,-166
a7,2,-166
b3,3,-165
a7,2,-165
e3,3,-151
a7,2,-151
f3,3,-156
a7,2,-151
c4,3,-143
a7,2,-143
e5,3,-131
a7,2,-131
c6,3,-156
a7,2,-131
d6,3,-141
a7,2,-131
e6,3,-143
a7,2,-131
b8,3,-219
a7,2,-131
h8,3,-56
a7,2,-56
g1,1,-177
b8,2,-Infinity
c1,3,-161
b8,2,-161
e2,3,-132
b8,2,-132
c3,3,-120
b8,2,-120
e3,3,-117
b8,2,-117
f3,3,-122
b8,2,-117
c4,3,-115
b8,2,-115
e5,3,-103
b8,2,-103
c6,3,-130
b8,2,-103
d6,3,-107
b8,2,-103
e6,3,-109
b8,2,-103
d8,3,-131
b8,2,-103
h8,3,-22
b8,2,-22
g1,1,-177
root,0,-120
e2,1,Infinity
d1,2,-Infinity
c1,3,-262
d1,2,-262
c2,3,-232
d1,2,-232
b3,3,-232
d1,2,-232
c3,3,-221
d1,2,-221
e3,3,-202
d1,2,-202
c4,3,-202
d1,2,-202
e5,3,-198
d1,2,-198
c6,3,-223
d1,2,-198
d6,3,-216
d1,2,-198
e6,3,-210
d1,2,-198
d7,3,-233
d1,2,-198
d8,3,-224
d1,2,-198
h8,3,-123
d1,2,-123
e2,1,-123
a2,2,-Infinity
a1,3,-107
a2,2,-107
g1,3,-210
a2,2,-107
b3,3,-228
a2,2,-107
c3,3,-217
a2,2,-107
e3,3,-198
a2,2,-107
c4,3,-198
a2,2,-107
e5,3,-194
a2,2,-107
c6,3,-219
a2,2,-107
d6,3,-206
a2,2,-107
e6,3,-206
a2,2,-107
d7,3,-229
a2,2,-107
d8,3,-220
a2,2,-107
h8,3,-119
a2,2,-107
e2,1,-123
f3,2,-Infinity
c1,3,-201
f3,2,-201
g1,3,-201
f3,2,-201
b3,3,-171
f3,2,-171
c3,3,-160
f3,2,-160
e3,3,-127
f3,2,-127
c4,3,-141
f3,2,-127
e5,3,-137
f3,2,-127
c6,3,-162
f3,2,-127
d6,3,-147
f3,2,-127
e6,3,-149
f3,2,-127
d7,3,-172
f3,2,-127
d8,3,-163
f3,2,-127
h8,3,-62
f3,2,-62
e2,1,-123
h3,2,-Infinity
c1,3,-212
h3,2,-212
g1,3,-212
h3,2,-212
b3,3,-182
h3,2,-182
c3,3,-171
h3,2,-171
e3,3,-152
h3,2,-152
c4,3,-160
h3,2,-152
e5,3,-148
h3,2,-148
c6,3,-173
h3,2,-148
d6,3,-158
h3,2,-148
d7,3,-183
h3,2,-148
d8,3,-174
h3,2,-148
e2,1,-148
c6,2,-Infinity
c1,3,-203
c6,2,-203
g1,3,-155
c6,2,-155
b3,3,-179
c6,2,-155
c3,3,-162
c6,2,-155
e3,3,-143
c6,2,-143
c4,3,-135
c6,2,-135
e5,3,-145
c6,2,-135
d6,3,-135
c6,2,-135
e6,3,-151
c6,2,-135
b8,3,-219
c6,2,-135
d8,3,-165
c6,2,-135
h8,3,-64
c6,2,-64
e2,1,-148
a7,2,-Infinity
c1,3,-214
a7,2,-214
g1,3,-166
a7,2,-166
b3,3,-184
a7,2,-166
e3,3,-162
a7,2,-162
c4,3,-154
a7,2,-154
e5,3,-150
a7,2,-150
c6,3,-175
a7,2,-150
d6,3,-160
a7,2,-150
e6,3,-162
a7,2,-150
b8,3,-238
a7,2,-150
h8,3,-75
a7,2,-75
e2,1,-148
b8,2,-Infinity
c1,3,-180
b8,2,-180
g1,3,-132
b8,2,-132
c3,3,-139
b8,2,-132
e3,3,-128
b8,2,-128
c4,3,-126
b8,2,-126
e5,3,-122
b8,2,-122
c6,3,-149
b8,2,-122
d6,3,-126
b8,2,-122
e6,3,-128
b8,2,-122
d8,3,-150
b8,2,-122
h8,3,-41
b8,2,-41
e2,1,-148
root,0,-120
b3,1,Infinity
d1,2,-Infinity
c1,3,-213
d1,2,-213
g1,3,-229
d1,2,-213
e2,3,-232
d1,2,-213
e3,3,-153
d1,2,-153
c4,3,-161
d1,2,-153
