*OX*XXX*
OX**XX*O
OOOOOOXO
OOO*XX**
OXOXXO*X
OXOOXOX*
*XOOXXXO
O*OXOX*X
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
a1,2,-Infinity
c2,3,-42
a1,2,-42
d2,3,9
a1,2,9
g2,3,-28
a1,2,9
a3,3,20
a1,2,20
d4,3,4
a1,2,20
g5,3,9
a1,2,20
h6,3,4
a1,2,20
a7,3,-52
a1,2,20
g8,3,12
a1,2,20
d1,1,20
c2,2,-Infinity
h1,3,222
c2,2,222
d2,3,60
c2,2,222
g2,3,79
c2,2,222
a3,3,87
c2,2,222
d4,3,111
c2,2,222
g5,3,116
c2,2,222
h6,3,111
c2,2,222
a7,3,55
c2,2,222
b8,3,-21
c2,2,222
g8,3,119
c2,2,222
d1,1,20
d2,2,-Infinity
h1,3,227
d2,2,227
c2,3,70
d2,2,227
a3,3,84
d2,2,227
d4,3,116
d2,2,227
g5,3,123
d2,2,227
h6,3,116
d2,2,227
a7,3,60
d2,2,227
b8,3,-16
d2,2,227
g8,3,124
d2,2,227
d1,1,20
g2,2,-Infinity
h1,3,202
g2,2,202
c2,3,79
g2,2,202
d2,3,130
g2,2,202
a3,3,93
g2,2,202
d4,3,125
g2,2,202
g4,3,136
g2,2,202
g5,3,130
g2,2,202
h6,3,125
g2,2,202
a7,3,69
g2,2,202
b8,3,-7
g2,2,202
g8,3,133
g2,2,202
d1,1,20
d4,2,-Infinity
a1,3,164
d4,2,164
h1,3,210
d4,2,210
c2,3,69
d4,2,210
d2,3,104
d4,2,210
g2,3,67
d4,2,210
a3,3,67
d4,2,210
g4,3,106
d4,2,210
h6,3,99
d4,2,210
a7,3,43
d4,2,210
b8,3,-33
d4,2,210
g8,3,107
d4,2,210
d1,1,20
g4,2,-Infinity
h1,3,221
g4,2,221
c2,3,64
g4,2,221
d2,3,115
g4,2,221
g2,3,78
g4,2,221
a3,3,78
g4,2,221
d4,3,110
g4,2,221
g5,3,125
g4,2,221
h6,3,110
g4,2,221
a7,3,54
g4,2,221
b8,3,-22
g4,2,221
g8,3,118
g4,2,221
d1,1,20
g5,2,-Infinity
h1,3,207
g5,2,207
c2,3,50
g5,2,207
d2,3,101
g5,2,207
g2,3,64
g5,2,207
a3,3,64
g5,2,207
d4,3,96
g5,2,207
g4,3,109
g5,2,207
h6,3,120
g5,2,207
a7,3,40
g5,2,207
b8,3,-36
g5,2,207
g8,3,104
g5,2,207
d1,1,20
h6,2,-Infinity
h1,3,234
h6,2,234
c2,3,77
h6,2,234
d2,3,128
h6,2,234
g2,3,91
h6,2,234
a3,3,91
h6,2,234
d4,3,123
h6,2,234
g5,3,128
h6,2,234
a7,3,67
h6,2,234
b8,3,-9
h6,2,234
g8,3,131
h6,2,234
d1,1,20
b8,2,-Infinity
h1,3,218
b8,2,218
c2,3,61
b8,2,218
d2,3,112
b8,2,218
g2,3,75
b8,2,218
a3,3,73
b8,2,218
d4,3,115
b8,2,218
g5,3,112
b8,2,218
h6,3,107
b8,2,218
a7,3,43
b8,2,218
g8,3,115
b8,2,218
d1,1,20
root,0,20
c2,1,Infinity
a1,2,-Infinity
d1,3,-30
a1,2,-30
a3,3,-20
a1,2,-20
d4,3,-30
a1,2,-20
g5,3,-25
a1,2,-20
h6,3,-30
a1,2,-20
a7,3,-86
a1,2,-20
b8,3,-106
a1,2,-20
g8,3,-22
a1,2,-20
c2,1,-20
d2,2,-Infinity
d1,3,44
d2,2,44
g2,3,-10
d2,2,44
a3,3,44
d2,2,44
d4,3,48
d2,2,48
h6,3,34
d2,2,48
a7,3,-22
d2,2,48
b8,3,-42
d2,2,48
g8,3,42
d2,2,48
c2,1,-20
g2,2,-Infinity
d1,3,85
g2,2,85
h1,3,128
g2,2,128
d2,3,-2
g2,2,128
a3,3,73
g2,2,128
d4,3,63
g2,2,128
g5,3,68
g2,2,128
h6,3,63
g2,2,128
a7,3,7
g2,2,128
b8,3,-13
g2,2,128
g8,3,71
g2,2,128
c2,1,-20
a3,2,-Infinity
d1,3,79
a3,2,79
d2,3,62
a3,2,79
g2,3,47
a3,2,79
d4,3,57
a3,2,79
h6,3,57
a3,2,79
a7,3,1
a3,2,79
b8,3,-75
a3,2,79
g8,3,65
a3,2,79
c2,1,-20
d4,2,-Infinity
d1,3,53
d4,2,53
a3,3,47
d4,2,53
g4,3,44
d4,2,53
h6,3,37
d4,2,53
a7,3,-19
d4,2,53
b8,3,-39
d4,2,53
g8,3,53
d4,2,53
c2,1,-20
g4,2,-Infinity
d1,3,56
g4,2,56
g2,3,24
g4,2,56
a3,3,44
g4,2,56
d4,3,34
g4,2,56
g5,3,49
g4,2,56
h6,3,34
g4,2,56
a7,3,-22
g4,2,56
b8,3,-42
g4,2,56
g8,3,42
g4,2,56
c2,1,-20
g5,2,-Infinity
d1,3,50
g5,2,50
a3,3,44
g5,2,50
d4,3,34
g5,2,50
g4,3,47
g5,2,50
h6,3,58
g5,2,58
a7,3,-22
g5,2,58
b8,3,-42
g5,2,58
g8,3,42
g5,2,58
c2,1,-20
h6,2,-Infinity
d1,3,77
h6,2,77
a3,3,71
h6,2,77
d4,3,61
h6,2,77
g5,3,66
h6,2,77
a7,3,5
h6,2,77
b8,3,-15
h6,2,77
g8,3,69
h6,2,77
c2,1,-20
b8,2,-Infinity
d1,3,61
b8,2,61
d4,3,53
b8,2,61
g5,3,50
b8,2,61
