OXX*X*OX
OOXXXX*X
XOX**XX*
XOOXXO*X
XOO*XOO*
XXOO**X*
XOOX***O
XXOOOOO*
Node,Depth,Value
root,0,-Infinity
f1,1,Infinity
d1,2,-Infinity
g4,3,24
d1,2,24
d5,3,33
d1,2,33
h5,3,33
d1,2,33
e6,3,51
d1,2,51
f6,3,42
d1,2,51
e7,3,32
d1,2,51
a8,3,136
d1,2,136
h8,3,164
d1,2,164
f1,1,164
g2,2,-Infinity
d1,3,59
g2,2,59
d3,3,65
g2,2,65
e3,3,59
g2,2,65
h3,3,35
g2,2,65
g4,3,74
g2,2,74
d5,3,83
g2,2,83
h5,3,83
g2,2,83
e6,3,101
g2,2,101
f6,3,92
g2,2,101
e7,3,82
g2,2,101
a8,3,186
g2,2,186
h8,3,214
g2,2,214
f1,1,164
d3,2,-Infinity
e3,3,23
d3,2,23
g4,3,4
d3,2,23
d5,3,13
d3,2,23
h5,3,13
d3,2,23
e6,3,31
d3,2,31
f6,3,22
d3,2,31
e7,3,12
d3,2,31
a8,3,116
d3,2,116
h8,3,144
d3,2,144
f1,1,144
e3,2,-Infinity
d3,3,31
e3,2,31
g4,3,18
e3,2,31
d5,3,27
e3,2,31
h5,3,27
e3,2,31
e6,3,45
e3,2,45
f6,3,36
e3,2,45
h6,3,37
e3,2,45
e7,3,26
e3,2,45
a8,3,130
e3,2,130
h8,3,158
e3,2,158
f1,1,144
d5,2,-Infinity
g4,3,22
d5,2,22
e6,3,49
d5,2,49
f6,3,40
d5,2,49
e7,3,30
d5,2,49
a8,3,100
d5,2,100
h8,3,162
d5,2,162
f1,1,144
e6,2,-Infinity
g4,3,24
e6,2,24
h5,3,33
e6,2,33
f6,3,72
e6,2,72
e7,3,40
e6,2,72
a8,3,136
e6,2,136
h8,3,164
e6,2,164
f1,1,144
f6,2,-Infinity
d3,3,12
f6,2,12
e3,3,14
f6,2,14
g4,3,1
f6,2,14
d5,3,10
f6,2,14
e6,3,42
f6,2,42
e7,3,17
f6,2,42
f7,3,28
f6,2,42
a8,3,113
f6,2,113
h8,3,141
f6,2,141
f1,1,141
e7,2,-Infinity
g4,3,31
e7,2,31
h5,3,40
e7,2,40
e6,3,58
e7,2,58
f6,3,49
e7,2,58
a8,3,143
e7,2,143
h8,3,171
e7,2,171
f1,1,141
g7,2,-Infinity
g4,3,60
g7,2,60
d5,3,63
g7,2,63
h5,3,63
g7,2,63
e6,3,81
g7,2,81
f6,3,72
g7,2,81
e7,3,62
g7,2,81
a8,3,166
g7,2,166
h8,3,194
g7,2,194
f1,1,141
a8,2,-Infinity
g4,3,-61
a8,2,-61
d5,3,-52
a8,2,-52
h5,3,-52
a8,2,-52
e6,3,-34
a8,2,-34
f6,3,-43
a8,2,-34
e7,3,-53
a8,2,-34
f1,1,-34
root,0,-34
g4,1,Infinity
d1,2,-Infinity
f1,3,24
d1,2,24
d5,3,40
d1,2,40
e6,3,66
d1,2,66
f6,3,47
d1,2,66
e7,3,39
d1,2,66
a8,3,143
d1,2,143
h8,3,171
d1,2,171
g4,1,171
f1,2,-Infinity
g2,3,-10
f1,2,-10
e3,3,34
f1,2,34
d5,3,16
f1,2,34
e6,3,42
f1,2,42
e7,3,15
f1,2,42
a8,3,119
f1,2,119
h8,3,147
f1,2,147
g4,1,147
g2,2,-Infinity
d1,3,66
g2,2,66
f1,3,66
g2,2,66
d3,3,78
g2,2,78
e3,3,74
g2,2,78
d5,3,90
g2,2,90
e6,3,116
g2,2,116
f6,3,97
g2,2,116
e7,3,89
g2,2,116
a8,3,193
g2,2,193
h8,3,221
g2,2,221
g4,1,147
d3,2,-Infinity
f1,3,4
d3,2,4
e3,3,30
d3,2,30
d5,3,20
d3,2,30
e6,3,46
d3,2,46
f6,3,27
d3,2,46
e7,3,19
d3,2,46
a8,3,123
d3,2,123
h8,3,151
d3,2,151
g4,1,147
e3,2,-Infinity
f1,3,18
e3,2,18
g2,3,2
e3,2,18
d3,3,46
e3,2,46
d5,3,42
e3,2,46
e6,3,68
e3,2,68
f6,3,49
e3,2,68
e7,3,41
e3,2,68
a8,3,145
e3,2,145
h8,3,173
e3,2,173
g4,1,147
h3,2,-Infinity
f1,3,20
h3,2,20
d5,3,36
h3,2,36
h5,3,28
h3,2,36
e6,3,54
h3,2,54
f6,3,43
h3,2,54
e7,3,35
h3,2,54
a8,3,139
h3,2,139
h8,3,167
h3,2,167
g4,1,147
d5,2,-Infinity
f1,3,22
d5,2,22
e6,3,64
d5,2,64
f6,3,45
d5,2,64
e7,3,37
d5,2,64
a8,3,107
d5,2,107
h8,3,169
d5,2,169
g4,1,147
h5,2,-Infinity
f1,3,22
h5,2,22
d5,3,38
h5,2,38
e6,3,64
h5,2,64
f6,3,39
h5,2,64
h6,3,44
h5,2,64
e7,3,37
h5,2,64
a8,3,141
h5,2,141
h8,3,169
h5,2,169
g4,1,147
e6,2,-Infinity
f1,3,24
e6,2,24
f6,3,77
e6,2,77
e7,3,47
e6,2,77
a8,3,143
e6,2,143
h8,3,171
e6,2,171
g4,1,147
f6,2,-Infinity
f1,3,1
f6,2,1
d3,3,19
f6,2,19
e3,3,21
f6,2,21
d5,3,25
f6,2,25
e6,3,57
f6,2,57
e7,3,30
f6,2,57
f7,3,27
f6,2,57
a8,3,120
f6,2,120
h8,3,148
f6,2,148
g4,1,147
e7,2,-Infinity
f1,3,31
e7,2,31
e6,3,73
e7,2,73
f6,3,54
e7,2,73
a8,3,150
e7,2,150
h8,3,178
e7,2,178
g4,1,147
a8,2,-Infinity
f1,3,-61
a8,2,-61
d5,3,-45
a8,2,-45
e6,3,-19
a8,2,-19
f6,3,-38
a8,2,-19
e7,3,-46
a8,2,-19
g4,1,-19
root,0,-19
d5,1,Infinity
d1,2,-Infinity
f1,3,33
d1,2,33
g4,3,40
d1,2,40
h5,3,49
d1,2,49
f6,3,58
d1,2,58
a8,3,118
d1,2,118
h8,3,180
d1,2,180
d5,1,180
f1,2,-Infinity
g2,3,7
f1,2,7
e3,3,43
f1,2,43
g4,3,38
f1,2,43
h5,3,33
f1,2,43
f6,3,26
f1,2,43
a8,3,102
f1,2,102
h8,3,164
f1,2,164
d5,1,164
g2,2,-Infinity
d1,3,67
g2,2,67
f1,3,69
g2,2,69
d3,3,81
g2,2,81
e3,3,83
g2,2,83
g4,3,76
g2,2,83
h5,3,85
g2,2,85
f6,3,78
g2,2,85
a8,3,120
g2,2,120
h8,3,216
g2,2,216
d5,1,164
d3,2,-Infinity
f1,3,11
d3,2,11
e3,3,45
d3,2,45
g4,3,20
d3,2,45
h5,3,27
d3,2,45
e6,3,45
d3,2,45
f6,3,36
d3,2,45
e7,3,26
d3,2,45
a8,3,96
d3,2,96
h8,3,158
d3,2,158
d5,1,158
e3,2,-Infinity
f1,3,27
e3,2,27
g2,3,11
e3,2,27
d3,3,55
e3,2,55
g4,3,42
e3,2,55
h5,3,51
e3,2,55
f6,3,60
e3,2,60
h6,3,61
e3,2,61
a8,3,120
e3,2,120
h8,3,182
e3,2,182
d5,1,158
e6,2,-Infinity
f1,3,25
e6,2,25
g4,3,32
e6,2,32
h5,3,41
e6,2,41
f6,3,80
e6,2,80
e7,3,48
e6,2,80
a8,3,110
e6,2,110
h8,3,172
e6,2,172
d5,1,158
f6,2,-Infinity
f1,3,10
f6,2,10
d3,3,28
f6,2,28
e3,3,30
f6,2,30
g4,3,17
f6,2,30
h5,3,26
f6,2,30
e6,3,36
f6,2,36
e7,3,23
f6,2,36
f7,3,44
f6,2,44
a8,3,95
f6,2,95
h8,3,157
f6,2,157
d5,1,157
e7,2,-Infinity
f1,3,32
e7,2,32
g4,3,39
e7,2,39
h5,3,48
e7,2,48
e6,3,66
e7,2,66
f6,3,57
e7,2,66
a8,3,117
e7,2,117
h8,3,179
e7,2,179
d5,1,157
g7,2,-Infinity
f1,3,63
g7,2,63
g4,3,76
g7,2,76
h5,3,79
g7,2,79
f6,3,88
g7,2,88
a8,3,148
g7,2,148
h8,3,210
g7,2,210
d5,1,157
a8,2,-Infinity
f1,3,-52
a8,2,-52
g4,3,-45
a8,2,-45
h5,3,-36
a8,2,-36
f6,3,-27
a8,2,-27
d5,1,-27
root,0,-19
h5,1,Infinity
d1,2,-Infinity
f1,3,33
d1,2,33
e3,3,53
d1,2,53
g4,3,46
d1,2,53
d5,3,49
d1,2,53
e6,3,67
d1,2,67
e7,3,48
d1,2,67
a8,3,152
d1,2,152
h8,3,180
d1,2,180
h5,1,180
f1,2,-Infinity
g2,3,7
f1,2,7
e3,3,51
f1,2,51
g4,3,44
f1,2,51
d5,3,33
f1,2,51
e6,3,51
f1,2,51
e7,3,32
f1,2,51
a8,3,136
f1,2,136
h8,3,164
f1,2,164
h5,1,164
g2,2,-Infinity
d1,3,75
g2,2,75
f1,3,75
g2,2,75
d3,3,87
g2,2,87
e3,3,91
g2,2,91
g4,3,96
g2,2,96
d5,3,99
g2,2,99
e6,3,117
g2,2,117
e7,3,98
g2,2,117
a8,3,202
g2,2,202
h8,3,230
g2,2,230
h5,1,164
d3,2,-Infinity
f1,3,13
d3,2,13
e3,3,47
d3,2,47
g4,3,26
d3,2,47
d5,3,29
d3,2,47
e6,3,47
d3,2,47
f6,3,44
d3,2,47
e7,3,28
d3,2,47
f7,3,9
d3,2,47
g7,3,-11
d3,2,47
a8,3,132
d3,2,132
h8,3,160
d3,2,160
h5,1,160
e3,2,-Infinity
f1,3,27
e3,2,27
g2,3,11
e3,2,27
d3,3,55
e3,2,55
g4,3,48
e3,2,55
d5,3,51
e3,2,55
e6,3,69
e3,2,69
e7,3,50
e3,2,69
a8,3,154
e3,2,154
h8,3,182
e3,2,182
h5,1,160
e6,2,-Infinity
f1,3,33
e6,2,33
e3,3,53
e6,2,53
g4,3,46
e6,2,53
f6,3,78
e6,2,78
e7,3,56
e6,2,78
a8,3,152
e6,2,152
h8,3,180
e6,2,180
h5,1,160
f6,2,-Infinity
f1,3,2
f6,2,2
d3,3,20
f6,2,20
e3,3,30
f6,2,30
g4,3,15
f6,2,30
d5,3,26
f6,2,30
e6,3,50
f6,2,50
e7,3,31
f6,2,50
f7,3,36
f6,2,50
a8,3,121
f6,2,121
h8,3,149
f6,2,149
h5,1,149
h6,2,-Infinity
f1,3,29
h6,2,29
g4,3,36
h6,2,36
d5,3,45
h6,2,45
e6,3,63
h6,2,63
f6,3,38
h6,2,63
e7,3,44
h6,2,63
a8,3,148
h6,2,148
h8,3,176
h6,2,176
h5,1,149
e7,2,-Infinity
f1,3,40
e7,2,40
e3,3,60
e7,2,60
g4,3,53
e7,2,60
e6,3,74
e7,2,74
a8,3,159
e7,2,159
h8,3,187
e7,2,187
h5,1,149
a8,2,-Infinity
f1,3,-52
a8,2,-52
e3,3,-32
a8,2,-32
g4,3,-39
a8,2,-32
d5,3,-36
a8,2,-32
e6,3,-18
a8,2,-18
e7,3,-37
a8,2,-18
h5,1,-18
root,0,-18
e6,1,Infinity
d1,2,-Infinity
f1,3,51
d1,2,51
g4,3,66
d1,2,66
h5,3,67
d1,2,67
f6,3,76
d1,2,76
a8,3,122
d1,2,122
h8,3,198
d1,2,198
e6,1,198
f1,2,-Infinity
g2,3,25
f1,2,25
e3,3,61
f1,2,61
g4,3,64
f1,2,64
h5,3,51
f1,2,64
f6,3,44
f1,2,64
a8,3,106
f1,2,106
h8,3,182
f1,2,182
e6,1,182
g2,2,-Infinity
d1,3,93
g2,2,93
f1,3,93
g2,2,93
d3,3,105
g2,2,105
