**XXOOXX
OOXXO*XX
**OOXXOX
XOX*OOXX
**XOOOX*
OXO*XXO*
*O*OOOO*
OOO*XXXO
Node,Depth,Value
root,0,-Infinity
h1,1,Infinity
b1,2,-Infinity
a1,3,97
b1,2,97
f2,3,-60
b1,2,97
a3,3,-40
b1,2,97
b3,3,-24
b1,2,97
d4,3,-26
b1,2,97
a5,3,-28
b1,2,97
b5,3,-37
b1,2,97
h5,3,-52
b1,2,97
d6,3,-30
b1,2,97
h6,3,-90
b1,2,97
c7,3,-32
b1,2,97
d8,3,-42
b1,2,97
h1,1,97
f2,2,-Infinity
a3,3,-86
f2,2,-86
b3,3,-22
f2,2,-22
d4,3,-24
f2,2,-22
a5,3,-26
f2,2,-22
b5,3,-35
f2,2,-22
h5,3,-50
f2,2,-22
d6,3,-28
f2,2,-22
h6,3,-88
f2,2,-22
c7,3,-30
f2,2,-22
h7,3,-40
f2,2,-22
d8,3,-40
f2,2,-22
h1,1,-22
b3,2,-Infinity
f2,3,-52
b3,2,-52
a3,3,-66
b3,2,-52
d4,3,-16
b3,2,-16
a5,3,-20
b3,2,-16
b5,3,-29
b3,2,-16
h5,3,-44
b3,2,-16
d6,3,-22
b3,2,-16
h6,3,-82
b3,2,-16
c7,3,-24
b3,2,-16
h7,3,-34
b3,2,-16
d8,3,-34
b3,2,-16
h1,1,-22
d4,2,-Infinity
a1,3,27
d4,2,27
f2,3,-56
d4,2,27
a3,3,-84
d4,2,27
b3,3,-12
d4,2,27
a5,3,-24
d4,2,27
b5,3,-33
d4,2,27
h5,3,-48
d4,2,27
d6,3,-18
d4,2,27
h6,3,-86
d4,2,27
c7,3,-28
d4,2,27
h7,3,-38
d4,2,27
d8,3,-38
d4,2,27
h1,1,-22
b5,2,-Infinity
f2,3,-53
b5,2,-53
a3,3,-75
b5,2,-53
b3,3,-9
b5,2,-9
d4,3,-17
b5,2,-9
a5,3,-11
b5,2,-9
h5,3,-45
b5,2,-9
d6,3,-37
