XX*XOO*O
X***OOXO
XOXOOOX*
XOOOXXOX
XXX*XOXO
OX**O*O*
**XXXXO*
XX**XOOO
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
c1,2,-Infinity
g1,3,3
c1,2,3
b2,3,-83
c1,2,3
c2,3,-49
c1,2,3
d2,3,-54
c1,2,3
h3,3,-27
c1,2,3
d5,3,-37
c1,2,3
f6,3,-30
c1,2,3
h6,3,-25
c1,2,3
a7,3,-37
c1,2,3
h7,3,-101
c1,2,3
a1,1,3
g1,2,-Infinity
b2,3,1
g1,2,1
c2,3,35
g1,2,35
d2,3,44
g1,2,44
h3,3,79
g1,2,79
d5,3,47
g1,2,79
f6,3,54
g1,2,79
h6,3,59
g1,2,79
a7,3,47
g1,2,79
h7,3,-17
g1,2,79
a1,1,3
b2,2,-Infinity
c1,3,-55
b2,2,-55
g1,3,5
b2,2,5
c2,3,-45
b2,2,5
d2,3,-16
b2,2,5
h3,3,3
b2,2,5
d5,3,-7
b2,2,5
f6,3,0
b2,2,5
h6,3,5
b2,2,5
a7,3,-7
b2,2,5
h7,3,-71
b2,2,5
a1,1,3
c2,2,-Infinity
c1,3,-13
c2,2,-13
g1,3,-15
c2,2,-13
b2,3,-59
c2,2,-13
d2,3,-36
c2,2,-13
h3,3,-17
c2,2,-13
d5,3,-27
c2,2,-13
f6,3,-20
c2,2,-13
h6,3,-15
c2,2,-13
a7,3,-27
c2,2,-13
h7,3,-91
c2,2,-13
a1,1,-13
d2,2,-Infinity
c1,3,-26
d2,2,-26
g1,3,-16
d2,2,-16
b2,3,-60
d2,2,-16
c2,3,-38
d2,2,-16
h3,3,-18
d2,2,-16
d5,3,-26
d2,2,-16
f6,3,-21
d2,2,-16
h6,3,-16
d2,2,-16
a7,3,-28
d2,2,-16
h7,3,-92
d2,2,-16
a1,1,-16
h3,2,-Infinity
g1,3,-31
h3,2,-31
b2,3,-27
h3,2,-27
c2,3,7
h3,2,7
d2,3,16
h3,2,16
d5,3,19
h3,2,19
f6,3,26
h3,2,26
a7,3,19
h3,2,26
h7,3,-45
h3,2,26
a1,1,-16
d5,2,-Infinity
g1,3,-5
d5,2,-5
b2,3,-63
d5,2,-5
c2,3,-37
d5,2,-5
d2,3,-34
d5,2,-5
h3,3,-7
d5,2,-5
c6,3,-4
d5,2,-4
d6,3,-21
d5,2,-4
f6,3,-10
d5,2,-4
h6,3,-5
d5,2,-4
a7,3,-17
d5,2,-4
h7,3,-81
d5,2,-4
a1,1,-16
c6,2,-Infinity
g1,3,-12
c6,2,-12
b2,3,-70
c6,2,-12
c2,3,-36
c6,2,-12
d2,3,-41
c6,2,-12
h3,3,-14
c6,2,-12
d5,3,-16
c6,2,-12
d6,3,-26
c6,2,-12
f6,3,-17
c6,2,-12
h6,3,-12
c6,2,-12
a7,3,-24
c6,2,-12
b7,3,-64
c6,2,-12
h7,3,-88
c6,2,-12
a1,1,-16
d6,2,-Infinity
g1,3,-3
d6,2,-3
b2,3,-69
d6,2,-3
c2,3,-35
d6,2,-3
d2,3,-32
d6,2,-3
h3,3,9
d6,2,9
d5,3,1
d6,2,9
c6,3,-8
d6,2,9
f6,3,-24
d6,2,9
h6,3,-11
d6,2,9
a7,3,-23
d6,2,9
h7,3,-87
d6,2,9
a1,1,-16
f6,2,-Infinity
g1,3,-4
f6,2,-4
b2,3,-62
f6,2,-4
c2,3,-28
f6,2,-4
d2,3,-33
f6,2,-4
h3,3,-6
f6,2,-4
d5,3,-16
f6,2,-4
d6,3,-20
f6,2,-4
h6,3,-4
f6,2,-4
a7,3,-16
f6,2,-4
h7,3,-88
f6,2,-4
a1,1,-16
h6,2,-Infinity
g1,3,-15
h6,2,-15
b2,3,-73
h6,2,-15
c2,3,-39
h6,2,-15
d2,3,-52
h6,2,-15
h3,3,-17
h6,2,-15
d5,3,-27
h6,2,-15
f6,3,-34
h6,2,-15
a7,3,-27
h6,2,-15
h7,3,-63
h6,2,-15
a1,1,-16
a7,2,-Infinity
g1,3,3
a7,2,3
b2,3,-55
a7,2,3
c2,3,-21
a7,2,3
d2,3,-26
a7,2,3
h3,3,1
a7,2,3
d5,3,-1
a7,2,3
c6,3,6
a7,2,6
d6,3,-11
a7,2,6
f6,3,-2
a7,2,6
h6,3,3
a7,2,6
b7,3,-49
a7,2,6
h7,3,-73
a7,2,6
a1,1,-16
b7,2,-Infinity
g1,3,61
b7,2,61
b2,3,-59
b7,2,61
c2,3,37
b7,2,61
d2,3,32
b7,2,61
d5,3,41
b7,2,61
c6,3,-12
b7,2,61
d6,3,37
b7,2,61
f6,3,56
b7,2,61
h6,3,61
b7,2,61
a7,3,41
b7,2,61
h7,3,33
b7,2,61
d8,3,31
b7,2,61
a1,1,-16
c8,2,-Infinity
g1,3,-7
c8,2,-7
b2,3,-65
c8,2,-7
c2,3,-31
c8,2,-7
d2,3,-36
c8,2,-7
d5,3,-19
c8,2,-7
c6,3,-26
c8,2,-7
f6,3,-12
c8,2,-7
h6,3,-7
c8,2,-7
a7,3,-19
c8,2,-7
h7,3,-83
c8,2,-7
d8,3,-5
c8,2,-5
a1,1,-16
d8,2,-Infinity
g1,3,-23
d8,2,-23
b2,3,-81
d8,2,-23
c2,3,-47
d8,2,-23
d2,3,-52
d8,2,-23
h3,3,-25
d8,2,-23
d5,3,-35
d8,2,-23
f6,3,-28
d8,2,-23
h6,3,-23
d8,2,-23
a7,3,-35
d8,2,-23
h7,3,-99
d8,2,-23
a1,1,-23
root,0,-23
g1,1,Infinity
c1,2,-Infinity
a1,3,-37
c1,2,-37
b2,3,-186
c1,2,-37
c2,3,-144
c1,2,-37
d2,3,-149
c1,2,-37
h3,3,-130
c1,2,-37
d5,3,-140
c1,2,-37
f6,3,-133
c1,2,-37
h6,3,-128
c1,2,-37
a7,3,-140
c1,2,-37
h7,3,-204
c1,2,-37
g1,1,-37
c2,2,-Infinity
a1,3,-15
c2,2,-15
c1,3,-104
c2,2,-15
b2,3,-150
c2,2,-15
d2,3,-119
c2,2,-15
h3,3,-108
c2,2,-15
d5,3,-118
c2,2,-15
f6,3,-111
c2,2,-15
h6,3,-106
c2,2,-15
a7,3,-118
c2,2,-15
h7,3,-182
c2,2,-15
g1,1,-37
d2,2,-Infinity
a1,3,-16
d2,2,-16
c1,3,-125
d2,2,-16
b2,3,-151
d2,2,-16
c2,3,-113
d2,2,-16
h3,3,-109
d2,2,-16
d5,3,-119
d2,2,-16
f6,3,-112
d2,2,-16
h6,3,-107
d2,2,-16
a7,3,-119
d2,2,-16
h7,3,-183
d2,2,-16
g1,1,-37
h3,2,-Infinity
a1,3,-17
h3,2,-17
b2,3,-166
h3,2,-17
c2,3,-124
h3,2,-17
d2,3,-129
h3,2,-17
d5,3,-120
h3,2,-17
f6,3,-113
h3,2,-17
a7,3,-120
h3,2,-17
h7,3,-184
h3,2,-17
g1,1,-37
d5,2,-Infinity
a1,3,-5
d5,2,-5
b2,3,-154
d5,2,-5
d2,3,-125
d5,2,-5
h3,3,-98
d5,2,-5
c6,3,-95
d5,2,-5
d6,3,-112
d5,2,-5
f6,3,-101
d5,2,-5
h6,3,-96
d5,2,-5
a7,3,-108
d5,2,-5
h7,3,-172
d5,2,-5
g1,1,-37
c6,2,-Infinity
a1,3,-6
c6,2,-6
c2,3,-113
c6,2,-6
d2,3,-118
c6,2,-6
h3,3,-99
c6,2,-6
d5,3,-107
c6,2,-6
f6,3,-102
c6,2,-6
h6,3,-97
c6,2,-6
a7,3,-109
c6,2,-6
h7,3,-173
c6,2,-6
g1,1,-37
d6,2,-Infinity
a1,3,-11
d6,2,-11
b2,3,-160
d6,2,-11
c2,3,-118
d6,2,-11
d2,3,-123
d6,2,-11
h3,3,-98
d6,2,-11
d5,3,-90
d6,2,-11
c6,3,-99
d6,2,-11
f6,3,-85
d6,2,-11
h6,3,-102
d6,2,-11
a7,3,-114
d6,2,-11
h7,3,-178
d6,2,-11
g1,1,-37
f6,2,-Infinity
a1,3,-4
f6,2,-4
b2,3,-153
f6,2,-4
c2,3,-111
f6,2,-4
d2,3,-116
f6,2,-4
h3,3,-97
f6,2,-4
h6,3,-95
f6,2,-4
a7,3,-107
f6,2,-4
h7,3,-179
f6,2,-4
g1,1,-37
b7,2,-Infinity
a1,3,61
b7,2,61
b2,3,-150
b7,2,61
c2,3,-46
b7,2,61
d2,3,-51
b7,2,61
c6,3,-97
b7,2,61
d6,3,-54
b7,2,61
f6,3,-35
b7,2,61
h6,3,-30
b7,2,61
a7,3,-50
b7,2,61
h7,3,-58
b7,2,61
d8,3,-60
b7,2,61
g1,1,-37
c8,2,-Infinity
a1,3,-7
c8,2,-7
b2,3,-156
c8,2,-7
c2,3,-114
c8,2,-7
d2,3,-119
c8,2,-7
d5,3,-110
c8,2,-7
c6,3,-117
c8,2,-7
f6,3,-103
c8,2,-7
h6,3,-98
c8,2,-7
a7,3,-110
c8,2,-7
h7,3,-174
c8,2,-7
d8,3,-96
c8,2,-7
g1,1,-37
d8,2,-Infinity
a1,3,-23
d8,2,-23
b2,3,-172
d8,2,-23
c2,3,-130
d8,2,-23
d2,3,-135
d8,2,-23
h3,3,-116
d8,2,-23
d5,3,-126
d8,2,-23
f6,3,-119
d8,2,-23
h6,3,-114
d8,2,-23
a7,3,-126
d8,2,-23
h7,3,-190
d8,2,-23
g1,1,-37
root,0,-23
b2,1,Infinity
a1,2,-Infinity
g1,3,-219
a1,2,-219
c2,3,-213
a1,2,-213
d2,3,-234
a1,2,-213
h3,3,-221
a1,2,-213
d5,3,-223
a1,2,-213
f6,3,-224
a1,2,-213
h6,3,-219
a1,2,-213
a7,3,-231
a1,2,-213
h7,3,-295
a1,2,-213
b2,1,-213
c1,2,-Infinity
a1,3,-83
c1,2,-83
g1,3,-98
c1,2,-83
c2,3,-142
c1,2,-83
d2,3,-155
c1,2,-83
h3,3,-128
c1,2,-83
d5,3,-130
c1,2,-83
f6,3,-131
c1,2,-83
h6,3,-126
c1,2,-83
a7,3,-138
c1,2,-83
h7,3,-202
c1,2,-83
b2,1,-213
g1,2,-Infinity
a1,3,1
g1,2,1
c2,3,-106
g1,2,1
d2,3,-105
g1,2,1
h3,3,-70
g1,2,1
d5,3,-94
g1,2,1
f6,3,-95
g1,2,1
h6,3,-90
g1,2,1
a7,3,-102
g1,2,1
h7,3,-166
g1,2,1
b2,1,-213
c2,2,-Infinity
a1,3,-51
c2,2,-51
c1,3,-106
c2,2,-51
g1,3,-108
c2,2,-51
d2,3,-123
c2,2,-51
h3,3,-110
c2,2,-51
d5,3,-120
c2,2,-51
f6,3,-113
c2,2,-51
h6,3,-108
c2,2,-51
a7,3,-120
c2,2,-51
h7,3,-184
c2,2,-51
b2,1,-213
h3,2,-Infinity
a1,3,-27
h3,2,-27
g1,3,-180
h3,2,-27
c2,3,-134
h3,2,-27
d2,3,-133
h3,2,-27
d5,3,-122
h3,2,-27
f6,3,-123
h3,2,-27
a7,3,-130
h3,2,-27
h7,3,-194
h3,2,-27
b2,1,-213
d5,2,-Infinity
a1,3,-63
d5,2,-63
g1,3,-154
d5,2,-63
d2,3,-183
d5,2,-63
h3,3,-156
d5,2,-63
c6,3,-153
d5,2,-63
d6,3,-170
d5,2,-63
f6,3,-159
d5,2,-63
h6,3,-154
d5,2,-63
a7,3,-166
d5,2,-63
h7,3,-230
d5,2,-63
b2,1,-213
c6,2,-Infinity
a1,3,-64
c6,2,-64
g1,3,-155
c6,2,-64
c2,3,-171
c6,2,-64
d2,3,-184
c6,2,-64
h3,3,-157
c6,2,-64
d5,3,-157
c6,2,-64
d6,3,-163
c6,2,-64
f6,3,-160
c6,2,-64
h6,3,-155
c6,2,-64
a7,3,-167
c6,2,-64
b7,3,-213
c6,2,-64
h7,3,-231
c6,2,-64
b2,1,-213
d6,2,-Infinity
a1,3,-63
d6,2,-63
g1,3,-146
d6,2,-63
c2,3,-170
d6,2,-63
d2,3,-175
d6,2,-63
h3,3,-134
d6,2,-63
d5,3,-134
d6,2,-63
c6,3,-151
d6,2,-63
f6,3,-167
d6,2,-63
h6,3,-154
d6,2,-63
a7,3,-166
d6,2,-63
h7,3,-230
d6,2,-63
b2,1,-213
f6,2,-Infinity
a1,3,-62
f6,2,-62
g1,3,-153
f6,2,-62
c2,3,-169
f6,2,-62
d2,3,-182
f6,2,-62
h3,3,-155
f6,2,-62
d5,3,-157
f6,2,-62
d6,3,-169
f6,2,-62
h6,3,-153
f6,2,-62
a7,3,-165
f6,2,-62
h7,3,-237
f6,2,-62
b2,1,-213
h6,2,-Infinity
a1,3,-73
h6,2,-73
g1,3,-164
h6,2,-73
c2,3,-180
h6,2,-73
d2,3,-201
h6,2,-73
h3,3,-166
h6,2,-73
d5,3,-168
h6,2,-73
f6,3,-183
h6,2,-73
a7,3,-176
h6,2,-73
h7,3,-212
h6,2,-73
b2,1,-213
a7,2,-Infinity
a1,3,-55
a7,2,-55
g1,3,-146
a7,2,-55
c2,3,-162
a7,2,-55
d2,3,-175
a7,2,-55
h3,3,-148
a7,2,-55
d5,3,-142
a7,2,-55
c6,3,-143
a7,2,-55
d6,3,-154
a7,2,-55
f6,3,-151
a7,2,-55
