OX**O*XO
OOXOO*XX
*OOOOX**
****X*XO
XOOXXO*X
XO*XOOXO
*XOXXOXO
X**XOO*X
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
d1,2,-Infinity
c1,3,75
d1,2,75
f1,3,65
d1,2,75
f2,3,69
d1,2,75
g3,3,89
d1,2,89
h3,3,65
d1,2,89
c4,3,83
d1,2,89
d4,3,79
d1,2,89
f4,3,85
d1,2,89
c6,3,54
d1,2,89
a7,3,23
d1,2,89
b8,3,23
d1,2,89
c8,3,93
d1,2,93
a1,1,93
f2,2,-Infinity
c1,3,73
f2,2,73
d1,3,87
f2,2,87
f1,3,81
f2,2,87
g3,3,97
f2,2,97
h3,3,81
f2,2,97
c4,3,99
f2,2,99
d4,3,95
f2,2,99
f4,3,101
f2,2,101
c6,3,70
f2,2,101
a7,3,39
f2,2,101
b8,3,39
f2,2,101
c8,3,109
f2,2,109
a1,1,93
a3,2,-Infinity
c1,3,41
a3,2,41
f1,3,41
a3,2,41
h3,3,35
a3,2,41
a4,3,71
a3,2,71
b4,3,52
a3,2,71
c4,3,53
a3,2,71
d4,3,71
a3,2,71
f4,3,63
a3,2,71
c6,3,24
a3,2,71
a7,3,-7
a3,2,71
b8,3,-7
a3,2,71
c8,3,63
a3,2,71
a1,1,71
h3,2,-Infinity
c1,3,43
h3,2,43
d1,3,57
h3,2,57
f1,3,51
h3,2,57
g3,3,69
h3,2,69
c4,3,63
h3,2,69
d4,3,59
h3,2,69
f4,3,71
h3,2,71
c6,3,34
h3,2,71
a7,3,3
h3,2,71
b8,3,3
h3,2,71
c8,3,73
h3,2,73
a1,1,71
a4,2,-Infinity
c1,3,65
a4,2,65
f1,3,73
a4,2,73
a3,3,81
a4,2,81
g3,3,91
a4,2,91
h3,3,67
a4,2,91
b4,3,70
a4,2,91
c4,3,77
a4,2,91
d4,3,81
a4,2,91
f4,3,87
a4,2,91
c6,3,56
a4,2,91
a7,3,25
a4,2,91
b8,3,25
a4,2,91
c8,3,95
a4,2,95
a1,1,71
b4,2,-Infinity
c1,3,128
b4,2,128
f1,3,136
b4,2,136
a3,3,148
b4,2,148
g3,3,154
b4,2,154
h3,3,130
b4,2,154
c4,3,140
b4,2,154
d4,3,144
b4,2,154
f4,3,150
b4,2,154
c6,3,119
b4,2,154
a7,3,88
b4,2,154
c8,3,158
b4,2,158
a1,1,71
c4,2,-Infinity
c1,3,73
c4,2,73
d1,3,65
c4,2,73
f1,3,59
c4,2,73
g3,3,77
c4,2,77
h3,3,53
c4,2,77
b4,3,72
c4,2,77
d4,3,81
c4,2,81
f4,3,73
c4,2,81
c6,3,42
c4,2,81
a7,3,11
c4,2,81
b8,3,11
c4,2,81
c8,3,81
c4,2,81
a1,1,71
g5,2,-Infinity
c1,3,44
g5,2,44
d1,3,58
g5,2,58
f1,3,52
g5,2,58
g3,3,70
g5,2,70
h3,3,54
g5,2,70
c4,3,64
g5,2,70
f4,3,82
g5,2,82
c6,3,35
g5,2,82
a7,3,4
g5,2,82
b8,3,4
g5,2,82
c8,3,74
g5,2,82
a1,1,71
c6,2,-Infinity
c1,3,64
c6,2,64
d1,3,78
c6,2,78
f1,3,72
c6,2,78
g3,3,90
c6,2,90
h3,3,66
c6,2,90
c4,3,84
c6,2,90
d4,3,80
c6,2,90
f4,3,86
c6,2,90
a7,3,16
c6,2,90
b8,3,16
c6,2,90
c8,3,94
c6,2,94
a1,1,71
b8,2,-Infinity
c1,3,79
b8,2,79
d1,3,93
b8,2,93
f1,3,87
b8,2,93
g3,3,105
b8,2,105
h3,3,81
b8,2,105
c4,3,99
b8,2,105
d4,3,95
b8,2,105
f4,3,93
b8,2,105
c6,3,70
b8,2,105
a7,3,19
b8,2,105
c8,3,109
b8,2,109
a1,1,71
g8,2,-Infinity
c1,3,43
g8,2,43
d1,3,57
g8,2,57
f1,3,51
g8,2,57
g3,3,69
g8,2,69
h3,3,45
g8,2,69
d4,3,59
g8,2,69
f4,3,65
g8,2,69
c6,3,48
g8,2,69
a7,3,3
g8,2,69
b8,3,3
g8,2,69
c8,3,69
g8,2,69
a1,1,69
root,0,69
c1,1,Infinity
d1,2,-Infinity
a1,3,75
d1,2,75
f1,3,-2
d1,2,75
f2,3,2
d1,2,75
g3,3,22
d1,2,75
h3,3,-2
d1,2,75
c4,3,16
d1,2,75
d4,3,12
d1,2,75
f4,3,18
d1,2,75
c6,3,-13
d1,2,75
a7,3,-44
d1,2,75
b8,3,-44
d1,2,75
c8,3,26
d1,2,75
c1,1,75
f2,2,-Infinity
a1,3,87
f2,2,87
d1,3,44
f2,2,87
f1,3,38
f2,2,87
a3,3,12
f2,2,87
g3,3,54
f2,2,87
h3,3,38
f2,2,87
c4,3,56
f2,2,87
d4,3,52
f2,2,87
f4,3,58
f2,2,87
c6,3,27
f2,2,87
a7,3,-4
f2,2,87
b8,3,-4
f2,2,87
c8,3,66
f2,2,87
c1,1,75
a3,2,-Infinity
a1,3,81
a3,2,81
f1,3,-10
a3,2,81
h3,3,-16
a3,2,81
a4,3,12
a3,2,81
b4,3,9
a3,2,81
c4,3,16
a3,2,81
d4,3,6
a3,2,81
f4,3,12
a3,2,81
c6,3,-27
a3,2,81
a7,3,-58
a3,2,81
b8,3,-58
a3,2,81
c8,3,12
a3,2,81
c1,1,75
h3,2,-Infinity
a1,3,43
h3,2,43
f1,3,0
h3,2,43
a3,3,-32
h3,2,43
g3,3,18
h3,2,43
c4,3,12
h3,2,43
d4,3,8
h3,2,43
f4,3,20
h3,2,43
c6,3,-17
h3,2,43
a7,3,-48
h3,2,43
b8,3,-48
h3,2,43
c8,3,22
h3,2,43
c1,1,43
b4,2,-Infinity
a1,3,80
b4,2,80
f1,3,37
b4,2,80
a3,3,1
b4,2,80
g3,3,55
b4,2,80
h3,3,31
b4,2,80
a4,3,43
b4,2,80
c4,3,41
b4,2,80
d4,3,45
b4,2,80
f4,3,51
b4,2,80
c6,3,20
b4,2,80
a7,3,-11
b4,2,80
c8,3,59
b4,2,80
c1,1,43
c4,2,-Infinity
a1,3,65
c4,2,65
f1,3,22
c4,2,65
a3,3,-10
c4,2,65
g3,3,40
c4,2,65
h3,3,16
c4,2,65
b4,3,21
c4,2,65
d4,3,30
c4,2,65
f4,3,36
c4,2,65
c6,3,5
c4,2,65
a7,3,-26
c4,2,65
b8,3,-26
c4,2,65
c8,3,44
c4,2,65
c1,1,43
d4,2,-Infinity
a1,3,63
d4,2,63
f1,3,6
d4,2,63
a3,3,-26
d4,2,63
g3,3,24
d4,2,63
h3,3,0
d4,2,63
b4,3,25
d4,2,63
c4,3,32
d4,2,63
f4,3,20
d4,2,63
c6,3,-11
d4,2,63
a7,3,-42
d4,2,63
b8,3,-42
d4,2,63
c8,3,28
d4,2,63
c1,1,43
g5,2,-Infinity
a1,3,44
g5,2,44
f1,3,1
g5,2,44
a3,3,-31
g5,2,44
g3,3,19
g5,2,44
h3,3,3
g5,2,44
c4,3,13
g5,2,44
f4,3,31
g5,2,44
c6,3,-16
g5,2,44
a7,3,-47
g5,2,44
b8,3,-47
g5,2,44
c8,3,23
g5,2,44
c1,1,43
c6,2,-Infinity
a1,3,64
c6,2,64
f1,3,21
c6,2,64
a3,3,-11
c6,2,64
g3,3,39
c6,2,64
h3,3,15
c6,2,64
c4,3,33
c6,2,64
d4,3,29
c6,2,64
f4,3,35
c6,2,64
a7,3,-35
c6,2,64
b8,3,-35
c6,2,64
c8,3,43
c6,2,64
c1,1,43
b8,2,-Infinity
a1,3,79
b8,2,79
f1,3,36
b8,2,79
a3,3,4
b8,2,79
g3,3,54
b8,2,79
h3,3,30
b8,2,79
c4,3,48
b8,2,79
d4,3,44
b8,2,79
f4,3,42
b8,2,79
c6,3,19
b8,2,79
a7,3,-32
b8,2,79
c8,3,58
b8,2,79
c1,1,43
g8,2,-Infinity
a1,3,43
g8,2,43
f1,3,0
g8,2,43
a3,3,-32
g8,2,43
g3,3,18
g8,2,43
h3,3,-6
g8,2,43
d4,3,8
g8,2,43
f4,3,14
g8,2,43
c6,3,-3
g8,2,43
a7,3,-48
g8,2,43
b8,3,-48
g8,2,43
c8,3,18
g8,2,43
c1,1,43
root,0,69
d1,1,Infinity
f2,2,-Infinity
a1,3,101
f2,2,101
c1,3,44
f2,2,101
f1,3,36
f2,2,101
g3,3,52
f2,2,101
h3,3,36
f2,2,101
c4,3,54
f2,2,101
d4,3,50
f2,2,101
f4,3,56
f2,2,101
c6,3,25
f2,2,101
a7,3,-6
f2,2,101
b8,3,-6
f2,2,101
c8,3,64
f2,2,101
d1,1,101
a3,2,-Infinity
f1,3,-12
a3,2,-12
h3,3,-18
a3,2,-12
a4,3,10
a3,2,10
b4,3,7
a3,2,10
c4,3,14
a3,2,14
d4,3,4
a3,2,14
f4,3,10
a3,2,14
c6,3,-29
a3,2,14
a7,3,-60
a3,2,14
b8,3,-60
a3,2,14
c8,3,10
a3,2,14
d1,1,14
h3,2,-Infinity
a1,3,57
h3,2,57
f1,3,-2
h3,2,57
g3,3,16
h3,2,57
c4,3,10
h3,2,57
d4,3,6
h3,2,57
f4,3,18
h3,2,57
c6,3,-19
h3,2,57
a7,3,-50
h3,2,57
b8,3,-50
h3,2,57
c8,3,20
h3,2,57
d1,1,14
b4,2,-Infinity
a1,3,94
b4,2,94
f1,3,35
b4,2,94
a3,3,47
b4,2,94
g3,3,53
b4,2,94
h3,3,29
b4,2,94
a4,3,41
b4,2,94
c4,3,39
b4,2,94
d4,3,43
b4,2,94
f4,3,49
b4,2,94
c6,3,18
b4,2,94
a7,3,-13
b4,2,94
c8,3,57
b4,2,94
d1,1,14
c4,2,-Infinity
a1,3,79
c4,2,79
f1,3,20
c4,2,79
g3,3,38
c4,2,79
h3,3,14
c4,2,79
b4,3,19
c4,2,79
d4,3,28
c4,2,79
f4,3,34
c4,2,79
c6,3,3
c4,2,79
a7,3,-28
c4,2,79
b8,3,-28
c4,2,79
c8,3,42
c4,2,79
d1,1,14
d4,2,-Infinity
a1,3,77
d4,2,77
f1,3,4
d4,2,77
g3,3,22
d4,2,77
h3,3,-2
d4,2,77
b4,3,23
d4,2,77
c4,3,30
d4,2,77
f4,3,18
d4,2,77
c6,3,-13
d4,2,77
a7,3,-44
d4,2,77
b8,3,-44
d4,2,77
c8,3,26
d4,2,77
d1,1,14
g5,2,-Infinity
a1,3,58
g5,2,58
f1,3,-1
g5,2,58
g3,3,17
g5,2,58
h3,3,1
g5,2,58
c4,3,11
g5,2,58
f4,3,29
g5,2,58
c6,3,-18
g5,2,58
a7,3,-49
g5,2,58
b8,3,-49
g5,2,58
c8,3,21
g5,2,58
d1,1,14
c6,2,-Infinity
a1,3,78
c6,2,78
f1,3,19
c6,2,78
g3,3,37
c6,2,78
h3,3,13
c6,2,78
c4,3,31
c6,2,78
d4,3,27
c6,2,78
f4,3,33
c6,2,78
a7,3,-37
c6,2,78
b8,3,-37
c6,2,78
c8,3,41
c6,2,78
d1,1,14
b8,2,-Infinity
a1,3,93
b8,2,93
f1,3,34
b8,2,93
g3,3,52
b8,2,93
h3,3,28
b8,2,93
c4,3,46
b8,2,93
d4,3,42
b8,2,93
f4,3,40
b8,2,93
c6,3,17
b8,2,93
a7,3,-34
b8,2,93
c8,3,56
b8,2,93
d1,1,14
g8,2,-Infinity
a1,3,57
g8,2,57
f1,3,-2
g8,2,57
g3,3,16
g8,2,57
h3,3,-8
g8,2,57
d4,3,6
g8,2,57
f4,3,12
g8,2,57
c6,3,-5
g8,2,57
a7,3,-50
g8,2,57
b8,3,-50
g8,2,57
c8,3,16
g8,2,57
d1,1,14
root,0,69
f1,1,Infinity
d1,2,-Infinity
a1,3,71
d1,2,71
c1,3,32
d1,2,71
f2,3,10
d1,2,71
g3,3,-18
d1,2,71
h3,3,-42
d1,2,71
c4,3,24
d1,2,71
d4,3,20
d1,2,71
f4,3,26
d1,2,71
c6,3,-5
d1,2,71
a7,3,-36
d1,2,71
b8,3,-36
d1,2,71
c8,3,34
d1,2,71
f1,1,71
f2,2,-Infinity
a1,3,87
f2,2,87
c1,3,30
f2,2,87
d1,3,28
f2,2,87
g3,3,-10
f2,2,87
h3,3,-26
f2,2,87
c4,3,40
f2,2,87
d4,3,36
f2,2,87
f4,3,48
f2,2,87
c6,3,11
f2,2,87
a7,3,-20
f2,2,87
b8,3,-20
f2,2,87
c8,3,50
f2,2,87
f1,1,71
a3,2,-Infinity
g3,3,-62
a3,2,-62
h3,3,-72
a3,2,-62
a4,3,12
a3,2,12
b4,3,1
a3,2,12
c4,3,-6
a3,2,12
d4,3,-2
a3,2,12
f4,3,4
a3,2,12
c6,3,-35
a3,2,12
a7,3,-66
a3,2,12
b8,3,-66
a3,2,12
c8,3,4
a3,2,12
f1,1,12
h3,2,-Infinity
a1,3,51
h3,2,51
c1,3,0
h3,2,51
d1,3,-2
h3,2,51
g3,3,-38
h3,2,51
c4,3,4
h3,2,51
d4,3,0
h3,2,51
f4,3,12
h3,2,51
c6,3,-25
h3,2,51
a7,3,-56
h3,2,51
b8,3,-56
h3,2,51
c8,3,14
h3,2,51
f1,1,12
a4,2,-Infinity
a1,3,73
a4,2,73
