*OXXXXOX
X**XXX*O
*XXXOOX*
*OXO*OO*
X*OX**OO
XXXXO*XO
XXXOO*XO
*X*XX*O*
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
b2,2,-Infinity
c2,3,144
b2,2,144
a3,3,150
b2,2,150
h3,3,174
b2,2,174
a4,3,182
b2,2,182
e4,3,190
b2,2,190
b5,3,125
b2,2,190
e5,3,158
b2,2,190
f5,3,208
b2,2,208
a6,3,196
b2,2,208
f6,3,191
b2,2,208
f7,3,174
b2,2,208
f8,3,184
b2,2,208
a1,1,208
c2,2,-Infinity
b2,3,114
c2,2,114
a3,3,156
c2,2,156
h3,3,138
c2,2,156
e4,3,154
c2,2,156
b5,3,153
c2,2,156
e5,3,156
c2,2,156
f5,3,172
c2,2,172
a6,3,160
c2,2,172
f6,3,155
c2,2,172
f7,3,138
c2,2,172
f8,3,148
c2,2,172
a1,1,172
g2,2,-Infinity
a3,3,206
g2,2,206
h3,3,154
g2,2,206
a4,3,196
g2,2,206
e4,3,170
g2,2,206
h4,3,194
g2,2,206
b5,3,195
g2,2,206
e5,3,198
g2,2,206
f5,3,222
g2,2,222
a6,3,210
g2,2,222
f6,3,205
g2,2,222
f7,3,188
g2,2,222
f8,3,198
g2,2,222
a1,1,172
a3,2,-Infinity
c2,3,152
a3,2,152
h3,3,134
a3,2,152
a4,3,158
a3,2,158
e4,3,150
a3,2,158
b5,3,147
a3,2,158
e5,3,152
a3,2,158
f5,3,168
a3,2,168
a6,3,156
a3,2,168
f6,3,151
a3,2,168
f7,3,134
a3,2,168
f8,3,144
a3,2,168
a1,1,168
h3,2,-Infinity
g2,3,120
h3,2,120
a3,3,174
h3,2,174
a4,3,164
h3,2,174
e4,3,172
h3,2,174
h4,3,162
h3,2,174
b5,3,163
h3,2,174
e5,3,166
h3,2,174
f5,3,190
h3,2,190
a6,3,178
h3,2,190
f6,3,173
h3,2,190
f7,3,156
h3,2,190
f8,3,166
h3,2,190
a1,1,168
e4,2,-Infinity
g2,3,168
e4,2,168
a3,3,174
e4,2,174
h3,3,156
e4,2,174
a4,3,164
e4,2,174
h4,3,172
e4,2,174
b5,3,155
e4,2,174
e5,3,182
e4,2,182
f5,3,190
e4,2,190
a6,3,178
e4,2,190
f6,3,173
e4,2,190
f7,3,156
e4,2,190
f8,3,166
e4,2,190
a1,1,168
e5,2,-Infinity
a3,3,174
e5,2,174
h3,3,156
e5,2,174
a4,3,164
e5,2,174
e4,3,188
e5,2,188
b5,3,155
e5,2,188
f5,3,190
e5,2,190
a6,3,178
e5,2,190
f6,3,173
e5,2,190
f7,3,156
e5,2,190
f8,3,166
e5,2,190
a1,1,168
f5,2,-Infinity
a3,3,178
f5,2,178
h3,3,160
f5,2,178
a4,3,168
f5,2,178
e4,3,176
f5,2,178
b5,3,167
f5,2,178
e5,3,178
f5,2,178
a6,3,182
f5,2,182
f6,3,207
f5,2,207
f7,3,160
f5,2,207
f8,3,170
f5,2,207
a1,1,168
f6,2,-Infinity
a3,3,175
f6,2,175
h3,3,157
f6,2,175
a4,3,165
f6,2,175
e4,3,173
f6,2,175
h4,3,173
f6,2,175
b5,3,164
f6,2,175
e5,3,189
f6,2,189
f5,3,191
f6,2,191
a6,3,179
f6,2,191
f7,3,157
f6,2,191
f8,3,167
f6,2,191
a1,1,168
f7,2,-Infinity
a3,3,234
f7,2,234
h3,3,216
f7,2,234
a4,3,224
f7,2,234
e4,3,232
f7,2,234
b5,3,223
f7,2,234
e5,3,234
f7,2,234
f5,3,250
f7,2,250
a6,3,238
f7,2,250
f6,3,233
f7,2,250
f8,3,226
f7,2,250
a1,1,168
a8,2,-Infinity
a3,3,123
a8,2,123
h3,3,105
a8,2,123
a4,3,113
a8,2,123
e4,3,121
a8,2,123
b5,3,64
a8,2,123
e5,3,123
a8,2,123
f5,3,139
a8,2,139
a6,3,127
a8,2,139
f6,3,122
a8,2,139
f7,3,105
a8,2,139
f8,3,115
a8,2,139
a1,1,139
c8,2,-Infinity
a3,3,174
c8,2,174
h3,3,156
c8,2,174
a4,3,164
c8,2,174
e4,3,172
c8,2,174
b5,3,163
c8,2,174
e5,3,174
c8,2,174
f5,3,190
c8,2,190
a6,3,178
c8,2,190
f6,3,173
c8,2,190
f7,3,148
c8,2,190
f8,3,166
c8,2,190
a1,1,139
f8,2,-Infinity
a3,3,214
f8,2,214
h3,3,196
f8,2,214
a4,3,204
f8,2,214
e4,3,212
f8,2,214
b5,3,203
f8,2,214
e5,3,214
f8,2,214
f5,3,230
f8,2,230
a6,3,218
f8,2,230
f6,3,213
f8,2,230
f7,3,196
f8,2,230
h8,3,303
f8,2,303
a1,1,139
root,0,139
a3,1,Infinity
b2,2,-Infinity
a1,3,184
b2,2,184
c2,3,63
b2,2,184
h3,3,93
b2,2,184
e4,3,109
b2,2,184
b5,3,98
b2,2,184
e5,3,111
b2,2,184
f5,3,127
b2,2,184
a6,3,115
b2,2,184
f6,3,110
b2,2,184
f7,3,93
b2,2,184
f8,3,103
b2,2,184
a3,1,184
c2,2,-Infinity
a1,3,148
c2,2,148
b2,3,33
c2,2,148
h3,3,57
c2,2,148
e4,3,81
c2,2,148
b5,3,78
c2,2,148
e5,3,75
c2,2,148
f5,3,91
c2,2,148
a6,3,79
c2,2,148
f6,3,74
c2,2,148
f7,3,57
c2,2,148
f8,3,67
c2,2,148
a3,1,148
g2,2,-Infinity
a1,3,206
g2,2,206
h3,3,81
g2,2,206
e4,3,97
g2,2,206
h4,3,121
g2,2,206
b5,3,120
g2,2,206
e5,3,125
g2,2,206
f5,3,149
g2,2,206
a6,3,137
g2,2,206
f6,3,132
g2,2,206
f7,3,115
g2,2,206
f8,3,125
g2,2,206
a3,1,148
h3,2,-Infinity
a1,3,174
h3,2,174
g2,3,47
h3,2,174
e4,3,99
h3,2,174
h4,3,89
h3,2,174
b5,3,88
h3,2,174
e5,3,93
h3,2,174
f5,3,117
h3,2,174
a6,3,105
h3,2,174
f6,3,100
h3,2,174
f7,3,83
h3,2,174
f8,3,93
h3,2,174
a3,1,148
a4,2,-Infinity
a1,3,166
a4,2,166
h3,3,75
a4,2,166
e4,3,91
a4,2,166
b5,3,82
a4,2,166
e5,3,93
a4,2,166
f5,3,109
a4,2,166
a6,3,97
a4,2,166
f6,3,92
a4,2,166
f7,3,75
a4,2,166
f8,3,85
a4,2,166
a3,1,148
e4,2,-Infinity
a1,3,174
e4,2,174
g2,3,95
e4,2,174
h3,3,83
e4,2,174
h4,3,99
e4,2,174
b5,3,88
e4,2,174
e5,3,109
e4,2,174
f5,3,117
e4,2,174
a6,3,105
e4,2,174
f6,3,100
e4,2,174
f7,3,83
e4,2,174
f8,3,93
e4,2,174
a3,1,148
f5,2,-Infinity
a1,3,178
f5,2,178
h3,3,87
f5,2,178
e4,3,103
f5,2,178
b5,3,92
f5,2,178
e5,3,105
f5,2,178
a6,3,109
f5,2,178
f6,3,134
f5,2,178
f7,3,87
f5,2,178
f8,3,97
f5,2,178
a3,1,148
f6,2,-Infinity
a1,3,175
f6,2,175
h3,3,84
f6,2,175
e4,3,100
f6,2,175
h4,3,100
f6,2,175
b5,3,89
f6,2,175
e5,3,116
f6,2,175
f5,3,118
f6,2,175
a6,3,106
f6,2,175
f7,3,84
f6,2,175
f8,3,94
f6,2,175
a3,1,148
f7,2,-Infinity
a1,3,234
f7,2,234
h3,3,143
f7,2,234
e4,3,159
f7,2,234
b5,3,148
f7,2,234
e5,3,161
f7,2,234
f5,3,177
f7,2,234
a6,3,165
f7,2,234
f6,3,160
f7,2,234
f8,3,153
f7,2,234
a3,1,148
a8,2,-Infinity
a1,3,123
a8,2,123
h3,3,32
a8,2,123
e4,3,48
a8,2,123
b5,3,-11
a8,2,123
e5,3,50
a8,2,123
f5,3,66
a8,2,123
a6,3,54
a8,2,123
f6,3,49
a8,2,123
f7,3,32
a8,2,123
f8,3,42
a8,2,123
a3,1,123
c8,2,-Infinity
a1,3,174
c8,2,174
h3,3,83
c8,2,174
e4,3,99
c8,2,174
b5,3,88
c8,2,174
e5,3,101
c8,2,174
f5,3,117
c8,2,174
a6,3,105
c8,2,174
f6,3,100
c8,2,174
f7,3,75
c8,2,174
f8,3,93
c8,2,174
a3,1,123
f8,2,-Infinity
a1,3,214
f8,2,214
h3,3,123
f8,2,214
e4,3,139
f8,2,214
b5,3,128
f8,2,214
e5,3,141
f8,2,214
f5,3,157
f8,2,214
a6,3,145
f8,2,214
f6,3,140
f8,2,214
f7,3,123
f8,2,214
h8,3,230
f8,2,230
a3,1,123
root,0,139
h3,1,Infinity
b2,2,-Infinity
a1,3,174
b2,2,174
c2,3,53
b2,2,174
a3,3,59
b2,2,174
a4,3,91
b2,2,174
e4,3,99
b2,2,174
b5,3,96
b2,2,174
e5,3,101
b2,2,174
f5,3,111
b2,2,174
a6,3,105
b2,2,174
f6,3,100
b2,2,174
f7,3,83
b2,2,174
f8,3,93
b2,2,174
h3,1,174
c2,2,-Infinity
a1,3,138
c2,2,138
b2,3,23
c2,2,138
a3,3,65
c2,2,138
e4,3,63
c2,2,138
b5,3,62
c2,2,138
e5,3,65
c2,2,138
f5,3,75
c2,2,138
a6,3,69
c2,2,138
f6,3,64
c2,2,138
f7,3,47
c2,2,138
f8,3,57
c2,2,138
h3,1,138
g2,2,-Infinity
a1,3,188
g2,2,188
a3,3,115
g2,2,188
a4,3,105
g2,2,188
e4,3,79
g2,2,188
h4,3,103
g2,2,188
b5,3,104
g2,2,188
e5,3,107
g2,2,188
f5,3,125
g2,2,188
a6,3,119
g2,2,188
f6,3,114
g2,2,188
f7,3,97
g2,2,188
f8,3,107
g2,2,188
h3,1,138
a3,2,-Infinity
a1,3,134
a3,2,134
c2,3,61
a3,2,134
a4,3,67
a3,2,134
e4,3,59
a3,2,134
b5,3,56
a3,2,134
e5,3,61
a3,2,134
f5,3,71
a3,2,134
a6,3,65
a3,2,134
f6,3,60
a3,2,134
f7,3,43
a3,2,134
f8,3,53
a3,2,134
h3,1,134
e4,2,-Infinity
a1,3,156
e4,2,156
g2,3,77
e4,2,156
a3,3,83
e4,2,156
a4,3,73
e4,2,156
h4,3,81
e4,2,156
b5,3,64
e4,2,156
e5,3,91
e4,2,156
f5,3,93
e4,2,156
a6,3,87
e4,2,156
f6,3,82
e4,2,156
f7,3,65
e4,2,156
f8,3,75
e4,2,156
h3,1,134
e5,2,-Infinity
a1,3,156
e5,2,156
a3,3,83
e5,2,156
a4,3,73
e5,2,156
e4,3,97
e5,2,156
b5,3,64
e5,2,156
f5,3,93
e5,2,156
a6,3,87
e5,2,156
f6,3,82
e5,2,156
f7,3,65
e5,2,156
f8,3,75
e5,2,156
h3,1,134
f5,2,-Infinity
a1,3,160
f5,2,160
a3,3,87
f5,2,160
a4,3,77
f5,2,160
e4,3,85
f5,2,160
b5,3,76
f5,2,160
e5,3,87
f5,2,160
a6,3,91
f5,2,160
f6,3,116
f5,2,160
f7,3,69
f5,2,160
c8,3,89
f5,2,160
f8,3,79
f5,2,160
h3,1,134
f6,2,-Infinity
a1,3,157
f6,2,157
a3,3,84
f6,2,157
a4,3,74
f6,2,157
e4,3,82
f6,2,157
h4,3,82
f6,2,157
b5,3,73
f6,2,157
e5,3,98
f6,2,157
f5,3,94
f6,2,157
a6,3,88
f6,2,157
f7,3,66
f6,2,157
f8,3,76
f6,2,157
h3,1,134
f7,2,-Infinity
a1,3,216
f7,2,216
a3,3,143
f7,2,216
a4,3,133
f7,2,216
e4,3,141
f7,2,216
b5,3,132
f7,2,216
e5,3,143
f7,2,216
f5,3,153
f7,2,216
a6,3,147
f7,2,216
f6,3,142
f7,2,216
f8,3,135
f7,2,216
h3,1,134
a8,2,-Infinity
a1,3,105
a8,2,105
a3,3,32
a8,2,105
a4,3,22
a8,2,105
e4,3,30
a8,2,105
b5,3,-27
a8,2,105
e5,3,32
a8,2,105
f5,3,42
a8,2,105
a6,3,36
a8,2,105
f6,3,31
a8,2,105
f7,3,14
a8,2,105
f8,3,24
a8,2,105
h3,1,105
c8,2,-Infinity
a1,3,156
c8,2,156
a3,3,83
c8,2,156
a4,3,73
c8,2,156
e4,3,81
c8,2,156
b5,3,72
c8,2,156
e5,3,83
c8,2,156
f5,3,93
c8,2,156
a6,3,87
c8,2,156
f6,3,82
c8,2,156
f7,3,57
c8,2,156
f8,3,75
c8,2,156
h3,1,105
f8,2,-Infinity
a1,3,196
f8,2,196
a3,3,123
f8,2,196
a4,3,113
f8,2,196
e4,3,121
f8,2,196
b5,3,112
f8,2,196
e5,3,123
f8,2,196
f5,3,133
f8,2,196
a6,3,127
f8,2,196
f6,3,122
f8,2,196
f7,3,105
f8,2,196
h8,3,212
f8,2,212
h3,1,105
root,0,139
a4,1,Infinity
b2,2,-Infinity
a1,3,174
b2,2,174
c2,3,53
b2,2,174
a3,3,51
b2,2,174
h3,3,83
b2,2,174
e4,3,99
b2,2,174
b5,3,96
b2,2,174
e5,3,101
b2,2,174
f5,3,117
b2,2,174
a6,3,105
b2,2,174
f6,3,100
b2,2,174
f7,3,83
b2,2,174
f8,3,93
b2,2,174
a4,1,174
c2,2,-Infinity
a1,3,146
