XO*O*XXO
***XX*XO
XXXX*O**
OO*XOX*O
O*X*XOXX
O*XXOXOX
OOOX*OOX
OOOOXX*X
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
c1,2,-Infinity
a2,3,-112
c1,2,-112
b2,3,-152
c1,2,-112
c2,3,-124
c1,2,-112
f2,3,-178
c1,2,-112
e3,3,-114
c1,2,-112
g3,3,-156
c1,2,-112
h3,3,-160
c1,2,-112
c4,3,-92
c1,2,-92
g4,3,-121
c1,2,-92
d5,3,-96
c1,2,-92
b6,3,-102
c1,2,-92
e7,3,-105
c1,2,-92
a8,3,-37
c1,2,-37
g8,3,-100
c1,2,-37
e1,1,-37
b2,2,-Infinity
a2,3,-110
b2,2,-110
c2,3,-122
b2,2,-110
f2,3,-176
b2,2,-110
e3,3,-120
b2,2,-110
g3,3,-154
b2,2,-110
h3,3,-158
b2,2,-110
c4,3,-90
b2,2,-90
g4,3,-119
b2,2,-90
d5,3,-94
b2,2,-90
b6,3,-100
b2,2,-90
e7,3,-103
b2,2,-90
a8,3,-35
b2,2,-35
g8,3,-98
b2,2,-35
e1,1,-37
c2,2,-Infinity
c1,3,-118
c2,2,-118
a2,3,-110
c2,2,-110
b2,3,-150
c2,2,-110
f2,3,-170
c2,2,-110
e3,3,-112
c2,2,-110
g3,3,-154
c2,2,-110
h3,3,-158
c2,2,-110
c4,3,-90
c2,2,-90
g4,3,-119
c2,2,-90
d5,3,-100
c2,2,-90
b6,3,-100
c2,2,-90
e7,3,-103
c2,2,-90
a8,3,-35
c2,2,-35
g8,3,-98
c2,2,-35
e1,1,-37
f2,2,-Infinity
a2,3,-130
f2,2,-130
b2,3,-170
f2,2,-130
c2,3,-142
f2,2,-130
e3,3,-140
f2,2,-130
g3,3,-182
f2,2,-130
h3,3,-178
f2,2,-130
c4,3,-110
f2,2,-110
g4,3,-131
f2,2,-110
d5,3,-114
f2,2,-110
b6,3,-120
f2,2,-110
e7,3,-123
f2,2,-110
a8,3,-55
f2,2,-55
g8,3,-118
f2,2,-55
e1,1,-55
e3,2,-Infinity
a2,3,-124
e3,2,-124
b2,3,-164
e3,2,-124
c2,3,-136
e3,2,-124
f2,3,-190
e3,2,-124
g3,3,-168
e3,2,-124
h3,3,-172
e3,2,-124
c4,3,-104
e3,2,-104
g4,3,-141
e3,2,-104
d5,3,-108
e3,2,-104
b6,3,-114
e3,2,-104
e7,3,-117
e3,2,-104
a8,3,-49
e3,2,-49
g8,3,-112
e3,2,-49
e1,1,-55
h3,2,-Infinity
a2,3,-140
h3,2,-140
b2,3,-180
h3,2,-140
c2,3,-152
h3,2,-140
f2,3,-206
h3,2,-140
e3,3,-142
h3,2,-140
g3,3,-184
h3,2,-140
c4,3,-120
h3,2,-120
g4,3,-149
h3,2,-120
d5,3,-124
h3,2,-120
b6,3,-130
h3,2,-120
e7,3,-141
h3,2,-120
a8,3,-65
h3,2,-65
g8,3,-128
h3,2,-65
e1,1,-65
g4,2,-Infinity
a2,3,-147
g4,2,-147
b2,3,-187
g4,2,-147
c2,3,-159
g4,2,-147
f2,3,-169
g4,2,-147
e3,3,-149
g4,2,-147
g3,3,-203
g4,2,-147
h3,3,-195
g4,2,-147
c4,3,-127
g4,2,-127
d5,3,-123
g4,2,-123
b6,3,-115
g4,2,-115
e7,3,-132
g4,2,-115
a8,3,-72
g4,2,-72
g8,3,-135
g4,2,-72
e1,1,-72
b5,2,-Infinity
a2,3,-111
b5,2,-111
c2,3,-123
b5,2,-111
f2,3,-177
b5,2,-111
e3,3,-113
b5,2,-111
g3,3,-155
b5,2,-111
h3,3,-159
b5,2,-111
c4,3,-103
b5,2,-103
g4,3,-120
b5,2,-103
d5,3,-93
b5,2,-93
b6,3,-101
b5,2,-93
e7,3,-120
b5,2,-93
a8,3,-36
b5,2,-36
g8,3,-99
b5,2,-36
e1,1,-72
d5,2,-Infinity
a2,3,-134
d5,2,-134
b2,3,-174
d5,2,-134
c2,3,-146
d5,2,-134
f2,3,-178
d5,2,-134
e3,3,-136
d5,2,-134
g3,3,-178
d5,2,-134
h3,3,-182
d5,2,-134
c4,3,-114
d5,2,-114
g4,3,-143
d5,2,-114
b5,3,-137
d5,2,-114
b6,3,-124
d5,2,-114
e7,3,-127
d5,2,-114
a8,3,-59
d5,2,-59
g8,3,-122
d5,2,-59
e1,1,-72
b6,2,-Infinity
a2,3,-68
b6,2,-68
b2,3,-108
b6,2,-68
c2,3,-80
b6,2,-68
f2,3,-134
b6,2,-68
e3,3,-70
b6,2,-68
g3,3,-112
b6,2,-68
h3,3,-116
b6,2,-68
c4,3,-48
b6,2,-48
g4,3,-77
b6,2,-48
d5,3,-66
b6,2,-48
e7,3,-61
b6,2,-48
a8,3,7
b6,2,7
g8,3,-56
b6,2,7
e1,1,-72
e7,2,-Infinity
a2,3,-69
e7,2,-69
b2,3,-109
e7,2,-69
c2,3,-81
e7,2,-69
f2,3,-135
e7,2,-69
e3,3,-71
e7,2,-69
g3,3,-113
e7,2,-69
h3,3,-117
e7,2,-69
c4,3,-49
e7,2,-49
g4,3,-78
e7,2,-49
d5,3,-53
e7,2,-49
b6,3,-37
e7,2,-37
a8,3,6
e7,2,6
g8,3,-105
e7,2,6
e1,1,-72
a8,2,-Infinity
a2,3,-171
a8,2,-171
b2,3,-211
a8,2,-171
c2,3,-183
a8,2,-171
f2,3,-237
a8,2,-171
e3,3,-173
a8,2,-171
g3,3,-215
a8,2,-171
h3,3,-219
a8,2,-171
c4,3,-151
a8,2,-151
g4,3,-180
a8,2,-151
d5,3,-169
a8,2,-151
b6,3,-161
a8,2,-151
e7,3,-164
a8,2,-151
g8,3,-159
a8,2,-151
e1,1,-151
g8,2,-Infinity
a2,3,-56
g8,2,-56
b2,3,-96
g8,2,-56
c2,3,-68
g8,2,-56
f2,3,-122
g8,2,-56
e3,3,-58
g8,2,-56
g3,3,-100
g8,2,-56
h3,3,-104
g8,2,-56
c4,3,-36
g8,2,-36
g4,3,-59
g8,2,-36
d5,3,-40
g8,2,-36
b6,3,-46
g8,2,-36
e7,3,-49
g8,2,-36
a8,3,19
g8,2,19
e1,1,-151
root,0,-151
a2,1,Infinity
c1,2,-Infinity
e1,3,-112
c1,2,-112
b2,3,-130
c1,2,-112
c2,3,-130
c1,2,-112
f2,3,-178
c1,2,-112
e3,3,-108
c1,2,-108
g3,3,-114
c1,2,-108
c4,3,-108
c1,2,-108
g4,3,-127
c1,2,-108
d5,3,-108
c1,2,-108
b6,3,-108
c1,2,-108
e7,3,-111
c1,2,-108
a8,3,-43
c1,2,-43
g8,3,-106
c1,2,-43
a2,1,-43
f2,2,-Infinity
e1,3,-130
f2,2,-130
b2,3,-148
f2,2,-130
c2,3,-216
f2,2,-130
e3,3,-126
f2,2,-126
g3,3,-132
f2,2,-126
c4,3,-126
f2,2,-126
g4,3,-137
f2,2,-126
d5,3,-126
f2,2,-126
b6,3,-126
f2,2,-126
e7,3,-129
f2,2,-126
a8,3,-61
f2,2,-61
g8,3,-124
f2,2,-61
a2,1,-61
e3,2,-Infinity
e1,3,-122
e3,2,-122
b2,3,-142
e3,2,-122
c2,3,-142
e3,2,-122
f2,3,-190
e3,2,-122
g3,3,-126
e3,2,-122
c4,3,-120
e3,2,-120
g4,3,-147
e3,2,-120
d5,3,-120
e3,2,-120
b6,3,-120
e3,2,-120
e7,3,-123
e3,2,-120
a8,3,-55
e3,2,-55
g8,3,-118
e3,2,-55
a2,1,-61
h3,2,-Infinity
e1,3,-140
h3,2,-140
b2,3,-158
h3,2,-140
c2,3,-158
h3,2,-140
f2,3,-206
h3,2,-140
e3,3,-136
h3,2,-136
g3,3,-142
h3,2,-136
c4,3,-136
h3,2,-136
g4,3,-155
h3,2,-136
d5,3,-136
h3,2,-136
b6,3,-136
h3,2,-136
e7,3,-147
h3,2,-136
a8,3,-71
h3,2,-71
g8,3,-134
h3,2,-71
a2,1,-71
g4,2,-Infinity
e1,3,-147
g4,2,-147
b2,3,-165
g4,2,-147
c2,3,-165
g4,2,-147
f2,3,-169
g4,2,-147
e3,3,-143
g4,2,-143
g3,3,-161
g4,2,-143
c4,3,-143
g4,2,-143
d5,3,-135
g4,2,-135
b6,3,-121
g4,2,-121
e7,3,-138
g4,2,-121
a8,3,-78
g4,2,-78
g8,3,-141
g4,2,-78
a2,1,-78
b5,2,-Infinity
e1,3,-117
b5,2,-117
b2,3,-121
b5,2,-117
c2,3,-129
b5,2,-117
f2,3,-177
b5,2,-117
e3,3,-107
b5,2,-107
g3,3,-113
b5,2,-107
c4,3,-119
b5,2,-107
g4,3,-126
b5,2,-107
d5,3,-105
b5,2,-105
b6,3,-107
b5,2,-105
e7,3,-116
b5,2,-105
a8,3,-42
b5,2,-42
g8,3,-105
b5,2,-42
a2,1,-78
d5,2,-Infinity
e1,3,-134
d5,2,-134
b2,3,-152
d5,2,-134
c2,3,-152
d5,2,-134
f2,3,-178
d5,2,-134
e3,3,-130
d5,2,-130
g3,3,-136
d5,2,-130
c4,3,-130
d5,2,-130
g4,3,-149
d5,2,-130
b5,3,-143
d5,2,-130
b6,3,-130
d5,2,-130
e7,3,-133
d5,2,-130
a8,3,-65
d5,2,-65
g8,3,-128
d5,2,-65
a2,1,-78
b6,2,-Infinity
e1,3,-68
b6,2,-68
b2,3,-86
b6,2,-68
c2,3,-86
b6,2,-68
f2,3,-134
b6,2,-68
e3,3,-64
b6,2,-64
g3,3,-70
b6,2,-64
c4,3,-64
b6,2,-64
g4,3,-83
b6,2,-64
d5,3,-78
b6,2,-64
e7,3,-67
b6,2,-64
a8,3,1
b6,2,1
g8,3,-62
b6,2,1
a2,1,-78
e7,2,-Infinity
e1,3,-69
e7,2,-69
b2,3,-115
e7,2,-69
c2,3,-87
e7,2,-69
f2,3,-135
e7,2,-69
e3,3,-65
e7,2,-65
g3,3,-71
e7,2,-65
c4,3,-65
e7,2,-65
g4,3,-84
e7,2,-65
d5,3,-65
e7,2,-65
b6,3,-43
e7,2,-43
a8,3,0
e7,2,0
g8,3,-111
e7,2,0
a2,1,-78
a8,2,-Infinity
e1,3,-171
a8,2,-171
b2,3,-189
a8,2,-171
c2,3,-189
a8,2,-171
f2,3,-237
a8,2,-171
e3,3,-167
a8,2,-167
g3,3,-173
a8,2,-167
c4,3,-167
a8,2,-167
g4,3,-186
a8,2,-167
d5,3,-181
a8,2,-167
b6,3,-167
a8,2,-167
e7,3,-170
a8,2,-167
g8,3,-165
a8,2,-165
a2,1,-165
g8,2,-Infinity
e1,3,-56
g8,2,-56
b2,3,-102
g8,2,-56
c2,3,-74
g8,2,-56
f2,3,-122
g8,2,-56
e3,3,-52
g8,2,-52
g3,3,-58
g8,2,-52
c4,3,-52
g8,2,-52
g4,3,-65
g8,2,-52
d5,3,-52
g8,2,-52
b6,3,-52
g8,2,-52
e7,3,-55
g8,2,-52
a8,3,13
g8,2,13
a2,1,-165
root,0,-151
b2,1,Infinity
c1,2,-Infinity
e1,3,-90
c1,2,-90
a2,3,-82
c1,2,-82
c2,3,-86
c1,2,-82
f2,3,-142
c1,2,-82
e3,3,-78
c1,2,-78
g3,3,-86
c1,2,-78
c4,3,-64
c1,2,-64
g4,3,-91
c1,2,-64
d5,3,-74
c1,2,-64
b6,3,-64
c1,2,-64
e7,3,-83
c1,2,-64
a8,3,-7
c1,2,-7
g8,3,-70
c1,2,-7
b2,1,-7
f2,2,-Infinity
e1,3,-156
f2,2,-156
a2,3,-148
f2,2,-148
c2,3,-220
f2,2,-148
e3,3,-144
f2,2,-144
g3,3,-152
f2,2,-144
c4,3,-130
f2,2,-130
g4,3,-149
f2,2,-130
d5,3,-140
f2,2,-130
b6,3,-130
f2,2,-130
e7,3,-149
f2,2,-130
a8,3,-73
f2,2,-73
g8,3,-136
f2,2,-73
b2,1,-73
e3,2,-Infinity
e1,3,-148
e3,2,-148
a2,3,-142
e3,2,-142
c2,3,-146
e3,2,-142
f2,3,-202
e3,2,-142
g3,3,-146
e3,2,-142
c4,3,-124
e3,2,-124
g4,3,-151
e3,2,-124
d5,3,-132
e3,2,-124
b6,3,-132
e3,2,-124
e7,3,-143
e3,2,-124
a8,3,-67
e3,2,-67
g8,3,-130
e3,2,-67
b2,1,-73
h3,2,-Infinity
e1,3,-166
h3,2,-166
a2,3,-158
h3,2,-158
c2,3,-162
h3,2,-158
f2,3,-218
h3,2,-158
e3,3,-154
h3,2,-154
g3,3,-162
h3,2,-154
c4,3,-140
h3,2,-140
g4,3,-167
h3,2,-140
d5,3,-150
h3,2,-140
b6,3,-140
h3,2,-140
e7,3,-159
h3,2,-140
a8,3,-83
h3,2,-83
g8,3,-146
h3,2,-83
b2,1,-83
c4,2,-Infinity
e1,3,-150
c4,2,-150
a2,3,-142
c4,2,-142
c2,3,-146
c4,2,-142
f2,3,-202
c4,2,-142
e3,3,-138
c4,2,-138
g3,3,-146
c4,2,-138
g4,3,-143
c4,2,-138
d5,3,-124
c4,2,-124
b6,3,-132
c4,2,-124
e7,3,-143
c4,2,-124
a8,3,-67
c4,2,-67
g8,3,-130
c4,2,-67
b2,1,-83
g4,2,-Infinity
e1,3,-173
g4,2,-173
a2,3,-165
g4,2,-165
c2,3,-169
g4,2,-165
f2,3,-195
g4,2,-165
e3,3,-161
g4,2,-161
g3,3,-181
g4,2,-161
c4,3,-147
g4,2,-147
d5,3,-149
g4,2,-147
b6,3,-139
g4,2,-139
e7,3,-158
g4,2,-139
a8,3,-90
g4,2,-90
g8,3,-153
g4,2,-90
b2,1,-90
d5,2,-Infinity
e1,3,-168
d5,2,-168
a2,3,-160
d5,2,-160
c2,3,-156
d5,2,-156
f2,3,-190
d5,2,-156
e3,3,-156
d5,2,-156
g3,3,-156
d5,2,-156
c4,3,-142
d5,2,-142
g4,3,-161
d5,2,-142
b6,3,-150
d5,2,-142
e7,3,-161
d5,2,-142
a8,3,-85
d5,2,-85
g8,3,-148
d5,2,-85
b2,1,-90
b6,2,-Infinity
e1,3,-94
b6,2,-94
a2,3,-86
b6,2,-86
c2,3,-90
b6,2,-86
f2,3,-146
b6,2,-86
e3,3,-82
b6,2,-82
g3,3,-90
b6,2,-82
c4,3,-68
b6,2,-68
g4,3,-95
b6,2,-68
d5,3,-92
b6,2,-68
e7,3,-87
b6,2,-68
a8,3,-11
b6,2,-11
g8,3,-74
b6,2,-11
b2,1,-90
e7,2,-Infinity
e1,3,-101
e7,2,-101
a2,3,-93
e7,2,-93
c2,3,-97
e7,2,-93
f2,3,-153
e7,2,-93
e3,3,-89
e7,2,-89
g3,3,-97
e7,2,-89
c4,3,-75
e7,2,-75
g4,3,-102
e7,2,-75
d5,3,-85
e7,2,-75
b6,3,-75
e7,2,-75
a8,3,-18
e7,2,-18
g8,3,-137
e7,2,-18
b2,1,-90
a8,2,-Infinity
e1,3,-197
a8,2,-197
a2,3,-189
a8,2,-189
c2,3,-193
a8,2,-189
f2,3,-249
a8,2,-189
e3,3,-185
a8,2,-185
g3,3,-193
a8,2,-185
c4,3,-171
a8,2,-171
g4,3,-198
a8,2,-171
d5,3,-195
a8,2,-171
b6,3,-171
a8,2,-171
e7,3,-190
a8,2,-171
g8,3,-177
a8,2,-171
b2,1,-171
g8,2,-Infinity
e1,3,-82
g8,2,-82
a2,3,-74
g8,2,-74
c2,3,-78
g8,2,-74
f2,3,-134
g8,2,-74
e3,3,-70
g8,2,-70
g3,3,-78
g8,2,-70
c4,3,-56
g8,2,-56
g4,3,-77
g8,2,-56
d5,3,-66
g8,2,-56
b6,3,-56
g8,2,-56
e7,3,-75
g8,2,-56
a8,3,1
g8,2,1
b2,1,-171
root,0,-151
c2,1,Infinity
c1,2,-Infinity
e1,3,-116
c1,2,-116
a2,3,-122
c1,2,-116
b2,3,-126
c1,2,-116
f2,3,-182
c1,2,-116
g3,3,-118
c1,2,-116
c4,3,-104
c1,2,-104
g4,3,-131
c1,2,-104
d5,3,-114
c1,2,-104
b6,3,-112
c1,2,-104
e7,3,-115
c1,2,-104
a8,3,-47
c1,2,-47
g8,3,-110
c1,2,-47
c2,1,-47
b2,2,-Infinity
e1,3,-100
b2,2,-100
a2,3,-106
b2,2,-100
f2,3,-166
