*XO*OOOO
XXXOXX*O
OOX*X**X
OOXOXXOX
*OOXOXO*
XOXXO*OX
**X*OXX*
***O*XX*
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
d1,2,-Infinity
h1,3,161
d1,2,161
g2,3,0
d1,2,161
d3,3,50
d1,2,161
g3,3,42
d1,2,161
h5,3,72
d1,2,161
d7,3,57
d1,2,161
h7,3,-26
d1,2,161
b8,3,30
d1,2,161
c8,3,52
d1,2,161
e8,3,36
d1,2,161
a1,1,161
h1,2,-Infinity
d1,3,-13
h1,2,-13
g2,3,-49
h1,2,-13
d3,3,-5
h1,2,-5
f3,3,-12
h1,2,-5
g3,3,-15
h1,2,-5
d7,3,8
h1,2,8
h7,3,-75
h1,2,8
b8,3,-19
h1,2,8
c8,3,3
h1,2,8
e8,3,-13
h1,2,8
a1,1,8
d3,2,-Infinity
d1,3,66
d3,2,66
h1,3,151
d3,2,151
g2,3,30
d3,2,151
f3,3,83
d3,2,151
g3,3,64
d3,2,151
h5,3,102
d3,2,151
d7,3,95
d3,2,151
h7,3,4
d3,2,151
b8,3,60
d3,2,151
c8,3,82
d3,2,151
e8,3,66
d3,2,151
a1,1,8
g3,2,-Infinity
d1,3,94
g3,2,94
h1,3,179
g3,2,179
g2,3,58
g3,2,179
d3,3,94
g3,2,179
f3,3,95
g3,2,179
h5,3,132
g3,2,179
d7,3,115
g3,2,179
h7,3,32
g3,2,179
b8,3,88
g3,2,179
c8,3,110
g3,2,179
a1,1,8
a5,2,-Infinity
d1,3,70
a5,2,70
h1,3,155
a5,2,155
g2,3,34
a5,2,155
d3,3,70
a5,2,155
f3,3,71
a5,2,155
g3,3,68
a5,2,155
h5,3,106
a5,2,155
a7,3,92
a5,2,155
b7,3,34
a5,2,155
d7,3,85
a5,2,155
h7,3,8
a5,2,155
b8,3,64
a5,2,155
c8,3,102
a5,2,155
e8,3,70
a5,2,155
a1,1,8
h5,2,-Infinity
d1,3,78
h5,2,78
h1,3,163
h5,2,163
g2,3,42
h5,2,163
d3,3,78
h5,2,163
f3,3,79
h5,2,163
g3,3,76
h5,2,163
d7,3,99
h5,2,163
h7,3,72
h5,2,163
b8,3,72
h5,2,163
c8,3,94
h5,2,163
a1,1,8
f6,2,-Infinity
d1,3,69
f6,2,69
h1,3,154
f6,2,154
g2,3,33
f6,2,154
d3,3,69
f6,2,154
f3,3,70
f6,2,154
g3,3,67
f6,2,154
h5,3,107
f6,2,154
d7,3,106
f6,2,154
h7,3,7
f6,2,154
b8,3,63
f6,2,154
c8,3,85
f6,2,154
h8,3,136
f6,2,154
a1,1,8
a7,2,-Infinity
d1,3,78
a7,2,78
h1,3,163
a7,2,163
g2,3,42
a7,2,163
d3,3,86
a7,2,163
f3,3,79
a7,2,163
g3,3,76
a7,2,163
a5,3,70
a7,2,163
h5,3,114
a7,2,163
b7,3,48
a7,2,163
d7,3,91
a7,2,163
h7,3,16
a7,2,163
b8,3,72
a7,2,163
c8,3,110
a7,2,163
e8,3,78
a7,2,163
a1,1,8
d7,2,-Infinity
d1,3,71
d7,2,71
h1,3,156
d7,2,156
g2,3,35
d7,2,156
d3,3,79
d7,2,156
f3,3,72
d7,2,156
g3,3,69
d7,2,156
h5,3,107
d7,2,156
f6,3,104
d7,2,156
b8,3,65
d7,2,156
c8,3,97
d7,2,156
e8,3,81
d7,2,156
a1,1,8
h7,2,-Infinity
d1,3,86
h7,2,86
h1,3,171
h7,2,171
g2,3,50
h7,2,171
d3,3,86
h7,2,171
f3,3,87
h7,2,171
g3,3,84
h7,2,171
h5,3,122
h7,2,171
d7,3,107
h7,2,171
b8,3,80
h7,2,171
c8,3,102
h7,2,171
a1,1,8
e8,2,-Infinity
d1,3,62
e8,2,62
h1,3,147
e8,2,147
g2,3,26
e8,2,147
d3,3,70
e8,2,147
f3,3,63
e8,2,147
g3,3,52
e8,2,147
h5,3,98
e8,2,147
f6,3,95
e8,2,147
d7,3,99
e8,2,147
c8,3,78
e8,2,147
h8,3,175
e8,2,175
a1,1,8
root,0,8
d1,1,Infinity
h1,2,-Infinity
a1,3,-13
h1,2,-13
g2,3,-84
h1,2,-13
d3,3,-18
h1,2,-13
f3,3,-53
h1,2,-13
g3,3,-50
h1,2,-13
d7,3,-27
h1,2,-13
h7,3,-110
h1,2,-13
b8,3,-54
h1,2,-13
c8,3,-32
h1,2,-13
e8,3,-48
h1,2,-13
d1,1,-13
d3,2,-Infinity
a1,3,74
d3,2,74
h1,3,124
d3,2,124
g2,3,3
d3,2,124
f3,3,64
d3,2,124
g3,3,37
d3,2,124
h5,3,75
d3,2,124
d7,3,68
d3,2,124
h7,3,-23
d3,2,124
b8,3,33
d3,2,124
c8,3,55
d3,2,124
e8,3,39
d3,2,124
d1,1,-13
g3,2,-Infinity
a1,3,94
g3,2,94
h1,3,144
g3,2,144
g2,3,23
g3,2,144
d3,3,81
g3,2,144
f3,3,54
g3,2,144
h5,3,97
g3,2,144
d7,3,80
g3,2,144
h7,3,-3
g3,2,144
b8,3,53
g3,2,144
c8,3,75
g3,2,144
d1,1,-13
a5,2,-Infinity
a1,3,64
a5,2,64
h1,3,98
a5,2,98
g2,3,-23
a5,2,98
d3,3,35
a5,2,98
f3,3,8
a5,2,98
g3,3,11
a5,2,98
h5,3,49
a5,2,98
a7,3,7
a5,2,98
b7,3,-29
a5,2,98
d7,3,20
a5,2,98
h7,3,-49
a5,2,98
b8,3,7
a5,2,98
c8,3,59
a5,2,98
e8,3,13
a5,2,98
d1,1,-13
h5,2,-Infinity
a1,3,78
h5,2,78
h1,3,128
h5,2,128
g2,3,7
h5,2,128
d3,3,65
h5,2,128
f3,3,38
h5,2,128
g3,3,41
h5,2,128
d7,3,64
h5,2,128
h7,3,37
h5,2,128
b8,3,37
h5,2,128
c8,3,59
h5,2,128
d1,1,-13
f6,2,-Infinity
a1,3,103
f6,2,103
h1,3,119
f6,2,119
g2,3,-2
f6,2,119
d3,3,56
f6,2,119
f3,3,29
f6,2,119
g3,3,24
f6,2,119
h5,3,72
f6,2,119
d7,3,63
f6,2,119
h7,3,-28
f6,2,119
c8,3,50
f6,2,119
d1,1,-13
a7,2,-Infinity
a1,3,78
a7,2,78
h1,3,128
a7,2,128
g2,3,7
a7,2,128
d3,3,73
a7,2,128
f3,3,38
a7,2,128
g3,3,41
a7,2,128
a5,3,35
a7,2,128
h5,3,79
a7,2,128
b7,3,13
a7,2,128
d7,3,56
a7,2,128
h7,3,-19
a7,2,128
b8,3,37
a7,2,128
c8,3,89
a7,2,128
e8,3,43
a7,2,128
d1,1,-13
b7,2,-Infinity
a1,3,122
b7,2,122
h1,3,172
b7,2,172
g2,3,51
b7,2,172
d3,3,101
b7,2,172
f3,3,82
b7,2,172
g3,3,85
b7,2,172
a5,3,81
b7,2,172
h5,3,123
b7,2,172
a7,3,73
b7,2,172
d7,3,102
b7,2,172
h7,3,25
b7,2,172
b8,3,81
b7,2,172
c8,3,103
b7,2,172
e8,3,87
b7,2,172
d1,1,-13
d7,2,-Infinity
a1,3,71
d7,2,71
h1,3,121
d7,2,121
g2,3,0
d7,2,121
d3,3,66
d7,2,121
f3,3,31
d7,2,121
g3,3,34
d7,2,121
h5,3,72
d7,2,121
f6,3,69
d7,2,121
b8,3,30
d7,2,121
c8,3,62
d7,2,121
e8,3,46
d7,2,121
d1,1,-13
h7,2,-Infinity
a1,3,86
h7,2,86
h1,3,136
h7,2,136
g2,3,15
h7,2,136
d3,3,73
h7,2,136
f3,3,46
h7,2,136
g3,3,49
h7,2,136
h5,3,87
h7,2,136
d7,3,72
h7,2,136
b8,3,45
h7,2,136
c8,3,67
h7,2,136
d1,1,-13
e8,2,-Infinity
a1,3,62
e8,2,62
h1,3,112
e8,2,112
g2,3,-9
e8,2,112
d3,3,57
e8,2,112
f3,3,22
e8,2,112
g3,3,17
e8,2,112
h5,3,63
e8,2,112
f6,3,60
e8,2,112
d7,3,64
e8,2,112
c8,3,43
e8,2,112
h8,3,140
e8,2,140
d1,1,-13
root,0,8
h1,1,Infinity
d1,2,-Infinity
a1,3,161
d1,2,161
g2,3,62
d1,2,161
d3,3,128
d1,2,161
f3,3,99
d1,2,161
g3,3,96
d1,2,161
h5,3,134
d1,2,161
d7,3,119
d1,2,161
h7,3,36
d1,2,161
b8,3,92
d1,2,161
c8,3,114
d1,2,161
e8,3,98
d1,2,161
h1,1,161
d3,2,-Infinity
a1,3,151
d3,2,151
d1,3,116
d3,2,151
g2,3,80
d3,2,151
f3,3,147
d3,2,151
g3,3,114
d3,2,151
h5,3,152
d3,2,152
d7,3,145
d3,2,152
h7,3,54
d3,2,152
b8,3,110
d3,2,152
c8,3,132
d3,2,152
e8,3,116
d3,2,152
h1,1,152
g3,2,-Infinity
a1,3,179
g3,2,179
d1,3,144
g3,2,179
g2,3,108
g3,2,179
d3,3,166
g3,2,179
f3,3,145
g3,2,179
h5,3,182
g3,2,182
d7,3,165
g3,2,182
h7,3,82
g3,2,182
b8,3,138
g3,2,182
c8,3,160
g3,2,182
h1,1,152
a5,2,-Infinity
a1,3,149
a5,2,149
d1,3,98
a5,2,149
g2,3,62
a5,2,149
d3,3,120
a5,2,149
f3,3,99
a5,2,149
g3,3,96
a5,2,149
h5,3,134
a5,2,149
a7,3,92
a5,2,149
b7,3,56
a5,2,149
d7,3,105
a5,2,149
h7,3,36
a5,2,149
b8,3,92
a5,2,149
c8,3,136
a5,2,149
e8,3,98
a5,2,149
h1,1,149
h5,2,-Infinity
a1,3,163
h5,2,163
d1,3,128
h5,2,163
g2,3,92
h5,2,163
d3,3,150
h5,2,163
f3,3,129
h5,2,163
g3,3,126
h5,2,163
d7,3,149
h5,2,163
h7,3,122
h5,2,163
b8,3,122
h5,2,163
c8,3,144
h5,2,163
h1,1,149
f6,2,-Infinity
a1,3,188
f6,2,188
d1,3,119
f6,2,188
g2,3,83
f6,2,188
d3,3,141
f6,2,188
f3,3,120
f6,2,188
g3,3,109
f6,2,188
h5,3,157
f6,2,188
d7,3,148
f6,2,188
h7,3,57
f6,2,188
c8,3,135
f6,2,188
h1,1,149
a7,2,-Infinity
a1,3,163
a7,2,163
d1,3,128
a7,2,163
g2,3,92
a7,2,163
d3,3,158
a7,2,163
f3,3,129
a7,2,163
g3,3,126
a7,2,163
a5,3,120
a7,2,163
h5,3,164
a7,2,164
b7,3,98
a7,2,164
d7,3,141
a7,2,164
h7,3,66
a7,2,164
b8,3,122
a7,2,164
c8,3,166
a7,2,166
e8,3,128
a7,2,166
h1,1,149
b7,2,-Infinity
a1,3,207
b7,2,207
d1,3,164
b7,2,207
g2,3,136
b7,2,207
d3,3,186
b7,2,207
f3,3,173
b7,2,207
g3,3,170
b7,2,207
a5,3,166
b7,2,207
h5,3,208
b7,2,208
a7,3,158
b7,2,208
d7,3,187
b7,2,208
h7,3,110
b7,2,208
b8,3,166
b7,2,208
c8,3,188
b7,2,208
e8,3,172
b7,2,208
h1,1,149
d7,2,-Infinity
a1,3,156
d7,2,156
d1,3,121
d7,2,156
g2,3,85
d7,2,156
d3,3,151
d7,2,156
f3,3,122
d7,2,156
g3,3,119
d7,2,156
h5,3,157
d7,2,157
f6,3,154
d7,2,157
b8,3,115
d7,2,157
c8,3,147
d7,2,157
e8,3,131
d7,2,157
h1,1,149
h7,2,-Infinity
a1,3,171
h7,2,171
d1,3,136
h7,2,171
g2,3,100
h7,2,171
d3,3,158
h7,2,171
f3,3,137
h7,2,171
g3,3,134
h7,2,171
h5,3,172
h7,2,172
d7,3,157
h7,2,172
b8,3,130
h7,2,172
c8,3,152
h7,2,172
h1,1,149
e8,2,-Infinity
a1,3,147
e8,2,147
d1,3,112
e8,2,147
g2,3,76
e8,2,147
d3,3,142
e8,2,147
f3,3,113
e8,2,147
g3,3,102
e8,2,147
h5,3,148
e8,2,148
f6,3,145
e8,2,148
d7,3,149
e8,2,149
c8,3,128
e8,2,149
h8,3,225
e8,2,225
h1,1,149
root,0,149
g2,1,Infinity
d1,2,-Infinity
a1,3,0
d1,2,0
d3,3,-15
d1,2,0
g3,3,-45
d1,2,0
h5,3,-15
d1,2,0
d7,3,-30
d1,2,0
h7,3,-113
d1,2,0
b8,3,-57
d1,2,0
c8,3,-35
d1,2,0
e8,3,-51
d1,2,0
g2,1,0
h1,2,-Infinity
a1,3,-49
h1,2,-49
d1,3,-84
h1,2,-49
d3,3,-48
h1,2,-48
g3,3,-78
h1,2,-48
d7,3,-63
h1,2,-48
h7,3,-146
h1,2,-48
b8,3,-90
h1,2,-48
c8,3,-68
h1,2,-48
e8,3,-84
h1,2,-48
g2,1,-48
d3,2,-Infinity
a1,3,30
d3,2,30
d1,3,-5
d3,2,30
h1,3,80
d3,2,80
f3,3,34
d3,2,80
g3,3,1
d3,2,80
h5,3,31
d3,2,80
d7,3,24
d3,2,80
h7,3,-67
d3,2,80
b8,3,-11
d3,2,80
c8,3,11
d3,2,80
e8,3,-5
d3,2,80
g2,1,-48
g3,2,-Infinity
a1,3,106
g3,2,106
d1,3,71
g3,2,106
h1,3,156
g3,2,156
d3,3,99
g3,2,156
h5,3,109
g3,2,156
d7,3,92
g3,2,156
h7,3,9
