XO**X*XX
***XO*OO
O*XO*OX*
O*XOO**O
*XO*OOX*
**OOOO**
OXOO*XO*
**OOOO*X
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
c1,2,-Infinity
b2,3,-306
c1,2,-306
c2,3,-278
c1,2,-278
f2,3,-308
c1,2,-278
b3,3,-286
c1,2,-278
h3,3,-296
c1,2,-278
b4,3,-277
c1,2,-277
f4,3,-300
c1,2,-277
g4,3,-307
c1,2,-277
a5,3,-296
c1,2,-277
h5,3,-296
c1,2,-277
a6,3,-286
c1,2,-277
e7,3,-305
c1,2,-277
a8,3,-245
c1,2,-245
c8,3,-262
c1,2,-245
d1,1,-245
f1,2,-Infinity
b2,3,-312
f1,2,-312
c2,3,-276
f1,2,-276
f2,3,-320
f1,2,-276
h3,3,-302
f1,2,-276
b4,3,-283
f1,2,-276
f4,3,-306
f1,2,-276
g4,3,-313
f1,2,-276
a5,3,-302
f1,2,-276
h5,3,-302
f1,2,-276
e7,3,-311
f1,2,-276
a8,3,-251
f1,2,-251
c8,3,-268
f1,2,-251
d1,1,-251
e3,2,-Infinity
f1,3,-292
e3,2,-292
b2,3,-322
e3,2,-292
c2,3,-286
e3,2,-286
f2,3,-322
e3,2,-286
b4,3,-293
e3,2,-286
f4,3,-308
e3,2,-286
g4,3,-315
e3,2,-286
a5,3,-312
e3,2,-286
d5,3,-298
e3,2,-286
h5,3,-312
e3,2,-286
e7,3,-329
e3,2,-286
a8,3,-261
e3,2,-261
c8,3,-278
e3,2,-261
d1,1,-261
h3,2,-Infinity
f1,3,-264
h3,2,-264
b2,3,-294
h3,2,-264
c2,3,-266
h3,2,-264
f2,3,-296
h3,2,-264
b3,3,-274
h3,2,-264
b4,3,-265
h3,2,-264
g4,3,-295
h3,2,-264
a5,3,-284
h3,2,-264
h5,3,-284
h3,2,-264
a6,3,-274
h3,2,-264
e7,3,-293
h3,2,-264
a8,3,-233
h3,2,-233
c8,3,-250
h3,2,-233
d1,1,-261
f4,2,-Infinity
f1,3,-298
f4,2,-298
b2,3,-328
f4,2,-298
c2,3,-300
f4,2,-298
f2,3,-330
f4,2,-298
b3,3,-308
f4,2,-298
e3,3,-314
f4,2,-298
h3,3,-318
f4,2,-298
b4,3,-307
f4,2,-298
g4,3,-329
f4,2,-298
a5,3,-318
f4,2,-298
d5,3,-318
f4,2,-298
h5,3,-310
f4,2,-298
a6,3,-308
f4,2,-298
g6,3,-292
f4,2,-292
e7,3,-319
f4,2,-292
a8,3,-267
f4,2,-267
c8,3,-286
f4,2,-267
d1,1,-267
g4,2,-Infinity
f1,3,-277
g4,2,-277
b2,3,-307
g4,2,-277
c2,3,-279
g4,2,-277
f2,3,-309
g4,2,-277
b3,3,-287
g4,2,-277
h3,3,-297
g4,2,-277
b4,3,-278
g4,2,-277
f4,3,-299
g4,2,-277
a5,3,-297
g4,2,-277
h5,3,-295
g4,2,-277
a6,3,-287
g4,2,-277
g6,3,-313
g4,2,-277
e7,3,-306
g4,2,-277
a8,3,-246
g4,2,-246
c8,3,-265
g4,2,-246
d1,1,-267
d5,2,-Infinity
f1,3,-276
d5,2,-276
b2,3,-306
d5,2,-276
c2,3,-256
d5,2,-256
f2,3,-356
d5,2,-256
b3,3,-286
d5,2,-256
b4,3,-277
d5,2,-256
f4,3,-284
d5,2,-256
g4,3,-285
d5,2,-256
a6,3,-286
d5,2,-256
b6,3,-262
d5,2,-256
g6,3,-292
d5,2,-256
e7,3,-313
d5,2,-256
c8,3,-264
d5,2,-256
d1,1,-267
b6,2,-Infinity
f1,3,-282
b6,2,-282
b2,3,-312
b6,2,-282
c2,3,-284
b6,2,-282
f2,3,-314
b6,2,-282
b3,3,-292
b6,2,-282
h3,3,-302
b6,2,-282
b4,3,-283
b6,2,-282
f4,3,-306
b6,2,-282
g4,3,-313
b6,2,-282
a5,3,-302
b6,2,-282
h5,3,-302
b6,2,-282
a6,3,-270
b6,2,-270
e7,3,-359
b6,2,-270
b8,3,-310
b6,2,-270
c8,3,-262
b6,2,-262
d1,1,-267
g6,2,-Infinity
f1,3,-282
g6,2,-282
b2,3,-312
g6,2,-282
c2,3,-284
g6,2,-282
f2,3,-314
g6,2,-282
b3,3,-292
g6,2,-282
h3,3,-302
g6,2,-282
b4,3,-283
g6,2,-282
f4,3,-306
g6,2,-282
g4,3,-327
g6,2,-282
a5,3,-302
g6,2,-282
h5,3,-302
g6,2,-282
a6,3,-292
g6,2,-282
h6,3,-280
g6,2,-280
e7,3,-303
g6,2,-280
h7,3,-318
g6,2,-280
a8,3,-251
g6,2,-251
c8,3,-268
g6,2,-251
d1,1,-267
e7,2,-Infinity
f1,3,-283
e7,2,-283
b2,3,-313
e7,2,-283
c2,3,-285
e7,2,-283
f2,3,-315
e7,2,-283
b3,3,-293
e7,2,-283
h3,3,-303
e7,2,-283
b4,3,-284
e7,2,-283
f4,3,-307
e7,2,-283
g4,3,-314
e7,2,-283
a5,3,-303
e7,2,-283
h5,3,-303
e7,2,-283
a6,3,-293
e7,2,-283
g6,3,-285
e7,2,-283
a8,3,-252
e7,2,-252
c8,3,-269
e7,2,-252
d1,1,-267
h7,2,-Infinity
f1,3,-216
h7,2,-216
b2,3,-246
h7,2,-216
c2,3,-218
h7,2,-216
f2,3,-248
h7,2,-216
b3,3,-226
h7,2,-216
h3,3,-236
h7,2,-216
b4,3,-217
h7,2,-216
f4,3,-240
