OO*XOXOX
*X*OO*OO
X*O*O*O*
XXO*O*O*
XOO*XOXO
*XOX*XOX
**OOXXOO
OX*OOOXO
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
c2,2,-Infinity
a2,3,80
c2,2,80
b3,3,78
c2,2,80
d3,3,148
c2,2,148
d4,3,124
c2,2,148
f4,3,156
c2,2,156
h4,3,152
c2,2,156
d5,3,160
c2,2,160
c6,3,173
c2,2,173
e6,3,156
c2,2,173
b7,3,112
c2,2,173
c8,3,136
c2,2,173
c1,1,173
d3,2,-Infinity
c2,3,160
d3,2,160
f2,3,146
d3,2,160
b3,3,98
d3,2,160
f3,3,157
d3,2,160
d4,3,178
d3,2,178
f4,3,168
d3,2,178
h4,3,164
d3,2,178
d5,3,172
d3,2,178
c6,3,179
d3,2,179
e6,3,168
d3,2,179
b7,3,124
d3,2,179
c8,3,148
d3,2,179
c1,1,173
f3,2,-Infinity
f2,3,143
f3,2,143
b3,3,137
f3,2,143
d3,3,207
f3,2,207
d4,3,209
f3,2,209
f4,3,207
f3,2,209
h4,3,203
f3,2,209
d5,3,211
f3,2,211
c6,3,218
f3,2,218
e6,3,207
f3,2,218
b7,3,163
f3,2,218
c8,3,187
f3,2,218
c1,1,173
h3,2,-Infinity
b3,3,152
h3,2,152
d3,3,222
h3,2,222
d4,3,224
h3,2,224
f4,3,222
h3,2,224
h4,3,218
h3,2,224
d5,3,226
h3,2,226
c6,3,233
h3,2,233
e6,3,222
h3,2,233
b7,3,178
h3,2,233
c8,3,202
h3,2,233
c1,1,173
d4,2,-Infinity
b3,3,82
d4,2,82
d3,3,152
d4,2,152
f4,3,152
d4,2,152
h4,3,148
d4,2,152
d5,3,156
d4,2,156
e6,3,152
d4,2,156
a7,3,132
d4,2,156
b7,3,108
d4,2,156
c8,3,132
d4,2,156
c1,1,156
f4,2,-Infinity
b3,3,84
f4,2,84
d3,3,154
f4,2,154
f3,3,171
f4,2,171
d4,3,156
f4,2,171
h4,3,150
f4,2,171
d5,3,160
f4,2,171
c6,3,165
f4,2,171
e6,3,162
f4,2,171
b7,3,110
f4,2,171
c8,3,134
f4,2,171
c1,1,156
h4,2,-Infinity
b3,3,78
h4,2,78
d3,3,148
h4,2,148
h3,3,184
h4,2,184
d4,3,150
h4,2,184
f4,3,148
h4,2,184
d5,3,152
h4,2,184
c6,3,159
h4,2,184
e6,3,148
h4,2,184
b7,3,104
h4,2,184
c8,3,128
h4,2,184
c1,1,156
a6,2,-Infinity
b3,3,100
a6,2,100
d4,3,166
a6,2,166
f4,3,164
a6,2,166
h4,3,160
a6,2,166
d5,3,160
a6,2,166
c6,3,175
a6,2,175
e6,3,164
a6,2,175
c8,3,144
a6,2,175
c1,1,156
c6,2,-Infinity
b3,3,101
c6,2,101
d4,3,167
c6,2,167
f4,3,165
c6,2,167
h4,3,161
c6,2,167
d5,3,161
c6,2,167
e6,3,165
c6,2,167
c8,3,145
c6,2,167
c1,1,156
b7,2,-Infinity
b3,3,134
b7,2,134
d3,3,204
b7,2,204
d4,3,206
b7,2,206
h4,3,200
b7,2,206
d5,3,202
b7,2,206
c6,3,161
b7,2,206
e6,3,204
b7,2,206
a7,3,108
b7,2,206
c8,3,184
b7,2,206
c1,1,156
c8,2,-Infinity
b3,3,48
c8,2,48
d3,3,118
c8,2,118
d4,3,120
c8,2,120
f4,3,118
c8,2,120
d5,3,122
c8,2,122
c6,3,129
c8,2,129
e6,3,124
c8,2,129
b7,3,74
c8,2,129
c1,1,129
root,0,129
b3,1,Infinity
c1,2,-Infinity
d3,3,128
c1,2,128
d4,3,138
c1,2,138
f4,3,128
c1,2,138
h4,3,124
c1,2,138
d5,3,140
c1,2,140
c6,3,139
c1,2,140
e6,3,128
c1,2,140
b7,3,84
c1,2,140
c8,3,108
c1,2,140
b3,1,140
a2,2,-Infinity
c1,3,112
a2,2,112
d3,3,104
a2,2,112
d4,3,114
a2,2,114
f4,3,104
a2,2,114
h4,3,100
a2,2,114
d5,3,108
a2,2,114
a6,3,124
a2,2,124
c6,3,115
a2,2,124
e6,3,104
a2,2,124
b7,3,60
a2,2,124
c8,3,84
a2,2,124
b3,1,124
c2,2,-Infinity
c1,3,94
c2,2,94
d3,3,78
c2,2,94
d4,3,110
c2,2,110
f4,3,86
c2,2,110
h4,3,82
c2,2,110
d5,3,90
c2,2,110
e6,3,86
c2,2,110
b7,3,42
c2,2,110
c8,3,66
c2,2,110
b3,1,110
d3,2,-Infinity
c1,3,92
d3,2,92
c2,3,82
d3,2,92
d4,3,114
d3,2,114
f4,3,90
d3,2,114
h4,3,86
d3,2,114
d5,3,94
d3,2,114
e6,3,90
d3,2,114
b7,3,46
d3,2,114
c8,3,70
d3,2,114
b3,1,110
f3,2,-Infinity
c1,3,143
f3,2,143
f2,3,65
f3,2,143
d3,3,135
f3,2,143
d4,3,145
f3,2,145
f4,3,135
f3,2,145
h4,3,131
f3,2,145
d5,3,147
f3,2,147
c6,3,146
f3,2,147
e6,3,135
f3,2,147
b7,3,91
f3,2,147
c8,3,115
f3,2,147
b3,1,110
h3,2,-Infinity
c1,3,152
h3,2,152
d3,3,144
h3,2,152
d4,3,154
h3,2,154
f4,3,144
h3,2,154
h4,3,140
h3,2,154
d5,3,156
h3,2,156
c6,3,155
h3,2,156
e6,3,144
h3,2,156
b7,3,100
h3,2,156
c8,3,124
h3,2,156
b3,1,110
f4,2,-Infinity
c1,3,84
f4,2,84
d3,3,76
f4,2,84
f3,3,93
f4,2,93
d4,3,86
f4,2,93
h4,3,72
f4,2,93
d5,3,90
f4,2,93
c6,3,87
f4,2,93
e6,3,84
f4,2,93
b7,3,32
f4,2,93
c8,3,56
f4,2,93
b3,1,93
h4,2,-Infinity
c1,3,78
h4,2,78
d3,3,70
h4,2,78
h3,3,106
h4,2,106
d4,3,80
h4,2,106
f4,3,70
h4,2,106
d5,3,82
h4,2,106
c6,3,81
h4,2,106
e6,3,70
h4,2,106
b7,3,26
h4,2,106
c8,3,50
h4,2,106
b3,1,93
a6,2,-Infinity
c1,3,94
a6,2,94
d4,3,96
a6,2,96
f4,3,86
a6,2,96
h4,3,82
a6,2,96
d5,3,90
a6,2,96
c6,3,97
a6,2,97
e6,3,86
a6,2,97
b7,3,36
a6,2,97
c8,3,66
a6,2,97
b3,1,93
c6,2,-Infinity
c1,3,95
c6,2,95
d4,3,97
c6,2,97
f4,3,87
c6,2,97
h4,3,83
c6,2,97
d5,3,91
c6,2,97
e6,3,87
c6,2,97
b7,3,37
c6,2,97
c8,3,67
c6,2,97
b3,1,93
b7,2,-Infinity
c1,3,134
b7,2,134
d3,3,126
b7,2,134
d4,3,136
b7,2,136
h4,3,122
b7,2,136
d5,3,132
b7,2,136
c6,3,83
b7,2,136
e6,3,126
b7,2,136
a7,3,30
b7,2,136
c8,3,106
b7,2,136
b3,1,93
c8,2,-Infinity
c1,3,48
c8,2,48
d3,3,40
c8,2,48
d4,3,50
c8,2,50
f4,3,40
c8,2,50
d5,3,52
c8,2,52
c6,3,51
c8,2,52
e6,3,46
c8,2,52
b7,3,-4
c8,2,52
b3,1,52
root,0,129
d3,1,Infinity
c2,2,-Infinity
c1,3,148
c2,2,148
a2,3,64
c2,2,148
b3,3,84
c2,2,148
d4,3,108
c2,2,148
f4,3,140
c2,2,148
h4,3,136
c2,2,148
d5,3,144
c2,2,148
e6,3,140
c2,2,148
b7,3,96
c2,2,148
c8,3,120
c2,2,148
d3,1,148
f3,2,-Infinity
c1,3,213
f3,2,213
f2,3,135
f3,2,213
b3,3,135
f3,2,213
d4,3,207
f3,2,213
f4,3,205
f3,2,213
h4,3,201
f3,2,213
d5,3,209
f3,2,213
c6,3,208
f3,2,213
e6,3,205
f3,2,213
b7,3,161
f3,2,213
c8,3,185
f3,2,213
d3,1,148
h3,2,-Infinity
c1,3,222
h3,2,222
b3,3,144
h3,2,222
d4,3,216
h3,2,222
f4,3,214
h3,2,222
h4,3,210
h3,2,222
d5,3,218
h3,2,222
c6,3,217
h3,2,222
e6,3,214
h3,2,222
b7,3,170
h3,2,222
c8,3,194
h3,2,222
d3,1,148
d4,2,-Infinity
c1,3,136
d4,2,136
c2,3,120
d4,2,136
b3,3,86
d4,2,136
f4,3,134
d4,2,136
h4,3,130
d4,2,136
d5,3,138
d4,2,138
e6,3,134
d4,2,138
a7,3,114
d4,2,138
b7,3,90
d4,2,138
c8,3,114
d4,2,138
d3,1,138
f4,2,-Infinity
c1,3,154
f4,2,154
b3,3,76
f4,2,154
f3,3,163
f4,2,163
d4,3,148
f4,2,163
h4,3,142
f4,2,163
d5,3,152
f4,2,163
c6,3,149
f4,2,163
e6,3,154
f4,2,163
b7,3,102
f4,2,163
c8,3,126
f4,2,163
d3,1,138
h4,2,-Infinity
c1,3,148
h4,2,148
b3,3,70
h4,2,148
h3,3,176
h4,2,176
d4,3,142
h4,2,176
f4,3,140
h4,2,176
d5,3,144
h4,2,176
c6,3,143
h4,2,176
e6,3,140
h4,2,176
b7,3,96
h4,2,176
c8,3,120
h4,2,176
d3,1,138
a6,2,-Infinity
c1,3,154
a6,2,154
c2,3,138
a6,2,154
f2,3,124
a6,2,154
b3,3,82
a6,2,154
d4,3,156
a6,2,156
f4,3,146
a6,2,156
h4,3,142
a6,2,156
d5,3,142
a6,2,156
c6,3,157
a6,2,157
e6,3,146
a6,2,157
c8,3,126
a6,2,157
d3,1,138
c6,2,-Infinity
c1,3,165
c6,2,165
b3,3,93
c6,2,165
d4,3,159
c6,2,165
f4,3,157
c6,2,165
h4,3,153
c6,2,165
d5,3,153
c6,2,165
a6,3,147
c6,2,165
e6,3,157
c6,2,165
c8,3,137
c6,2,165
d3,1,138
b7,2,-Infinity
c1,3,204
b7,2,204
b3,3,126
b7,2,204
d4,3,198
b7,2,204
h4,3,192
b7,2,204
d5,3,194
b7,2,204
c6,3,145
b7,2,204
e6,3,196
b7,2,204
a7,3,100
b7,2,204
c8,3,176
b7,2,204
d3,1,138
c8,2,-Infinity
c1,3,118
c8,2,118
b3,3,40
c8,2,118
d4,3,112
