X*X*XOOX
XXXOO*XO
XOXXOXXO
O***XOOX
OX*O**XO
X*XX*OO*
*OOOXOXX
XOXOXXOO
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
b1,2,-Infinity
d1,3,259
b1,2,259
f2,3,249
b1,2,259
c4,3,261
b1,2,261
d4,3,265
b1,2,265
e5,3,287
b1,2,287
f5,3,275
b1,2,287
e6,3,263
b1,2,287
h6,3,285
b1,2,287
a7,3,195
b1,2,287
a1,1,287
d1,2,-Infinity
b1,3,183
d1,2,183
f2,3,175
d1,2,183
b4,3,188
d1,2,188
c4,3,195
d1,2,195
d4,3,199
d1,2,199
e5,3,221
d1,2,221
f5,3,209
d1,2,221
e6,3,197
d1,2,221
h6,3,219
d1,2,221
a7,3,129
d1,2,221
a1,1,221
f2,2,-Infinity
d1,3,247
f2,2,247
b4,3,236
f2,2,247
c4,3,243
f2,2,247
d4,3,247
f2,2,247
e5,3,269
f2,2,269
f5,3,249
f2,2,269
e6,3,245
f2,2,269
h6,3,267
f2,2,269
a7,3,177
f2,2,269
a1,1,221
b4,2,-Infinity
d1,3,192
b4,2,192
f2,3,182
b4,2,192
c4,3,208
b4,2,208
d4,3,212
b4,2,212
c5,3,196
b4,2,212
e5,3,220
b4,2,220
f5,3,208
b4,2,220
e6,3,196
b4,2,220
h6,3,218
b4,2,220
a7,3,128
b4,2,220
a1,1,220
c4,2,-Infinity
d1,3,197
c4,2,197
f2,3,181
c4,2,197
b4,3,186
c4,2,197
d4,3,197
c4,2,197
c5,3,209
c4,2,209
e5,3,219
c4,2,219
f5,3,207
c4,2,219
e6,3,195
c4,2,219
h6,3,217
c4,2,219
a7,3,127
c4,2,219
a1,1,219
d4,2,-Infinity
d1,3,203
d4,2,203
f2,3,185
d4,2,203
b4,3,190
d4,2,203
c4,3,199
d4,2,203
e5,3,225
d4,2,225
f5,3,219
d4,2,225
e6,3,199
d4,2,225
h6,3,221
d4,2,225
a7,3,131
d4,2,225
a1,1,219
c5,2,-Infinity
d1,3,191
c5,2,191
f2,3,181
c5,2,191
b4,3,194
c5,2,194
c4,3,201
c5,2,201
d4,3,197
c5,2,201
e5,3,219
c5,2,219
f5,3,207
c5,2,219
b6,3,207
c5,2,219
e6,3,195
c5,2,219
h6,3,217
c5,2,219
a7,3,127
c5,2,219
a1,1,219
e5,2,-Infinity
d1,3,195
e5,2,195
f2,3,185
e5,2,195
b4,3,190
e5,2,195
c4,3,197
e5,2,197
d4,3,217
e5,2,217
c5,3,213
e5,2,217
f5,3,211
e5,2,217
e6,3,209
e5,2,217
h6,3,221
e5,2,221
a7,3,131
e5,2,221
a1,1,219
f5,2,-Infinity
d1,3,205
f5,2,205
f2,3,195
f5,2,205
b4,3,200
f5,2,205
c4,3,207
f5,2,207
d4,3,211
f5,2,211
e5,3,233
f5,2,233
e6,3,209
f5,2,233
h6,3,235
f5,2,235
a7,3,141
f5,2,235
a1,1,219
h6,2,-Infinity
d1,3,217
h6,2,217
f2,3,207
h6,2,217
b4,3,212
h6,2,217
c4,3,219
h6,2,219
d4,3,223
h6,2,223
e5,3,245
h6,2,245
f5,3,241
h6,2,245
e6,3,221
h6,2,245
a7,3,153
h6,2,245
a1,1,219
a7,2,-Infinity
d1,3,195
a7,2,195
f2,3,185
a7,2,195
b4,3,190
a7,2,195
c4,3,197
a7,2,197
d4,3,201
a7,2,201
e5,3,223
a7,2,223
f5,3,211
a7,2,223
e6,3,199
a7,2,223
h6,3,221
a7,2,223
a1,1,219
root,0,219
d1,1,Infinity
b1,2,-Infinity
a1,3,195
b1,2,195
d4,3,136
b1,2,195
e5,3,158
b1,2,195
f5,3,146
b1,2,195
e6,3,134
b1,2,195
h6,3,156
b1,2,195
a7,3,66
b1,2,195
d1,1,195
f2,2,-Infinity
a1,3,261
f2,2,261
b1,3,210
f2,2,261
d4,3,226
f2,2,261
e5,3,248
f2,2,261
f5,3,228
f2,2,261
e6,3,224
f2,2,261
h6,3,246
f2,2,261
a7,3,156
f2,2,261
d1,1,195
c4,2,-Infinity
a1,3,197
c4,2,197
f2,3,152
c4,2,197
d4,3,170
c4,2,197
c5,3,174
c4,2,197
e5,3,184
c4,2,197
f5,3,172
c4,2,197
e6,3,160
c4,2,197
h6,3,182
c4,2,197
a7,3,92
c4,2,197
d1,1,195
d4,2,-Infinity
a1,3,237
d4,2,237
b4,3,165
d4,2,237
c4,3,174
d4,2,237
e5,3,184
d4,2,237
f5,3,164
d4,2,237
e6,3,152
d4,2,237
h6,3,174
d4,2,237
a7,3,84
d4,2,237
d1,1,195
c5,2,-Infinity
a1,3,191
c5,2,191
b4,3,161
c5,2,191
c4,3,168
c5,2,191
d4,3,156
c5,2,191
e5,3,178
c5,2,191
f5,3,166
c5,2,191
b6,3,166
c5,2,191
e6,3,154
c5,2,191
h6,3,176
c5,2,191
a7,3,86
c5,2,191
d1,1,191
e5,2,-Infinity
a1,3,195
e5,2,195
d4,3,176
e5,2,195
c5,3,172
e5,2,195
f5,3,170
e5,2,195
e6,3,174
e5,2,195
h6,3,180
e5,2,195
a7,3,90
e5,2,195
d1,1,191
f5,2,-Infinity
a1,3,205
f5,2,205
d4,3,170
f5,2,205
e5,3,192
f5,2,205
e6,3,168
f5,2,205
h6,3,200
f5,2,205
a7,3,100
f5,2,205
d1,1,191
h6,2,-Infinity
a1,3,217
h6,2,217
d4,3,182
h6,2,217
e5,3,204
h6,2,217
f5,3,200
h6,2,217
e6,3,180
h6,2,217
a7,3,112
h6,2,217
d1,1,191
a7,2,-Infinity
a1,3,195
a7,2,195
d4,3,160
a7,2,195
e5,3,182
a7,2,195
f5,3,170
a7,2,195
e6,3,158
a7,2,195
h6,3,180
a7,2,195
d1,1,191
root,0,219
f2,1,Infinity
d1,2,-Infinity
a1,3,175
d1,2,175
b1,3,124
d1,2,175
d4,3,148
d1,2,175
e5,3,162
d1,2,175
f5,3,164
d1,2,175
e6,3,138
d1,2,175
h6,3,160
d1,2,175
a7,3,70
d1,2,175
f2,1,175
c4,2,-Infinity
a1,3,187
c4,2,187
d1,3,152
c4,2,187
d4,3,168
c4,2,187
c5,3,164
c4,2,187
e5,3,174
c4,2,187
f5,3,162
c4,2,187
e6,3,150
c4,2,187
h6,3,172
c4,2,187
a7,3,82
c4,2,187
f2,1,175
d4,2,-Infinity
a1,3,227
d4,2,227
b4,3,155
d4,2,227
c4,3,164
d4,2,227
c5,3,156
d4,2,227
e5,3,174
d4,2,227
f5,3,154
d4,2,227
e6,3,142
d4,2,227
h6,3,164
d4,2,227
a7,3,74
d4,2,227
f2,1,175
c5,2,-Infinity
a1,3,181
c5,2,181
b4,3,151
c5,2,181
c4,3,158
c5,2,181
d4,3,154
c5,2,181
e5,3,168
c5,2,181
f5,3,156
c5,2,181
b6,3,156
c5,2,181
e6,3,144
c5,2,181
h6,3,166
c5,2,181
a7,3,76
c5,2,181
f2,1,175
e5,2,-Infinity
a1,3,185
e5,2,185
d4,3,174
e5,2,185
c5,3,162
e5,2,185
f5,3,160
e5,2,185
e6,3,164
e5,2,185
h6,3,170
e5,2,185
a7,3,80
e5,2,185
f2,1,175
f5,2,-Infinity
a1,3,195
f5,2,195
d4,3,168
f5,2,195
e5,3,182
f5,2,195
e6,3,158
f5,2,195
h6,3,190
f5,2,195
a7,3,90
f5,2,195
f2,1,175
h6,2,-Infinity
a1,3,207
h6,2,207
d4,3,180
h6,2,207
e5,3,194
h6,2,207
f5,3,190
h6,2,207
e6,3,170
h6,2,207
a7,3,102
h6,2,207
f2,1,175
a7,2,-Infinity
a1,3,185
a7,2,185
d4,3,158
a7,2,185
e5,3,172
a7,2,185
f5,3,160
a7,2,185
e6,3,148
a7,2,185
h6,3,170
a7,2,185
f2,1,175
root,0,219
d4,1,Infinity
d1,2,-Infinity
a1,3,199
d1,2,199
b1,3,148
d1,2,199
f2,3,168
d1,2,199
e5,3,186
d1,2,199
f5,3,174
d1,2,199
e6,3,162
d1,2,199
h6,3,184
d1,2,199
a7,3,94
d1,2,199
d4,1,199
f2,2,-Infinity
a1,3,247
f2,2,247
d1,3,212
f2,2,247
e5,3,234
f2,2,247
f5,3,214
f2,2,247
e6,3,210
f2,2,247
h6,3,232
f2,2,247
a7,3,142
f2,2,247
d4,1,199
b4,2,-Infinity
a1,3,212
b4,2,212
b1,3,93
b4,2,212
d1,3,157
b4,2,212
f2,3,155
b4,2,212
c4,3,181
b4,2,212
c5,3,161
b4,2,212
e5,3,185
b4,2,212
f5,3,173
b4,2,212
e6,3,161
b4,2,212
h6,3,183
b4,2,212
a7,3,93
b4,2,212
d4,1,199
c4,2,-Infinity
a1,3,197
c4,2,197
d1,3,164
c4,2,197
f2,3,146
c4,2,197
b4,3,169
c4,2,197
c5,3,174
c4,2,197
e5,3,186
c4,2,197
f5,3,180
c4,2,197
e6,3,160
c4,2,197
h6,3,182
c4,2,197
a7,3,92
c4,2,197
d4,1,197
c5,2,-Infinity
a1,3,197
c5,2,197
d1,3,156
c5,2,197
f2,3,146
c5,2,197
b4,3,167
c5,2,197
c4,3,174
c5,2,197
e5,3,184
c5,2,197
f5,3,172
c5,2,197
b6,3,172
c5,2,197
e6,3,160
c5,2,197
h6,3,182
c5,2,197
a7,3,92
c5,2,197
d4,1,197
e5,2,-Infinity
a1,3,215
e5,2,215
d1,3,146
e5,2,215
f2,3,136
e5,2,215
b4,3,157
e5,2,215
c4,3,172
e5,2,215
c5,3,164
e5,2,215
f5,3,162
e5,2,215
e6,3,160
e5,2,215
h6,3,172
e5,2,215
a7,3,82
e5,2,215
d4,1,197
f5,2,-Infinity
a1,3,211
f5,2,211
d1,3,170
f5,2,211
f2,3,168
f5,2,211
e5,3,198
f5,2,211
e6,3,174
f5,2,211
h6,3,200
f5,2,211
a7,3,106
f5,2,211
d4,1,197
h6,2,-Infinity
a1,3,223
h6,2,223
d1,3,182
h6,2,223
f2,3,180
h6,2,223
e5,3,210
h6,2,223
f5,3,206
h6,2,223
e6,3,186
h6,2,223
a7,3,118
h6,2,223
d4,1,197
a7,2,-Infinity
a1,3,201
a7,2,201
d1,3,160
a7,2,201
f2,3,158
a7,2,201
e5,3,188
a7,2,201
f5,3,176
a7,2,201
e6,3,164
a7,2,201
h6,3,186
a7,2,201
d4,1,197
root,0,219
e5,1,Infinity
d1,2,-Infinity
a1,3,221
d1,2,221
b1,3,170
d1,2,221
d4,3,186
d1,2,221
c5,3,190
d1,2,221
f5,3,182
d1,2,221
e6,3,184
d1,2,221
h6,3,198
d1,2,221
a7,3,116
d1,2,221
e5,1,221
f2,2,-Infinity
a1,3,283
f2,2,283
d1,3,242
f2,2,283
d4,3,248
f2,2,283
c5,3,252
f2,2,283
f5,3,244
f2,2,283
e6,3,246
f2,2,283
h6,3,260
f2,2,283
a7,3,178
f2,2,283
e5,1,221
b4,2,-Infinity
a1,3,268
b4,2,268
b1,3,115
b4,2,268
d1,3,179
b4,2,268
f2,3,169
b4,2,268
c4,3,203
b4,2,268
d4,3,185
b4,2,268
c5,3,183
b4,2,268
f5,3,181
b4,2,268
e6,3,183
b4,2,268
h6,3,197
b4,2,268
a7,3,115
b4,2,268
e5,1,221
c4,2,-Infinity
a1,3,219
c4,2,219
d1,3,184
c4,2,219
f2,3,168
c4,2,219
d4,3,184
c4,2,219
c5,3,196
c4,2,219
f5,3,180
c4,2,219
e6,3,182
c4,2,219
h6,3,196
c4,2,219
a7,3,114
c4,2,219
e5,1,219
d4,2,-Infinity
a1,3,283
d4,2,283
d1,3,202
d4,2,283
f2,3,184
d4,2,283
b4,3,205
d4,2,283
c4,3,220
d4,2,283
f5,3,218
d4,2,283
e6,3,200
d4,2,283
h6,3,172
d4,2,283
a7,3,130
d4,2,283
e5,1,219
c5,2,-Infinity
a1,3,219
c5,2,219
d1,3,178
c5,2,219
f2,3,168
c5,2,219
b4,3,189
c5,2,219
c4,3,196
c5,2,219
d4,3,184
c5,2,219
f5,3,180
c5,2,219
b6,3,194
c5,2,219
e6,3,182
c5,2,219
h6,3,196
c5,2,219
a7,3,114
c5,2,219
e5,1,219
f5,2,-Infinity
a1,3,219
f5,2,219
d1,3,178
f5,2,219
f2,3,168
f5,2,219
d4,3,198
f5,2,219
e6,3,182
f5,2,219
h6,3,198
f5,2,219
a7,3,114
f5,2,219
e5,1,219
e6,2,-Infinity
a1,3,213
e6,2,213
d1,3,172
e6,2,213
f2,3,162
e6,2,213
d4,3,192
e6,2,213
f5,3,182
e6,2,213
h6,3,212
e6,2,213
a7,3,108
e6,2,213
e5,1,213
h6,2,-Infinity
a1,3,237
h6,2,237
d1,3,196
h6,2,237
f2,3,186
h6,2,237
d4,3,202
h6,2,237
c5,3,206
h6,2,237
f5,3,214
h6,2,237
e6,3,200
h6,2,237
a7,3,132
h6,2,237
e5,1,213
a7,2,-Infinity
a1,3,223
a7,2,223
d1,3,182
a7,2,223
f2,3,172
a7,2,223
d4,3,188
a7,2,223
c5,3,192
a7,2,223
f5,3,184
a7,2,223
e6,3,186
a7,2,223
h6,3,200
a7,2,223
e5,1,213
root,0,219
f5,1,Infinity
d1,2,-Infinity
a1,3,209
d1,2,209
b1,3,158
d1,2,209
