XO*O*XO*
X*OXXO*O
OOXXOX*X
OO*XO*OX
OX*XX**O
XXOOOOOX
OOX*O*OO
*XXXX*O*
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
e1,2,-Infinity
g2,3,-248
e1,2,-248
g3,3,-228
e1,2,-228
c4,3,-220
e1,2,-220
f4,3,-220
e1,2,-220
c5,3,-240
e1,2,-220
f6,3,-215
e1,2,-215
d7,3,-249
e1,2,-215
c1,1,-215
h1,2,-Infinity
e1,3,-293
h1,2,-293
g2,3,-303
h1,2,-293
g3,3,-283
h1,2,-283
c4,3,-275
h1,2,-275
f4,3,-275
h1,2,-275
c5,3,-295
h1,2,-275
f6,3,-270
h1,2,-270
d7,3,-288
h1,2,-270
c1,1,-270
b2,2,-Infinity
e1,3,-156
b2,2,-156
g2,3,-184
b2,2,-156
g3,3,-164
b2,2,-156
c4,3,-170
b2,2,-156
f4,3,-156
b2,2,-156
c5,3,-182
b2,2,-156
f6,3,-151
b2,2,-151
d7,3,-175
b2,2,-151
c1,1,-270
g2,2,-Infinity
e1,3,-178
g2,2,-178
h1,3,-129
g2,2,-129
g3,3,-232
g2,2,-129
c4,3,-176
g2,2,-129
c5,3,-196
g2,2,-129
f6,3,-171
g2,2,-129
d7,3,-189
g2,2,-129
c1,1,-270
c4,2,-Infinity
e1,3,-206
c4,2,-206
b2,3,-254
c4,2,-206
g2,3,-232
c4,2,-206
g3,3,-212
c4,2,-206
f4,3,-204
c4,2,-204
c5,3,-202
c4,2,-202
f6,3,-199
c4,2,-199
d7,3,-217
c4,2,-199
c1,1,-270
f4,2,-Infinity
e1,3,-208
f4,2,-208
g2,3,-234
f4,2,-208
g3,3,-214
f4,2,-208
c4,3,-206
f4,2,-206
c5,3,-226
f4,2,-206
f5,3,-190
f4,2,-190
g5,3,-219
f4,2,-190
f6,3,-201
f4,2,-190
d7,3,-219
f4,2,-190
c1,1,-270
c5,2,-Infinity
e1,3,-228
c5,2,-228
g2,3,-254
c5,2,-228
g3,3,-234
c5,2,-228
c4,3,-226
c5,2,-226
f4,3,-226
c5,2,-226
f5,3,-238
c5,2,-226
d7,3,-231
c5,2,-226
c1,1,-270
f5,2,-Infinity
e1,3,-208
f5,2,-208
g2,3,-234
f5,2,-208
g3,3,-214
f5,2,-208
c4,3,-206
f5,2,-206
f4,3,-206
f5,2,-206
c5,3,-226
f5,2,-206
f6,3,-201
f5,2,-201
d7,3,-219
f5,2,-201
c1,1,-270
f6,2,-Infinity
e1,3,-203
f6,2,-203
b2,3,-215
f6,2,-203
g2,3,-229
f6,2,-203
g3,3,-209
f6,2,-203
c4,3,-201
f6,2,-201
f4,3,-201
f6,2,-201
c5,3,-229
f6,2,-201
f5,3,-223
f6,2,-201
g5,3,-230
f6,2,-201
d7,3,-214
f6,2,-201
f7,3,-231
f6,2,-201
c1,1,-270
d7,2,-Infinity
e1,3,-221
d7,2,-221
g2,3,-247
d7,2,-221
g3,3,-227
d7,2,-221
c4,3,-219
d7,2,-219
f4,3,-219
d7,2,-219
c5,3,-239
d7,2,-219
c1,1,-270
a8,2,-Infinity
e1,3,-259
a8,2,-259
g2,3,-285
a8,2,-259
g3,3,-265
a8,2,-259
c4,3,-257
a8,2,-257
f4,3,-257
a8,2,-257
c5,3,-269
a8,2,-257
d7,3,-254
a8,2,-254
c1,1,-270
f8,2,-Infinity
e1,3,-164
f8,2,-164
g2,3,-190
f8,2,-164
g3,3,-170
f8,2,-164
c4,3,-162
f8,2,-162
f4,3,-162
f8,2,-162
c5,3,-190
f8,2,-162
f6,3,-157
f8,2,-157
d7,3,-175
f8,2,-157
f7,3,-232
f8,2,-157
a8,3,-41
f8,2,-41
c1,1,-270
h8,2,-Infinity
e1,3,-293
h8,2,-293
g2,3,-319
h8,2,-293
g3,3,-299
h8,2,-293
c4,3,-291
h8,2,-291
f4,3,-291
h8,2,-291
c5,3,-311
h8,2,-291
f6,3,-286
h8,2,-286
d7,3,-304
h8,2,-286
c1,1,-286
root,0,-286
e1,1,Infinity
c1,2,-Infinity
g2,3,-206
c1,2,-206
g3,3,-186
c1,2,-186
c4,3,-184
c1,2,-184
f4,3,-178
c1,2,-178
c5,3,-198
c1,2,-178
f6,3,-173
c1,2,-173
d7,3,-191
c1,2,-173
e1,1,-173
h1,2,-Infinity
g2,3,-297
h1,2,-297
g3,3,-277
h1,2,-277
c4,3,-275
h1,2,-275
f4,3,-269
h1,2,-269
c5,3,-289
h1,2,-269
f6,3,-264
h1,2,-264
d7,3,-282
h1,2,-264
e1,1,-264
b2,2,-Infinity
c1,3,-220
b2,2,-220
g2,3,-190
b2,2,-190
g3,3,-170
b2,2,-170
c4,3,-160
b2,2,-160
f4,3,-162
b2,2,-160
c5,3,-188
b2,2,-160
f6,3,-157
b2,2,-157
d7,3,-175
b2,2,-157
e1,1,-264
c4,2,-Infinity
b2,3,-232
c4,2,-232
g2,3,-210
c4,2,-210
g3,3,-190
c4,2,-190
f4,3,-182
c4,2,-182
c5,3,-194
c4,2,-182
f6,3,-177
c4,2,-177
d7,3,-195
c4,2,-177
e1,1,-264
f4,2,-Infinity
g2,3,-212
f4,2,-212
g3,3,-192
f4,2,-192
c4,3,-190
f4,2,-190
c5,3,-204
f4,2,-190
f5,3,-168
f4,2,-168
g5,3,-197
f4,2,-168
f6,3,-179
f4,2,-168
d7,3,-197
f4,2,-168
e1,1,-264
c5,2,-Infinity
g2,3,-232
c5,2,-232
g3,3,-212
c5,2,-212
c4,3,-210
c5,2,-210
f4,3,-204
c5,2,-204
f5,3,-216
c5,2,-204
f6,3,-215
c5,2,-204
d7,3,-209
c5,2,-204
e1,1,-264
f5,2,-Infinity
g2,3,-212
f5,2,-212
g3,3,-192
f5,2,-192
c4,3,-190
f5,2,-190
f4,3,-184
f5,2,-184
c5,3,-204
f5,2,-184
f6,3,-179
f5,2,-179
d7,3,-197
f5,2,-179
e1,1,-264
f6,2,-Infinity
g2,3,-207
f6,2,-207
g3,3,-187
f6,2,-187
c4,3,-185
f6,2,-185
f4,3,-179
f6,2,-179
c5,3,-207
f6,2,-179
f5,3,-201
f6,2,-179
g5,3,-208
f6,2,-179
d7,3,-192
f6,2,-179
f7,3,-209
f6,2,-179
e1,1,-264
d7,2,-Infinity
g2,3,-225
d7,2,-225
g3,3,-205
d7,2,-205
c4,3,-203
d7,2,-203
f4,3,-197
d7,2,-197
c5,3,-217
d7,2,-197
f6,3,-208
d7,2,-197
e1,1,-264
a8,2,-Infinity
g2,3,-263
a8,2,-263
g3,3,-243
a8,2,-243
c4,3,-241
a8,2,-241
f4,3,-235
a8,2,-235
c5,3,-247
a8,2,-235
f6,3,-246
a8,2,-235
d7,3,-232
a8,2,-232
e1,1,-264
f8,2,-Infinity
g2,3,-168
f8,2,-168
g3,3,-148
f8,2,-148
c4,3,-146
f8,2,-146
f4,3,-140
f8,2,-140
c5,3,-168
f8,2,-140
f6,3,-135
f8,2,-135
d7,3,-153
f8,2,-135
f7,3,-210
f8,2,-135
a8,3,-19
f8,2,-19
e1,1,-264
h8,2,-Infinity
g2,3,-297
h8,2,-297
g3,3,-277
h8,2,-277
c4,3,-275
h8,2,-275
f4,3,-269
h8,2,-269
c5,3,-289
h8,2,-269
f6,3,-264
h8,2,-264
d7,3,-282
h8,2,-264
e1,1,-264
root,0,-264
g2,1,Infinity
c1,2,-Infinity
e1,3,-198
c1,2,-198
b2,3,-266
c1,2,-198
c4,3,-218
c1,2,-198
c5,3,-224
c1,2,-198
f6,3,-199
c1,2,-198
d7,3,-223
c1,2,-198
g2,1,-198
h1,2,-Infinity
c1,3,-269
h1,2,-269
e1,3,-263
h1,2,-263
g3,3,-261
h1,2,-261
c4,3,-253
h1,2,-253
f4,3,-253
h1,2,-253
c5,3,-273
h1,2,-253
f5,3,-259
h1,2,-253
f6,3,-248
h1,2,-248
d7,3,-272
h1,2,-248
g2,1,-248
b2,2,-Infinity
c1,3,-238
b2,2,-238
e1,3,-174
b2,2,-174
c4,3,-194
b2,2,-174
c5,3,-200
b2,2,-174
f6,3,-169
b2,2,-169
d7,3,-193
b2,2,-169
g2,1,-248
g3,2,-Infinity
e1,3,-224
g3,2,-224
c4,3,-238
g3,2,-224
f4,3,-246
g3,2,-224
c5,3,-250
g3,2,-224
f6,3,-233
g3,2,-224
d7,3,-257
g3,2,-224
g2,1,-248
c4,2,-Infinity
c1,3,-232
c4,2,-232
e1,3,-210
c4,2,-210
b2,3,-266
c4,2,-210
c5,3,-214
c4,2,-210
f6,3,-211
c4,2,-210
d7,3,-235
c4,2,-210
g2,1,-248
f4,2,-Infinity
e1,3,-210
f4,2,-210
g3,3,-210
f4,2,-210
c4,3,-232
f4,2,-210
c5,3,-252
f4,2,-210
f5,3,-238
f4,2,-210
f6,3,-227
f4,2,-210
d7,3,-251
f4,2,-210
g2,1,-248
c5,2,-Infinity
c1,3,-254
c5,2,-254
e1,3,-232
c5,2,-232
c4,3,-238
c5,2,-232
f5,3,-250
c5,2,-232
d7,3,-249
c5,2,-232
g2,1,-248
f5,2,-Infinity
c1,3,-234
f5,2,-234
e1,3,-212
f5,2,-212
c4,3,-218
f5,2,-212
c5,3,-238
f5,2,-212
f6,3,-213
f5,2,-212
d7,3,-237
f5,2,-212
g2,1,-248
f6,2,-Infinity
c1,3,-229
f6,2,-229
e1,3,-207
f6,2,-207
b2,3,-227
f6,2,-207
c4,3,-213
f6,2,-207
c5,3,-241
f6,2,-207
f5,3,-235
f6,2,-207
g5,3,-242
f6,2,-207
d7,3,-232
f6,2,-207
f7,3,-243
f6,2,-207
g2,1,-248
d7,2,-Infinity
c1,3,-247
d7,2,-247
e1,3,-225
d7,2,-225
c4,3,-231
d7,2,-225
c5,3,-251
d7,2,-225
g2,1,-248
a8,2,-Infinity
c1,3,-285
a8,2,-285
e1,3,-263
a8,2,-263
c4,3,-269
a8,2,-263
c5,3,-281
a8,2,-263
d7,3,-272
a8,2,-263
g2,1,-263
f8,2,-Infinity
c1,3,-190
f8,2,-190
e1,3,-168
f8,2,-168
c4,3,-174
f8,2,-168
