XOXX*O**
XXOXXXOX
X**XXO**
X**X*XXX
*OXXXXXO
XXX**O*O
O*OX*XOX
**OO*XOO
Node,Depth,Value
root,0,-Infinity
b3,1,Infinity
e1,2,-Infinity
g1,3,21
e1,2,21
g3,3,-1
e1,2,21
a5,3,-11
e1,2,21
a6,3,-11
e1,2,21
b7,3,-43
e1,2,21
e7,3,0
e1,2,21
b3,1,21
g1,2,-Infinity
c3,3,30
g1,2,30
g3,3,41
g1,2,41
c4,3,35
g1,2,41
e4,3,31
g1,2,41
a5,3,31
g1,2,41
a6,3,23
g1,2,41
b7,3,-9
g1,2,41
e7,3,34
g1,2,41
b3,1,21
c3,2,-Infinity
g3,3,40
c3,2,40
b4,3,11
c3,2,40
c4,3,26
c3,2,40
e4,3,16
c3,2,40
a5,3,0
c3,2,40
a6,3,0
c3,2,40
d6,3,4
c3,2,40
b7,3,-32
c3,2,40
e7,3,11
c3,2,40
b3,1,21
h3,2,-Infinity
g3,3,13
h3,2,13
a5,3,3
h3,2,13
a6,3,3
h3,2,13
b7,3,-29
h3,2,13
e7,3,14
h3,2,14
b3,1,14
b4,2,-Infinity
c3,3,33
b4,2,33
g3,3,92
b4,2,92
c4,3,72
b4,2,92
a5,3,82
b4,2,92
a6,3,82
b4,2,92
b7,3,50
b4,2,92
e7,3,93
b4,2,93
b3,1,14
c4,2,-Infinity
e1,3,-5
c4,2,-5
c3,3,10
c4,2,10
g3,3,5
c4,2,10
b4,3,0
c4,2,10
e4,3,3
c4,2,10
a5,3,3
c4,2,10
b7,3,-23
c4,2,10
e7,3,6
c4,2,10
b3,1,10
e4,2,-Infinity
h1,3,88
e4,2,88
c3,3,30
e4,2,88
g3,3,33
e4,2,88
c4,3,35
e4,2,88
a5,3,23
e4,2,88
a6,3,23
e4,2,88
b7,3,-9
e4,2,88
e7,3,34
e4,2,88
b3,1,10
d6,2,-Infinity
g3,3,21
d6,2,21
a5,3,11
d6,2,21
b7,3,1
d6,2,21
e7,3,30
d6,2,30
b8,3,3
d6,2,30
e8,3,19
d6,2,30
b3,1,10
e6,2,-Infinity
g3,3,43
e6,2,43
a5,3,33
e6,2,43
a6,3,33
e6,2,43
e7,3,-4
e6,2,43
e8,3,33
e6,2,43
b3,1,10
e7,2,-Infinity
g3,3,50
e7,2,50
a5,3,40
e7,2,50
a6,3,40
e7,2,50
d6,3,38
e7,2,50
b7,3,-60
e7,2,50
e8,3,40
e7,2,50
b3,1,10
e8,2,-Infinity
g3,3,3
e8,2,3
a5,3,-7
e8,2,3
b7,3,-17
e8,2,3
e7,3,4
e8,2,4
b3,1,4
root,0,4
c3,1,Infinity
e1,2,-Infinity
g1,3,32
e1,2,32
g3,3,10
e1,2,32
a5,3,0
e1,2,32
a6,3,0
e1,2,32
b7,3,-32
e1,2,32
e7,3,11
e1,2,32
c3,1,32
g1,2,-Infinity
g3,3,52
g1,2,52
c4,3,46
g1,2,52
e4,3,42
g1,2,52
a5,3,42
g1,2,52
a6,3,34
g1,2,52
b7,3,2
g1,2,52
e7,3,45
g1,2,52
c3,1,32
b3,2,-Infinity
g3,3,88
b3,2,88
b4,3,67
b3,2,88
c4,3,74
b3,2,88
e4,3,72
b3,2,88
a5,3,56
b3,2,88
a6,3,56
b3,2,88
b7,3,24
b3,2,88
e7,3,67
b3,2,88
c3,1,32
h3,2,-Infinity
g3,3,24
h3,2,24
a5,3,14
h3,2,24
a6,3,14
h3,2,24
b7,3,-18
h3,2,24
e7,3,25
h3,2,25
c3,1,25
c4,2,-Infinity
e1,3,6
c4,2,6
b3,3,10
c4,2,10
g3,3,16
c4,2,16
b4,3,11
c4,2,16
e4,3,14
c4,2,16
a5,3,14
c4,2,16
b7,3,-12
c4,2,16
e7,3,17
c4,2,17
c3,1,17
e4,2,-Infinity
h1,3,99
e4,2,99
b3,3,22
e4,2,99
g3,3,44
e4,2,99
c4,3,46
e4,2,99
a5,3,34
e4,2,99
a6,3,34
e4,2,99
b7,3,2
e4,2,99
e7,3,45
e4,2,99
c3,1,17
d6,2,-Infinity
g3,3,32
d6,2,32
a5,3,22
d6,2,32
b7,3,12
d6,2,32
e7,3,41
d6,2,41
b8,3,14
d6,2,41
e8,3,30
d6,2,41
c3,1,17
e6,2,-Infinity
g3,3,54
e6,2,54
a5,3,44
e6,2,54
a6,3,44
e6,2,54
e7,3,7
e6,2,54
e8,3,44
e6,2,54
c3,1,17
e7,2,-Infinity
g3,3,61
e7,2,61
a5,3,51
e7,2,61
a6,3,51
e7,2,61
d6,3,49
e7,2,61
b7,3,-49
e7,2,61
e8,3,51
e7,2,61
c3,1,17
e8,2,-Infinity
g3,3,14
e8,2,14
a5,3,4
e8,2,14
b7,3,-6
e8,2,14
e7,3,15
e8,2,15
c3,1,15
root,0,15
g3,1,Infinity
e1,2,-Infinity
g1,3,-5
e1,2,-5
h1,3,62
e1,2,62
a5,3,11
e1,2,62
a6,3,11
e1,2,62
b7,3,-21
e1,2,62
e7,3,22
e1,2,62
g3,1,62
g1,2,-Infinity
e1,3,43
g1,2,43
h1,3,96
g1,2,96
b3,3,33
g1,2,96
c3,3,44
g1,2,96
c4,3,57
g1,2,96
e4,3,53
g1,2,96
a5,3,53
g1,2,96
a6,3,45
g1,2,96
b7,3,13
g1,2,96
e7,3,56
g1,2,96
g3,1,62
b3,2,-Infinity
g1,3,41
b3,2,41
h1,3,148
b3,2,148
c3,3,40
b3,2,148
c4,3,93
b3,2,148
a5,3,97
b3,2,148
a6,3,97
b3,2,148
b7,3,65
b3,2,148
e7,3,108
b3,2,148
g3,1,62
c3,2,-Infinity
g1,3,-18
c3,2,-18
h1,3,89
c3,2,89
b3,3,40
c3,2,89
b4,3,49
c3,2,89
c4,3,48
c3,2,89
a5,3,38
c3,2,89
a6,3,38
c3,2,89
d6,3,42
c3,2,89
b7,3,6
c3,2,89
e7,3,49
c3,2,89
g3,1,62
h3,2,-Infinity
g1,3,-31
h3,2,-31
h1,3,76
h3,2,76
b3,3,13
h3,2,76
c3,3,24
h3,2,76
a5,3,25
h3,2,76
a6,3,25
h3,2,76
b7,3,-7
h3,2,76
e7,3,36
h3,2,76
g3,1,62
c4,2,-Infinity
e1,3,17
c4,2,17
g1,3,-39
c4,2,17
h1,3,68
c4,2,68
b3,3,13
c4,2,68
c3,3,24
c4,2,68
b4,3,22
c4,2,68
a5,3,25
c4,2,68
b7,3,-1
c4,2,68
e7,3,28
c4,2,68
g3,1,62
e4,2,-Infinity
g1,3,-33
e4,2,-33
h1,3,88
e4,2,88
b3,3,11
e4,2,88
c3,3,30
e4,2,88
c4,3,35
e4,2,88
a5,3,23
e4,2,88
a6,3,23
e4,2,88
b7,3,-9
e4,2,88
e7,3,34
e4,2,88
g3,1,62
d6,2,-Infinity
g1,3,-23
d6,2,-23
h1,3,84
d6,2,84
b3,3,21
d6,2,84
c3,3,32
d6,2,84
a5,3,33
d6,2,84
b7,3,23
d6,2,84
e7,3,52
d6,2,84
b8,3,25
d6,2,84
e8,3,41
d6,2,84
g3,1,62
e6,2,-Infinity
g1,3,-1
e6,2,-1
h1,3,106
e6,2,106
b3,3,43
e6,2,106
c3,3,54
e6,2,106
a5,3,55
e6,2,106
a6,3,55
e6,2,106
e7,3,18
e6,2,106
e8,3,55
e6,2,106
