*OXX*X**
XOXXXX*O
OOX**OX*
OO*XX***
O*O*XXXX
OO*OXO*X
X*OOO*XO
OXXOOO*O
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
a1,2,-Infinity
g2,3,88
a1,2,88
a3,3,146
a1,2,146
d3,3,144
a1,2,146
e3,3,146
a1,2,146
h3,3,126
a1,2,146
f4,3,138
a1,2,146
g4,3,139
a1,2,146
h4,3,154
a1,2,154
d5,3,134
a1,2,154
c6,3,149
a1,2,154
f7,3,74
a1,2,154
e1,1,154
g2,2,-Infinity
g1,3,233
g2,2,233
a3,3,245
g2,2,245
d3,3,221
g2,2,245
e3,3,239
g2,2,245
f4,3,237
g2,2,245
g4,3,246
g2,2,246
h4,3,237
g2,2,246
d5,3,233
g2,2,246
c6,3,248
g2,2,248
f7,3,173
g2,2,248
e1,1,154
a3,2,-Infinity
a1,3,324
a3,2,324
g1,3,221
a3,2,324
g2,3,175
a3,2,324
d3,3,209
a3,2,324
e3,3,227
a3,2,324
h3,3,213
a3,2,324
f4,3,225
a3,2,324
g4,3,226
a3,2,324
h4,3,225
a3,2,324
b5,3,204
a3,2,324
d5,3,221
a3,2,324
c6,3,236
a3,2,324
f7,3,161
a3,2,324
e1,1,154
e3,2,-Infinity
g1,3,213
e3,2,213
g2,3,159
e3,2,213
a3,3,217
e3,2,217
d3,3,193
e3,2,217
f4,3,217
e3,2,217
g4,3,218
e3,2,218
h4,3,209
e3,2,218
d5,3,205
e3,2,218
c6,3,220
e3,2,220
f7,3,145
e3,2,220
e1,1,154
c4,2,-Infinity
g1,3,219
c4,2,219
g2,3,173
c4,2,219
a3,3,241
c4,2,241
d3,3,207
c4,2,241
e3,3,225
c4,2,241
h3,3,211
c4,2,241
f4,3,223
c4,2,241
g4,3,224
c4,2,241
h4,3,223
c4,2,241
b5,3,194
c4,2,241
d5,3,219
c4,2,241
c6,3,256
c4,2,256
f7,3,159
c4,2,256
e1,1,154
f4,2,-Infinity
g1,3,205
f4,2,205
g2,3,159
f4,2,205
a3,3,217
f4,2,217
d3,3,193
f4,2,217
e3,3,211
f4,2,217
g4,3,218
f4,2,218
h4,3,209
f4,2,218
d5,3,205
f4,2,218
c6,3,220
f4,2,220
f7,3,145
f4,2,220
e1,1,154
g4,2,-Infinity
g1,3,212
g4,2,212
g2,3,166
g4,2,212
a3,3,224
g4,2,224
d3,3,200
g4,2,224
e3,3,218
g4,2,224
h3,3,222
g4,2,224
f4,3,216
g4,2,224
h4,3,216
g4,2,224
d5,3,212
g4,2,224
c6,3,227
g4,2,227
f7,3,152
g4,2,227
e1,1,154
c6,2,-Infinity
g1,3,224
c6,2,224
g2,3,178
c6,2,224
a3,3,236
c6,2,236
d3,3,212
c6,2,236
e3,3,230
c6,2,236
h3,3,216
c6,2,236
f4,3,220
c6,2,236
g4,3,229
c6,2,236
h4,3,228
c6,2,236
b5,3,227
c6,2,236
d5,3,224
c6,2,236
b7,3,184
c6,2,236
f7,3,164
c6,2,236
e1,1,154
g6,2,-Infinity
g1,3,213
g6,2,213
g2,3,167
g6,2,213
a3,3,225
g6,2,225
d3,3,201
g6,2,225
e3,3,219
g6,2,225
h3,3,205
g6,2,225
f4,3,209
g6,2,225
g4,3,218
g6,2,225
h4,3,231
g6,2,231
d5,3,213
g6,2,231
f7,3,153
g6,2,231
e1,1,154
f7,2,-Infinity
g1,3,213
f7,2,213
g2,3,167
f7,2,213
a3,3,225
f7,2,225
d3,3,201
f7,2,225
e3,3,219
f7,2,225
h3,3,205
f7,2,225
f4,3,223
f7,2,225
g4,3,218
f7,2,225
h4,3,231
f7,2,231
d5,3,213
f7,2,231
g6,3,193
f7,2,231
e1,1,154
g8,2,-Infinity
g1,3,191
g8,2,191
g2,3,145
g8,2,191
a3,3,203
g8,2,203
d3,3,179
g8,2,203
e3,3,197
g8,2,203
h3,3,183
g8,2,203
f4,3,195
g8,2,203
g4,3,196
g8,2,203
h4,3,195
g8,2,203
d5,3,191
g8,2,203
c6,3,206
g8,2,206
f7,3,131
g8,2,206
e1,1,154
root,0,154
g2,1,Infinity
a1,2,-Infinity
a3,3,122
a1,2,122
d3,3,110
a1,2,122
e3,3,112
a1,2,122
h3,3,92
a1,2,122
c4,3,110
a1,2,122
f4,3,104
a1,2,122
g4,3,97
a1,2,122
h4,3,112
a1,2,122
b5,3,83
a1,2,122
d5,3,100
a1,2,122
c6,3,115
a1,2,122
f7,3,40
a1,2,122
g2,1,122
e1,2,-Infinity
g1,3,183
e1,2,183
a3,3,165
e1,2,183
d3,3,153
e1,2,183
e3,3,155
e1,2,183
h3,3,135
e1,2,183
c4,3,153
e1,2,183
f4,3,147
e1,2,183
g4,3,140
e1,2,183
h4,3,163
e1,2,183
b5,3,126
e1,2,183
d5,3,143
e1,2,183
c6,3,158
e1,2,183
f7,3,83
e1,2,183
g2,1,122
g1,2,-Infinity
e1,3,217
g1,2,217
h1,3,234
g1,2,234
a3,3,213
g1,2,234
d3,3,201
g1,2,234
e3,3,203
g1,2,234
h3,3,183
g1,2,234
c4,3,201
g1,2,234
f4,3,195
g1,2,234
g4,3,196
g1,2,234
h4,3,203
g1,2,234
b5,3,174
g1,2,234
d5,3,191
g1,2,234
c6,3,206
g1,2,234
f7,3,131
g1,2,234
g2,1,122
h1,2,-Infinity
e1,3,96
h1,2,96
a3,3,92
h1,2,96
d3,3,80
h1,2,96
e3,3,82
h1,2,96
c4,3,80
h1,2,96
f4,3,88
h1,2,96
g4,3,89
h1,2,96
h4,3,82
h1,2,96
b5,3,53
h1,2,96
d5,3,70
h1,2,96
c6,3,85
h1,2,96
f7,3,10
h1,2,96
g2,1,96
a3,2,-Infinity
a1,3,252
a3,2,252
e1,3,209
a3,2,252
e3,3,195
a3,2,252
h3,3,175
a3,2,252
c4,3,193
a3,2,252
f4,3,187
a3,2,252
g4,3,180
a3,2,252
h4,3,195
a3,2,252
b5,3,110
a3,2,252
d5,3,183
a3,2,252
c6,3,198
a3,2,252
f7,3,123
a3,2,252
g2,1,96
d3,2,-Infinity
e1,3,171
d3,2,171
a3,3,165
d3,2,171
e3,3,177
d3,2,177
h3,3,135
d3,2,177
c4,3,153
d3,2,177
f4,3,147
d3,2,177
g4,3,140
d3,2,177
h4,3,155
d3,2,177
b5,3,126
d3,2,177
d5,3,143
d3,2,177
c6,3,158
d3,2,177
g6,3,147
d3,2,177
f7,3,83
d3,2,177
g2,1,96
e3,2,-Infinity
e1,3,151
e3,2,151
a3,3,145
e3,2,151
d3,3,133
e3,2,151
c4,3,133
e3,2,151
f4,3,141
e3,2,151
g4,3,134
e3,2,151
h4,3,135
e3,2,151
b5,3,106
e3,2,151
d5,3,137
e3,2,151
c6,3,138
e3,2,151
f7,3,63
e3,2,151
g2,1,96
h3,2,-Infinity
e1,3,201
h3,2,201
h1,3,218
h3,2,218
a3,3,197
h3,2,218
d3,3,185
h3,2,218
e3,3,187
h3,2,218
c4,3,185
h3,2,218
f4,3,179
h3,2,218
g4,3,180
h3,2,218
h4,3,203
h3,2,218
b5,3,158
h3,2,218
d5,3,175
h3,2,218
c6,3,190
h3,2,218
f7,3,115
h3,2,218
g2,1,96
c4,2,-Infinity
e1,3,165
c4,2,165
a3,3,161
c4,2,165
e3,3,151
c4,2,165
h3,3,131
c4,2,165
f4,3,143
c4,2,165
g4,3,136
c4,2,165
h4,3,151
c4,2,165
b5,3,114
c4,2,165
d5,3,139
c4,2,165
c6,3,184
c4,2,184
f7,3,79
c4,2,184
g2,1,96
f4,2,-Infinity
e1,3,151
f4,2,151
a3,3,147
f4,2,151
d3,3,135
f4,2,151
e3,3,137
f4,2,151
c4,3,135
f4,2,151
g4,3,136
f4,2,151
h4,3,145
f4,2,151
b5,3,108
f4,2,151
d5,3,139
f4,2,151
c6,3,140
f4,2,151
f7,3,65
f4,2,151
g2,1,96
g4,2,-Infinity
e1,3,156
g4,2,156
a3,3,152
g4,2,156
d3,3,140
g4,2,156
e3,3,142
g4,2,156
h3,3,140
g4,2,156
c4,3,140
g4,2,156
f4,3,148
g4,2,156
h4,3,142
g4,2,156
b5,3,113
g4,2,156
d5,3,144
g4,2,156
c6,3,145
g4,2,156
g6,3,98
g4,2,156
f7,3,70
g4,2,156
g2,1,96
c6,2,-Infinity
e1,3,162
c6,2,162
a3,3,158
c6,2,162
d3,3,146
c6,2,162
e3,3,148
c6,2,162
h3,3,128
c6,2,162
c4,3,146
c6,2,162
f4,3,132
c6,2,162
g4,3,133
c6,2,162
h4,3,148
c6,2,162
b5,3,133
c6,2,162
d5,3,136
c6,2,162
b7,3,96
c6,2,162
f7,3,76
c6,2,162
g2,1,96
g6,2,-Infinity
e1,3,151
g6,2,151
a3,3,147
g6,2,151
d3,3,135
g6,2,151
e3,3,137
g6,2,151
h3,3,117
g6,2,151
c4,3,135
g6,2,151
f4,3,121
g6,2,151
g4,3,122
g6,2,151
h4,3,151
g6,2,151
b5,3,108
g6,2,151
d5,3,125
g6,2,151
f7,3,65
g6,2,151
g2,1,96
f7,2,-Infinity
e1,3,151
f7,2,151
a3,3,147
f7,2,151
d3,3,135
f7,2,151
e3,3,137
f7,2,151
h3,3,117
f7,2,151
c4,3,135
f7,2,151
f4,3,135
f7,2,151
g4,3,122
f7,2,151
h4,3,151
f7,2,151
b5,3,108
f7,2,151
d5,3,125
f7,2,151
g6,3,105
f7,2,151
g2,1,96
g8,2,-Infinity
e1,3,129
g8,2,129
a3,3,125
g8,2,129
d3,3,113
g8,2,129
e3,3,115
g8,2,129
h3,3,95
g8,2,129
c4,3,113
g8,2,129
f4,3,107
g8,2,129
g4,3,100
g8,2,129
h4,3,115
g8,2,129
b5,3,86
g8,2,129
d5,3,103
g8,2,129
c6,3,118
g8,2,129
f7,3,43
g8,2,129
g2,1,96
root,0,154
a3,1,Infinity
a1,2,-Infinity
e1,3,188
a1,2,188
d3,3,192
a1,2,192
e3,3,186
a1,2,192
h3,3,174
a1,2,192
f4,3,178
a1,2,192
g4,3,187
a1,2,192
h4,3,202
a1,2,202
d5,3,174
a1,2,202
f7,3,122
a1,2,202
a3,1,202
g2,2,-Infinity
a1,3,302
g2,2,302
e1,3,261
g2,2,302
d3,3,229
g2,2,302
e3,3,231
g2,2,302
f4,3,223
g2,2,302
g4,3,232
g2,2,302
h4,3,247
g2,2,302
f7,3,167
g2,2,302
a3,1,202
e3,2,-Infinity
a1,3,274
e3,2,274
e1,3,243
e3,2,274
g1,3,183
e3,2,274
g2,3,139
e3,2,274
d3,3,201
e3,2,274
f4,3,195
e3,2,274
g4,3,204
e3,2,274
h4,3,219
e3,2,274
f7,3,139
e3,2,274
a3,1,202
c4,2,-Infinity
a1,3,296
c4,2,296
e1,3,255
c4,2,296
g2,3,161
c4,2,296
d3,3,215
c4,2,296
e3,3,225
c4,2,296
h3,3,213
c4,2,296
f4,3,225
c4,2,296
g4,3,226
c4,2,296
h4,3,241
c4,2,296
d5,3,213
c4,2,296
f7,3,161
c4,2,296
a3,1,202
f4,2,-Infinity
a1,3,274
f4,2,274
e1,3,233
f4,2,274
g2,3,139
f4,2,274
d3,3,201
f4,2,274
e3,3,203
f4,2,274
g4,3,204
f4,2,274
h4,3,219
f4,2,274
f7,3,139
f4,2,274
a3,1,202
g4,2,-Infinity
a1,3,281
g4,2,281
e1,3,240
g4,2,281
g2,3,146
g4,2,281
d3,3,208
g4,2,281
e3,3,210
g4,2,281
h3,3,216
g4,2,281
f4,3,202
g4,2,281
h4,3,226
g4,2,281
f7,3,146
g4,2,281
a3,1,202
c6,2,-Infinity
a1,3,285
c6,2,285
e1,3,244
c6,2,285
g2,3,150
c6,2,285
d3,3,212
c6,2,285
e3,3,214
c6,2,285
h3,3,202
c6,2,285
f4,3,206
c6,2,285
g4,3,215
c6,2,285
h4,3,230
c6,2,285
b5,3,213
c6,2,285
d5,3,210
c6,2,285
b7,3,170
c6,2,285
f7,3,150
c6,2,285
a3,1,202
g6,2,-Infinity
a1,3,282
g6,2,282
e1,3,241
g6,2,282
g2,3,147
g6,2,282
d3,3,209
g6,2,282
e3,3,211
g6,2,282
h3,3,199
g6,2,282
f4,3,195
g6,2,282
g4,3,212
g6,2,282
h4,3,241
g6,2,282
d5,3,199
g6,2,282
f7,3,147
g6,2,282
a3,1,202
f7,2,-Infinity
a1,3,282
f7,2,282
e1,3,241
f7,2,282
g2,3,147
f7,2,282
d3,3,209
f7,2,282
e3,3,211
f7,2,282
h3,3,199
f7,2,282
f4,3,209
f7,2,282
g4,3,212
f7,2,282
h4,3,241
f7,2,282
d5,3,199
f7,2,282
g6,3,209
f7,2,282
a3,1,202
g8,2,-Infinity
a1,3,260
g8,2,260
e1,3,219
g8,2,260
g2,3,125
g8,2,260
d3,3,187
g8,2,260
e3,3,189
g8,2,260
h3,3,177
g8,2,260
f4,3,181
g8,2,260
g4,3,190
g8,2,260
h4,3,205
g8,2,260
d5,3,177
g8,2,260
f7,3,125
g8,2,260
a3,1,202
root,0,202
d3,1,Infinity
a1,2,-Infinity
e1,3,148
a1,2,148
g2,3,96
a1,2,148
a3,3,170
a1,2,170
e3,3,160
a1,2,170
h3,3,140
a1,2,170
c4,3,158
a1,2,170
f4,3,152
a1,2,170
g4,3,153
a1,2,170
h4,3,168
a1,2,170
b5,3,131
a1,2,170
d5,3,148
a1,2,170
c6,3,163
a1,2,170
g6,3,144
a1,2,170
f7,3,88
a1,2,170
d3,1,170
g2,2,-Infinity
e1,3,227
g2,2,227
a3,3,229
g2,2,229
e3,3,219
g2,2,229
f4,3,211
g2,2,229
g4,3,212
g2,2,229
h4,3,227
g2,2,229
b5,3,190
g2,2,229
d5,3,207
g2,2,229
c6,3,222
g2,2,229
g6,3,203
g2,2,229
f7,3,147
g2,2,229
d3,1,170
a3,2,-Infinity
a1,3,292
a3,2,292
e1,3,257
a3,2,292
g2,3,185
a3,2,292
e3,3,249
a3,2,292
h3,3,229
a3,2,292
f4,3,241
a3,2,292
g4,3,242
a3,2,292
h4,3,257
a3,2,292
b5,3,220
a3,2,292
d5,3,237
a3,2,292
c6,3,252
a3,2,292
g6,3,233
a3,2,292
f7,3,177
a3,2,292
d3,1,170
e3,2,-Infinity
e1,3,209
e3,2,209
g1,3,171
e3,2,209
g2,3,127
e3,2,209
a3,3,201
e3,2,209
h3,3,193
e3,2,209
f4,3,183
e3,2,209
g4,3,184
e3,2,209
h4,3,199
e3,2,209
b5,3,162
e3,2,209
d5,3,179
e3,2,209
c6,3,194
e3,2,209
g6,3,175
e3,2,209
f7,3,119
e3,2,209
d3,1,170
c4,2,-Infinity
e1,3,215
c4,2,215
g2,3,127
c4,2,215
a3,3,209
c4,2,215
e3,3,199
c4,2,215
h3,3,179
c4,2,215
f4,3,191
c4,2,215
g4,3,192
c4,2,215
h4,3,207
c4,2,215
b5,3,162
c4,2,215
d5,3,187
c4,2,215
c6,3,202
c4,2,215
g6,3,183
c4,2,215
f7,3,127
c4,2,215
d3,1,170
f4,2,-Infinity
e1,3,199
f4,2,199
g2,3,127
f4,2,199
a3,3,201
f4,2,201
e3,3,191
f4,2,201
g4,3,184
f4,2,201
h4,3,199
f4,2,201
b5,3,162
f4,2,201
d5,3,179
f4,2,201
c6,3,194
f4,2,201
g6,3,175
f4,2,201
f7,3,119
f4,2,201
d3,1,170
g4,2,-Infinity
e1,3,206
g4,2,206
g2,3,134
g4,2,206
a3,3,208
g4,2,208
e3,3,198
g4,2,208
h3,3,196
g4,2,208
f4,3,190
g4,2,208
h4,3,206
g4,2,208
b5,3,169
g4,2,208
d5,3,186
g4,2,208
c6,3,201
g4,2,208
g6,3,182
g4,2,208
f7,3,126
g4,2,208
d3,1,170
c6,2,-Infinity
e1,3,218
c6,2,218
g2,3,146
c6,2,218
a3,3,220
c6,2,220
e3,3,210
c6,2,220
h3,3,190
c6,2,220
f4,3,194
c6,2,220
g4,3,203
c6,2,220
h4,3,218
c6,2,220
b5,3,195
c6,2,220
d5,3,198
c6,2,220
g6,3,194
c6,2,220
b7,3,158
c6,2,220
f7,3,138
c6,2,220
d3,1,170
g6,2,-Infinity
e1,3,207
g6,2,207
g2,3,135
g6,2,207
a3,3,209
g6,2,209
e3,3,199
