OO***OXX
**XOOX**
O**OO*OX
**OXOOXO
OX*OOOO*
OXX*OXOX
O*X*O**X
***XXX*X
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
c1,2,-Infinity
d1,3,-80
c1,2,-80
e2,3,-91
c1,2,-80
h2,3,-96
c1,2,-80
c3,3,-103
c1,2,-80
c5,3,-106
c1,2,-80
d6,3,-94
c1,2,-80
b7,3,-114
c1,2,-80
f7,3,-94
c1,2,-80
g7,3,-114
c1,2,-80
e1,1,-80
d1,2,-Infinity
c1,3,-120
d1,2,-120
e2,3,-117
d1,2,-117
h2,3,-122
d1,2,-117
c3,3,-123
d1,2,-117
c5,3,-132
d1,2,-117
d6,3,-120
d1,2,-117
b7,3,-140
d1,2,-117
f7,3,-120
d1,2,-117
g7,3,-140
d1,2,-117
e1,1,-117
e2,2,-Infinity
c1,3,-83
e2,2,-83
d1,3,-85
e2,2,-83
b2,3,-137
e2,2,-83
h2,3,-85
e2,2,-83
c3,3,-92
e2,2,-83
c5,3,-95
e2,2,-83
d6,3,-83
e2,2,-83
b7,3,-103
e2,2,-83
f7,3,-83
e2,2,-83
g7,3,-103
e2,2,-83
e1,1,-117
g2,2,-Infinity
b2,3,-102
g2,2,-102
e2,3,-57
g2,2,-57
h2,3,-118
g2,2,-57
c3,3,-63
g2,2,-57
c5,3,-72
g2,2,-57
d6,3,-60
g2,2,-57
b7,3,-80
g2,2,-57
f7,3,-60
g2,2,-57
g7,3,-80
g2,2,-57
e1,1,-117
f3,2,-Infinity
b2,3,-149
f3,2,-149
e2,3,-104
f3,2,-104
g2,3,-155
f3,2,-104
h2,3,-109
f3,2,-104
c3,3,-110
f3,2,-104
c5,3,-119
f3,2,-104
d6,3,-99
f3,2,-99
f7,3,-77
f3,2,-77
g7,3,-127
f3,2,-77
e1,1,-117
b4,2,-Infinity
b2,3,-139
b4,2,-139
e2,3,-92
b4,2,-92
h2,3,-99
b4,2,-92
b3,3,-103
b4,2,-92
c3,3,-106
b4,2,-92
a4,3,-99
b4,2,-92
c5,3,-115
b4,2,-92
d6,3,-97
b4,2,-92
b7,3,-117
b4,2,-92
f7,3,-97
b4,2,-92
g7,3,-117
b4,2,-92
e1,1,-117
h5,2,-Infinity
b2,3,-152
h5,2,-152
e2,3,-107
h5,2,-107
c3,3,-113
h5,2,-107
c5,3,-122
h5,2,-107
d6,3,-110
h5,2,-107
b7,3,-130
h5,2,-107
f7,3,-110
h5,2,-107
g7,3,-130
h5,2,-107
e1,1,-117
d6,2,-Infinity
b2,3,-140
d6,2,-140
e2,3,-95
d6,2,-95
h2,3,-100
d6,2,-95
c3,3,-101
d6,2,-95
c5,3,-110
d6,2,-95
b7,3,-118
d6,2,-95
d7,3,-87
d6,2,-87
f7,3,-90
d6,2,-87
g7,3,-118
d6,2,-87
b8,3,-116
d6,2,-87
e1,1,-117
d7,2,-Infinity
b2,3,-147
d7,2,-147
e2,3,-102
d7,2,-102
h2,3,-107
d7,2,-102
c3,3,-108
d7,2,-102
c5,3,-117
d7,2,-102
d6,3,-83
d7,2,-83
b7,3,-139
d7,2,-83
f7,3,-89
d7,2,-83
g7,3,-125
d7,2,-83
e1,1,-117
g7,2,-Infinity
b2,3,-96
g7,2,-96
e2,3,-51
g7,2,-51
h2,3,-56
g7,2,-51
c3,3,-57
g7,2,-51
c5,3,-66
g7,2,-51
h5,3,-64
g7,2,-51
d6,3,-54
g7,2,-51
b7,3,-74
g7,2,-51
f7,3,-54
g7,2,-51
g8,3,-140
g7,2,-51
e1,1,-117
root,0,-117
b2,1,Infinity
c1,2,-Infinity
d1,3,-110
c1,2,-110
e1,3,-136
c1,2,-110
e2,3,-127
c1,2,-110
h2,3,-126
c1,2,-110
c3,3,-127
c1,2,-110
f3,3,-135
c1,2,-110
c5,3,-144
c1,2,-110
d6,3,-124
c1,2,-110
b7,3,-144
c1,2,-110
f7,3,-124
c1,2,-110
g7,3,-144
c1,2,-110
b2,1,-110
d1,2,-Infinity
c1,3,-122
d1,2,-122
e1,3,-134
d1,2,-122
e2,3,-125
d1,2,-122
h2,3,-124
d1,2,-122
c3,3,-125
d1,2,-122
f3,3,-133
d1,2,-122
c5,3,-142
d1,2,-122
d6,3,-122
d1,2,-122
b7,3,-142
d1,2,-122
f7,3,-122
d1,2,-122
g7,3,-142
d1,2,-122
b2,1,-122
e1,2,-Infinity
e2,3,-141
e1,2,-141
h2,3,-146
e1,2,-141
c3,3,-147
e1,2,-141
c5,3,-164
e1,2,-141
d6,3,-144
e1,2,-141
b7,3,-164
e1,2,-141
f7,3,-144
e1,2,-141
g7,3,-164
e1,2,-141
b2,1,-141
g2,2,-Infinity
e1,3,-110
g2,2,-110
e2,3,-87
g2,2,-87
h2,3,-100
g2,2,-87
c3,3,-93
g2,2,-87
f3,3,-101
g2,2,-87
c5,3,-110
g2,2,-87
d6,3,-90
g2,2,-87
b7,3,-110
g2,2,-87
f7,3,-90
g2,2,-87
g7,3,-110
g2,2,-87
b2,1,-141
f3,2,-Infinity
e1,3,-157
f3,2,-157
e2,3,-134
f3,2,-134
g2,3,-185
f3,2,-134
h2,3,-139
f3,2,-134
c3,3,-140
f3,2,-134
c5,3,-157
f3,2,-134
d6,3,-129
f3,2,-129
f7,3,-115
f3,2,-115
g7,3,-157
f3,2,-115
b2,1,-141
b4,2,-Infinity
e1,3,-139
b4,2,-139
e2,3,-122
b4,2,-122
h2,3,-129
b4,2,-122
b3,3,-133
b4,2,-122
c3,3,-136
b4,2,-122
f3,3,-138
b4,2,-122
a4,3,-129
b4,2,-122
c5,3,-153
b4,2,-122
d6,3,-127
b4,2,-122
b7,3,-147
b4,2,-122
f7,3,-127
b4,2,-122
g7,3,-147
b4,2,-122
b2,1,-141
h5,2,-Infinity
e1,3,-152
h5,2,-152
e2,3,-137
h5,2,-137
c3,3,-143
h5,2,-137
f3,3,-151
h5,2,-137
c5,3,-160
h5,2,-137
d6,3,-140
h5,2,-137
b7,3,-160
h5,2,-137
f7,3,-140
h5,2,-137
g7,3,-160
h5,2,-137
b2,1,-141
d6,2,-Infinity
e1,3,-140
d6,2,-140
e2,3,-125
d6,2,-125
h2,3,-130
d6,2,-125
c3,3,-131
d6,2,-125
f3,3,-139
d6,2,-125
c5,3,-148
d6,2,-125
b7,3,-148
d6,2,-125
d7,3,-117
d6,2,-117
f7,3,-120
d6,2,-117
g7,3,-148
d6,2,-117
b8,3,-146
d6,2,-117
b2,1,-141
d7,2,-Infinity
e1,3,-147
d7,2,-147
e2,3,-132
d7,2,-132
h2,3,-137
d7,2,-132
c3,3,-138
d7,2,-132
f3,3,-146
d7,2,-132
c5,3,-155
d7,2,-132
d6,3,-113
d7,2,-113
b7,3,-169
d7,2,-113
f7,3,-119
d7,2,-113
g7,3,-155
d7,2,-113
b2,1,-141
g7,2,-Infinity
e1,3,-96
g7,2,-96
e2,3,-81
g7,2,-81
h2,3,-86
g7,2,-81
c3,3,-87
g7,2,-81
f3,3,-95
g7,2,-81
c5,3,-104
g7,2,-81
h5,3,-94
g7,2,-81
d6,3,-84
g7,2,-81
b7,3,-104
g7,2,-81
f7,3,-84
g7,2,-81
g8,3,-170
g7,2,-81
b2,1,-141
root,0,-117
e2,1,Infinity
c1,2,-Infinity
d1,3,-83
c1,2,-83
e1,3,-101
c1,2,-83
b2,3,-137
c1,2,-83
g2,3,-131
c1,2,-83
h2,3,-91
c1,2,-83
c3,3,-92
c1,2,-83
f3,3,-84
c1,2,-83
c5,3,-109
c1,2,-83
h5,3,-99
c1,2,-83
d6,3,-89
c1,2,-83
b7,3,-109
c1,2,-83
f7,3,-89
c1,2,-83
g7,3,-109
c1,2,-83
e2,1,-83
d1,2,-Infinity
c1,3,-93
d1,2,-93
e1,3,-97
d1,2,-93
b2,3,-133
d1,2,-93
g2,3,-127
d1,2,-93
h2,3,-87
d1,2,-87
c3,3,-80
d1,2,-80
f3,3,-96
d1,2,-80
c5,3,-105
d1,2,-80
d6,3,-85
d1,2,-80
b7,3,-105
d1,2,-80
f7,3,-85
d1,2,-80
g7,3,-105
d1,2,-80
e2,1,-83
e1,2,-Infinity
b2,3,-145
e1,2,-145
g2,3,-151
e1,2,-145
h2,3,-105
e1,2,-105
f3,3,-98
e1,2,-98
c5,3,-123
e1,2,-98
d6,3,-81
e1,2,-81
b7,3,-123
e1,2,-81
d7,3,-108
e1,2,-81
f7,3,-95
e1,2,-81
e2,1,-83
g2,2,-Infinity
e1,3,-65
g2,2,-65
b2,3,-87
g2,2,-65
h2,3,-111
g2,2,-65
c3,3,-48
g2,2,-48
f3,3,-56
g2,2,-48
c5,3,-65
g2,2,-48
d6,3,-45
g2,2,-45
b7,3,-65
g2,2,-45
f7,3,-45
g2,2,-45
g7,3,-65
g2,2,-45
e2,1,-83
f3,2,-Infinity
e1,3,-112
f3,2,-112
b2,3,-134
f3,2,-112
g2,3,-148
f3,2,-112
h2,3,-94
f3,2,-94
c3,3,-95
f3,2,-94
c5,3,-112
f3,2,-94
h5,3,-88
f3,2,-88
d6,3,-92
f3,2,-88
f7,3,-70
f3,2,-70
g7,3,-112
f3,2,-70
e2,1,-83
b4,2,-Infinity
e1,3,-94
b4,2,-94
b2,3,-124
b4,2,-94
g2,3,-124
b4,2,-94
h2,3,-84
b4,2,-84
b3,3,-88
b4,2,-84
c3,3,-91
b4,2,-84
f3,3,-93
b4,2,-84
a4,3,-84
b4,2,-84
c5,3,-108
b4,2,-84
d6,3,-82
b4,2,-82
b7,3,-102
b4,2,-82
f7,3,-82
b4,2,-82
g7,3,-102
b4,2,-82
e2,1,-83
h5,2,-Infinity
e1,3,-107
h5,2,-107
b2,3,-137
h5,2,-107
g2,3,-137
h5,2,-107
c3,3,-98
h5,2,-98
f3,3,-106
h5,2,-98
c5,3,-115
h5,2,-98
d6,3,-95
h5,2,-95
b7,3,-115
h5,2,-95
f7,3,-95
h5,2,-95
g7,3,-115
h5,2,-95
e2,1,-95
d6,2,-Infinity
e1,3,-95
d6,2,-95
b2,3,-125
d6,2,-95
g2,3,-125
d6,2,-95
h2,3,-85
d6,2,-85
c3,3,-86
d6,2,-85
f3,3,-94
d6,2,-85
c5,3,-103
d6,2,-85
b7,3,-103
d6,2,-85
d7,3,-80
d6,2,-80
f7,3,-75
d6,2,-75
g7,3,-103
d6,2,-75
b8,3,-101
d6,2,-75
e2,1,-95
d7,2,-Infinity
e1,3,-102
d7,2,-102
b2,3,-132
d7,2,-102
g2,3,-132
d7,2,-102
h2,3,-92
d7,2,-92
c3,3,-93
d7,2,-92
f3,3,-101
d7,2,-92
c5,3,-110
d7,2,-92
d6,3,-68
d7,2,-68
b7,3,-124
d7,2,-68
f7,3,-74
d7,2,-68
g7,3,-110
d7,2,-68
e2,1,-95
g7,2,-Infinity
e1,3,-51
g7,2,-51
b2,3,-81
g7,2,-51
g2,3,-81
g7,2,-51
h2,3,-41
g7,2,-41
c3,3,-42
g7,2,-41
f3,3,-50
g7,2,-41
c5,3,-59
g7,2,-41
h5,3,-49
g7,2,-41
d6,3,-39
g7,2,-39
b7,3,-59
g7,2,-39
f7,3,-39
g7,2,-39
g8,3,-125
g7,2,-39
e2,1,-95
root,0,-95
h2,1,Infinity
c1,2,-Infinity
d1,3,-70
c1,2,-70
e1,3,-96
c1,2,-70
e2,3,-81
c1,2,-70
c3,3,-87
c1,2,-70
f3,3,-95
c1,2,-70
c5,3,-104
c1,2,-70
d6,3,-84
c1,2,-70
b7,3,-104
c1,2,-70
f7,3,-84
c1,2,-70
g7,3,-104
c1,2,-70
h2,1,-70
d1,2,-Infinity
c1,3,-82
d1,2,-82
e1,3,-94
d1,2,-82
e2,3,-79
d1,2,-79
c3,3,-85
d1,2,-79
f3,3,-93
d1,2,-79
c5,3,-102
d1,2,-79
d6,3,-82
d1,2,-79
b7,3,-102
d1,2,-79
f7,3,-82
d1,2,-79
g7,3,-102
d1,2,-79
h2,1,-79
e1,2,-Infinity
b2,3,-146
e1,2,-146
e2,3,-101
e1,2,-101
c3,3,-107
e1,2,-101
c5,3,-124
e1,2,-101
d6,3,-104
e1,2,-101
b7,3,-124
e1,2,-101
f7,3,-104
e1,2,-101
g7,3,-124
e1,2,-101
h2,1,-101
e2,2,-Infinity
c1,3,-73
e2,2,-73
d1,3,-75
e2,2,-73
e1,3,-83
e2,2,-73
c3,3,-76
e2,2,-73
f3,3,-84
e2,2,-73
c5,3,-93
e2,2,-73
d6,3,-73
e2,2,-73
b7,3,-93
e2,2,-73
f7,3,-73
e2,2,-73
g7,3,-93
e2,2,-73
h2,1,-101
g2,2,-Infinity
e1,3,-70
g2,2,-70
b2,3,-92
g2,2,-70
e2,3,-103
g2,2,-70
c3,3,-53
g2,2,-53
f3,3,-69
g2,2,-53
c5,3,-70
g2,2,-53
d6,3,-50
g2,2,-50
b7,3,-70
g2,2,-50
f7,3,-50
g2,2,-50
g7,3,-70
g2,2,-50
h2,1,-101
f3,2,-Infinity
e1,3,-117
f3,2,-117
b2,3,-147
f3,2,-117
e2,3,-102
f3,2,-102
c3,3,-78
f3,2,-78
c5,3,-125
f3,2,-78
d6,3,-97
f3,2,-78
f7,3,-83
f3,2,-78
g7,3,-125
f3,2,-78
h2,1,-101
b4,2,-Infinity
e1,3,-99
b4,2,-99
b2,3,-129
b4,2,-99
e2,3,-82
b4,2,-82
b3,3,-93
b4,2,-82
c3,3,-96
b4,2,-82
f3,3,-98
b4,2,-82
a4,3,-89
b4,2,-82
c5,3,-113
b4,2,-82
d6,3,-87
b4,2,-82
b7,3,-107
b4,2,-82
f7,3,-87
b4,2,-82
g7,3,-107
b4,2,-82
h2,1,-101
h5,2,-Infinity
e1,3,-112
h5,2,-112
b2,3,-142
h5,2,-112
e2,3,-97
h5,2,-97
c3,3,-103
h5,2,-97
f3,3,-111
h5,2,-97
c5,3,-120
h5,2,-97
d6,3,-100
h5,2,-97
b7,3,-120
h5,2,-97
f7,3,-100
h5,2,-97
g7,3,-120
h5,2,-97
h2,1,-101
d6,2,-Infinity
e1,3,-100
d6,2,-100
b2,3,-130
d6,2,-100
e2,3,-85
d6,2,-85
c3,3,-91
d6,2,-85
f3,3,-99
d6,2,-85
c5,3,-108
d6,2,-85
b7,3,-108
d6,2,-85
d7,3,-77
d6,2,-77
f7,3,-80
d6,2,-77
g7,3,-108
d6,2,-77
b8,3,-106
d6,2,-77
h2,1,-101
d7,2,-Infinity
e1,3,-107
d7,2,-107
b2,3,-137
d7,2,-107
e2,3,-92
d7,2,-92
c3,3,-98
d7,2,-92
f3,3,-106
d7,2,-92
c5,3,-115
d7,2,-92
d6,3,-73
d7,2,-73
b7,3,-129
d7,2,-73
f7,3,-79
d7,2,-73
g7,3,-115
d7,2,-73
c8,3,-93
d7,2,-73
h2,1,-101
g7,2,-Infinity
e1,3,-56
g7,2,-56
b2,3,-86
g7,2,-56
e2,3,-41
g7,2,-41
c3,3,-47
g7,2,-41
f3,3,-55
g7,2,-41
c5,3,-64
g7,2,-41
h5,3,-54
g7,2,-41
d6,3,-44
g7,2,-41
b7,3,-64
g7,2,-41
f7,3,-44
g7,2,-41
g8,3,-130
g7,2,-41
h2,1,-101
root,0,-95
c3,1,Infinity
c1,2,-Infinity
d1,3,-71
c1,2,-71
e1,3,-103
c1,2,-71
e2,3,-82
c1,2,-71
h2,3,-87
c1,2,-71
f3,3,-80
c1,2,-71
c5,3,-105
c1,2,-71
d6,3,-85
c1,2,-71
b7,3,-105
c1,2,-71
f7,3,-85
c1,2,-71
g7,3,-105
c1,2,-71
c3,1,-71
d1,2,-Infinity
c1,3,-91
d1,2,-91
e1,3,-101
d1,2,-91
e2,3,-80
d1,2,-80
h2,3,-85
d1,2,-80
f3,3,-78
d1,2,-78
c5,3,-103
d1,2,-78
d6,3,-83
d1,2,-78
b7,3,-103
d1,2,-78
f7,3,-83
d1,2,-78
g7,3,-103
d1,2,-78
c3,1,-78
e1,2,-Infinity
c1,3,-115
e1,2,-115
b2,3,-147
e1,2,-115
e2,3,-102
e1,2,-102
h2,3,-107
e1,2,-102
f3,3,-92
e1,2,-92
c5,3,-125
e1,2,-92
d6,3,-105
e1,2,-92
b7,3,-125
