XXXXO**X
XOOOOX*O
XXOOOX**
**XOOX**
XXXXOOX*
XOX*O**X
**XXO*O*
*XXXXXXX
Node,Depth,Value
root,0,-Infinity
f1,1,Infinity
g1,2,-Infinity
g2,3,360
g1,2,360
g3,3,380
g1,2,380
h3,3,384
g1,2,384
b4,3,397
g1,2,397
g4,3,405
g1,2,405
d6,3,396
g1,2,405
f6,3,325
g1,2,405
g6,3,396
g1,2,405
a7,3,376
g1,2,405
b7,3,360
g1,2,405
f7,3,390
g1,2,405
c8,3,424
g1,2,424
f1,1,424
g2,2,-Infinity
g1,3,392
g2,2,392
g3,3,410
g2,2,410
h3,3,344
g2,2,410
b4,3,405
g2,2,410
g4,3,421
g2,2,421
d6,3,404
g2,2,421
f6,3,333
g2,2,421
g6,3,404
g2,2,421
a7,3,384
g2,2,421
b7,3,368
g2,2,421
f7,3,398
g2,2,421
c8,3,432
g2,2,432
f1,1,424
g3,2,-Infinity
g2,3,348
g3,2,348
h3,3,364
g3,2,364
b4,3,363
g3,2,364
g4,3,393
g3,2,393
h4,3,356
g3,2,393
f6,3,313
g3,2,393
g6,3,362
g3,2,393
a7,3,342
g3,2,393
b7,3,326
g3,2,393
f7,3,356
g3,2,393
c8,3,390
g3,2,393
f1,1,393
a4,2,-Infinity
h3,3,368
a4,2,368
b4,3,325
a4,2,368
d6,3,386
a4,2,386
f6,3,309
a4,2,386
g6,3,380
a4,2,386
a7,3,360
a4,2,386
b7,3,366
a4,2,386
f7,3,368
a4,2,386
c8,3,408
a4,2,408
f1,1,393
b4,2,-Infinity
h3,3,377
b4,2,377
a4,3,371
b4,2,377
g4,3,398
b4,2,398
d6,3,389
b4,2,398
f6,3,318
b4,2,398
g6,3,389
b4,2,398
a7,3,369
b4,2,398
b7,3,285
b4,2,398
f7,3,383
b4,2,398
c8,3,417
b4,2,417
f1,1,393
g4,2,-Infinity
g3,3,361
g4,2,361
h3,3,373
g4,2,373
b4,3,376
g4,2,376
h4,3,379
g4,2,379
h5,3,371
g4,2,379
f6,3,312
g4,2,379
g6,3,375
g4,2,379
a7,3,355
g4,2,379
b7,3,339
g4,2,379
f7,3,369
g4,2,379
c8,3,403
g4,2,403
f1,1,393
h5,2,-Infinity
h3,3,368
h5,2,368
b4,3,381
h5,2,381
g4,3,389
h5,2,389
h4,3,394
h5,2,394
d6,3,380
h5,2,394
f6,3,309
h5,2,394
g6,3,380
h5,2,394
a7,3,360
h5,2,394
b7,3,344
h5,2,394
f7,3,374
h5,2,394
c8,3,408
h5,2,408
f1,1,393
d6,2,-Infinity
h3,3,356
d6,2,356
b4,3,369
d6,2,369
f6,3,319
d6,2,369
g6,3,368
d6,2,369
a7,3,348
d6,2,369
b7,3,346
d6,2,369
f7,3,356
d6,2,369
c8,3,396
d6,2,396
f1,1,393
b7,2,-Infinity
h3,3,392
b7,2,392
b4,3,405
b7,2,405
d6,3,402
b7,2,405
f6,3,333
b7,2,405
g6,3,404
b7,2,405
a7,3,384
b7,2,405
f7,3,404
b7,2,405
a8,3,465
b7,2,465
c8,3,390
b7,2,465
f1,1,393
c8,2,-Infinity
h3,3,344
c8,2,344
b4,3,365
c8,2,365
d6,3,354
c8,2,365
f6,3,285
c8,2,365
g6,3,356
c8,2,365
a7,3,352
c8,2,365
b7,3,334
c8,2,365
f7,3,356
c8,2,365
f1,1,365
root,0,365
h3,1,Infinity
f1,2,-Infinity
g1,3,344
f1,2,344
g2,3,238
f1,2,344
g3,3,364
f1,2,364
g4,3,353
f1,2,364
f6,3,249
f1,2,364
g6,3,328
f1,2,364
a7,3,308
f1,2,364
b7,3,292
f1,2,364
f7,3,322
f1,2,364
c8,3,356
f1,2,364
h3,1,364
g1,2,-Infinity
f1,3,360
g1,2,360
g2,3,262
g1,2,360
g4,3,375
g1,2,375
d6,3,366
g1,2,375
f6,3,295
g1,2,375
g6,3,366
g1,2,375
a7,3,346
g1,2,375
b7,3,330
g1,2,375
f7,3,360
g1,2,375
c8,3,394
g1,2,394
h3,1,364
g2,2,-Infinity
f1,3,344
g2,2,344
g1,3,356
g2,2,356
g3,3,404
g2,2,404
g4,3,385
g2,2,404
d6,3,368
g2,2,404
f6,3,297
g2,2,404
g6,3,368
g2,2,404
a7,3,348
g2,2,404
b7,3,332
g2,2,404
f7,3,362
g2,2,404
c8,3,396
g2,2,404
h3,1,364
g3,2,-Infinity
f1,3,358
g3,2,358
g1,3,328
g3,2,358
g2,3,250
g3,2,358
g4,3,365
g3,2,365
d6,3,340
g3,2,365
f6,3,261
g3,2,365
g6,3,340
g3,2,365
a7,3,320
g3,2,365
b7,3,304
g3,2,365
f7,3,334
g3,2,365
c8,3,368
g3,2,368
h3,1,364
a4,2,-Infinity
f1,3,368
a4,2,368
b4,3,287
a4,2,368
d6,3,356
a4,2,368
f6,3,279
a4,2,368
g6,3,350
a4,2,368
a7,3,330
a4,2,368
b7,3,336
a4,2,368
f7,3,338
a4,2,368
c8,3,378
a4,2,378
h3,1,364
b4,2,-Infinity
f1,3,379
b4,2,379
a4,3,341
b4,2,379
g4,3,368
b4,2,379
d6,3,359
b4,2,379
f6,3,288
b4,2,379
g6,3,359
b4,2,379
a7,3,339
b4,2,379
b7,3,255
b4,2,379
f7,3,353
b4,2,379
c8,3,387
b4,2,387
h3,1,364
g4,2,-Infinity
f1,3,349
g4,2,349
g2,3,317
g4,2,349
g3,3,361
g4,2,361
h4,3,335
g4,2,361
h5,3,335
g4,2,361
f6,3,282
g4,2,361
g6,3,331
g4,2,361
a7,3,311
g4,2,361
b7,3,295
g4,2,361
f7,3,325
g4,2,361
c8,3,359
g4,2,361
h3,1,361
h5,2,-Infinity
f1,3,368
h5,2,368
g4,3,359
h5,2,368
h4,3,364
h5,2,368
d6,3,350
h5,2,368
f6,3,279
h5,2,368
g6,3,350
h5,2,368
a7,3,330
h5,2,368
b7,3,314
h5,2,368
f7,3,344
h5,2,368
c8,3,378
h5,2,378
h3,1,361
d6,2,-Infinity
f1,3,356
d6,2,356
f6,3,289
d6,2,356
g6,3,338
d6,2,356
a7,3,318
d6,2,356
b7,3,316
d6,2,356
f7,3,326
d6,2,356
c8,3,366
d6,2,366
h3,1,361
b7,2,-Infinity
f1,3,392
b7,2,392
d6,3,374
b7,2,392
f6,3,303
b7,2,392
g6,3,374
b7,2,392
a7,3,354
b7,2,392
f7,3,374
b7,2,392
a8,3,435
b7,2,435
c8,3,360
b7,2,435
h3,1,361
c8,2,-Infinity
f1,3,352
c8,2,352
b4,3,327
c8,2,352
d6,3,324
c8,2,352
f6,3,255
c8,2,352
g6,3,326
c8,2,352
a7,3,322
c8,2,352
b7,3,304
c8,2,352
f7,3,326
c8,2,352
h3,1,352
root,0,365
g4,1,Infinity
g1,2,-Infinity
f1,3,381
g1,2,381
g2,3,283
g1,2,381
h3,3,375
g1,2,381
d6,3,387
g1,2,387
f6,3,308
g1,2,387
a7,3,367
g1,2,387
b7,3,351
g1,2,387
f7,3,373
g1,2,387
c8,3,415
g1,2,415
g4,1,415
g2,2,-Infinity
f1,3,413
g2,2,413
g1,3,377
g2,2,413
g3,3,425
g2,2,425
h3,3,377
g2,2,425
d6,3,389
g2,2,425
f6,3,310
g2,2,425
a7,3,369
g2,2,425
b7,3,353
g2,2,425
f7,3,375
g2,2,425
c8,3,417
g2,2,425
g4,1,415
g3,2,-Infinity
f1,3,393
g3,2,393
g1,3,349
g3,2,393
g2,3,263
g3,2,393
h3,3,385
g3,2,393
f6,3,282
g3,2,393
a7,3,341
g3,2,393
b7,3,325
g3,2,393
f7,3,347
g3,2,393
c8,3,389
g3,2,393
g4,1,393
a4,2,-Infinity
f1,3,389
a4,2,389
h3,3,359
a4,2,389
b4,3,308
a4,2,389
d6,3,377
a4,2,389
f6,3,292
a4,2,389
a7,3,351
a4,2,389
b7,3,357
a4,2,389
f7,3,351
a4,2,389
c8,3,393
a4,2,393
g4,1,393
b4,2,-Infinity
f1,3,400
b4,2,400
h3,3,368
b4,2,400
a4,3,362
b4,2,400
d6,3,380
b4,2,400
f6,3,301
b4,2,400
a7,3,360
b4,2,400
b7,3,276
b4,2,400
f7,3,366
b4,2,400
c8,3,408
b4,2,408
g4,1,393
h4,2,-Infinity
f1,3,381
h4,2,381
g3,3,349
h4,2,381
h3,3,345
h4,2,381
h5,3,359
h4,2,381
f6,3,284
h4,2,381
a7,3,343
h4,2,381
b7,3,327
h4,2,381
f7,3,349
h4,2,381
c8,3,391
h4,2,391
g4,1,391
h5,2,-Infinity
f1,3,373
h5,2,373
g2,3,341
h5,2,373
g3,3,391
h5,2,391
h3,3,345
h5,2,391
h4,3,363
h5,2,391
d6,3,355
h5,2,391
f6,3,284
h5,2,391
g6,3,355
h5,2,391
a7,3,335
h5,2,391
b7,3,319
h5,2,391
f7,3,341
h5,2,391
c8,3,383
h5,2,391
g4,1,391
d6,2,-Infinity
f1,3,377
d6,2,377
h3,3,347
d6,2,377
f6,3,280
d6,2,377
a7,3,339
d6,2,377
b7,3,337
d6,2,377
f7,3,339
d6,2,377
c8,3,381
d6,2,381
g4,1,381
g6,2,-Infinity
f1,3,385
g6,2,385
h3,3,355
g6,2,385
d6,3,367
g6,2,385
f6,3,288
g6,2,385
a7,3,347
g6,2,385
b7,3,331
g6,2,385
f7,3,353
g6,2,385
h7,3,355
g6,2,385
c8,3,395
g6,2,395
g4,1,381
b7,2,-Infinity
f1,3,413
b7,2,413
h3,3,383
b7,2,413
d6,3,395
b7,2,413
f6,3,316
b7,2,413
a7,3,375
b7,2,413
a8,3,456
b7,2,456
c8,3,375
b7,2,456
g4,1,381
c8,2,-Infinity
f1,3,367
c8,2,367
h3,3,329
c8,2,367
b4,3,342
c8,2,367
d6,3,339
c8,2,367
f6,3,262
c8,2,367
a7,3,337
c8,2,367
b7,3,311
c8,2,367
f7,3,327
c8,2,367
g4,1,367
root,0,367
d6,1,Infinity
f1,2,-Infinity
g1,3,356
f1,2,356
g2,3,250
f1,2,356
g3,3,384
f1,2,384
h3,3,328
f1,2,384
g4,3,365
f1,2,384
f6,3,303
f1,2,384
g6,3,340
f1,2,384
a7,3,320
f1,2,384
b7,3,304
f1,2,384
f7,3,334
f1,2,384
c8,3,368
f1,2,384
d6,1,384
g1,2,-Infinity
f1,3,372
g1,2,372
g2,3,274
g1,2,372
h3,3,366
g1,2,372
g4,3,387
g1,2,387
f6,3,349
g1,2,387
g6,3,378
g1,2,387
a7,3,358
g1,2,387
b7,3,342
g1,2,387
f7,3,372
g1,2,387
c8,3,406
g1,2,406
d6,1,384
g2,2,-Infinity
f1,3,404
g2,2,404
g1,3,368
g2,2,404
g3,3,416
g2,2,416
h3,3,368
g2,2,416
g4,3,397
g2,2,416
f6,3,351
g2,2,416
g6,3,380
g2,2,416
a7,3,360
g2,2,416
b7,3,344
g2,2,416
f7,3,374
g2,2,416
c8,3,408
g2,2,416
d6,1,384
g3,2,-Infinity
f1,3,384
g3,2,384
g1,3,348
g3,2,384
g2,3,270
g3,2,384
h3,3,384
g3,2,384
g4,3,377
g3,2,384
f6,3,331
g3,2,384
g6,3,360
g3,2,384
a7,3,340
g3,2,384
b7,3,324
g3,2,384
f7,3,354
g3,2,384
c8,3,388
g3,2,388
d6,1,384
a4,2,-Infinity
f1,3,380
a4,2,380
h3,3,350
a4,2,380
b4,3,299
a4,2,380
f6,3,333
a4,2,380
g6,3,362
a4,2,380
a7,3,342
a4,2,380
b7,3,348
a4,2,380
f7,3,350
a4,2,380
