***XXOOO
OO*O**O*
OX*X*O**
OXOXXX**
O*OX*OX*
O**OXXO*
*OO*O***
*XXO*XOO
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
b1,2,-Infinity
c2,3,21
b1,2,21
e2,3,78
b1,2,78
c3,3,66
b1,2,78
e3,3,77
b1,2,78
g4,3,72
b1,2,78
h4,3,87
b1,2,87
e5,3,81
b1,2,87
h5,3,73
b1,2,87
c6,3,80
b1,2,87
d7,3,78
b1,2,87
f7,3,91
b1,2,91
a8,3,172
b1,2,172
e8,3,95
b1,2,172
c1,1,172
h1,2,-Infinity
c2,3,4
h1,2,4
e2,3,13
h1,2,13
f2,3,26
h1,2,26
c3,3,1
h1,2,26
e3,3,12
h1,2,26
h3,3,-32
h1,2,26
g4,3,7
h1,2,26
h4,3,22
h1,2,26
b5,3,-9
h1,2,26
e5,3,16
h1,2,26
h5,3,8
h1,2,26
d7,3,13
h1,2,26
f7,3,26
h1,2,26
a8,3,107
h1,2,107
e8,3,30
h1,2,107
c1,1,107
f2,2,-Infinity
h1,3,146
f2,2,146
c2,3,59
f2,2,146
e2,3,60
f2,2,146
c3,3,56
f2,2,146
e3,3,67
f2,2,146
g3,3,51
f2,2,146
g4,3,62
f2,2,146
h4,3,77
f2,2,146
b5,3,46
f2,2,146
e5,3,71
f2,2,146
h5,3,63
f2,2,146
c6,3,84
f2,2,146
d7,3,68
f2,2,146
f7,3,81
f2,2,146
a8,3,162
f2,2,162
e8,3,85
f2,2,162
c1,1,107
g3,2,-Infinity
h1,3,160
g3,2,160
c2,3,121
g3,2,160
e2,3,130
g3,2,160
c3,3,118
g3,2,160
e3,3,129
g3,2,160
h3,3,77
g3,2,160
g4,3,124
g3,2,160
h4,3,139
g3,2,160
b5,3,108
g3,2,160
e5,3,133
g3,2,160
h5,3,125
g3,2,160
c6,3,132
g3,2,160
d7,3,130
g3,2,160
f7,3,143
g3,2,160
a8,3,224
g3,2,224
e8,3,147
g3,2,224
c1,1,107
g4,2,-Infinity
h1,3,151
g4,2,151
c2,3,72
g4,2,151
e2,3,73
g4,2,151
c3,3,61
g4,2,151
e3,3,72
g4,2,151
g3,3,52
g4,2,151
h4,3,84
g4,2,151
b5,3,51
g4,2,151
e5,3,76
g4,2,151
h5,3,68
g4,2,151
c6,3,75
g4,2,151
f7,3,102
g4,2,151
a8,3,167
g4,2,167
e8,3,90
g4,2,167
c1,1,107
b5,2,-Infinity
h1,3,143
b5,2,143
c2,3,56
b5,2,143
e2,3,67
b5,2,143
c3,3,53
b5,2,143
g4,3,61
b5,2,143
h4,3,74
b5,2,143
e5,3,70
b5,2,143
h5,3,60
b5,2,143
b6,3,36
b5,2,143
c6,3,61
b5,2,143
d7,3,65
b5,2,143
f7,3,78
b5,2,143
a8,3,159
b5,2,159
e8,3,82
b5,2,159
c1,1,107
e5,2,-Infinity
h1,3,148
e5,2,148
c2,3,69
e5,2,148
e2,3,70
e5,2,148
c3,3,58
e5,2,148
e3,3,77
e5,2,148
g4,3,64
e5,2,148
h4,3,79
e5,2,148
b5,3,48
e5,2,148
h5,3,73
e5,2,148
b6,3,53
e5,2,148
c6,3,102
e5,2,148
d7,3,70
e5,2,148
f7,3,99
e5,2,148
a8,3,164
e5,2,164
e8,3,87
e5,2,164
c1,1,107
b6,2,-Infinity
h1,3,200
b6,2,200
c2,3,113
b6,2,200
e2,3,122
b6,2,200
c3,3,110
b6,2,200
g4,3,116
b6,2,200
h4,3,131
b6,2,200
b5,3,100
b6,2,200
e5,3,125
b6,2,200
h5,3,117
b6,2,200
c6,3,124
b6,2,200
a7,3,61
b6,2,200
d7,3,122
b6,2,200
f7,3,135
b6,2,200
a8,3,216
b6,2,216
e8,3,139
b6,2,216
c1,1,107
c6,2,-Infinity
h1,3,149
c6,2,149
c2,3,62
c6,2,149
e2,3,71
c6,2,149
c3,3,59
c6,2,149
e3,3,70
c6,2,149
g4,3,65
c6,2,149
h4,3,80
c6,2,149
b5,3,49
c6,2,149
e5,3,74
c6,2,149
h5,3,66
c6,2,149
b6,3,98
c6,2,149
d7,3,79
c6,2,149
f7,3,84
c6,2,149
a8,3,165
c6,2,165
e8,3,88
c6,2,165
c1,1,107
h6,2,-Infinity
h1,3,156
h6,2,156
c2,3,69
h6,2,156
e2,3,78
h6,2,156
c3,3,66
h6,2,156
e3,3,77
h6,2,156
g4,3,78
h6,2,156
h4,3,87
h6,2,156
b5,3,56
h6,2,156
e5,3,81
h6,2,156
h5,3,73
h6,2,156
c6,3,80
h6,2,156
d7,3,78
h6,2,156
f7,3,91
h6,2,156
h7,3,57
h6,2,156
a8,3,172
h6,2,172
e8,3,95
h6,2,172
c1,1,107
d7,2,-Infinity
h1,3,151
d7,2,151
c2,3,64
d7,2,151
e2,3,73
d7,2,151
c3,3,61
d7,2,151
e3,3,72
d7,2,151
g4,3,67
d7,2,151
h4,3,82
d7,2,151
b5,3,51
d7,2,151
e5,3,84
d7,2,151
h5,3,68
d7,2,151
c6,3,105
d7,2,151
f7,3,86
d7,2,151
a8,3,167
d7,2,167
e8,3,90
d7,2,167
c1,1,107
g7,2,-Infinity
h1,3,188
g7,2,188
c2,3,101
g7,2,188
e2,3,110
g7,2,188
c3,3,98
g7,2,188
e3,3,109
g7,2,188
g4,3,48
g7,2,188
h4,3,119
g7,2,188
b5,3,88
g7,2,188
e5,3,79
g7,2,188
h5,3,105
g7,2,188
c6,3,112
g7,2,188
h6,3,127
g7,2,188
d7,3,110
g7,2,188
f7,3,123
g7,2,188
h7,3,89
g7,2,188
a8,3,204
g7,2,204
e8,3,127
g7,2,204
c1,1,107
h7,2,-Infinity
h1,3,164
h7,2,164
c2,3,69
h7,2,164
e2,3,86
h7,2,164
c3,3,74
h7,2,164
e3,3,85
h7,2,164
g4,3,86
h7,2,164
h4,3,95
h7,2,164
b5,3,64
h7,2,164
e5,3,89
h7,2,164
c6,3,88
h7,2,164
h6,3,87
h7,2,164
f7,3,115
h7,2,164
a8,3,180
h7,2,180
e8,3,103
h7,2,180
c1,1,107
e8,2,-Infinity
h1,3,144
e8,2,144
c2,3,57
e8,2,144
e2,3,66
e8,2,144
c3,3,54
e8,2,144
e3,3,65
e8,2,144
g4,3,60
e8,2,144
b5,3,44
e8,2,144
e5,3,61
e8,2,144
h5,3,61
e8,2,144
c6,3,68
e8,2,144
d7,3,66
e8,2,144
f7,3,79
e8,2,144
a8,3,200
e8,2,200
c1,1,107
root,0,107
h1,1,Infinity
b1,2,-Infinity
c1,3,164
b1,2,164
c2,3,128
b1,2,164
e2,3,185
b1,2,185
c3,3,173
b1,2,185
e3,3,184
b1,2,185
g4,3,179
b1,2,185
h4,3,194
b1,2,194
e5,3,188
b1,2,194
h5,3,180
b1,2,194
c6,3,187
b1,2,194
d7,3,185
b1,2,194
f7,3,198
b1,2,198
a8,3,279
b1,2,279
e8,3,202
b1,2,279
h1,1,279
f2,2,-Infinity
c1,3,146
f2,2,146
c2,3,110
f2,2,146
e2,3,111
f2,2,146
c3,3,107
f2,2,146
e3,3,110
f2,2,146
g4,3,113
f2,2,146
h4,3,128
f2,2,146
b5,3,97
f2,2,146
e5,3,122
f2,2,146
h5,3,114
f2,2,146
c6,3,135
f2,2,146
d7,3,119
f2,2,146
f7,3,132
f2,2,146
a8,3,213
f2,2,213
e8,3,136
f2,2,213
h1,1,213
c3,2,-Infinity
c1,3,155
c3,2,155
c2,3,133
c3,2,155
e2,3,128
c3,2,155
e3,3,141
c3,2,155
g4,3,122
c3,2,155
h4,3,137
c3,2,155
b5,3,106
c3,2,155
e5,3,145
c3,2,155
h5,3,123
c3,2,155
c6,3,130
c3,2,155
d7,3,128
c3,2,155
f7,3,141
c3,2,155
a8,3,222
c3,2,222
e8,3,145
c3,2,222
h1,1,213
g4,2,-Infinity
c1,3,151
g4,2,151
c2,3,123
g4,2,151
e2,3,124
g4,2,151
c3,3,112
g4,2,151
e3,3,123
g4,2,151
g3,3,103
g4,2,151
h4,3,135
g4,2,151
b5,3,102
g4,2,151
e5,3,127
g4,2,151
h5,3,119
g4,2,151
c6,3,126
g4,2,151
f7,3,153
g4,2,153
a8,3,218
g4,2,218
e8,3,141
g4,2,218
h1,1,213
b5,2,-Infinity
c1,3,143
b5,2,143
c2,3,107
b5,2,143
e2,3,118
b5,2,143
c3,3,104
b5,2,143
g4,3,112
b5,2,143
h4,3,125
b5,2,143
e5,3,121
b5,2,143
h5,3,111
b5,2,143
b6,3,87
b5,2,143
c6,3,112
b5,2,143
d7,3,116
b5,2,143
f7,3,129
b5,2,143
a8,3,210
b5,2,210
e8,3,133
b5,2,210
h1,1,210
e5,2,-Infinity
c1,3,148
e5,2,148
c2,3,120
e5,2,148
e2,3,121
e5,2,148
c3,3,109
e5,2,148
e3,3,128
e5,2,148
g4,3,115
e5,2,148
h4,3,130
e5,2,148
b5,3,99
e5,2,148
h5,3,124
e5,2,148
b6,3,104
e5,2,148
c6,3,153
e5,2,153
d7,3,121
e5,2,153
f7,3,150
e5,2,153
a8,3,215
e5,2,215
e8,3,138
e5,2,215
h1,1,210
b6,2,-Infinity
c1,3,200
b6,2,200
c2,3,164
b6,2,200
e2,3,173
b6,2,200
c3,3,161
b6,2,200
g4,3,167
b6,2,200
h4,3,182
b6,2,200
b5,3,151
b6,2,200
e5,3,176
b6,2,200
h5,3,168
b6,2,200
c6,3,175
b6,2,200
a7,3,112
b6,2,200
d7,3,173
b6,2,200
f7,3,186
b6,2,200
a8,3,267
b6,2,267
e8,3,190
b6,2,267
h1,1,210
c6,2,-Infinity
c1,3,149
c6,2,149
c2,3,113
c6,2,149
e2,3,122
c6,2,149
c3,3,110
c6,2,149
e3,3,121
c6,2,149
g4,3,116
c6,2,149
h4,3,131
c6,2,149
b5,3,100
c6,2,149
e5,3,125
c6,2,149
h5,3,117
c6,2,149
b6,3,149
c6,2,149
d7,3,130
c6,2,149
f7,3,135
c6,2,149
a8,3,216
c6,2,216
e8,3,139
c6,2,216
h1,1,210
h6,2,-Infinity
c1,3,156
h6,2,156
c2,3,120
h6,2,156
