O*XO*X**
XXOOOXXX
OXX*OXX*
*O*OOOOX
OOXX**O*
***X*O*O
OXOXX**X
XX*X*O*X
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
e1,2,-Infinity
g1,3,-94
e1,2,-94
d3,3,-46
e1,2,-46
c4,3,-40
e1,2,-40
f4,3,-58
e1,2,-40
e5,3,-42
e1,2,-40
b6,3,-54
e1,2,-40
g6,3,-68
e1,2,-40
f7,3,-74
e1,2,-40
b1,1,-40
d3,2,-Infinity
g1,3,-126
d3,2,-126
h3,3,-18
d3,2,-18
c4,3,-44
d3,2,-18
f4,3,-56
d3,2,-18
e5,3,-32
d3,2,-18
f5,3,-50
d3,2,-18
g6,3,-72
d3,2,-18
f7,3,-78
d3,2,-18
b1,1,-40
a4,2,-Infinity
g1,3,-150
a4,2,-150
d3,3,-60
a4,2,-60
h3,3,-64
a4,2,-60
c4,3,-60
a4,2,-60
f4,3,-80
a4,2,-60
e5,3,-62
a4,2,-60
b6,3,-74
a4,2,-60
g6,3,-88
a4,2,-60
f7,3,-94
a4,2,-60
b1,1,-60
c4,2,-Infinity
g1,3,-124
c4,2,-124
d3,3,-34
c4,2,-34
h3,3,-38
c4,2,-34
a4,3,-54
c4,2,-34
f4,3,-46
c4,2,-34
e5,3,-22
c4,2,-22
b6,3,-48
c4,2,-22
c6,3,-15
c4,2,-15
g6,3,-62
c4,2,-15
f7,3,-68
c4,2,-15
b1,1,-60
f4,2,-Infinity
g1,3,-70
f4,2,-70
d3,3,-36
f4,2,-36
h3,3,-40
f4,2,-36
c4,3,-36
f4,2,-36
e5,3,-38
f4,2,-36
h5,3,-40
f4,2,-36
b6,3,-50
f4,2,-36
f7,3,-70
f4,2,-36
b1,1,-60
e5,2,-Infinity
g1,3,-128
e5,2,-128
d3,3,-38
e5,2,-38
h3,3,-42
e5,2,-38
c4,3,-38
e5,2,-38
f4,3,-50
e5,2,-38
f5,3,-44
e5,2,-38
b6,3,-52
e5,2,-38
e6,3,-52
e5,2,-38
g6,3,-66
e5,2,-38
f7,3,-72
e5,2,-38
b1,1,-60
h5,2,-Infinity
g1,3,-88
h5,2,-88
d3,3,-54
h5,2,-54
h3,3,-58
h5,2,-54
c4,3,-54
h5,2,-54
f4,3,-68
h5,2,-54
e5,3,-56
h5,2,-54
b6,3,-68
h5,2,-54
f7,3,-88
h5,2,-54
b1,1,-60
a6,2,-Infinity
g1,3,-120
a6,2,-120
d3,3,-30
a6,2,-30
h3,3,-34
a6,2,-30
c4,3,-30
a6,2,-30
f4,3,-50
a6,2,-30
e5,3,-32
a6,2,-30
b6,3,-44
a6,2,-30
g6,3,-58
a6,2,-30
f7,3,-64
a6,2,-30
b1,1,-60
b6,2,-Infinity
g1,3,-116
b6,2,-116
d3,3,-26
b6,2,-26
h3,3,-30
b6,2,-26
c4,3,-26
b6,2,-26
f4,3,-46
b6,2,-26
e5,3,-36
b6,2,-26
g6,3,-54
b6,2,-26
f7,3,-116
b6,2,-26
b1,1,-60
root,0,-60
g1,1,Infinity
e1,2,-Infinity
b1,3,-86
e1,2,-86
d3,3,-68
e1,2,-68
a4,3,-80
e1,2,-68
c4,3,-60
e1,2,-60
f4,3,-80
e1,2,-60
e5,3,-62
e1,2,-60
b6,3,-74
e1,2,-60
c6,3,-57
e1,2,-57
g6,3,-88
e1,2,-57
f7,3,-94
e1,2,-57
g1,1,-57
h1,2,-Infinity
b1,3,-163
h1,2,-163
d3,3,-105
h1,2,-105
a4,3,-117
h1,2,-105
c4,3,-97
h1,2,-97
f4,3,-103
