XXOO*O*X
OOXXXXOX
OO**OOXO
O*XO**OO
*OXOXXXO
**XXO*XO
O*OXOXOX
XOO*XX*X
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
g1,2,-Infinity
c3,3,-388
g1,2,-388
d3,3,-405
g1,2,-388
b4,3,-412
g1,2,-388
e4,3,-417
g1,2,-388
f4,3,-419
g1,2,-388
b6,3,-407
g1,2,-388
f6,3,-424
g1,2,-388
h6,3,-405
g1,2,-388
b7,3,-435
g1,2,-388
d8,3,-417
g1,2,-388
g8,3,-441
g1,2,-388
e1,1,-388
c3,2,-Infinity
d3,3,-378
c3,2,-378
b4,3,-377
c3,2,-377
e4,3,-398
c3,2,-377
f4,3,-386
c3,2,-377
b6,3,-372
c3,2,-372
f6,3,-397
c3,2,-372
h6,3,-378
c3,2,-372
b7,3,-408
c3,2,-372
d8,3,-390
c3,2,-372
g8,3,-414
c3,2,-372
e1,1,-388
d3,2,-Infinity
c3,3,-412
d3,2,-412
b4,3,-430
d3,2,-412
e4,3,-443
d3,2,-412
f4,3,-431
d3,2,-412
b6,3,-417
d3,2,-412
f6,3,-442
d3,2,-412
h6,3,-423
d3,2,-412
d8,3,-433
d3,2,-412
g8,3,-459
d3,2,-412
e1,1,-412
b4,2,-Infinity
c3,3,-365
b4,2,-365
d3,3,-374
b4,2,-365
e4,3,-380
b4,2,-365
f4,3,-368
b4,2,-365
b6,3,-354
b4,2,-354
f6,3,-379
b4,2,-354
h6,3,-360
b4,2,-354
b7,3,-390
b4,2,-354
d8,3,-372
b4,2,-354
g8,3,-396
b4,2,-354
e1,1,-412
e4,2,-Infinity
g1,3,-461
e4,2,-461
c3,3,-382
e4,2,-382
d3,3,-399
e4,2,-382
b4,3,-392
e4,2,-382
f4,3,-379
e4,2,-379
b6,3,-379
e4,2,-379
f6,3,-404
e4,2,-379
h6,3,-385
e4,2,-379
g8,3,-421
e4,2,-379
e1,1,-412
f4,2,-Infinity
c3,3,-420
f4,2,-420
d3,3,-429
f4,2,-420
b4,3,-422
f4,2,-420
e4,3,-427
f4,2,-420
b6,3,-417
f4,2,-417
f6,3,-426
f4,2,-417
h6,3,-419
f4,2,-417
b7,3,-453
f4,2,-417
d8,3,-435
f4,2,-417
g8,3,-459
f4,2,-417
e1,1,-417
a5,2,-Infinity
c3,3,-428
a5,2,-428
d3,3,-453
a5,2,-428
b4,3,-430
a5,2,-428
e4,3,-451
a5,2,-428
f4,3,-439
a5,2,-428
b6,3,-425
a5,2,-425
f6,3,-450
a5,2,-425
h6,3,-431
a5,2,-425
b7,3,-461
a5,2,-425
d8,3,-443
a5,2,-425
g8,3,-467
a5,2,-425
e1,1,-425
a6,2,-Infinity
c3,3,-402
a6,2,-402
d3,3,-427
a6,2,-402
b4,3,-404
a6,2,-402
e4,3,-425
a6,2,-402
f4,3,-413
a6,2,-402
a5,3,-417
a6,2,-402
b6,3,-399
a6,2,-399
f6,3,-424
a6,2,-399
h6,3,-405
a6,2,-399
b7,3,-435
a6,2,-399
d8,3,-417
a6,2,-399
g8,3,-441
a6,2,-399
e1,1,-425
f6,2,-Infinity
c3,3,-383
f6,2,-383
d3,3,-400
f6,2,-383
b4,3,-385
f6,2,-383
e4,3,-398
f6,2,-383
f4,3,-394
f6,2,-383
b6,3,-402
f6,2,-383
h6,3,-386
f6,2,-383
b7,3,-416
f6,2,-383
d8,3,-398
f6,2,-383
g8,3,-476
f6,2,-383
e1,1,-425
h6,2,-Infinity
c3,3,-376
h6,2,-376
d3,3,-393
h6,2,-376
b4,3,-378
h6,2,-376
e4,3,-399
h6,2,-376
f4,3,-387
h6,2,-376
b6,3,-373
h6,2,-373
f6,3,-398
h6,2,-373
b7,3,-409
h6,2,-373
d8,3,-391
h6,2,-373
g8,3,-477
h6,2,-373
e1,1,-425
b7,2,-Infinity
c3,3,-392
b7,2,-392
d3,3,-401
b7,2,-392
b4,3,-386
b7,2,-386
e4,3,-407
b7,2,-386
f4,3,-403
b7,2,-386
a6,3,-447
b7,2,-386
b6,3,-429
b7,2,-386
f6,3,-406
b7,2,-386
h6,3,-387
b7,2,-386
d8,3,-399
b7,2,-386
g8,3,-423
b7,2,-386
e1,1,-425
d8,2,-Infinity
c3,3,-422
d8,2,-422
d3,3,-439
d8,2,-422
b4,3,-424
d8,2,-422
e4,3,-445
d8,2,-422
f4,3,-433
d8,2,-422
b6,3,-419
d8,2,-419
f6,3,-444
d8,2,-419
h6,3,-425
d8,2,-419
b7,3,-455
d8,2,-419
g8,3,-461
d8,2,-419
e1,1,-425
g8,2,-Infinity
c3,3,-360
g8,2,-360
d3,3,-377
g8,2,-360
b4,3,-362
g8,2,-360
e4,3,-383
g8,2,-360
f4,3,-371
g8,2,-360
b6,3,-357
g8,2,-357
f6,3,-382
g8,2,-357
h6,3,-363
g8,2,-357
b7,3,-393
g8,2,-357
d8,3,-375
g8,2,-357
e1,1,-425
root,0,-425
g1,1,Infinity
e1,2,-Infinity
c3,3,-428
e1,2,-428
d3,3,-453
e1,2,-428
b4,3,-444
e1,2,-428
e4,3,-465
e1,2,-428
f4,3,-453
e1,2,-428
b6,3,-439
e1,2,-428
f6,3,-464
e1,2,-428
h6,3,-445
e1,2,-428
b7,3,-475
e1,2,-428
d8,3,-457
e1,2,-428
g8,3,-481
e1,2,-428
g1,1,-428
c3,2,-Infinity
e1,3,-398
c3,2,-398
d3,3,-384
c3,2,-384
b4,3,-385
c3,2,-384
e4,3,-398
c3,2,-384
f4,3,-386
c3,2,-384
b6,3,-372
c3,2,-372
f6,3,-397
c3,2,-372
h6,3,-378
c3,2,-372
b7,3,-408
c3,2,-372
d8,3,-390
c3,2,-372
g8,3,-414
c3,2,-372
g1,1,-428
d3,2,-Infinity
c3,3,-414
d3,2,-414
b4,3,-452
d3,2,-414
e4,3,-451
d3,2,-414
f4,3,-437
d3,2,-414
b6,3,-431
d3,2,-414
f6,3,-464
d3,2,-414
h6,3,-445
d3,2,-414
d8,3,-455
d3,2,-414
g8,3,-481
d3,2,-414
g1,1,-428
b4,2,-Infinity
e1,3,-380
b4,2,-380
c3,3,-359
b4,2,-359
d3,3,-380
b4,2,-359
e4,3,-380
b4,2,-359
f4,3,-368
b4,2,-359
b6,3,-354
b4,2,-354
f6,3,-379
b4,2,-354
h6,3,-360
b4,2,-354
b7,3,-390
b4,2,-354
d8,3,-372
b4,2,-354
g8,3,-396
b4,2,-354
g1,1,-428
e4,2,-Infinity
e1,3,-405
e4,2,-405
c3,3,-384
e4,2,-384
d3,3,-399
e4,2,-384
b4,3,-400
e4,2,-384
f4,3,-385
e4,2,-384
b6,3,-379
e4,2,-379
f6,3,-412
e4,2,-379
h6,3,-393
e4,2,-379
g8,3,-429
e4,2,-379
g1,1,-428
f4,2,-Infinity
c3,3,-422
f4,2,-422
d3,3,-443
f4,2,-422
b4,3,-430
f4,2,-422
e4,3,-443
f4,2,-422
b6,3,-425
f4,2,-422
f6,3,-434
f4,2,-422
h6,3,-427
f4,2,-422
b7,3,-461
f4,2,-422
d8,3,-443
f4,2,-422
g8,3,-467
f4,2,-422
g1,1,-428
a5,2,-Infinity
e1,3,-451
a5,2,-451
c3,3,-422
a5,2,-422
d3,3,-459
a5,2,-422
b4,3,-430
a5,2,-422
e4,3,-451
a5,2,-422
f4,3,-439
a5,2,-422
b6,3,-425
a5,2,-422
f6,3,-450
a5,2,-422
h6,3,-431
a5,2,-422
b7,3,-461
a5,2,-422
d8,3,-443
a5,2,-422
g8,3,-467
a5,2,-422
g1,1,-428
a6,2,-Infinity
e1,3,-425
a6,2,-425
c3,3,-396
a6,2,-396
d3,3,-433
a6,2,-396
b4,3,-404
a6,2,-396
e4,3,-425
a6,2,-396
f4,3,-413
a6,2,-396
a5,3,-417
a6,2,-396
b6,3,-399
a6,2,-396
f6,3,-424
a6,2,-396
h6,3,-405
a6,2,-396
b7,3,-435
a6,2,-396
d8,3,-417
a6,2,-396
g8,3,-441
a6,2,-396
g1,1,-428
f6,2,-Infinity
e1,3,-406
f6,2,-406
c3,3,-377
f6,2,-377
d3,3,-406
f6,2,-377
b4,3,-385
f6,2,-377
e4,3,-398
f6,2,-377
f4,3,-394
f6,2,-377
b6,3,-402
f6,2,-377
h6,3,-386
f6,2,-377
b7,3,-416
f6,2,-377
d8,3,-398
f6,2,-377
g8,3,-476
f6,2,-377
g1,1,-428
h6,2,-Infinity
e1,3,-399
h6,2,-399
c3,3,-370
h6,2,-370
d3,3,-399
h6,2,-370
b4,3,-378
h6,2,-370
e4,3,-399
h6,2,-370
f4,3,-387
h6,2,-370
b6,3,-373
h6,2,-370
f6,3,-398
h6,2,-370
b7,3,-409
h6,2,-370
d8,3,-391
h6,2,-370
g8,3,-477
h6,2,-370
g1,1,-428
b7,2,-Infinity
e1,3,-407
b7,2,-407
c3,3,-386
b7,2,-386
d3,3,-407
b7,2,-386
b4,3,-386
b7,2,-386
e4,3,-407
b7,2,-386
f4,3,-403
b7,2,-386
a6,3,-447
b7,2,-386
b6,3,-429
b7,2,-386
f6,3,-406
b7,2,-386
h6,3,-387
b7,2,-386
d8,3,-399
b7,2,-386
g8,3,-423
b7,2,-386
g1,1,-428
d8,2,-Infinity
e1,3,-445
d8,2,-445
c3,3,-416
d8,2,-416
d3,3,-445
d8,2,-416
b4,3,-424
d8,2,-416
e4,3,-445
d8,2,-416
f4,3,-433
d8,2,-416
b6,3,-419
d8,2,-416
f6,3,-444
d8,2,-416
h6,3,-425
d8,2,-416
b7,3,-455
d8,2,-416
g8,3,-461
d8,2,-416
g1,1,-428
g8,2,-Infinity
e1,3,-383
g8,2,-383
c3,3,-354
g8,2,-354
d3,3,-383
g8,2,-354
b4,3,-362
g8,2,-354
e4,3,-383
g8,2,-354
f4,3,-371
g8,2,-354
b6,3,-357
g8,2,-354
f6,3,-382
g8,2,-354
h6,3,-363
g8,2,-354
b7,3,-393
g8,2,-354
d8,3,-375
g8,2,-354
g1,1,-428
root,0,-425
c3,1,Infinity
e1,2,-Infinity
g1,3,-444
e1,2,-444
d3,3,-430
e1,2,-430
e4,3,-428
e1,2,-428
f4,3,-416
e1,2,-416
f6,3,-427
e1,2,-416
h6,3,-408
e1,2,-408
d8,3,-420
e1,2,-408
g8,3,-444
e1,2,-408
c3,1,-408
g1,2,-Infinity
e1,3,-360
g1,2,-360
d3,3,-346
g1,2,-346
e4,3,-338
g1,2,-338
f4,3,-326
g1,2,-326
f6,3,-337
g1,2,-326
h6,3,-318
g1,2,-318
d8,3,-330
g1,2,-318
g8,3,-354
g1,2,-318
c3,1,-408
d3,2,-Infinity
e1,3,-428
d3,2,-428
g1,3,-420
d3,2,-420
e4,3,-398
d3,2,-398
f4,3,-392
d3,2,-392
f6,3,-411
d3,2,-392
h6,3,-392
d3,2,-392
d8,3,-402
d3,2,-392
g8,3,-428
d3,2,-392
c3,1,-408
b4,2,-Infinity
e1,3,-373
b4,2,-373
g1,3,-373
b4,2,-373
d3,3,-359
b4,2,-359
e4,3,-357
b4,2,-357
f4,3,-345
b4,2,-345
b6,3,-353
b4,2,-345
f6,3,-356
b4,2,-345
h6,3,-337
b4,2,-337
d8,3,-349
b4,2,-337
g8,3,-373
b4,2,-337
c3,1,-408
e4,2,-Infinity
e1,3,-382
e4,2,-382
g1,3,-432
e4,2,-382
d3,3,-362
e4,2,-362
f4,3,-348
e4,2,-348
f6,3,-367
e4,2,-348
h6,3,-348
e4,2,-348
d8,3,-360
e4,2,-348
g8,3,-384
e4,2,-348
c3,1,-408
f4,2,-Infinity
e1,3,-436
f4,2,-436
g1,3,-428
f4,2,-428
d3,3,-414
f4,2,-414
e4,3,-398
f4,2,-398
f6,3,-397
f4,2,-397
h6,3,-396
f4,2,-396
d8,3,-412
f4,2,-396
g8,3,-436
f4,2,-396
c3,1,-408
a5,2,-Infinity
e1,3,-436
a5,2,-436
g1,3,-430
a5,2,-430
d3,3,-422
a5,2,-422
b4,3,-401
a5,2,-401
e4,3,-414
a5,2,-401
f4,3,-402
a5,2,-401
a6,3,-412
a5,2,-401
b6,3,-410
a5,2,-401
f6,3,-413
a5,2,-401
h6,3,-394
a5,2,-394
d8,3,-406
a5,2,-394
g8,3,-430
a5,2,-394
c3,1,-408
a6,2,-Infinity
e1,3,-408
a6,2,-408
g1,3,-402
a6,2,-402
d3,3,-394
a6,2,-394
e4,3,-386
a6,2,-386
f4,3,-374
a6,2,-374
f6,3,-385
a6,2,-374
h6,3,-366
a6,2,-366
d8,3,-378
a6,2,-366
g8,3,-402
a6,2,-366
c3,1,-408
b6,2,-Infinity
e1,3,-436
b6,2,-436
g1,3,-428
b6,2,-428
d3,3,-420
b6,2,-420
b4,3,-407
b6,2,-407
e4,3,-420
b6,2,-407
f4,3,-406
b6,2,-406
a5,3,-422
b6,2,-406
a6,3,-398
b6,2,-398
f6,3,-419
b6,2,-398
h6,3,-400
b6,2,-398
b7,3,-438
b6,2,-398
d8,3,-412
b6,2,-398
g8,3,-436
b6,2,-398
c3,1,-408
f6,2,-Infinity
e1,3,-383
f6,2,-383
g1,3,-377
f6,2,-377
d3,3,-369
f6,2,-369
e4,3,-353
f6,2,-353
f4,3,-349
f6,2,-349
h6,3,-319
f6,2,-319
d8,3,-353
f6,2,-319
g8,3,-431
f6,2,-319
c3,1,-408
h6,2,-Infinity
e1,3,-376
h6,2,-376
g1,3,-370
h6,2,-370
d3,3,-362
h6,2,-362
e4,3,-354
h6,2,-354
f4,3,-342
h6,2,-342
f6,3,-353
h6,2,-342
d8,3,-346
h6,2,-342
g8,3,-432
h6,2,-342
c3,1,-408
b7,2,-Infinity
e1,3,-384
b7,2,-384
g1,3,-378
b7,2,-378
d3,3,-370
b7,2,-370
e4,3,-362
b7,2,-362
f4,3,-358
b7,2,-358
a6,3,-402
b7,2,-358
b6,3,-414
b7,2,-358
f6,3,-361
b7,2,-358
h6,3,-342
b7,2,-342
d8,3,-354
b7,2,-342
g8,3,-378
b7,2,-342
c3,1,-408
d8,2,-Infinity
e1,3,-422
d8,2,-422
g1,3,-416
d8,2,-416
d3,3,-408
d8,2,-408
e4,3,-400
d8,2,-400
f4,3,-388
d8,2,-388
f6,3,-399
d8,2,-388
h6,3,-380
d8,2,-380
g8,3,-416
d8,2,-380
c3,1,-408
g8,2,-Infinity
e1,3,-360
g8,2,-360
g1,3,-354
g8,2,-354
d3,3,-346
g8,2,-346
e4,3,-338
g8,2,-338
f4,3,-326
g8,2,-326
f6,3,-337
g8,2,-326
h6,3,-318
g8,2,-318
d8,3,-330
g8,2,-318
c3,1,-408
root,0,-408
d3,1,Infinity
e1,2,-Infinity
g1,3,-473
e1,2,-473
b4,3,-444
e1,2,-444
e4,3,-457
e1,2,-444
f4,3,-445
e1,2,-444
b6,3,-431
e1,2,-431
f6,3,-456
e1,2,-431
h6,3,-437
e1,2,-431
b7,3,-467
e1,2,-431
d8,3,-449
e1,2,-431
g8,3,-473
e1,2,-431
d3,1,-431
g1,2,-Infinity
e1,3,-377
g1,2,-377
c3,3,-368
g1,2,-368
b4,3,-354
g1,2,-354
e4,3,-367
g1,2,-354
f4,3,-355
g1,2,-354
b6,3,-341
g1,2,-341
f6,3,-366
g1,2,-341
h6,3,-347
g1,2,-341
b7,3,-377
g1,2,-341
d8,3,-359
g1,2,-341
g8,3,-383
g1,2,-341
d3,1,-431
c3,2,-Infinity
e1,3,-430
c3,2,-430
b4,3,-393
c3,2,-393
e4,3,-398
c3,2,-393
f4,3,-394
c3,2,-393
b6,3,-402
c3,2,-393
f6,3,-419
c3,2,-393
h6,3,-400
c3,2,-393
b7,3,-430
c3,2,-393
d8,3,-412
c3,2,-393
g8,3,-436
c3,2,-393
d3,1,-431
b4,2,-Infinity
e1,3,-374
b4,2,-374
g1,3,-380
b4,2,-374
c3,3,-373
b4,2,-373
e4,3,-364
b4,2,-364
f4,3,-352
b4,2,-352
b6,3,-338
b4,2,-338
f6,3,-363
b4,2,-338
h6,3,-344
b4,2,-338
b7,3,-374
b4,2,-338
d8,3,-356
b4,2,-338
g8,3,-380
b4,2,-338
d3,1,-431
e4,2,-Infinity
e1,3,-407
e4,2,-407
g1,3,-469
e4,2,-407
