XXXOOXX*
OXXOO*O*
OXXXXXO*
*XOO*XOX
XO*XOXOO
OO***OXX
OO***OOO
XOOX*O**
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
h1,2,-Infinity
f2,3,162
h1,2,162
h2,3,170
h1,2,170
h3,3,180
h1,2,180
a4,3,192
h1,2,192
e4,3,194
h1,2,194
c5,3,192
h1,2,194
c6,3,145
h1,2,194
d6,3,190
h1,2,194
e6,3,204
h1,2,204
c7,3,174
h1,2,204
e7,3,191
h1,2,204
e8,3,184
h1,2,204
g8,3,130
h1,2,204
h8,3,235
h1,2,235
a1,1,235
f2,2,-Infinity
h2,3,175
f2,2,175
h3,3,225
f2,2,225
a4,3,257
f2,2,257
e4,3,269
f2,2,269
c5,3,257
f2,2,269
c6,3,210
f2,2,269
e6,3,269
f2,2,269
c7,3,239
f2,2,269
e7,3,256
f2,2,269
e8,3,249
f2,2,269
g8,3,195
f2,2,269
h8,3,300
f2,2,300
a1,1,235
h3,2,-Infinity
h1,3,316
h3,2,316
f2,3,249
h3,2,316
h2,3,289
h3,2,316
a4,3,271
h3,2,316
e4,3,273
h3,2,316
c5,3,271
h3,2,316
c6,3,224
h3,2,316
d6,3,269
h3,2,316
e6,3,283
h3,2,316
c7,3,253
h3,2,316
e8,3,263
h3,2,316
g8,3,209
h3,2,316
h8,3,314
h3,2,316
a1,1,235
a4,2,-Infinity
h1,3,340
a4,2,340
f2,3,257
a4,2,340
h2,3,273
a4,2,340
h3,3,235
a4,2,340
c5,3,301
a4,2,340
c6,3,248
a4,2,340
d6,3,293
a4,2,340
e6,3,307
a4,2,340
e7,3,294
a4,2,340
e8,3,287
a4,2,340
g8,3,233
a4,2,340
h8,3,338
a4,2,340
a1,1,235
e4,2,-Infinity
h1,3,320
e4,2,320
f2,3,231
e4,2,320
h3,3,229
e4,2,320
a4,3,261
e4,2,320
c5,3,261
e4,2,320
c6,3,214
e4,2,320
e6,3,265
e4,2,320
c7,3,243
e4,2,320
e7,3,260
e4,2,320
g8,3,123
e4,2,320
h8,3,304
e4,2,320
a1,1,235
c5,2,-Infinity
h1,3,338
c5,2,338
f2,3,263
c5,2,338
h2,3,271
c5,2,338
h3,3,233
c5,2,338
a4,3,293
c5,2,338
c6,3,262
c5,2,338
d6,3,291
c5,2,338
e6,3,313
c5,2,338
c7,3,275
c5,2,338
e7,3,292
c5,2,338
e8,3,285
c5,2,338
g8,3,231
c5,2,338
h8,3,336
c5,2,338
a1,1,235
d6,2,-Infinity
h1,3,332
d6,2,332
f2,3,257
d6,2,332
h2,3,265
d6,2,332
h3,3,227
d6,2,332
a4,3,287
d6,2,332
e4,3,289
d6,2,332
c5,3,287
d6,2,332
c6,3,240
d6,2,332
e6,3,307
d6,2,332
c7,3,277
d6,2,332
d7,3,286
d6,2,332
e7,3,286
d6,2,332
e8,3,279
d6,2,332
g8,3,225
d6,2,332
h8,3,330
d6,2,332
a1,1,235
e6,2,-Infinity
h1,3,324
e6,2,324
f2,3,249
e6,2,324
h2,3,257
e6,2,324
h3,3,225
e6,2,324
a4,3,279
e6,2,324
e4,3,289
e6,2,324
c5,3,279
e6,2,324
c6,3,232
e6,2,324
d6,3,299
e6,2,324
c7,3,261
e6,2,324
e7,3,278
e6,2,324
e8,3,271
e6,2,324
g8,3,225
e6,2,324
h8,3,322
e6,2,324
a1,1,235
e8,2,-Infinity
h1,3,318
e8,2,318
f2,3,243
e8,2,318
h2,3,251
e8,2,318
h3,3,213
e8,2,318
a4,3,273
e8,2,318
e4,3,275
e8,2,318
c5,3,273
e8,2,318
c6,3,226
e8,2,318
d6,3,271
e8,2,318
e6,3,285
e8,2,318
c7,3,255
e8,2,318
e7,3,272
e8,2,318
g8,3,251
e8,2,318
h8,3,316
e8,2,318
a1,1,235
root,0,235
h1,1,Infinity
a1,2,-Infinity
f2,3,162
a1,2,162
h2,3,170
a1,2,170
h3,3,180
a1,2,180
e4,3,194
a1,2,194
c5,3,192
a1,2,194
c6,3,145
a1,2,194
d6,3,190
a1,2,194
e6,3,204
a1,2,204
c7,3,174
a1,2,204
e7,3,191
a1,2,204
e8,3,184
a1,2,204
g8,3,130
a1,2,204
h8,3,235
a1,2,235
h1,1,235
f2,2,-Infinity
a1,3,302
f2,2,302
h3,3,273
f2,2,302
e4,3,283
f2,2,302
c5,3,257
f2,2,302
c6,3,210
f2,2,302
e6,3,269
f2,2,302
c7,3,239
f2,2,302
e7,3,256
f2,2,302
e8,3,249
f2,2,302
g8,3,195
f2,2,302
h8,3,300
f2,2,302
h1,1,235
h3,2,-Infinity
a1,3,316
h3,2,316
f2,3,249
h3,2,316
h2,3,289
h3,2,316
e4,3,273
h3,2,316
c5,3,271
h3,2,316
c6,3,224
h3,2,316
d6,3,269
h3,2,316
e6,3,283
h3,2,316
c7,3,253
h3,2,316
e8,3,263
h3,2,316
g8,3,209
h3,2,316
h8,3,314
h3,2,316
h1,1,235
a4,2,-Infinity
a1,3,364
a4,2,364
f2,3,277
a4,2,364
h2,3,273
a4,2,364
h3,3,283
a4,2,364
c5,3,301
a4,2,364
c6,3,248
a4,2,364
d6,3,293
a4,2,364
e6,3,307
a4,2,364
e7,3,294
a4,2,364
e8,3,287
a4,2,364
g8,3,233
a4,2,364
h8,3,338
a4,2,364
h1,1,235
e4,2,-Infinity
a1,3,320
e4,2,320
f2,3,245
e4,2,320
h3,3,269
e4,2,320
c5,3,275
e4,2,320
c6,3,228
e4,2,320
e6,3,279
e4,2,320
c7,3,257
e4,2,320
e7,3,274
e4,2,320
g8,3,185
e4,2,320
h8,3,318
e4,2,320
h1,1,235
c5,2,-Infinity
a1,3,338
c5,2,338
f2,3,263
c5,2,338
h2,3,271
c5,2,338
h3,3,281
c5,2,338
c6,3,262
c5,2,338
d6,3,291
c5,2,338
e6,3,313
c5,2,338
c7,3,275
c5,2,338
e7,3,292
c5,2,338
e8,3,285
c5,2,338
g8,3,231
c5,2,338
h8,3,336
c5,2,338
h1,1,235
d6,2,-Infinity
a1,3,332
d6,2,332
f2,3,257
d6,2,332
h2,3,265
d6,2,332
h3,3,275
d6,2,332
e4,3,289
d6,2,332
c5,3,287
d6,2,332
c6,3,240
d6,2,332
e6,3,307
d6,2,332
c7,3,277
d6,2,332
d7,3,286
d6,2,332
e7,3,286
d6,2,332
e8,3,279
d6,2,332
g8,3,225
d6,2,332
h8,3,330
d6,2,332
h1,1,235
e6,2,-Infinity
a1,3,324
e6,2,324
f2,3,249
e6,2,324
h2,3,257
e6,2,324
h3,3,273
e6,2,324
e4,3,289
e6,2,324
c5,3,279
e6,2,324
c6,3,232
e6,2,324
d6,3,299
e6,2,324
c7,3,261
e6,2,324
e7,3,278
e6,2,324
e8,3,271
e6,2,324
g8,3,225
e6,2,324
h8,3,322
e6,2,324
h1,1,235
e8,2,-Infinity
a1,3,318
e8,2,318
f2,3,243
e8,2,318
h2,3,251
e8,2,318
h3,3,261
e8,2,318
e4,3,275
e8,2,318
c5,3,273
e8,2,318
c6,3,226
e8,2,318
d6,3,271
e8,2,318
e6,3,285
e8,2,318
c7,3,255
e8,2,318
e7,3,272
e8,2,318
g8,3,251
e8,2,318
h8,3,316
e8,2,318
h1,1,235
root,0,235
f2,1,Infinity
a1,2,-Infinity
h1,3,162
a1,2,162
h2,3,55
a1,2,162
h3,3,65
a1,2,162
e4,3,119
a1,2,162
c5,3,117
a1,2,162
c6,3,70
a1,2,162
d6,3,115
a1,2,162
e6,3,129
a1,2,162
c7,3,99
a1,2,162
e7,3,116
a1,2,162
e8,3,109
a1,2,162
g8,3,55
a1,2,162
h8,3,160
a1,2,162
f2,1,162
h1,2,-Infinity
a1,3,162
h1,2,162
h2,3,55
h1,2,162
h3,3,113
h1,2,162
e4,3,119
h1,2,162
c5,3,117
h1,2,162
c6,3,70
h1,2,162
d6,3,115
h1,2,162
e6,3,129
h1,2,162
c7,3,99
h1,2,162
e7,3,116
h1,2,162
e8,3,109
h1,2,162
g8,3,55
h1,2,162
h8,3,160
h1,2,162
f2,1,162
h2,2,-Infinity
a1,3,269
h2,2,269
h1,3,269
h2,2,269
h3,3,164
h2,2,269
e4,3,228
h2,2,269
c5,3,224
h2,2,269
c6,3,177
h2,2,269
e6,3,236
h2,2,269
c7,3,206
h2,2,269
e7,3,223
h2,2,269
e8,3,216
h2,2,269
g8,3,162
h2,2,269
h8,3,267
h2,2,269
f2,1,162
h3,2,-Infinity
h2,3,138
h3,2,138
a4,3,160
h3,2,160
e4,3,186
h3,2,186
c5,3,190
h3,2,190
c6,3,121
h3,2,190
d6,3,166
h3,2,190
e6,3,180
h3,2,190
c7,3,150
h3,2,190
e8,3,160
h3,2,190
g8,3,106
h3,2,190
h8,3,245
h3,2,245
f2,1,162
a4,2,-Infinity
a1,3,289
a4,2,289
h1,3,265
a4,2,289
h2,3,158
a4,2,289
h3,3,168
a4,2,289
c5,3,226
a4,2,289
c6,3,173
a4,2,289
d6,3,218
a4,2,289
e6,3,232
a4,2,289
e7,3,219
a4,2,289
e8,3,212
a4,2,289
g8,3,158
a4,2,289
h8,3,263
a4,2,289
f2,1,162
e4,2,-Infinity
a1,3,237
e4,2,237
h1,3,251
e4,2,251
h2,3,130
e4,2,251
h3,3,146
e4,2,251
c5,3,200
e4,2,251
c6,3,145
e4,2,251
d6,3,198
e4,2,251
e6,3,196
e4,2,251
c7,3,174
e4,2,251
e7,3,191
e4,2,251
g8,3,110
e4,2,251
h8,3,235
e4,2,251
f2,1,162
c5,2,-Infinity
a1,3,263
c5,2,263
h1,3,263
c5,2,263
h2,3,156
c5,2,263
h3,3,166
c5,2,263
c6,3,187
c5,2,263
d6,3,216
c5,2,263
e6,3,238
c5,2,263
c7,3,200
c5,2,263
e7,3,217
c5,2,263
e8,3,210
c5,2,263
g8,3,156
c5,2,263
h8,3,261
c5,2,263
f2,1,162
d6,2,-Infinity
a1,3,257
d6,2,257
h1,3,257
d6,2,257
h2,3,150
d6,2,257
h3,3,160
d6,2,257
e4,3,214
d6,2,257
c5,3,212
d6,2,257
c6,3,165
d6,2,257
e6,3,232
d6,2,257
c7,3,202
d6,2,257
d7,3,211
d6,2,257
e7,3,211
d6,2,257
e8,3,204
d6,2,257
g8,3,150
d6,2,257
h8,3,255
d6,2,257
f2,1,162
e6,2,-Infinity
a1,3,249
e6,2,249
h1,3,249
e6,2,249
h2,3,142
e6,2,249
h3,3,158
e6,2,249
e4,3,214
e6,2,249
c5,3,204
e6,2,249
c6,3,157
e6,2,249
d6,3,224
e6,2,249
c7,3,186
e6,2,249
e7,3,203
e6,2,249
e8,3,196
e6,2,249
g8,3,150
e6,2,249
h8,3,247
e6,2,249
f2,1,162
e8,2,-Infinity
a1,3,243
e8,2,243
h1,3,243
e8,2,243
h2,3,136
e8,2,243
h3,3,146
e8,2,243
e4,3,200
e8,2,243
c5,3,198
e8,2,243
c6,3,151
e8,2,243
d6,3,196
e8,2,243
e6,3,210
e8,2,243
c7,3,180
e8,2,243
e7,3,197
e8,2,243
g8,3,176
e8,2,243
h8,3,241
e8,2,243
f2,1,162
root,0,235
h2,1,Infinity
a1,2,-Infinity
h1,3,170
a1,2,170
f2,3,55
a1,2,170
h3,3,73
a1,2,170
e4,3,127
a1,2,170
c5,3,125
a1,2,170
c6,3,78
a1,2,170
d6,3,123
a1,2,170
e6,3,137
a1,2,170
c7,3,107
a1,2,170
e7,3,124
a1,2,170
e8,3,117
a1,2,170
g8,3,63
a1,2,170
h8,3,168
a1,2,170
h2,1,170
h1,2,-Infinity
a1,3,170
h1,2,170
f2,3,55
h1,2,170
h3,3,121
h1,2,170
e4,3,127
h1,2,170
c5,3,125
h1,2,170
c6,3,78
h1,2,170
d6,3,123
h1,2,170
e6,3,137
h1,2,170
c7,3,107
h1,2,170
e7,3,124
h1,2,170
e8,3,117
h1,2,170
g8,3,63
h1,2,170
h8,3,168
h1,2,170
h2,1,170
f2,2,-Infinity
a1,3,235
f2,2,235
h3,3,144
f2,2,235
e4,3,202
f2,2,235
c5,3,190
f2,2,235
c6,3,143
f2,2,235
d6,3,196
f2,2,235
e6,3,202
f2,2,235
c7,3,172
f2,2,235
e7,3,189
f2,2,235
e8,3,182
f2,2,235
g8,3,128
f2,2,235
h8,3,233
f2,2,235
h2,1,170
h3,2,-Infinity
f2,3,120
h3,2,120
a4,3,168
h3,2,168
e4,3,186
h3,2,186
c5,3,190
h3,2,190
c6,3,129
h3,2,190
d6,3,174
h3,2,190
e6,3,188
h3,2,190
c7,3,158
h3,2,190
e8,3,168
h3,2,190
g8,3,114
h3,2,190
h8,3,253
h3,2,253
h2,1,170
a4,2,-Infinity
a1,3,297
a4,2,297
h1,3,273
a4,2,297
f2,3,170
a4,2,297
h3,3,176
a4,2,297
c5,3,234
a4,2,297
c6,3,181
a4,2,297
d6,3,226
a4,2,297
e6,3,240
a4,2,297
e7,3,227
a4,2,297
e8,3,220
a4,2,297
g8,3,166
a4,2,297
h8,3,271
a4,2,297
h2,1,170
e4,2,-Infinity
a1,3,239
e4,2,239
h1,3,253
e4,2,253
f2,3,124
e4,2,253
h3,3,148
e4,2,253
c5,3,194
e4,2,253
c6,3,147
