O*OOX**O
O*OOX*OX
OXO*O*OX
X**O*X**
X*XO*XOX
O*OXX*O*
OOOOXX*O
X*OXXXOO
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
f1,2,-Infinity
b2,3,-171
f1,2,-171
f2,3,-177
f1,2,-171
d3,3,-113
f1,2,-113
f3,3,-134
f1,2,-113
c4,3,-129
f1,2,-113
e4,3,-159
f1,2,-113
e5,3,-133
f1,2,-113
b6,3,-123
f1,2,-113
f6,3,-132
f1,2,-113
h6,3,-131
f1,2,-113
b8,3,-125
f1,2,-113
f8,3,-111
f1,2,-111
b1,1,-111
f2,2,-Infinity
f1,3,-131
f2,2,-131
g1,3,-99
f2,2,-99
b2,3,-191
f2,2,-99
d3,3,-85
f2,2,-85
f3,3,-98
f2,2,-85
b4,3,-86
f2,2,-85
c4,3,-81
f2,2,-81
e4,3,-123
f2,2,-81
h4,3,-101
f2,2,-81
e5,3,-91
f2,2,-81
b6,3,-81
f2,2,-81
f6,3,-90
f2,2,-81
h6,3,-89
f2,2,-81
b8,3,-83
f2,2,-81
f8,3,-69
f2,2,-69
b1,1,-111
b4,2,-Infinity
f1,3,-146
b4,2,-146
b2,3,-144
b4,2,-144
f2,3,-158
b4,2,-144
d3,3,-100
b4,2,-100
f3,3,-107
b4,2,-100
c4,3,-102
b4,2,-100
e4,3,-132
b4,2,-100
b5,3,-115
b4,2,-100
b6,3,-96
b4,2,-96
f6,3,-105
b4,2,-96
h6,3,-104
b4,2,-96
b8,3,-98
b4,2,-96
f8,3,-86
b4,2,-86
b1,1,-111
c4,2,-Infinity
f1,3,-145
c4,2,-145
b2,3,-143
c4,2,-143
f2,3,-157
c4,2,-143
d3,3,-113
c4,2,-113
f3,3,-106
c4,2,-106
b4,3,-100
c4,2,-100
e4,3,-131
c4,2,-100
b6,3,-95
c4,2,-95
f6,3,-104
c4,2,-95
h6,3,-103
c4,2,-95
b8,3,-97
c4,2,-95
f8,3,-85
c4,2,-85
b1,1,-111
e4,2,-Infinity
f1,3,-149
e4,2,-149
b2,3,-147
e4,2,-147
f2,3,-153
e4,2,-147
d3,3,-103
e4,2,-103
f3,3,-144
e4,2,-103
b4,3,-104
e4,2,-103
c4,3,-99
e4,2,-99
g4,3,-104
e4,2,-99
e5,3,-99
e4,2,-99
b6,3,-99
e4,2,-99
f6,3,-100
e4,2,-99
h6,3,-107
e4,2,-99
b8,3,-101
e4,2,-99
f8,3,-87
e4,2,-87
b1,1,-111
g4,2,-Infinity
f1,3,-154
g4,2,-154
b2,3,-152
g4,2,-152
f2,3,-158
g4,2,-152
d3,3,-108
g4,2,-108
f3,3,-121
g4,2,-108
b4,3,-109
g4,2,-108
c4,3,-96
g4,2,-96
e4,3,-140
g4,2,-96
h4,3,-114
g4,2,-96
e5,3,-112
g4,2,-96
b6,3,-126
g4,2,-96
f6,3,-105
g4,2,-96
h6,3,-112
g4,2,-96
b8,3,-106
g4,2,-96
f8,3,-92
g4,2,-92
b1,1,-111
h4,2,-Infinity
b2,3,-145
h4,2,-145
f2,3,-103
h4,2,-103
d3,3,-101
h4,2,-101
b4,3,-102
h4,2,-101
c4,3,-97
h4,2,-97
e4,3,-133
h4,2,-97
e5,3,-107
h4,2,-97
b6,3,-97
h4,2,-97
f6,3,-106
h4,2,-97
h6,3,-105
h4,2,-97
b8,3,-99
h4,2,-97
f8,3,-85
h4,2,-85
b1,1,-111
b5,2,-Infinity
f1,3,-146
b5,2,-146
b2,3,-144
b5,2,-144
f2,3,-158
b5,2,-144
d3,3,-100
b5,2,-100
