OOOOOO**
*X*XOOXX
OOX*X*XX
XX*OXXOX
*XXOXXO*
XX*XXO**
*O****O*
*XXO*XOX
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
g1,2,-Infinity
h1,3,73
g1,2,73
c2,3,-20
g1,2,73
d3,3,2
g1,2,73
f3,3,5
g1,2,73
a5,3,12
g1,2,73
c6,3,13
g1,2,73
a7,3,-18
g1,2,73
d7,3,11
g1,2,73
e7,3,13
g1,2,73
f7,3,-6
g1,2,73
a8,3,89
g1,2,89
e8,3,12
g1,2,89
e1,1,89
a2,2,-Infinity
g1,3,-98
a2,2,-98
c2,3,-44
a2,2,-44
d3,3,-22
a2,2,-22
f3,3,-11
a2,2,-11
a5,3,-12
a2,2,-11
c6,3,-11
a2,2,-11
a7,3,-42
a2,2,-11
d7,3,-13
a2,2,-11
e7,3,-21
a2,2,-11
f7,3,-30
a2,2,-11
a8,3,65
a2,2,65
e8,3,-12
a2,2,65
e1,1,65
c2,2,-Infinity
g1,3,-78
c2,2,-78
a2,3,-84
c2,2,-78
d3,3,-18
c2,2,-18
f3,3,9
c2,2,9
c4,3,-4
c2,2,9
a5,3,8
c2,2,9
c6,3,9
c2,2,9
a7,3,-22
c2,2,9
d7,3,7
c2,2,9
e7,3,9
c2,2,9
f7,3,-10
c2,2,9
a8,3,85
c2,2,85
e8,3,8
c2,2,85
e1,1,65
d3,2,-Infinity
g1,3,-94
d3,2,-94
c2,3,-40
d3,2,-40
f3,3,23
d3,2,23
c4,3,-10
d3,2,23
a5,3,0
d3,2,23
c6,3,-7
d3,2,23
a7,3,-30
d3,2,23
d7,3,-7
d3,2,23
e7,3,-7
d3,2,23
a8,3,69
d3,2,69
e8,3,-8
d3,2,69
e1,1,65
c4,2,-Infinity
g1,3,-94
c4,2,-94
c2,3,-40
c4,2,-40
d3,3,-18
c4,2,-18
f3,3,-7
c4,2,-7
a5,3,0
c4,2,0
c6,3,-7
c4,2,0
a7,3,-30
c4,2,0
d7,3,-17
c4,2,0
e7,3,-7
c4,2,0
f7,3,-18
c4,2,0
a8,3,69
c4,2,69
e8,3,-8
c4,2,69
e1,1,65
h5,2,-Infinity
g1,3,-90
h5,2,-90
c2,3,-36
h5,2,-36
d3,3,-14
h5,2,-14
f3,3,-3
h5,2,-3
a5,3,-4
h5,2,-3
c6,3,-3
h5,2,-3
g6,3,-36
h5,2,-3
h6,3,-14
h5,2,-3
a7,3,-34
h5,2,-3
d7,3,-5
h5,2,-3
e7,3,-3
h5,2,-3
f7,3,-22
h5,2,-3
a8,3,73
h5,2,73
e8,3,-4
h5,2,73
e1,1,65
c6,2,-Infinity
g1,3,-97
c6,2,-97
c2,3,-43
c6,2,-43
d3,3,-21
c6,2,-21
f3,3,4
c6,2,4
a5,3,-3
c6,2,4
a7,3,-41
c6,2,4
d7,3,-12
c6,2,4
e7,3,-10
c6,2,4
a8,3,66
c6,2,66
e8,3,-11
c6,2,66
e1,1,65
g6,2,-Infinity
g1,3,-108
g6,2,-108
c2,3,-34
g6,2,-34
d3,3,-12
g6,2,-12
f3,3,-17
g6,2,-12
a5,3,-2
g6,2,-2
h5,3,-16
g6,2,-2
h6,3,-12
g6,2,-2
a7,3,-32
g6,2,-2
d7,3,-19
g6,2,-2
e7,3,-1
g6,2,-1
f7,3,-20
g6,2,-1
a8,3,75
g6,2,75
e8,3,-2
g6,2,75
e1,1,65
h6,2,-Infinity
g1,3,-44
h6,2,-44
c2,3,10
h6,2,10
d3,3,32
h6,2,32
f3,3,43
h6,2,43
a5,3,42
h6,2,43
h5,3,28
h6,2,43
c6,3,43
h6,2,43
g6,3,-38
h6,2,43
a7,3,12
h6,2,43
d7,3,41
h6,2,43
e7,3,43
h6,2,43
f7,3,24
h6,2,43
a8,3,119
h6,2,119
e8,3,42
h6,2,119
e1,1,65
e7,2,-Infinity
g1,3,-95
e7,2,-95
c2,3,-41
e7,2,-41
d3,3,-19
e7,2,-19
f3,3,-24
e7,2,-19
a5,3,-9
e7,2,-9
h5,3,-23
e7,2,-9
g6,3,-41
e7,2,-9
h6,3,-19
e7,2,-9
a7,3,-39
e7,2,-9
d7,3,-10
e7,2,-9
f7,3,-27
e7,2,-9
a8,3,68
e7,2,68
e8,3,1
e7,2,68
e1,1,65
f7,2,-Infinity
g1,3,-100
f7,2,-100
c2,3,-46
f7,2,-46
d3,3,-24
f7,2,-24
f3,3,-29
f7,2,-24
a5,3,-14
f7,2,-14
a7,3,-44
f7,2,-14
d7,3,-15
f7,2,-14
e7,3,-7
f7,2,-7
a8,3,63
f7,2,63
e8,3,-14
f7,2,63
e1,1,63
e8,2,-Infinity
g1,3,-108
e8,2,-108
c2,3,-54
e8,2,-54
d3,3,-32
e8,2,-32
f3,3,-21
e8,2,-21
a5,3,-22
e8,2,-21
c6,3,-21
e8,2,-21
a7,3,-52
e8,2,-21
d7,3,-23
e8,2,-21
e7,3,-21
e8,2,-21
f7,3,-40
e8,2,-21
a8,3,95
e8,2,95
e1,1,63
root,0,63
g1,1,Infinity
e1,2,-Infinity
c2,3,-132
e1,2,-132
d3,3,-96
e1,2,-96
f3,3,-93
e1,2,-93
a5,3,-88
e1,2,-88
c6,3,-85
e1,2,-85
a7,3,-116
e1,2,-85
d7,3,-87
e1,2,-85
e7,3,-101
e1,2,-85
f7,3,-104
e1,2,-85
a8,3,-9
e1,2,-9
e8,3,-86
e1,2,-9
g1,1,-9
a2,2,-Infinity
e1,3,-98
a2,2,-98
c2,3,-142
a2,2,-98
d3,3,-114
a2,2,-98
f3,3,-109
a2,2,-98
a5,3,-112
a2,2,-98
c6,3,-109
a2,2,-98
a7,3,-140
a2,2,-98
c7,3,-120
a2,2,-98
d7,3,-111
a2,2,-98
e7,3,-119
a2,2,-98
f7,3,-128
a2,2,-98
a8,3,-33
a2,2,-33
e8,3,-110
a2,2,-33
g1,1,-33
c2,2,-Infinity
e1,3,-78
c2,2,-78
a2,3,-182
c2,2,-78
d3,3,-110
c2,2,-78
f3,3,-89
c2,2,-78
a5,3,-92
c2,2,-78
c6,3,-89
c2,2,-78
a7,3,-120
c2,2,-78
c7,3,-100
c2,2,-78
d7,3,-91
c2,2,-78
e7,3,-89
c2,2,-78
f7,3,-108
c2,2,-78
a8,3,-13
c2,2,-13
e8,3,-90
c2,2,-13
g1,1,-33
d3,2,-Infinity
e1,3,-94
d3,2,-94
c2,3,-138
d3,2,-94
f3,3,-75
d3,2,-75
c4,3,-108
d3,2,-75
a5,3,-100
d3,2,-75
c6,3,-105
d3,2,-75
a7,3,-128
d3,2,-75
c7,3,-116
d3,2,-75
d7,3,-115
d3,2,-75
e7,3,-105
d3,2,-75
a8,3,-29
d3,2,-29
e8,3,-106
d3,2,-29
g1,1,-33
f3,2,-Infinity
e1,3,-83
f3,2,-83
c2,3,-133
f3,2,-83
d3,3,-105
f3,2,-83
a5,3,-97
f3,2,-83
c6,3,-94
f3,2,-83
a7,3,-125
f3,2,-83
d7,3,-96
f3,2,-83
e7,3,-110
f3,2,-83
f7,3,-113
f3,2,-83
a8,3,-18
f3,2,-18
e8,3,-95
f3,2,-18
g1,1,-33
c4,2,-Infinity
e1,3,-94
c4,2,-94
c2,3,-138
c4,2,-94
d3,3,-110
c4,2,-94
f3,3,-105
c4,2,-94
a5,3,-100
c4,2,-94
c6,3,-105
c4,2,-94
a7,3,-128
c4,2,-94
c7,3,-116
c4,2,-94
d7,3,-115
c4,2,-94
e7,3,-105
c4,2,-94
f7,3,-116
c4,2,-94
a8,3,-29
c4,2,-29
e8,3,-106
c4,2,-29
g1,1,-33
h5,2,-Infinity
e1,3,-90
h5,2,-90
c2,3,-134
h5,2,-90
d3,3,-106
h5,2,-90
f3,3,-101
h5,2,-90
a5,3,-104
h5,2,-90
c6,3,-101
h5,2,-90
g6,3,-134
h5,2,-90
a7,3,-132
h5,2,-90
c7,3,-112
h5,2,-90
d7,3,-103
h5,2,-90
e7,3,-101
h5,2,-90
f7,3,-120
h5,2,-90
a8,3,-25
h5,2,-25
e8,3,-102
h5,2,-25
g1,1,-33
c6,2,-Infinity
e1,3,-97
c6,2,-97
c2,3,-141
c6,2,-97
d3,3,-113
c6,2,-97
f3,3,-94
c6,2,-94
a5,3,-103
c6,2,-94
a7,3,-139
c6,2,-94
c7,3,-119
c6,2,-94
d7,3,-110
c6,2,-94
e7,3,-108
c6,2,-94
a8,3,-32
c6,2,-32
e8,3,-109
c6,2,-32
g1,1,-33
g6,2,-Infinity
e1,3,-100
g6,2,-100
c2,3,-144
g6,2,-100
d3,3,-116
g6,2,-100
f3,3,-127
g6,2,-100
a5,3,-114
g6,2,-100
a7,3,-142
g6,2,-100
c7,3,-122
g6,2,-100
d7,3,-113
g6,2,-100
e7,3,-97
g6,2,-97
f7,3,-130
g6,2,-97
a8,3,-35
g6,2,-35
e8,3,-112
g6,2,-35
g1,1,-35
h6,2,-Infinity
e1,3,-44
h6,2,-44
c2,3,-88
h6,2,-44
d3,3,-60
h6,2,-44
f3,3,-55
h6,2,-44
a5,3,-58
h6,2,-44
h5,3,-70
h6,2,-44
c6,3,-55
h6,2,-44
g6,3,-136
h6,2,-44
a7,3,-86
h6,2,-44
c7,3,-66
h6,2,-44
d7,3,-57
h6,2,-44
e7,3,-55
h6,2,-44
f7,3,-74
h6,2,-44
a8,3,21
h6,2,21
e8,3,-56
h6,2,21
g1,1,-35
e7,2,-Infinity
e1,3,-95
e7,2,-95
c2,3,-139
e7,2,-95
d3,3,-111
e7,2,-95
f3,3,-122
e7,2,-95
a5,3,-109
e7,2,-95
h5,3,-121
e7,2,-95
g6,3,-139
e7,2,-95
a7,3,-137
e7,2,-95
c7,3,-117
e7,2,-95
d7,3,-108
e7,2,-95
f7,3,-125
e7,2,-95
a8,3,-30
e7,2,-30
e8,3,-97
e7,2,-30
g1,1,-35
f7,2,-Infinity
e1,3,-100
f7,2,-100
c2,3,-144
f7,2,-100
d3,3,-116
f7,2,-100
f3,3,-127
f7,2,-100
a5,3,-114
f7,2,-100
a7,3,-142
f7,2,-100
c7,3,-122
f7,2,-100
d7,3,-113
f7,2,-100
e7,3,-105
f7,2,-100
a8,3,-35
f7,2,-35
e8,3,-112
f7,2,-35
g1,1,-35
e8,2,-Infinity
e1,3,-108
e8,2,-108
c2,3,-152
e8,2,-108
d3,3,-124
e8,2,-108
f3,3,-119
e8,2,-108
a5,3,-122
e8,2,-108
c6,3,-119
e8,2,-108
a7,3,-150
e8,2,-108
c7,3,-130
e8,2,-108
d7,3,-121
e8,2,-108
e7,3,-119
e8,2,-108
f7,3,-138
e8,2,-108
a8,3,-3
e8,2,-3
g1,1,-35
root,0,63
c2,1,Infinity
e1,2,-Infinity
g1,3,-120
e1,2,-120
a2,3,-112
e1,2,-112
d3,3,-44
e1,2,-44
f3,3,-41
e1,2,-41
c4,3,-38
e1,2,-38
a5,3,-36
e1,2,-36
c6,3,-33
e1,2,-33
a7,3,-64
e1,2,-33
d7,3,-35
e1,2,-33
e7,3,-49
e1,2,-33
f7,3,-52
e1,2,-33
a8,3,43
e1,2,43
e8,3,-34
e1,2,43
c2,1,43
g1,2,-Infinity
e1,3,-20
g1,2,-20
h1,3,29
g1,2,29
a2,3,-110
g1,2,29
d3,3,-36
g1,2,29
f3,3,-39
g1,2,29
c4,3,-36
g1,2,29
a5,3,-26
g1,2,29
c6,3,-31
g1,2,29
a7,3,-62
g1,2,29
d7,3,-33
g1,2,29
e7,3,-31
g1,2,29
f7,3,-50
g1,2,29
a8,3,45
g1,2,45
e8,3,-32
g1,2,45
c2,1,43
a2,2,-Infinity
e1,3,-44
a2,2,-44
g1,3,-142
a2,2,-44
d3,3,-60
a2,2,-44
f3,3,-55
a2,2,-44
c4,3,-60
a2,2,-44
a5,3,-50
a2,2,-44
c6,3,-55
a2,2,-44
a7,3,-86
a2,2,-44
d7,3,-57
a2,2,-44
e7,3,-65
a2,2,-44
f7,3,-74
a2,2,-44
a8,3,21
a2,2,21
e8,3,-56
a2,2,21
c2,1,21
d3,2,-Infinity
e1,3,-34
d3,2,-34
g1,3,-132
d3,2,-34
a2,3,-124
d3,2,-34
f3,3,-15
d3,2,-15
c4,3,-34
d3,2,-15
a5,3,-40
d3,2,-15
c6,3,-45
d3,2,-15
g6,3,-56
d3,2,-15
a7,3,-68
d3,2,-15
d7,3,-55
d3,2,-15
e7,3,-45
d3,2,-15
a8,3,31
d3,2,31
e8,3,-46
d3,2,31
c2,1,21
f3,2,-Infinity
e1,3,-37
f3,2,-37
g1,3,-135
f3,2,-37
h1,3,-6
f3,2,-6
a2,3,-127
f3,2,-6
d3,3,-59
f3,2,-6
c4,3,-53
f3,2,-6
a5,3,-43
f3,2,-6
c6,3,-48
f3,2,-6
a7,3,-79
f3,2,-6
d7,3,-50
f3,2,-6
e7,3,-64
f3,2,-6
f7,3,-67
f3,2,-6
a8,3,28
f3,2,28
e8,3,-49
f3,2,28
c2,1,21
c4,2,-Infinity
e1,3,-40
c4,2,-40
g1,3,-138
c4,2,-40
a2,3,-130
c4,2,-40
d3,3,-56
c4,2,-40
f3,3,-51
c4,2,-40
a5,3,-38
c4,2,-38
c6,3,-21
c4,2,-21
a7,3,-74
c4,2,-21
d7,3,-61
c4,2,-21
e7,3,-51
c4,2,-21
f7,3,-62
c4,2,-21
a8,3,25
c4,2,25
e8,3,-52
c4,2,25
c2,1,21
h5,2,-Infinity
e1,3,-36
h5,2,-36
g1,3,-134
h5,2,-36
a2,3,-126
h5,2,-36
d3,3,-52
h5,2,-36
f3,3,-47
h5,2,-36
c4,3,-52
h5,2,-36
a5,3,-42
h5,2,-36
c6,3,-47
h5,2,-36
g6,3,-80
h5,2,-36
h6,3,-52
h5,2,-36
a7,3,-78
h5,2,-36
d7,3,-49
h5,2,-36
e7,3,-47
h5,2,-36
f7,3,-66
h5,2,-36
a8,3,29
h5,2,29
e8,3,-48
h5,2,29
c2,1,21
c6,2,-Infinity
e1,3,-43
c6,2,-43
g1,3,-141
c6,2,-43
a2,3,-133
c6,2,-43
d3,3,-59
c6,2,-43
f3,3,-40
c6,2,-40
c4,3,-59
c6,2,-40
a5,3,-41
c6,2,-40
a7,3,-85
c6,2,-40
d7,3,-56
c6,2,-40
e7,3,-54
c6,2,-40
a8,3,22
c6,2,22
e8,3,-55
c6,2,22
c2,1,21
g6,2,-Infinity
e1,3,-34
g6,2,-34
g1,3,-152
g6,2,-34
a2,3,-124
g6,2,-34
d3,3,-50
g6,2,-34
f3,3,-61
g6,2,-34
c4,3,-50
g6,2,-34
a5,3,-40
g6,2,-34
h5,3,-60
g6,2,-34
h6,3,-50
g6,2,-34
a7,3,-76
g6,2,-34
d7,3,-63
g6,2,-34
e7,3,-45
g6,2,-34
f7,3,-64
g6,2,-34
a8,3,31
g6,2,31
e8,3,-46
g6,2,31
c2,1,21
h6,2,-Infinity
e1,3,10
h6,2,10
g1,3,-88
h6,2,10
a2,3,-80
h6,2,10
d3,3,-6
h6,2,10
f3,3,-1
h6,2,10
c4,3,-6
h6,2,10
a5,3,4
h6,2,10
h5,3,-16
h6,2,10
c6,3,-1
h6,2,10
g6,3,-82
h6,2,10
a7,3,-32
h6,2,10
d7,3,-3
h6,2,10
e7,3,-1
h6,2,10
f7,3,-20
h6,2,10
a8,3,75
h6,2,75
e8,3,-2
h6,2,75
c2,1,21
e7,2,-Infinity
e1,3,-41
e7,2,-41
g1,3,-139
e7,2,-41
a2,3,-131
e7,2,-41
d3,3,-57
e7,2,-41
f3,3,-68
e7,2,-41
c4,3,-57
e7,2,-41
a5,3,-47
e7,2,-41
h5,3,-67
e7,2,-41
g6,3,-85
e7,2,-41
h6,3,-57
e7,2,-41
a7,3,-83
e7,2,-41
d7,3,-54
e7,2,-41
f7,3,-71
e7,2,-41
a8,3,24
e7,2,24
e8,3,-43
e7,2,24
c2,1,21
f7,2,-Infinity
e1,3,-46
f7,2,-46
g1,3,-144
f7,2,-46
a2,3,-136
f7,2,-46
d3,3,-62
f7,2,-46
f3,3,-73
f7,2,-46
c4,3,-62
f7,2,-46
a5,3,-52
f7,2,-46
a7,3,-88
f7,2,-46
d7,3,-59
f7,2,-46
e7,3,-51
