XX*OXX**
X*X*XXXO
*OO*O**O
*OX*XOOO
***X**OX
OOO*X**X
OO*OO*XO
O*XX*OOO
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
h1,2,-Infinity
g1,3,-79
h1,2,-79
f3,3,-90
h1,2,-79
d4,3,-83
h1,2,-79
c5,3,-79
h1,2,-79
e5,3,-83
h1,2,-79
f5,3,-79
h1,2,-79
f6,3,-132
h1,2,-79
g6,3,-143
h1,2,-79
f7,3,-127
h1,2,-79
a8,3,-8
h1,2,-8
c1,1,-8
d2,2,-Infinity
g1,3,33
d2,2,33
d3,3,11
d2,2,33
f3,3,14
d2,2,33
d4,3,29
d2,2,33
c5,3,25
d2,2,33
e5,3,21
d2,2,33
f5,3,25
d2,2,33
f6,3,-34
d2,2,33
g6,3,-45
d2,2,33
f7,3,-23
d2,2,33
a8,3,96
d2,2,96
c1,1,-8
d3,2,-Infinity
g1,3,36
d3,2,36
d2,3,-41
d3,2,36
f3,3,25
d3,2,36
d4,3,32
d3,2,36
c5,3,36
d3,2,36
e5,3,32
d3,2,36
f5,3,36
d3,2,36
f6,3,-17
d3,2,36
g6,3,-28
d3,2,36
f7,3,-12
d3,2,36
a8,3,107
d3,2,107
c1,1,-8
f3,2,-Infinity
g1,3,31
f3,2,31
h1,3,84
f3,2,84
d2,3,-46
f3,2,84
g3,3,23
f3,2,84
d4,3,27
f3,2,84
c5,3,31
f3,2,84
e5,3,27
f3,2,84
f5,3,25
f3,2,84
f6,3,-22
f3,2,84
g6,3,-33
f3,2,84
f7,3,-17
f3,2,84
a8,3,102
f3,2,102
c1,1,-8
a4,2,-Infinity
g1,3,32
a4,2,32
d2,3,-45
a4,2,32
f3,3,21
a4,2,32
d4,3,20
a4,2,32
a5,3,20
a4,2,32
b5,3,11
a4,2,32
c5,3,32
a4,2,32
e5,3,28
a4,2,32
f5,3,32
a4,2,32
f6,3,-21
a4,2,32
g6,3,-32
a4,2,32
f7,3,-16
a4,2,32
a8,3,103
a4,2,103
c1,1,-8
d4,2,-Infinity
g1,3,32
d4,2,32
d2,3,-45
d4,2,32
f3,3,13
d4,2,32
c5,3,24
d4,2,32
e5,3,20
d4,2,32
f5,3,24
d4,2,32
f6,3,-29
d4,2,32
g6,3,-40
d4,2,32
f7,3,-24
d4,2,32
a8,3,95
d4,2,95
c1,1,-8
a5,2,-Infinity
g1,3,10
a5,2,10
d2,3,-67
a5,2,10
f3,3,-1
a5,2,10
d4,3,6
a5,2,10
c5,3,10
a5,2,10
e5,3,6
a5,2,10
f5,3,10
a5,2,10
f6,3,-43
a5,2,10
g6,3,-54
a5,2,10
f7,3,-38
a5,2,10
c1,1,-8
c5,2,-Infinity
g1,3,36
c5,2,36
d2,3,-41
c5,2,36
f3,3,25
c5,2,36
d4,3,32
c5,2,36
b5,3,13
c5,2,36
e5,3,32
c5,2,36
f5,3,36
c5,2,36
d6,3,36
c5,2,36
f6,3,-17
c5,2,36
g6,3,-28
c5,2,36
f7,3,-12
c5,2,36
a8,3,107
c5,2,107
c1,1,-8
f5,2,-Infinity
g1,3,34
f5,2,34
d2,3,-43
f5,2,34
f3,3,23
f5,2,34
d4,3,30
f5,2,34
c5,3,34
f5,2,34
e5,3,30
f5,2,34
f6,3,-17
f5,2,34
g6,3,-36
f5,2,34
f7,3,-14
f5,2,34
a8,3,105
f5,2,105
c1,1,-8
d6,2,-Infinity
g1,3,34
d6,2,34
d2,3,-43
d6,2,34
f3,3,23
d6,2,34
d4,3,30
d6,2,34
c5,3,42
d6,2,42
e5,3,30
d6,2,42
f6,3,-3
d6,2,42
g6,3,-30
d6,2,42
c7,3,12
d6,2,42
f7,3,-14
d6,2,42
a8,3,105
d6,2,105
e8,3,22
d6,2,105
c1,1,-8
f6,2,-Infinity
g1,3,31
f6,2,31
d2,3,-46
f6,2,31
f3,3,20
f6,2,31
d4,3,27
f6,2,31
c5,3,31
f6,2,31
e5,3,-15
f6,2,31
f5,3,31
f6,2,31
d6,3,17
f6,2,31
g6,3,-33
f6,2,31
f7,3,-23
f6,2,31
a8,3,102
f6,2,102
c1,1,-8
c7,2,-Infinity
g1,3,84
c7,2,84
d2,3,7
c7,2,84
f3,3,73
c7,2,84
d4,3,80
c7,2,84
c5,3,84
c7,2,84
e5,3,80
c7,2,84
f5,3,84
c7,2,84
f6,3,31
c7,2,84
g6,3,20
c7,2,84
f7,3,36
c7,2,84
a8,3,107
c7,2,107
b8,3,16
c7,2,107
c1,1,-8
a8,2,-Infinity
g1,3,-33
a8,2,-33
d2,3,-110
a8,2,-33
f3,3,-44
a8,2,-33
d4,3,-37
a8,2,-33
b5,3,-34
a8,2,-33
c5,3,-33
a8,2,-33
e5,3,-37
a8,2,-33
f5,3,-33
a8,2,-33
d6,3,-27
a8,2,-27
f6,3,-86
a8,2,-27
g6,3,-97
a8,2,-27
f7,3,-81
a8,2,-27
b8,3,-101
a8,2,-27
c1,1,-27
e8,2,-Infinity
g1,3,32
e8,2,32
d2,3,-45
e8,2,32
f3,3,21
e8,2,32
d4,3,28
e8,2,32
c5,3,32
e8,2,32
e5,3,20
e8,2,32
f5,3,32
e8,2,32
d6,3,18
e8,2,32
f6,3,-21
e8,2,32
g6,3,-32
e8,2,32
f7,3,-22
e8,2,32
a8,3,103
e8,2,103
b8,3,52
e8,2,103
c1,1,-27
root,0,-27
g1,1,Infinity
h1,2,-Infinity
c1,3,-79
h1,2,-79
d2,3,-88
h1,2,-79
d3,3,-81
h1,2,-79
f3,3,-78
h1,2,-78
g3,3,-131
h1,2,-78
d4,3,-71
h1,2,-71
c5,3,-67
h1,2,-67
e5,3,-71
h1,2,-67
f5,3,-67
h1,2,-67
f6,3,-120
h1,2,-67
g6,3,-131
h1,2,-67
f7,3,-115
h1,2,-67
a8,3,4
h1,2,4
g1,1,4
d2,2,-Infinity
c1,3,25
d2,2,25
b2,3,-19
d2,2,25
d3,3,17
d2,2,25
f3,3,26
d2,2,26
g3,3,-27
d2,2,26
d4,3,49
d2,2,49
c5,3,37
d2,2,49
e5,3,35
d2,2,49
f5,3,37
d2,2,49
f6,3,-22
d2,2,49
g6,3,-33
d2,2,49
f7,3,-11
d2,2,49
a8,3,108
d2,2,108
g1,1,4
f3,2,-Infinity
c1,3,31
f3,2,31
h1,3,96
f3,2,96
d2,3,22
f3,2,96
d3,3,29
f3,2,96
g3,3,-13
f3,2,96
d4,3,39
f3,2,96
c5,3,43
f3,2,96
e5,3,39
f3,2,96
f5,3,37
f3,2,96
f6,3,-10
f3,2,96
g6,3,-21
f3,2,96
f7,3,-5
f3,2,96
a8,3,114
f3,2,114
g1,1,4
a4,2,-Infinity
c1,3,40
a4,2,40
d2,3,31
a4,2,40
a3,3,40
a4,2,40
d3,3,38
a4,2,40
f3,3,41
a4,2,41
g3,3,-12
a4,2,41
d4,3,40
a4,2,41
a5,3,40
a4,2,41
c5,3,52
a4,2,52
e5,3,48
a4,2,52
f5,3,52
a4,2,52
f6,3,-1
a4,2,52
g6,3,-12
a4,2,52
f7,3,-12
a4,2,52
a8,3,123
a4,2,123
g1,1,4
a5,2,-Infinity
c1,3,10
a5,2,10
d2,3,1
a5,2,10
d3,3,8
a5,2,10
f3,3,11
a5,2,11
g3,3,-42
a5,2,11
d4,3,18
a5,2,18
c5,3,22
a5,2,22
e5,3,18
a5,2,22
f5,3,22
a5,2,22
f6,3,-31
a5,2,22
g6,3,-42
a5,2,22
f7,3,-26
a5,2,22
g1,1,4
c5,2,-Infinity
c1,3,36
c5,2,36
d2,3,27
c5,2,36
d3,3,34
c5,2,36
f3,3,37
c5,2,37
g3,3,-16
c5,2,37
d4,3,44
c5,2,44
b5,3,25
c5,2,44
e5,3,44
c5,2,44
f5,3,48
c5,2,48
d6,3,48
c5,2,48
f6,3,-5
c5,2,48
g6,3,-16
c5,2,48
f7,3,0
c5,2,48
a8,3,119
c5,2,119
g1,1,4
f5,2,-Infinity
c1,3,34
f5,2,34
d2,3,25
f5,2,34
d3,3,32
f5,2,34
f3,3,35
f5,2,35
g3,3,-18
f5,2,35
d4,3,42
f5,2,42
c5,3,46
f5,2,46
e5,3,42
f5,2,46
f6,3,-5
f5,2,46
g6,3,-24
f5,2,46
f7,3,-2
f5,2,46
a8,3,117
f5,2,117
g1,1,4
d6,2,-Infinity
c1,3,34
d6,2,34
d2,3,25
d6,2,34
d3,3,32
d6,2,34
f3,3,35
d6,2,35
g3,3,-18
d6,2,35
d4,3,42
d6,2,42
c5,3,54
d6,2,54
e5,3,42
d6,2,54
f6,3,9
d6,2,54
g6,3,-18
d6,2,54
c7,3,24
d6,2,54
f7,3,-2
d6,2,54
a8,3,117
d6,2,117
e8,3,34
d6,2,117
g1,1,4
f6,2,-Infinity
c1,3,31
f6,2,31
d2,3,22
f6,2,31
d3,3,29
f6,2,31
f3,3,32
f6,2,32
g3,3,-21
f6,2,32
d4,3,39
f6,2,39
c5,3,43
f6,2,43
e5,3,-3
f6,2,43
f5,3,43
f6,2,43
d6,3,29
f6,2,43
g6,3,-21
f6,2,43
f7,3,-11
f6,2,43
a8,3,114
f6,2,114
g1,1,4
c7,2,-Infinity
c1,3,84
c7,2,84
d2,3,75
c7,2,84
d3,3,82
c7,2,84
f3,3,85
c7,2,85
g3,3,32
c7,2,85
d4,3,92
c7,2,92
c5,3,96
c7,2,96
e5,3,92
c7,2,96
f5,3,96
c7,2,96
f6,3,43
c7,2,96
g6,3,32
c7,2,96
f7,3,48
c7,2,96
a8,3,119
c7,2,119
b8,3,28
c7,2,119
g1,1,4
a8,2,-Infinity
c1,3,-33
a8,2,-33
d2,3,-42
a8,2,-33
d3,3,-35
a8,2,-33
f3,3,-32
a8,2,-32
g3,3,-85
a8,2,-32
d4,3,-25
a8,2,-25
b5,3,-22
a8,2,-22
c5,3,-21
a8,2,-21
e5,3,-25
a8,2,-21
f5,3,-21
a8,2,-21
d6,3,-15
a8,2,-15
f6,3,-74
a8,2,-15
g6,3,-85
a8,2,-15
f7,3,-69
a8,2,-15
b8,3,-89
a8,2,-15
g1,1,-15
