XXX**O*O
**XOO*OO
OXO*XXOO
*OX*O*X*
XXX*XO**
X***OOX*
O**OXO*O
XXO*XX*X
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
b2,2,-Infinity
d1,3,270
b2,2,270
e1,3,272
b2,2,272
g1,3,206
b2,2,272
a2,3,254
b2,2,272
d3,3,274
b2,2,274
a4,3,270
b2,2,274
d4,3,236
b2,2,274
f4,3,288
b2,2,288
d5,3,270
b2,2,288
g5,3,289
b2,2,289
c6,3,271
b2,2,289
d6,3,296
b2,2,296
h6,3,262
b2,2,296
c7,3,260
b2,2,296
g7,3,252
b2,2,296
d8,3,292
b2,2,296
a1,1,296
d3,2,-Infinity
d1,3,218
d3,2,218
e1,3,214
d3,2,218
g1,3,140
d3,2,218
f2,3,188
d3,2,218
a4,3,204
d3,2,218
f4,3,224
d3,2,224
g5,3,223
d3,2,224
c6,3,205
d3,2,224
d6,3,230
d3,2,230
h6,3,196
d3,2,230
c7,3,194
d3,2,230
g7,3,186
d3,2,230
d8,3,226
d3,2,230
a1,1,230
a4,2,-Infinity
d1,3,196
a4,2,196
e1,3,196
a4,2,196
g1,3,132
a4,2,196
a2,3,228
a4,2,228
f2,3,180
a4,2,228
d3,3,222
a4,2,228
f4,3,214
a4,2,228
d5,3,196
a4,2,228
g5,3,215
a4,2,228
c6,3,197
a4,2,228
d6,3,222
a4,2,228
h6,3,188
a4,2,228
c7,3,186
a4,2,228
g7,3,178
a4,2,228
d8,3,218
a4,2,228
a1,1,228
d4,2,-Infinity
d1,3,222
d4,2,222
e1,3,224
d4,2,224
g1,3,158
d4,2,224
f2,3,206
d4,2,224
d3,3,256
d4,2,256
f4,3,240
d4,2,256
d5,3,230
d4,2,256
g5,3,233
d4,2,256
c6,3,223
d4,2,256
d6,3,248
d4,2,256
h6,3,214
d4,2,256
c7,3,212
d4,2,256
g7,3,190
d4,2,256
d8,3,244
d4,2,256
a1,1,228
f4,2,-Infinity
d1,3,218
f4,2,218
e1,3,228
f4,2,228
g1,3,154
f4,2,228
f2,3,202
f4,2,228
d3,3,252
f4,2,252
a4,3,218
f4,2,252
d4,3,226
f4,2,252
d5,3,218
f4,2,252
g5,3,247
f4,2,252
c6,3,219
f4,2,252
d6,3,244
f4,2,252
h6,3,210
f4,2,252
c7,3,208
f4,2,252
g7,3,200
f4,2,252
d8,3,240
f4,2,252
a1,1,228
d5,2,-Infinity
d1,3,230
d5,2,230
e1,3,232
d5,2,232
g1,3,166
d5,2,232
f2,3,214
d5,2,232
d3,3,256
d5,2,256
a4,3,230
d5,2,256
f4,3,248
d5,2,256
g5,3,249
d5,2,256
c6,3,231
d5,2,256
d6,3,256
d5,2,256
h6,3,222
d5,2,256
c7,3,220
d5,2,256
g7,3,198
d5,2,256
d8,3,252
d5,2,256
g8,3,222
d5,2,256
a1,1,228
g5,2,-Infinity
d1,3,239
g5,2,239
e1,3,241
g5,2,241
g1,3,163
g5,2,241
f2,3,223
g5,2,241
d3,3,265
g5,2,265
a4,3,239
g5,2,265
f4,3,257
g5,2,265
h4,3,253
g5,2,265
d5,3,239
g5,2,265
h5,3,241
g5,2,265
c6,3,240
g5,2,265
d6,3,265
g5,2,265
h6,3,231
g5,2,265
c7,3,229
g5,2,265
g7,3,221
g5,2,265
d8,3,261
g5,2,265
a1,1,228
h5,2,-Infinity
e1,3,226
h5,2,226
f2,3,208
h5,2,226
d3,3,242
h5,2,242
a4,3,224
h5,2,242
f4,3,242
h5,2,242
g5,3,243
h5,2,243
c6,3,225
h5,2,243
h6,3,216
h5,2,243
c7,3,214
h5,2,243
g7,3,206
h5,2,243
d8,3,246
h5,2,246
a1,1,228
b6,2,-Infinity
d1,3,240
b6,2,240
e1,3,242
b6,2,242
g1,3,176
b6,2,242
f2,3,224
b6,2,242
d3,3,266
b6,2,266
a4,3,240
b6,2,266
f4,3,258
b6,2,266
d5,3,240
b6,2,266
g5,3,259
b6,2,266
c6,3,233
b6,2,266
d6,3,266
b6,2,266
h6,3,232
b6,2,266
b7,3,196
b6,2,266
c7,3,222
b6,2,266
g7,3,222
b6,2,266
d8,3,262
b6,2,266
a1,1,228
c6,2,-Infinity
d1,3,207
c6,2,207
e1,3,209
c6,2,209
g1,3,143
c6,2,209
f2,3,191
c6,2,209
d3,3,241
c6,2,241
f4,3,225
c6,2,241
d5,3,223
c6,2,241
g5,3,226
c6,2,241
d6,3,233
c6,2,241
h6,3,199
c6,2,241
c7,3,241
c6,2,241
g7,3,189
c6,2,241
d8,3,229
c6,2,241
a1,1,228
d6,2,-Infinity
d1,3,218
d6,2,218
e1,3,220
d6,2,220
g1,3,154
d6,2,220
f2,3,202
d6,2,220
d3,3,244
d6,2,244
a4,3,218
d6,2,244
f4,3,236
d6,2,244
d5,3,226
d6,2,244
g5,3,237
d6,2,244
c6,3,257
d6,2,257
h6,3,210
d6,2,257
c7,3,216
d6,2,257
g7,3,200
d6,2,257
d8,3,240
d6,2,257
a1,1,228
h6,2,-Infinity
d1,3,230
h6,2,230
e1,3,232
h6,2,232
g1,3,166
h6,2,232
f2,3,214
h6,2,232
d3,3,248
h6,2,248
a4,3,230
h6,2,248
f4,3,248
h6,2,248
d5,3,230
h6,2,248
g5,3,249
h6,2,249
h5,3,220
h6,2,249
c6,3,231
h6,2,249
c7,3,220
h6,2,249
g7,3,212
h6,2,249
d8,3,252
h6,2,252
a1,1,228
d8,2,-Infinity
d1,3,230
d8,2,230
e1,3,232
d8,2,232
g1,3,166
d8,2,232
f2,3,214
d8,2,232
d3,3,256
d8,2,256
a4,3,230
d8,2,256
f4,3,248
d8,2,256
d5,3,230
d8,2,256
g5,3,235
d8,2,256
c6,3,231
d8,2,256
d6,3,250
d8,2,256
h6,3,222
d8,2,256
g7,3,220
d8,2,256
a1,1,228
root,0,228
d1,1,Infinity
e1,2,-Infinity
g1,3,47
e1,2,47
f2,3,95
e1,2,95
d3,3,145
e1,2,145
a4,3,111
e1,2,145
f4,3,129
e1,2,145
d5,3,111
e1,2,145
g5,3,130
e1,2,145
c6,3,112
e1,2,145
d6,3,137
e1,2,145
h6,3,103
e1,2,145
c7,3,101
e1,2,145
g7,3,93
e1,2,145
d8,3,133
e1,2,145
d1,1,145
b2,2,-Infinity
a1,3,270
b2,2,270
e1,3,195
b2,2,270
g1,3,123
b2,2,270
a2,3,109
b2,2,270
d3,3,193
b2,2,270
a4,3,171
b2,2,270
f4,3,205
b2,2,270
d5,3,187
b2,2,270
g5,3,206
b2,2,270
c6,3,188
b2,2,270
d6,3,213
b2,2,270
h6,3,179
b2,2,270
c7,3,177
b2,2,270
g7,3,169
b2,2,270
d8,3,209
b2,2,270
d1,1,145
f2,2,-Infinity
a1,3,240
f2,2,240
e1,3,159
f2,2,240
g1,3,85
f2,2,240
d3,3,177
f2,2,240
a4,3,157
f2,2,240
f4,3,175
f2,2,240
d5,3,157
f2,2,240
g5,3,176
f2,2,240
c6,3,158
f2,2,240
d6,3,183
f2,2,240
h6,3,149
f2,2,240
c7,3,147
f2,2,240
g7,3,139
f2,2,240
d8,3,179
f2,2,240
d1,1,145
d3,2,-Infinity
a1,3,218
d3,2,218
e1,3,145
d3,2,218
g1,3,71
d3,2,218
a4,3,135
d3,2,218
d4,3,137
d3,2,218
f4,3,155
d3,2,218
g5,3,154
d3,2,218
c6,3,136
d3,2,218
d6,3,161
d3,2,218
h6,3,127
d3,2,218
c7,3,125
d3,2,218
g7,3,117
d3,2,218
d8,3,157
d3,2,218
d1,1,145
a4,2,-Infinity
a1,3,196
a4,2,196
g1,3,49
a4,2,196
a2,3,145
a4,2,196
d3,3,133
a4,2,196
f4,3,131
a4,2,196
d5,3,113
a4,2,196
g5,3,132
a4,2,196
c6,3,114
a4,2,196
d6,3,139
a4,2,196
h6,3,105
a4,2,196
c7,3,103
a4,2,196
g7,3,95
a4,2,196
d8,3,135
a4,2,196
d1,1,145
d4,2,-Infinity
a1,3,222
d4,2,222
e1,3,147
d4,2,222
g1,3,75
d4,2,222
d3,3,167
d4,2,222
f4,3,157
d4,2,222
d5,3,147
d4,2,222
g5,3,150
d4,2,222
c6,3,140
d4,2,222
d6,3,165
d4,2,222
h6,3,131
d4,2,222
c7,3,129
d4,2,222
g7,3,107
d4,2,222
d8,3,161
d4,2,222
d1,1,145
f4,2,-Infinity
a1,3,218
f4,2,218
e1,3,143
f4,2,218
g1,3,71
f4,2,218
d3,3,163
f4,2,218
a4,3,135
f4,2,218
d4,3,143
f4,2,218
d5,3,135
f4,2,218
g5,3,164
f4,2,218
c6,3,136
f4,2,218
d6,3,161
f4,2,218
h6,3,127
f4,2,218
c7,3,125
f4,2,218
g7,3,117
f4,2,218
d8,3,157
f4,2,218
d1,1,145
d5,2,-Infinity
a1,3,230
d5,2,230
e1,3,155
d5,2,230
g1,3,83
d5,2,230
d3,3,167
d5,2,230
a4,3,147
d5,2,230
f4,3,165
d5,2,230
g5,3,166
d5,2,230
c6,3,148
d5,2,230
d6,3,173
d5,2,230
h6,3,139
d5,2,230
c7,3,137
d5,2,230
g7,3,115
d5,2,230
d8,3,169
d5,2,230
g8,3,139
d5,2,230
d1,1,145
g5,2,-Infinity
a1,3,239
g5,2,239
e1,3,164
g5,2,239
g1,3,80
g5,2,239
d3,3,176
g5,2,239
a4,3,156
g5,2,239
f4,3,174
g5,2,239
h4,3,170
g5,2,239
d5,3,156
g5,2,239
h5,3,158
g5,2,239
c6,3,157
g5,2,239
d6,3,182
g5,2,239
h6,3,148
g5,2,239
c7,3,146
g5,2,239
g7,3,138
g5,2,239
d8,3,178
g5,2,239
d1,1,145
h5,2,-Infinity
a1,3,232
h5,2,232
e1,3,157
h5,2,232
g1,3,85
h5,2,232
d3,3,161
h5,2,232
a4,3,149
h5,2,232
f4,3,167
h5,2,232
d5,3,149
h5,2,232
g5,3,168
h5,2,232
c6,3,150
h5,2,232
h6,3,141
h5,2,232
c7,3,139
h5,2,232
g7,3,131
h5,2,232
d8,3,171
h5,2,232
d1,1,145
b6,2,-Infinity
a1,3,240
b6,2,240
e1,3,165
b6,2,240
g1,3,93
b6,2,240
d3,3,177
b6,2,240
a4,3,157
b6,2,240
f4,3,175
b6,2,240
d5,3,157
b6,2,240
g5,3,176
b6,2,240
c6,3,150
b6,2,240
d6,3,183
b6,2,240
h6,3,149
b6,2,240
b7,3,113
b6,2,240
c7,3,139
b6,2,240
g7,3,139
b6,2,240
d8,3,179
b6,2,240
d1,1,145
c6,2,-Infinity
a1,3,207
c6,2,207
e1,3,132
c6,2,207
g1,3,60
c6,2,207
d3,3,152
c6,2,207
f4,3,142
c6,2,207
d5,3,140
c6,2,207
g5,3,143
c6,2,207
d6,3,150
c6,2,207
h6,3,116
c6,2,207
c7,3,158
c6,2,207
g7,3,106
c6,2,207
d8,3,146
c6,2,207
d1,1,145
d6,2,-Infinity
a1,3,218
d6,2,218
e1,3,143
d6,2,218
g1,3,71
d6,2,218
d3,3,155
d6,2,218
a4,3,135
d6,2,218
f4,3,153
d6,2,218
d5,3,143
d6,2,218
g5,3,154
d6,2,218
c6,3,174
d6,2,218
h6,3,127
d6,2,218
c7,3,133
d6,2,218
g7,3,117
d6,2,218
d8,3,157
d6,2,218
d1,1,145
h6,2,-Infinity
a1,3,230
h6,2,230
e1,3,155
h6,2,230
g1,3,83
h6,2,230
d3,3,159
h6,2,230
a4,3,147
h6,2,230
f4,3,165
h6,2,230
d5,3,147
h6,2,230
g5,3,166
h6,2,230
h5,3,137
h6,2,230
c6,3,148
h6,2,230
c7,3,137
h6,2,230
g7,3,129
h6,2,230
d8,3,169
h6,2,230
d1,1,145
d8,2,-Infinity
a1,3,230
d8,2,230
e1,3,155
d8,2,230
g1,3,83
d8,2,230
d3,3,167
d8,2,230
a4,3,147
d8,2,230
f4,3,165
d8,2,230
d5,3,147
d8,2,230
g5,3,152
d8,2,230
c6,3,148
d8,2,230
d6,3,167
d8,2,230
h6,3,139
d8,2,230
g7,3,137
d8,2,230
d1,1,145
root,0,228
e1,1,Infinity
d1,2,-Infinity
g1,3,51
d1,2,51
d3,3,127
d1,2,127
f4,3,133
d1,2,133
d5,3,115
d1,2,133
g5,3,134
d1,2,134
c6,3,116
d1,2,134
d6,3,141
d1,2,141
h6,3,107
d1,2,141
c7,3,105
d1,2,141
g7,3,97
d1,2,141
d8,3,137
d1,2,141
e1,1,141
d3,2,-Infinity
a1,3,214
d3,2,214
d1,3,145
d3,2,214
g1,3,83
d3,2,214
a2,3,115
d3,2,214
b2,3,91
d3,2,214
f2,3,121
d3,2,214
d4,3,139
d3,2,214
f4,3,157
d3,2,214
g5,3,150
d3,2,214
c6,3,132
d3,2,214
d6,3,157
d3,2,214
h6,3,123
d3,2,214
c7,3,121
d3,2,214
g7,3,113
d3,2,214
d8,3,153
d3,2,214
e1,1,141
a4,2,-Infinity
a1,3,198
a4,2,198
g1,3,67
a4,2,198
a2,3,147
a4,2,198
d3,3,127
a4,2,198
f4,3,133
a4,2,198
d5,3,115
a4,2,198
g5,3,134
a4,2,198
c6,3,116
a4,2,198
d6,3,141
a4,2,198
h6,3,107
a4,2,198
c7,3,105
a4,2,198
g7,3,97
