OXXOXXOX
*XOX**XX
*XXXX*XO
**XO*XOO
*X*XX*OO
OOOOOOOO
***OOXO*
XXO**XOX
Node,Depth,Value
root,0,-Infinity
a2,1,Infinity
a3,2,-Infinity
e2,3,-188
a3,2,-188
f2,3,-183
a3,2,-183
f3,3,-188
a3,2,-183
a4,3,-179
a3,2,-179
b4,3,-196
a3,2,-179
e4,3,-171
a3,2,-171
h4,3,-161
a3,2,-161
f5,3,-183
a3,2,-161
e8,3,-173
a3,2,-161
a2,1,-161
f3,2,-Infinity
e2,3,-237
f3,2,-237
f2,3,-232
f3,2,-232
a4,3,-236
f3,2,-232
b4,3,-245
f3,2,-232
e4,3,-228
f3,2,-228
h4,3,-210
f3,2,-210
f5,3,-238
f3,2,-210
e8,3,-222
f3,2,-210
a2,1,-210
b4,2,-Infinity
e2,3,-177
b4,2,-177
f2,3,-172
b4,2,-172
f3,3,-177
b4,2,-172
a4,3,-190
b4,2,-172
e4,3,-160
b4,2,-160
h4,3,-150
b4,2,-150
f5,3,-172
b4,2,-150
e8,3,-162
b4,2,-150
a2,1,-210
h4,2,-Infinity
e2,3,-252
h4,2,-252
f2,3,-247
h4,2,-247
f3,3,-214
h4,2,-214
a4,3,-251
h4,2,-214
b4,3,-260
h4,2,-214
e4,3,-243
h4,2,-214
f5,3,-247
h4,2,-214
e8,3,-237
h4,2,-214
a2,1,-214
c5,2,-Infinity
e2,3,-248
c5,2,-248
f2,3,-237
c5,2,-237
f3,3,-220
c5,2,-220
a4,3,-249
c5,2,-220
b4,3,-258
c5,2,-220
e4,3,-233
c5,2,-220
h4,3,-231
c5,2,-220
e8,3,-241
c5,2,-220
a2,1,-220
b7,2,-Infinity
e2,3,-204
b7,2,-204
f2,3,-199
b7,2,-199
f3,3,-174
b7,2,-174
a4,3,-203
b7,2,-174
e4,3,-187
b7,2,-174
h4,3,-177
b7,2,-174
f5,3,-199
b7,2,-174
e8,3,-189
b7,2,-174
a2,1,-220
c7,2,-Infinity
e2,3,-228
c7,2,-228
f2,3,-223
c7,2,-223
f3,3,-198
c7,2,-198
a4,3,-227
c7,2,-198
b4,3,-236
c7,2,-198
e4,3,-211
c7,2,-198
h4,3,-209
c7,2,-198
f5,3,-223
c7,2,-198
b7,3,-279
c7,2,-198
d8,3,-227
c7,2,-198
e8,3,-225
c7,2,-198
a2,1,-220
h7,2,-Infinity
e2,3,-196
h7,2,-196
f2,3,-191
h7,2,-191
f3,3,-166
h7,2,-166
a4,3,-195
h7,2,-166
b4,3,-204
h7,2,-166
e4,3,-179
h7,2,-166
h4,3,-181
h7,2,-166
f5,3,-191
h7,2,-166
e8,3,-181
h7,2,-166
a2,1,-220
d8,2,-Infinity
e2,3,-254
d8,2,-254
f3,3,-224
d8,2,-224
a4,3,-253
d8,2,-224
b4,3,-262
d8,2,-224
e4,3,-237
d8,2,-224
h4,3,-235
d8,2,-224
c7,3,-277
d8,2,-224
e8,3,-251
d8,2,-224
a2,1,-224
e8,2,-Infinity
e2,3,-252
e8,2,-252
f2,3,-247
e8,2,-247
f3,3,-222
e8,2,-222
b4,3,-260
e8,2,-222
e4,3,-235
e8,2,-222
h4,3,-233
e8,2,-222
f5,3,-245
e8,2,-222
b7,3,-261
e8,2,-222
c7,3,-275
e8,2,-222
d8,3,-223
e8,2,-222
a2,1,-224
root,0,-224
e2,1,Infinity
f2,2,-Infinity
a2,3,-170
f2,2,-170
a3,3,-140
f2,2,-140
f3,3,-153
f2,2,-140
a4,3,-164
f2,2,-140
e4,3,-146
f2,2,-140
h4,3,-128
f2,2,-128
e8,3,-140
f2,2,-128
e2,1,-128
f3,2,-Infinity
a2,3,-243
f3,2,-243
f2,3,-175
f3,2,-175
a3,3,-165
f3,2,-165
a4,3,-181
f3,2,-165
b4,3,-168
f3,2,-165
e4,3,-171
f3,2,-165
h4,3,-153
f3,2,-153
f5,3,-181
f3,2,-153
e8,3,-165
f3,2,-153
e2,1,-153
e4,2,-Infinity
a2,3,-250
e4,2,-250
f2,3,-174
e4,2,-174
f3,3,-179
e4,2,-174
a4,3,-188
e4,2,-174
b4,3,-167
e4,2,-167
h4,3,-152
e4,2,-152
e8,3,-164
e4,2,-152
e2,1,-153
h4,2,-Infinity
a2,3,-258
h4,2,-258
f2,3,-190
h4,2,-190
a3,3,-180
h4,2,-180
f3,3,-179
h4,2,-179
a4,3,-196
h4,2,-179
b4,3,-183
h4,2,-179
e4,3,-186
h4,2,-179
e8,3,-180
h4,2,-179
e2,1,-179
c5,2,-Infinity
a2,3,-248
c5,2,-248
f2,3,-180
c5,2,-180
a3,3,-178
c5,2,-178
f3,3,-185
c5,2,-178
a4,3,-194
c5,2,-178
b4,3,-181
c5,2,-178
e4,3,-176
c5,2,-176
h4,3,-174
c5,2,-174
f5,3,-180
c5,2,-174
e8,3,-184
c5,2,-174
e2,1,-179
b7,2,-Infinity
a2,3,-232
b7,2,-232
f2,3,-164
b7,2,-164
a3,3,-154
b7,2,-154
f3,3,-161
b7,2,-154
a4,3,-170
b7,2,-154
b4,3,-157
b7,2,-154
e4,3,-152
b7,2,-152
h4,3,-142
b7,2,-142
e8,3,-154
b7,2,-142
e2,1,-179
