**XOXOOO
**OXXXXX
XXXOXXOX
OXOOO*X*
O*OXX*OX
*O*X****
OX*XOXXO
**XXX*OO
Node,Depth,Value
root,0,-Infinity
b2,1,Infinity
a1,2,-Infinity
b1,3,-376
a1,2,-376
a2,3,-376
a1,2,-376
f4,3,-316
a1,2,-316
h4,3,-322
a1,2,-316
b5,3,-307
a1,2,-307
f5,3,-314
a1,2,-307
a6,3,-288
a1,2,-288
c6,3,-289
a1,2,-288
e6,3,-328
a1,2,-288
g6,3,-330
a1,2,-288
c7,3,-328
a1,2,-288
d8,3,-312
a1,2,-288
f8,3,-302
a1,2,-288
b2,1,-288
b1,2,-Infinity
a1,3,-144
b1,2,-144
f4,3,-251
b1,2,-144
h4,3,-257
b1,2,-144
b5,3,-242
b1,2,-144
f5,3,-257
b1,2,-144
a6,3,-223
b1,2,-144
c6,3,-238
b1,2,-144
e6,3,-263
b1,2,-144
g6,3,-265
b1,2,-144
c7,3,-263
b1,2,-144
d8,3,-247
b1,2,-144
f8,3,-237
b1,2,-144
b2,1,-288
a2,2,-Infinity
f4,3,-251
a2,2,-251
h4,3,-257
a2,2,-251
b5,3,-242
a2,2,-242
f5,3,-249
a2,2,-242
c6,3,-238
a2,2,-238
e6,3,-263
a2,2,-238
g6,3,-265
a2,2,-238
c7,3,-263
a2,2,-238
d8,3,-247
a2,2,-238
f8,3,-237
a2,2,-237
b2,1,-288
f4,2,-Infinity
h4,3,-275
f4,2,-275
b5,3,-252
f4,2,-252
f5,3,-259
f4,2,-252
a6,3,-233
f4,2,-233
c6,3,-248
f4,2,-233
e6,3,-273
f4,2,-233
f6,3,-258
f4,2,-233
g6,3,-275
f4,2,-233
h6,3,-255
f4,2,-233
c7,3,-273
f4,2,-233
d8,3,-257
f4,2,-233
f8,3,-247
f4,2,-233
b2,1,-288
h4,2,-Infinity
f4,3,-249
h4,2,-249
b5,3,-248
h4,2,-248
f5,3,-255
h4,2,-248
a6,3,-229
h4,2,-229
c6,3,-244
h4,2,-229
e6,3,-269
h4,2,-229
g6,3,-271
h4,2,-229
c7,3,-269
h4,2,-229
d8,3,-253
h4,2,-229
f8,3,-243
h4,2,-229
b2,1,-288
f5,2,-Infinity
f4,3,-255
f5,2,-255
h4,3,-261
f5,2,-255
b5,3,-244
f5,2,-244
a6,3,-227
f5,2,-227
c6,3,-242
f5,2,-227
e6,3,-251
f5,2,-227
f6,3,-252
