*XXOOOOO
XOX*O***
X*OOOOXX
O*OOOO*O
OXOO*OO*
O*O*XO*X
X*X***XO
O*XOO**X
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
d2,2,-Infinity
f1,3,274
d2,2,274
f2,3,228
d2,2,274
h2,3,260
d2,2,274
b3,3,240
d2,2,274
g4,3,257
d2,2,274
h5,3,268
d2,2,274
b6,3,240
d2,2,274
d6,3,264
d2,2,274
d7,3,257
d2,2,274
f7,3,208
d2,2,274
b8,3,260
d2,2,274
a1,1,274
b3,2,-Infinity
f1,3,265
b3,2,265
d2,3,238
b3,2,265
f2,3,229
b3,2,265
h2,3,241
b3,2,265
b4,3,238
b3,2,265
e5,3,241
b3,2,265
h5,3,263
b3,2,265
b6,3,229
b3,2,265
d6,3,253
b3,2,265
d7,3,246
b3,2,265
f7,3,197
b3,2,265
b8,3,249
b3,2,265
a1,1,265
g4,2,-Infinity
f1,3,262
g4,2,262
d2,3,237
g4,2,262
f2,3,242
g4,2,262
g2,3,216
g4,2,262
h2,3,240
g4,2,262
b3,3,228
g4,2,262
e5,3,248
g4,2,262
h5,3,264
g4,2,264
b6,3,228
g4,2,264
d6,3,252
g4,2,264
g6,3,244
g4,2,264
f7,3,196
g4,2,264
b8,3,248
g4,2,264
a1,1,264
e5,2,-Infinity
f1,3,243
e5,2,243
d2,3,234
e5,2,243
f2,3,217
e5,2,243
h2,3,229
e5,2,243
b3,3,209
e5,2,243
g4,3,226
e5,2,243
h5,3,243
e5,2,243
b6,3,217
e5,2,243
d6,3,225
e5,2,243
d7,3,226
e5,2,243
e7,3,232
e5,2,243
f7,3,191
e5,2,243
b8,3,229
e5,2,243
a1,1,243
h5,2,-Infinity
f1,3,263
h5,2,263
d2,3,238
h5,2,263
h2,3,281
h5,2,281
b3,3,229
h5,2,281
b6,3,229
h5,2,281
d6,3,253
h5,2,281
d7,3,246
h5,2,281
f7,3,197
h5,2,281
b8,3,249
h5,2,281
a1,1,243
d6,2,-Infinity
f1,3,277
d6,2,277
d2,3,244
d6,2,277
f2,3,243
d6,2,277
h2,3,255
d6,2,277
b3,3,243
d6,2,277
e5,3,255
d6,2,277
h5,3,277
d6,2,277
b6,3,243
d6,2,277
d7,3,260
d6,2,277
e7,3,260
d6,2,277
f7,3,211
d6,2,277
b8,3,263
d6,2,277
a1,1,243
g6,2,-Infinity
f1,3,263
g6,2,263
d2,3,238
g6,2,263
f2,3,229
g6,2,263
h2,3,241
g6,2,263
b3,3,229
g6,2,263
e5,3,249
g6,2,263
h5,3,263
g6,2,263
b6,3,229
g6,2,263
e7,3,252
g6,2,263
f7,3,219
g6,2,263
b8,3,249
g6,2,263
g8,3,177
g6,2,263
a1,1,243
d7,2,-Infinity
f1,3,270
d7,2,270
d2,3,245
d7,2,270
f2,3,236
d7,2,270
h2,3,248
d7,2,270
b3,3,236
d7,2,270
h5,3,270
d7,2,270
b6,3,236
d7,2,270
d6,3,254
d7,2,270
b7,3,238
d7,2,270
f7,3,204
d7,2,270
b8,3,256
d7,2,270
a1,1,243
f8,2,-Infinity
f1,3,249
f8,2,249
d2,3,224
f8,2,249
f2,3,215
f8,2,249
h2,3,227
f8,2,249
b3,3,215
f8,2,249
h5,3,249
f8,2,249
d6,3,239
f8,2,249
d7,3,232
f8,2,249
f7,3,183
f8,2,249
a1,1,243
root,0,243
f1,1,Infinity
d2,2,-Infinity
a1,3,274
d2,2,274
f2,3,171
d2,2,274
h2,3,183
d2,2,274
b3,3,163
d2,2,274
g4,3,180
d2,2,274
h5,3,191
d2,2,274
b6,3,163
d2,2,274
d6,3,187
d2,2,274
d7,3,180
d2,2,274
f7,3,131
d2,2,274
b8,3,183
d2,2,274
f1,1,274
b3,2,-Infinity
a1,3,247
b3,2,247
d2,3,195
b3,2,247
f2,3,192
b3,2,247
g2,3,172
b3,2,247
h2,3,182
b3,2,247
b4,3,187
b3,2,247
g4,3,193
b3,2,247
e5,3,182
b3,2,247
h5,3,204
b3,2,247
b6,3,170
b3,2,247
d6,3,194
b3,2,247
d7,3,187
b3,2,247
f7,3,130
b3,2,247
b8,3,190
b3,2,247
f1,1,247
g4,2,-Infinity
a1,3,276
g4,2,276
d2,3,166
g4,2,276
f2,3,165
g4,2,276
g2,3,139
g4,2,276
h2,3,177
g4,2,276
b3,3,165
g4,2,276
e5,3,185
g4,2,276
h5,3,193
g4,2,276
b6,3,165
g4,2,276
d6,3,189
g4,2,276
g6,3,181
g4,2,276
f7,3,133
g4,2,276
b8,3,185
g4,2,276
f1,1,247
e5,2,-Infinity
a1,3,251
e5,2,251
d2,3,141
e5,2,251
f2,3,140
e5,2,251
h2,3,160
e5,2,251
b3,3,140
e5,2,251
g4,3,157
e5,2,251
h5,3,174
e5,2,251
b6,3,148
e5,2,251
d6,3,156
e5,2,251
d7,3,157
e5,2,251
e7,3,171
e5,2,251
f7,3,122
e5,2,251
b8,3,160
e5,2,251
f1,1,247
h5,2,-Infinity
a1,3,263
h5,2,263
d2,3,153
h5,2,263
h2,3,204
h5,2,263
b3,3,152
h5,2,263
b6,3,152
h5,2,263
d6,3,176
h5,2,263
d7,3,169
h5,2,263
f7,3,120
h5,2,263
b8,3,172
h5,2,263
f1,1,247
g6,2,-Infinity
a1,3,255
g6,2,255
d2,3,153
g6,2,255
f2,3,144
g6,2,255
h2,3,156
g6,2,255
b3,3,144
g6,2,255
e5,3,164
g6,2,255
h5,3,178
g6,2,255
b6,3,144
g6,2,255
e7,3,167
g6,2,255
f7,3,134
g6,2,255
b8,3,164
g6,2,255
g8,3,92
g6,2,255
f1,1,247
d7,2,-Infinity
a1,3,270
d7,2,270
d2,3,160
d7,2,270
f2,3,159
d7,2,270
h2,3,171
d7,2,270
b3,3,159
d7,2,270
h5,3,193
d7,2,270
b6,3,159
d7,2,270
d6,3,177
d7,2,270
b7,3,161
d7,2,270
f7,3,127
d7,2,270
b8,3,179
d7,2,270
f1,1,247
f8,2,-Infinity
a1,3,249
f8,2,249
d2,3,139
f8,2,249
f2,3,138
f8,2,249
h2,3,150
f8,2,249
b3,3,138
f8,2,249
h5,3,172
f8,2,249
d6,3,162
f8,2,249
d7,3,155
f8,2,249
f7,3,106
f8,2,249
f1,1,247
root,0,247
d2,1,Infinity
b3,2,-Infinity
a1,3,222
b3,2,222
f1,3,181
b3,2,222
f2,3,161
b3,2,222
g2,3,147
b3,2,222
h2,3,157
b3,2,222
b4,3,176
b3,2,222
g4,3,162
b3,2,222
e5,3,157
b3,2,222
h5,3,179
b3,2,222
b6,3,145
b3,2,222
d6,3,169
b3,2,222
d7,3,162
b3,2,222
f7,3,105
b3,2,222
b8,3,165
b3,2,222
d2,1,222
b4,2,-Infinity
a1,3,251
b4,2,251
f1,3,166
b4,2,251
f2,3,128
b4,2,251
h2,3,152
b4,2,251
b3,3,162
b4,2,251
h5,3,174
b4,2,251
b6,3,140
b4,2,251
d6,3,164
b4,2,251
d7,3,157
b4,2,251
f7,3,108
b4,2,251
b8,3,160
b4,2,251
d2,1,222
g4,2,-Infinity
a1,3,237
g4,2,237
f1,3,152
g4,2,237
f2,3,134
g4,2,237
g2,3,114
g4,2,237
h2,3,138
g4,2,237
e5,3,146
g4,2,237
h5,3,162
g4,2,237
b6,3,126
g4,2,237
d6,3,150
g4,2,237
g6,3,142
g4,2,237
f7,3,94
g4,2,237
b8,3,146
g4,2,237
d2,1,222
e5,2,-Infinity
a1,3,218
e5,2,218
f1,3,133
e5,2,218
f2,3,109
e5,2,218
h2,3,127
e5,2,218
g4,3,124
e5,2,218
h5,3,141
e5,2,218
b6,3,115
e5,2,218
d6,3,123
e5,2,218
d7,3,124
e5,2,218
e7,3,130
e5,2,218
f7,3,89
e5,2,218
b8,3,127
e5,2,218
d2,1,218
h5,2,-Infinity
a1,3,238
h5,2,238
f1,3,153
h5,2,238
f2,3,129
h5,2,238
h2,3,179
h5,2,238
b6,3,127
h5,2,238
d6,3,151
h5,2,238
d7,3,144
h5,2,238
f7,3,95
h5,2,238
b8,3,147
h5,2,238
d2,1,218
g6,2,-Infinity
a1,3,238
g6,2,238
f1,3,161
g6,2,238
f2,3,121
g6,2,238
h2,3,139
g6,2,238
b3,3,127
g6,2,238
e5,3,147
g6,2,238
h5,3,161
g6,2,238
b6,3,127
g6,2,238
e7,3,150
g6,2,238
f7,3,117
g6,2,238
b8,3,147
g6,2,238
g8,3,75
g6,2,238
d2,1,218
d7,2,-Infinity
a1,3,245
d7,2,245
f1,3,160
d7,2,245
f2,3,128
d7,2,245
h2,3,146
d7,2,245
h5,3,168
d7,2,245
b6,3,134
d7,2,245
d6,3,152
d7,2,245
b7,3,136
d7,2,245
f7,3,102
d7,2,245
b8,3,154
d7,2,245
d2,1,218
f8,2,-Infinity
a1,3,224
f8,2,224
f1,3,139
f8,2,224
f2,3,107
f8,2,224
h2,3,125
f8,2,224
h5,3,147
f8,2,224
d6,3,137
f8,2,224
d7,3,130
f8,2,224
f7,3,81
f8,2,224
d2,1,218
root,0,247
f2,1,Infinity
d2,2,-Infinity
a1,3,240
d2,2,240
f1,3,163
d2,2,240
h2,3,149
d2,2,240
b3,3,129
d2,2,240
g4,3,146
d2,2,240
e5,3,149
d2,2,240
h5,3,157
d2,2,240
b6,3,129
d2,2,240
d6,3,153
d2,2,240
d7,3,146
d2,2,240
f7,3,97
d2,2,240
b8,3,149
d2,2,240
f2,1,240
g2,2,-Infinity
a1,3,279
g2,2,279
f1,3,194
g2,2,279
d2,3,177
g2,2,279
h2,3,188
g2,2,279
b3,3,168
g2,2,279
h5,3,202
g2,2,279
b6,3,168
g2,2,279
d6,3,192
g2,2,279
d7,3,185
g2,2,279
f7,3,136
g2,2,279
b8,3,188
g2,2,279
f2,1,240
b3,2,-Infinity
a1,3,243
b3,2,243
f1,3,202
b3,2,243
d2,3,177
b3,2,243
h2,3,186
b3,2,243
b4,3,183
b3,2,243
e5,3,178
b3,2,243
h5,3,200
b3,2,243
b6,3,166
b3,2,243
d6,3,190
b3,2,243
d7,3,183
b3,2,243
f7,3,126
b3,2,243
b8,3,186
b3,2,243
f2,1,240
g4,2,-Infinity
a1,3,228
g4,2,228
f1,3,151
g4,2,228
d2,3,120
g4,2,228
g2,3,119
g4,2,228
h2,3,137
g4,2,228
b3,3,117
g4,2,228
e5,3,137
g4,2,228
h5,3,153
g4,2,228
b6,3,117
g4,2,228
d6,3,141
g4,2,228
g6,3,133
g4,2,228
f7,3,85
g4,2,228
b8,3,137
g4,2,228
f2,1,228
e5,2,-Infinity
a1,3,217
e5,2,217
f1,3,140
e5,2,217
d2,3,117
e5,2,217
h2,3,126
e5,2,217
b3,3,106
e5,2,217
h5,3,140
e5,2,217
b6,3,114
e5,2,217
d6,3,122
e5,2,217
d7,3,123
e5,2,217
e7,3,129
e5,2,217
f7,3,88
e5,2,217
b8,3,126
e5,2,217
f2,1,217
h5,2,-Infinity
a1,3,229
h5,2,229
f1,3,152
h5,2,229
d2,3,121
h5,2,229
h2,3,178
h5,2,229
b3,3,118
h5,2,229
b6,3,118
h5,2,229
d6,3,142
h5,2,229
d7,3,135
h5,2,229
f7,3,86
h5,2,229
b8,3,138
h5,2,229
f2,1,217
d6,2,-Infinity
a1,3,243
d6,2,243
f1,3,166
d6,2,243
d2,3,127
d6,2,243
h2,3,152
d6,2,243
b3,3,132
d6,2,243
e5,3,144
d6,2,243
h5,3,166
d6,2,243
b6,3,132
d6,2,243
d7,3,149
d6,2,243
e7,3,149
d6,2,243
f7,3,100
d6,2,243
b8,3,152
d6,2,243
f2,1,217
g6,2,-Infinity
a1,3,229
g6,2,229
f1,3,152
g6,2,229
d2,3,121
g6,2,229
h2,3,138
g6,2,229
b3,3,118
g6,2,229
e5,3,138
g6,2,229
h5,3,152
g6,2,229
b6,3,118
g6,2,229
e7,3,141
g6,2,229
f7,3,108
g6,2,229
b8,3,138
g6,2,229
g8,3,66
g6,2,229
f2,1,217
d7,2,-Infinity
a1,3,236
d7,2,236
f1,3,159
d7,2,236
d2,3,128
d7,2,236
h2,3,145
d7,2,236
b3,3,125
d7,2,236
h5,3,159
d7,2,236
b6,3,125
d7,2,236
d6,3,143
d7,2,236
b7,3,127
d7,2,236
f7,3,93
d7,2,236
b8,3,145
d7,2,236
f2,1,217
f8,2,-Infinity
a1,3,215
f8,2,215
f1,3,138
f8,2,215
d2,3,107
f8,2,215
h2,3,124
f8,2,215
b3,3,104
f8,2,215
h5,3,138
f8,2,215
d6,3,128
f8,2,215
d7,3,121
f8,2,215
f7,3,72
f8,2,215
f2,1,215
root,0,247
h2,1,Infinity
d2,2,-Infinity
a1,3,252
d2,2,252
f1,3,175
d2,2,252
f2,3,137
d2,2,252
b3,3,141
d2,2,252
g4,3,158
d2,2,252
e5,3,161
d2,2,252
h5,3,169
d2,2,252
b6,3,141
d2,2,252
d6,3,165
d2,2,252
d7,3,158
d2,2,252
f7,3,109
d2,2,252
b8,3,161
d2,2,252
h2,1,252
b3,2,-Infinity
a1,3,255
b3,2,255
f1,3,214
b3,2,255
d2,3,195
b3,2,255
b4,3,195
b3,2,255
e5,3,190
b3,2,255
h5,3,212
b3,2,255
b6,3,178
