X*X*O*OX
**X*XOXX
OXXXXXOX
**XXXOX*
OOXO*XX*
XOXOOOOX
XO*X****
XOOXO**O
Node,Depth,Value
root,0,-Infinity
f1,1,Infinity
a2,2,-Infinity
d1,3,207
a2,2,207
b2,3,179
a2,2,207
d2,3,202
a2,2,207
d3,3,203
a2,2,207
a4,3,193
a2,2,207
b4,3,194
a2,2,207
h4,3,187
a2,2,207
e5,3,197
a2,2,207
c7,3,137
a2,2,207
e7,3,208
a2,2,208
f7,3,199
a2,2,208
g7,3,157
a2,2,208
h7,3,173
a2,2,208
f8,3,209
a2,2,209
f1,1,209
d3,2,-Infinity
d1,3,187
d3,2,187
d2,3,198
d3,2,198
a4,3,181
d3,2,198
b4,3,182
d3,2,198
h4,3,167
d3,2,198
e5,3,177
d3,2,198
c7,3,117
d3,2,198
e7,3,188
d3,2,198
f7,3,195
d3,2,198
g7,3,137
d3,2,198
h7,3,153
d3,2,198
f8,3,189
d3,2,198
f1,1,198
b4,2,-Infinity
d1,3,186
b4,2,186
d2,3,181
b4,2,186
d3,3,204
b4,2,204
a4,3,190
b4,2,204
h4,3,166
b4,2,204
e5,3,176
b4,2,204
c7,3,116
b4,2,204
e7,3,179
b4,2,204
f7,3,194
b4,2,204
g7,3,136
b4,2,204
h7,3,152
b4,2,204
f8,3,188
b4,2,204
f1,1,198
h4,2,-Infinity
d1,3,205
h4,2,205
b2,3,177
h4,2,205
d2,3,194
h4,2,205
d3,3,213
h4,2,213
a4,3,199
h4,2,213
e5,3,195
h4,2,213
h5,3,193
h4,2,213
c7,3,135
h4,2,213
e7,3,192
h4,2,213
f7,3,205
h4,2,213
g7,3,135
h4,2,213
h7,3,171
h4,2,213
f8,3,207
h4,2,213
f1,1,198
e5,2,-Infinity
d1,3,199
e5,2,199
d2,3,194
e5,2,199
d3,3,215
e5,2,215
a4,3,193
e5,2,215
h4,3,179
e5,2,215
c7,3,137
e5,2,215
e7,3,216
e5,2,216
f7,3,199
e5,2,216
g7,3,149
e5,2,216
h7,3,165
e5,2,216
f8,3,201
e5,2,216
f1,1,198
c7,2,-Infinity
d1,3,173
c7,2,173
b2,3,145
c7,2,173
d2,3,168
c7,2,173
d3,3,183
c7,2,183
a4,3,181
c7,2,183
b4,3,160
c7,2,183
h4,3,153
c7,2,183
e5,3,163
c7,2,183
e7,3,166
c7,2,183
f7,3,181
c7,2,183
g7,3,123
c7,2,183
h7,3,139
c7,2,183
f8,3,175
c7,2,183
f1,1,183
root,0,183
b2,1,Infinity
a2,2,-Infinity
f1,3,179
a2,2,179
d2,3,208
a2,2,208
d3,3,209
a2,2,209
a4,3,199
a2,2,209
b4,3,192
a2,2,209
e5,3,203
a2,2,209
c7,3,143
a2,2,209
e7,3,214
a2,2,214
f7,3,205
a2,2,214
g7,3,163
a2,2,214
h7,3,179
a2,2,214
f8,3,215
a2,2,215
b2,1,215
d2,2,-Infinity
d1,3,196
d2,2,196
f1,3,180
d2,2,196
d3,3,208
d2,2,208
a4,3,208
d2,2,208
e5,3,196
d2,2,208
c7,3,144
d2,2,208
e7,3,215
d2,2,215
f7,3,214
d2,2,215
g7,3,164
d2,2,215
h7,3,180
d2,2,215
f8,3,216
d2,2,216
b2,1,215
d3,2,-Infinity
f1,3,153
d3,2,153
d2,3,198
d3,2,198
a4,3,173
d3,2,198
b4,3,174
d3,2,198
e5,3,191
d3,2,198
c7,3,117
d3,2,198
e7,3,188
d3,2,198
f7,3,179
d3,2,198
g7,3,137
d3,2,198
h7,3,153
d3,2,198
f8,3,189
d3,2,198
b2,1,198
b4,2,-Infinity
f1,3,158
b4,2,158
d2,3,187
b4,2,187
d3,3,196
b4,2,196
a4,3,196
b4,2,196
e5,3,182
b4,2,196
c7,3,122
b4,2,196
e7,3,185
b4,2,196
f7,3,200
b4,2,200
g7,3,142
b4,2,200
h7,3,158
b4,2,200
f8,3,194
b4,2,200
b2,1,198
h4,2,-Infinity
f1,3,177
h4,2,177
d2,3,200
h4,2,200
d3,3,205
h4,2,205
a4,3,205
h4,2,205
e5,3,201
h4,2,205
h5,3,199
h4,2,205
c7,3,141
h4,2,205
e7,3,198
h4,2,205
f7,3,211
h4,2,211
g7,3,141
h4,2,211
h7,3,177
h4,2,211
f8,3,213
h4,2,213
b2,1,198
root,0,198
d2,1,Infinity
a2,2,-Infinity
f1,3,202
a2,2,202
b2,3,208
a2,2,208
d3,3,224
a2,2,224
a4,3,222
a2,2,224
b4,3,237
a2,2,237
e5,3,218
a2,2,237
c7,3,166
a2,2,237
e7,3,237
a2,2,237
f7,3,228
a2,2,237
g7,3,186
a2,2,237
h7,3,202
a2,2,237
f8,3,238
a2,2,238
d2,1,238
b2,2,-Infinity
b1,3,198
b2,2,198
d1,3,246
b2,2,246
f1,3,238
b2,2,246
a2,3,170
b2,2,246
d3,3,272
b2,2,272
a4,3,266
b2,2,272
e5,3,254
b2,2,272
c7,3,202
b2,2,272
e7,3,273
b2,2,273
f7,3,272
b2,2,273
g7,3,222
b2,2,273
h7,3,238
b2,2,273
f8,3,274
b2,2,274
d2,1,238
d3,2,-Infinity
f1,3,174
d3,2,174
a4,3,188
d3,2,188
b4,3,195
d3,2,195
e5,3,184
d3,2,195
c7,3,124
d3,2,195
e7,3,195
d3,2,195
f7,3,202
d3,2,202
g7,3,144
d3,2,202
h7,3,160
d3,2,202
f8,3,196
d3,2,202
d2,1,202
b4,2,-Infinity
f1,3,181
b4,2,181
d3,3,225
b4,2,225
a4,3,211
b4,2,225
e5,3,197
b4,2,225
c7,3,145
b4,2,225
e7,3,208
b4,2,225
f7,3,223
b4,2,225
g7,3,165
b4,2,225
h7,3,181
b4,2,225
f8,3,217
b4,2,225
d2,1,202
h4,2,-Infinity
f1,3,192
h4,2,192
b2,3,198
h4,2,198
d3,3,226
h4,2,226
a4,3,220
h4,2,226
b4,3,219
h4,2,226
e5,3,208
h4,2,226
h5,3,214
h4,2,226
c7,3,156
h4,2,226
e7,3,213
h4,2,226
f7,3,226
h4,2,226
g7,3,156
h4,2,226
h7,3,192
h4,2,226
f8,3,228
h4,2,228
d2,1,202
e5,2,-Infinity
f1,3,186
e5,2,186
d3,3,228
e5,2,228
a4,3,214
e5,2,228
b4,3,213
e5,2,228
c7,3,158
e5,2,228
e7,3,229
e5,2,229
f7,3,220
e5,2,229
g7,3,170
e5,2,229
h7,3,186
e5,2,229
f8,3,222
e5,2,229
d2,1,202
c7,2,-Infinity
f1,3,168
c7,2,168
b2,3,174
c7,2,174
d3,3,204
c7,2,204
a4,3,210
c7,2,210
b4,3,203
c7,2,210
e5,3,184
c7,2,210
e7,3,195
c7,2,210
f7,3,210
c7,2,210
g7,3,152
c7,2,210
h7,3,168
c7,2,210
f8,3,204
c7,2,210
d2,1,202
root,0,202
d3,1,Infinity
b1,2,-Infinity
d1,3,221
b1,2,221
f1,3,207
b1,2,221
d2,3,228
b1,2,228
a4,3,235
b1,2,235
e5,3,231
b1,2,235
c7,3,171
b1,2,235
e7,3,242
b1,2,242
f7,3,257
b1,2,257
g7,3,191
b1,2,257
f8,3,243
b1,2,257
d3,1,257
f1,2,-Infinity
d1,3,217
f1,2,217
d2,3,196
f1,2,217
a4,3,217
f1,2,217
b4,3,210
f1,2,217
e5,3,205
f1,2,217
c7,3,153
f1,2,217
e7,3,224
f1,2,224
f7,3,231
f1,2,231
g7,3,173
f1,2,231
h7,3,189
f1,2,231
f8,3,225
f1,2,231
d3,1,231
a2,2,-Infinity
f1,3,215
a2,2,215
a4,3,235
a2,2,235
b4,3,236
a2,2,236
e5,3,231
a2,2,236
c7,3,179
a2,2,236
e7,3,250
a2,2,250
f7,3,241
a2,2,250
g7,3,199
a2,2,250
h7,3,215
a2,2,250
f8,3,251
a2,2,251
d3,1,231
d2,2,-Infinity
d1,3,226
d2,2,226
f1,3,202
d2,2,226
a4,3,228
d2,2,228
e5,3,216
d2,2,228
c7,3,164
d2,2,228
e7,3,235
d2,2,235
f7,3,234
d2,2,235
g7,3,184
d2,2,235
h7,3,200
d2,2,235
f8,3,236
d2,2,236
d3,1,231
b4,2,-Infinity
f1,3,194
b4,2,194
a4,3,232
b4,2,232
e5,3,210
b4,2,232
c7,3,158
b4,2,232
e7,3,221
b4,2,232
f7,3,236
b4,2,236
g7,3,178
b4,2,236
h7,3,194
b4,2,236
f8,3,230
b4,2,236
d3,1,231
h4,2,-Infinity
f1,3,213
h4,2,213
a4,3,241
h4,2,241
e5,3,229
h4,2,241
h5,3,235
h4,2,241
c7,3,177
h4,2,241
e7,3,234
h4,2,241
f7,3,247
h4,2,247
g7,3,177
h4,2,247
h7,3,213
h4,2,247
f8,3,249
h4,2,249
d3,1,231
e5,2,-Infinity
d1,3,221
e5,2,221
f1,3,199
e5,2,221
d2,3,220
e5,2,221
a4,3,233
e5,2,233
c7,3,177
e5,2,233
e7,3,240
e5,2,240
f7,3,239
e5,2,240
g7,3,203
e5,2,240
h7,3,205
e5,2,240
f8,3,241
e5,2,241
d3,1,231
root,0,231
a4,1,Infinity
a2,2,-Infinity
f1,3,201
a2,2,201
b2,3,207
a2,2,207
d2,3,230
a2,2,230
d3,3,237
a2,2,237
b4,3,222
a2,2,237
e5,3,225
a2,2,237
c7,3,157
a2,2,237
e7,3,236
a2,2,237
f7,3,227
a2,2,237
g7,3,185
a2,2,237
h7,3,201
a2,2,237
f8,3,237
a2,2,237
a4,1,237
d2,2,-Infinity
d1,3,218
d2,2,218
f1,3,202
d2,2,218
a2,3,226
d2,2,226
b2,3,208
d2,2,226
d3,3,244
d2,2,244
e5,3,218
d2,2,244
c7,3,158
d2,2,244
e7,3,237
d2,2,244
f7,3,236
d2,2,244
g7,3,186
d2,2,244
h7,3,202
d2,2,244
f8,3,238
d2,2,244
a4,1,237
d3,2,-Infinity
f1,3,189
d3,2,189
a2,3,213
d3,2,213
d2,3,234
d3,2,234
e5,3,213
d3,2,234
c7,3,145
d3,2,234
e7,3,224
d3,2,234
f7,3,223
d3,2,234
g7,3,173
d3,2,234
h7,3,189
d3,2,234
f8,3,225
d3,2,234
a4,1,234
b4,2,-Infinity
f1,3,186
b4,2,186
a2,3,210
b4,2,210
d2,3,223
b4,2,223
d3,3,238
b4,2,238
e5,3,212
b4,2,238
c7,3,142
b4,2,238
e7,3,213
b4,2,238
f7,3,228
b4,2,238
g7,3,170
b4,2,238
h7,3,186
b4,2,238
f8,3,222
b4,2,238
a4,1,234
h4,2,-Infinity
f1,3,199
h4,2,199
a2,3,223
h4,2,223
b2,3,205
h4,2,223
d2,3,222
h4,2,223
d3,3,241
h4,2,241
e5,3,223
h4,2,241
h5,3,221
h4,2,241
c7,3,155
h4,2,241
e7,3,220
h4,2,241
f7,3,233
h4,2,241
g7,3,163
h4,2,241
h7,3,199
h4,2,241
f8,3,235
h4,2,241
a4,1,234
e5,2,-Infinity
f1,3,193
e5,2,193
a2,3,217
e5,2,217
d2,3,222
e5,2,222
d3,3,243
e5,2,243
c7,3,157
e5,2,243
e7,3,244
e5,2,244
f7,3,227
e5,2,244
g7,3,177
e5,2,244
h7,3,193
e5,2,244
f8,3,229
e5,2,244
a4,1,234
c7,2,-Infinity
f1,3,167
c7,2,167
a2,3,191
c7,2,191
b2,3,173
c7,2,191
d2,3,196
c7,2,196
d3,3,217
c7,2,217
b4,3,188
c7,2,217
e5,3,199
c7,2,217
e7,3,194
c7,2,217
f7,3,209
c7,2,217
g7,3,151
c7,2,217
h7,3,167
c7,2,217
f8,3,203
