O**XO*XO
XXO*XXO*
**OXXOOX
OO*O*X*X
XX*XO***
XO**O*O*
***OOOOX
**XXXOOO
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
b1,2,-Infinity
f1,3,179
b1,2,179
d2,3,186
b1,2,186
a3,3,139
b1,2,186
b3,3,183
b1,2,186
c4,3,199
b1,2,199
e4,3,197
b1,2,199
c5,3,199
b1,2,199
f5,3,207
b1,2,207
c6,3,196
b1,2,207
d6,3,199
b1,2,207
a7,3,215
b1,2,215
b8,3,227
b1,2,227
h8,3,278
b1,2,278
c1,1,278
f1,2,-Infinity
d2,3,224
f1,2,224
a3,3,163
f1,2,224
c4,3,223
f1,2,224
e4,3,229
f1,2,229
c5,3,223
f1,2,229
f5,3,231
f1,2,231
c6,3,220
f1,2,231
d6,3,223
f1,2,231
a7,3,239
f1,2,239
b8,3,251
f1,2,251
h8,3,302
f1,2,302
c1,1,278
d2,2,-Infinity
f1,3,166
d2,2,166
a3,3,126
d2,2,166
b3,3,188
d2,2,188
c4,3,186
d2,2,188
e4,3,184
d2,2,188
c5,3,186
d2,2,188
f5,3,194
d2,2,194
g5,3,189
d2,2,194
c6,3,183
d2,2,194
d6,3,186
d2,2,194
a7,3,202
d2,2,202
b8,3,214
d2,2,214
h8,3,265
d2,2,265
c1,1,265
h2,2,-Infinity
f1,3,227
h2,2,227
d2,3,248
h2,2,248
a3,3,187
h2,2,248
c4,3,247
h2,2,248
e4,3,253
h2,2,253
c5,3,247
h2,2,253
f5,3,255
h2,2,255
h5,3,261
h2,2,261
c6,3,244
h2,2,261
d6,3,247
h2,2,261
a7,3,263
h2,2,263
b8,3,275
h2,2,275
h8,3,326
h2,2,326
c1,1,265
a3,2,-Infinity
f1,3,143
a3,2,143
d2,3,150
a3,2,150
c4,3,163
a3,2,163
e4,3,169
a3,2,169
c5,3,163
a3,2,169
f5,3,171
a3,2,171
d6,3,163
a3,2,171
a7,3,191
a3,2,191
b8,3,191
a3,2,191
h8,3,242
a3,2,242
c1,1,242
b3,2,-Infinity
b1,3,99
b3,2,99
f1,3,159
b3,2,159
d2,3,166
b3,2,166
a3,3,141
b3,2,166
c4,3,187
b3,2,187
e4,3,185
b3,2,187
c5,3,179
b3,2,187
f5,3,187
b3,2,187
c6,3,176
b3,2,187
d6,3,179
b3,2,187
a7,3,195
b3,2,195
b8,3,207
b3,2,207
h8,3,258
b3,2,258
c1,1,242
e4,2,-Infinity
f1,3,161
e4,2,161
d2,3,168
e4,2,168
a3,3,121
e4,2,168
c4,3,189
e4,2,189
g4,3,182
e4,2,189
f5,3,205
e4,2,205
c6,3,178
e4,2,205
d6,3,183
e4,2,205
f6,3,184
e4,2,205
a7,3,197
e4,2,205
b8,3,209
e4,2,209
h8,3,260
e4,2,260
c1,1,242
g4,2,-Infinity
f1,3,216
g4,2,216
d2,3,229
g4,2,229
h2,3,216
g4,2,229
a3,3,168
g4,2,229
c4,3,228
g4,2,229
e4,3,200
g4,2,229
c5,3,228
g4,2,229
h5,3,232
g4,2,232
c6,3,225
g4,2,232
d6,3,228
g4,2,232
a7,3,244
g4,2,244
b8,3,256
g4,2,256
h8,3,307
g4,2,307
c1,1,242
c5,2,-Infinity
f1,3,159
c5,2,159
d2,3,158
c5,2,159
a3,3,119
c5,2,159
c4,3,179
c5,2,179
e4,3,185
c5,2,185
f5,3,187
c5,2,187
c6,3,176
c5,2,187
d6,3,187
c5,2,187
a7,3,195
c5,2,195
b8,3,207
c5,2,207
h8,3,258
c5,2,258
c1,1,242
f5,2,-Infinity
f1,3,165
f5,2,165
d2,3,172
f5,2,172
a3,3,125
f5,2,172
c4,3,193
f5,2,193
e4,3,199
f5,2,199
g5,3,170
f5,2,199
h5,3,179
f5,2,199
c6,3,182
f5,2,199
d6,3,193
f5,2,199
f6,3,204
f5,2,204
a7,3,201
f5,2,204
c7,3,171
f5,2,204
b8,3,213
f5,2,213
h8,3,264
f5,2,264
c1,1,242
g5,2,-Infinity
f1,3,222
g5,2,222
d2,3,229
g5,2,229
a3,3,182
g5,2,229
c4,3,242
g5,2,242
e4,3,248
g5,2,248
c5,3,242
g5,2,248
f5,3,250
g5,2,250
h5,3,236
g5,2,250
c6,3,239
g5,2,250
d6,3,242
g5,2,250
h6,3,198
g5,2,250
a7,3,258
g5,2,258
b8,3,270
g5,2,270
h8,3,321
g5,2,321
c1,1,242
h5,2,-Infinity
f1,3,173
h5,2,173
d2,3,180
h5,2,180
a3,3,133
h5,2,180
c4,3,193
h5,2,193
e4,3,199
h5,2,199
c5,3,193
h5,2,199
f5,3,201
h5,2,201
g5,3,178
h5,2,201
c6,3,190
h5,2,201
d6,3,193
h5,2,201
f6,3,188
h5,2,201
a7,3,209
h5,2,209
b8,3,221
h5,2,221
h8,3,272
h5,2,272
c1,1,242
c6,2,-Infinity
f1,3,170
c6,2,170
d2,3,177
c6,2,177
a3,3,130
c6,2,177
c4,3,190
c6,2,190
e4,3,196
c6,2,196
c5,3,190
c6,2,196
f5,3,198
c6,2,198
d6,3,190
c6,2,198
a7,3,206
c6,2,206
b7,3,148
c6,2,206
c7,3,176
c6,2,206
b8,3,218
c6,2,218
h8,3,269
c6,2,269
c1,1,242
d6,2,-Infinity
f1,3,165
d6,2,165
d2,3,172
d6,2,172
a3,3,125
d6,2,172
c4,3,185
d6,2,185
e4,3,191
d6,2,191
c5,3,193
d6,2,193
f5,3,193
d6,2,193
c6,3,190
d6,2,193
f6,3,188
d6,2,193
a7,3,201
d6,2,201
c7,3,187
d6,2,201
b8,3,213
d6,2,213
h8,3,264
d6,2,264
c1,1,242
f6,2,-Infinity
f1,3,148
f6,2,148
d2,3,161
f6,2,161
a3,3,108
f6,2,161
b3,3,190
f6,2,190
c4,3,182
f6,2,190
e4,3,174
f6,2,190
f5,3,190
f6,2,190
c6,3,165
f6,2,190
d6,3,170
f6,2,190
a7,3,184
f6,2,190
b8,3,196
f6,2,196
h8,3,247
f6,2,247
c1,1,242
b7,2,-Infinity
f1,3,195
b7,2,195
d2,3,202
b7,2,202
a3,3,155
b7,2,202
c4,3,215
b7,2,215
e4,3,221
b7,2,221
c5,3,215
b7,2,221
f5,3,223
b7,2,223
c6,3,212
b7,2,223
d6,3,215
b7,2,223
a7,3,231
b7,2,231
b8,3,181
b7,2,231
h8,3,294
b7,2,294
c1,1,242
c7,2,-Infinity
f1,3,243
c7,2,243
d2,3,250
c7,2,250
a3,3,203
c7,2,250
c4,3,263
c7,2,263
e4,3,269
c7,2,269
c5,3,263
c7,2,269
f5,3,271
c7,2,271
c6,3,260
c7,2,271
d6,3,257
c7,2,271
f6,3,258
c7,2,271
h6,3,219
c7,2,271
a7,3,279
c7,2,279
b7,3,221
c7,2,279
b8,3,291
c7,2,291
h8,3,342
c7,2,342
c1,1,242
root,0,242
f1,1,Infinity
b1,2,-Infinity
c1,3,155
b1,2,155
d2,3,158
b1,2,158
a3,3,151
b1,2,158
c4,3,165
b1,2,165
e4,3,161
b1,2,165
c5,3,163
b1,2,165
f5,3,171
b1,2,171
c6,3,160
b1,2,171
d6,3,163
b1,2,171
a7,3,179
b1,2,179
b8,3,191
b1,2,191
h8,3,242
b1,2,242
f1,1,242
d2,2,-Infinity
c1,3,166
d2,2,166
a3,3,138
d2,2,166
b3,3,160
d2,2,166
c4,3,146
d2,2,166
e4,3,148
d2,2,166
c5,3,150
d2,2,166
f5,3,158
d2,2,166
c6,3,147
d2,2,166
d6,3,150
d2,2,166
a7,3,166
d2,2,166
b8,3,178
d2,2,178
h8,3,229
d2,2,229
f1,1,229
h2,2,-Infinity
c1,3,235
h2,2,235
d2,3,220
h2,2,235
a3,3,207
h2,2,235
c4,3,221
h2,2,235
e4,3,225
h2,2,235
g4,3,156
h2,2,235
c5,3,219
h2,2,235
f5,3,227
h2,2,235
h5,3,233
h2,2,235
c6,3,216
h2,2,235
d6,3,219
h2,2,235
a7,3,235
h2,2,235
b8,3,247
h2,2,247
h8,3,298
h2,2,298
f1,1,229
a3,2,-Infinity
c1,3,143
a3,2,143
d2,3,122
a3,2,143
c4,3,129
a3,2,143
e4,3,133
a3,2,143
c5,3,127
a3,2,143
f5,3,135
a3,2,143
d6,3,127
a3,2,143
a7,3,155
a3,2,155
b8,3,155
a3,2,155
h8,3,206
a3,2,206
f1,1,206
b3,2,-Infinity
b1,3,71
b3,2,71
c1,3,167
b3,2,167
d2,3,146
b3,2,167
a3,3,161
b3,2,167
c4,3,147
b3,2,167
e4,3,149
b3,2,167
c5,3,151
b3,2,167
f5,3,159
b3,2,167
c6,3,148
b3,2,167
d6,3,151
b3,2,167
a7,3,167
b3,2,167
b8,3,179
b3,2,179
h8,3,230
b3,2,230
f1,1,206
e4,2,-Infinity
c1,3,161
e4,2,161
d2,3,140
e4,2,161
a3,3,133
e4,2,161
c4,3,155
e4,2,161
g4,3,146
e4,2,161
f5,3,169
e4,2,169
c6,3,142
e4,2,169
d6,3,147
e4,2,169
f6,3,148
e4,2,169
a7,3,161
e4,2,169
b8,3,173
e4,2,173
h8,3,224
e4,2,224
f1,1,206
g4,2,-Infinity
c1,3,152
g4,2,152
d2,3,131
g4,2,152
a3,3,124
g4,2,152
c4,3,138
g4,2,152
e4,3,156
g4,2,156
c5,3,136
g4,2,156
f5,3,158
g4,2,158
g5,3,123
g4,2,158
c6,3,133
g4,2,158
d6,3,136
g4,2,158
a7,3,152
g4,2,158
b8,3,164
g4,2,164
h8,3,215
g4,2,215
f1,1,206
c5,2,-Infinity
c1,3,159
c5,2,159
d2,3,130
c5,2,159
a3,3,131
c5,2,159
c4,3,145
c5,2,159
e4,3,149
c5,2,159
f5,3,151
c5,2,159
c6,3,140
c5,2,159
d6,3,151
c5,2,159
a7,3,159
c5,2,159
b8,3,171
c5,2,171
h8,3,222
c5,2,222
f1,1,206
f5,2,-Infinity
c1,3,165
f5,2,165
d2,3,144
f5,2,165
a3,3,137
f5,2,165
c4,3,159
f5,2,165
e4,3,163
f5,2,165
g5,3,134
f5,2,165
h5,3,143
f5,2,165
c6,3,146
f5,2,165
d6,3,157
