O****X**
X*OXO*XO
*OOX**XO
OXO*OO*O
OXXOOOO*
*O*OX*XX
O*O*OOX*
OOOOOO*O
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
b1,2,-Infinity
c1,3,344
b1,2,344
d1,3,358
b1,2,358
g1,3,368
b1,2,368
b2,3,328
b1,2,368
f2,3,308
b1,2,368
a3,3,354
b1,2,368
e3,3,372
b1,2,372
d4,3,376
b1,2,376
h4,3,382
b1,2,382
h5,3,358
b1,2,382
a6,3,362
b1,2,382
c6,3,369
b1,2,382
f6,3,327
b1,2,382
d7,3,365
b1,2,382
h7,3,296
b1,2,382
g8,3,296
b1,2,382
e1,1,382
c1,2,-Infinity
b1,3,314
c1,2,314
d1,3,320
c1,2,320
g1,3,330
c1,2,330
b2,3,290
c1,2,330
f2,3,270
c1,2,330
a3,3,316
c1,2,330
e3,3,348
c1,2,348
d4,3,340
c1,2,348
h4,3,344
c1,2,348
h5,3,320
c1,2,348
a6,3,340
c1,2,348
c6,3,323
c1,2,348
f6,3,289
c1,2,348
d7,3,327
c1,2,348
h7,3,258
c1,2,348
g8,3,258
c1,2,348
e1,1,348
d1,2,-Infinity
f2,3,280
d1,2,280
a3,3,326
d1,2,326
e3,3,344
d1,2,344
d4,3,340
d1,2,344
h4,3,354
d1,2,354
h5,3,330
d1,2,354
a6,3,334
d1,2,354
c6,3,341
d1,2,354
f6,3,299
d1,2,354
d7,3,337
d1,2,354
h7,3,268
d1,2,354
g8,3,268
d1,2,354
e1,1,348
h1,2,-Infinity
g1,3,269
h1,2,269
a3,3,255
h1,2,269
e3,3,273
h1,2,273
d4,3,277
h1,2,277
h5,3,259
h1,2,277
a6,3,263
h1,2,277
c6,3,270
h1,2,277
f6,3,228
h1,2,277
d7,3,266
h1,2,277
h7,3,197
h1,2,277
g8,3,197
h1,2,277
e1,1,277
b2,2,-Infinity
b1,3,300
b2,2,300
g1,3,384
b2,2,384
f2,3,324
b2,2,384
a3,3,362
b2,2,384
e3,3,388
b2,2,388
d4,3,392
b2,2,392
h4,3,398
b2,2,398
h5,3,374
b2,2,398
a6,3,378
b2,2,398
c6,3,385
b2,2,398
f6,3,343
b2,2,398
d7,3,381
b2,2,398
h7,3,312
b2,2,398
g8,3,312
b2,2,398
e1,1,277
a3,2,-Infinity
g1,3,338
a3,2,338
b2,3,286
a3,2,338
f2,3,278
a3,2,338
d4,3,346
a3,2,346
h4,3,352
a3,2,352
h5,3,328
a3,2,352
a6,3,332
a3,2,352
c6,3,339
a3,2,352
f6,3,297
a3,2,352
d7,3,335
a3,2,352
h7,3,266
a3,2,352
g8,3,266
a3,2,352
e1,1,277
e3,2,-Infinity
g1,3,346
e3,2,346
f2,3,286
e3,2,346
a3,3,332
e3,2,346
f3,3,369
e3,2,369
d4,3,354
e3,2,369
h4,3,360
e3,2,369
h5,3,330
e3,2,369
a6,3,340
e3,2,369
c6,3,347
e3,2,369
f6,3,305
e3,2,369
d7,3,343
e3,2,369
h7,3,274
e3,2,369
e1,1,277
d4,2,-Infinity
g1,3,344
d4,2,344
f2,3,284
d4,2,344
a3,3,330
d4,2,344
e3,3,356
d4,2,356
h4,3,358
d4,2,358
h5,3,334
d4,2,358
a6,3,354
d4,2,358
c6,3,353
d4,2,358
f6,3,303
d4,2,358
d7,3,341
d4,2,358
h7,3,272
d4,2,358
g8,3,272
d4,2,358
e1,1,277
g4,2,-Infinity
g1,3,353
g4,2,353
f2,3,293
g4,2,353
a3,3,339
g4,2,353
e3,3,357
g4,2,357
d4,3,361
g4,2,361
h4,3,361
g4,2,361
h5,3,345
g4,2,361
a6,3,347
g4,2,361
c6,3,354
g4,2,361
f6,3,320
g4,2,361
h7,3,289
g4,2,361
e1,1,277
h5,2,-Infinity
g1,3,344
h5,2,344
f2,3,284
h5,2,344
a3,3,330
h5,2,344
e3,3,348
h5,2,348
d4,3,352
h5,2,352
h4,3,358
h5,2,358
a6,3,338
h5,2,358
c6,3,345
h5,2,358
f6,3,311
h5,2,358
h7,3,280
h5,2,358
e1,1,277
c6,2,-Infinity
g1,3,337
c6,2,337
f2,3,277
c6,2,337
a3,3,331
c6,2,337
e3,3,341
c6,2,341
d4,3,345
c6,2,345
h4,3,351
c6,2,351
h5,3,327
c6,2,351
a6,3,331
c6,2,351
f6,3,318
c6,2,351
b7,3,319
c6,2,351
d7,3,350
c6,2,351
h7,3,265
c6,2,351
g8,3,265
c6,2,351
e1,1,277
b7,2,-Infinity
g1,3,384
b7,2,384
f2,3,324
b7,2,384
a3,3,370
b7,2,384
e3,3,388
b7,2,388
d4,3,384
b7,2,388
h4,3,398
b7,2,398
h5,3,374
b7,2,398
a6,3,330
b7,2,398
c6,3,337
b7,2,398
f6,3,343
b7,2,398
d7,3,381
b7,2,398
h7,3,312
b7,2,398
g8,3,312
b7,2,398
e1,1,277
d7,2,-Infinity
g1,3,369
d7,2,369
f2,3,309
d7,2,369
a3,3,355
d7,2,369
e3,3,373
d7,2,373
d4,3,377
d7,2,377
h4,3,383
d7,2,383
h5,3,351
d7,2,383
a6,3,363
d7,2,383
c6,3,364
d7,2,383
f6,3,314
d7,2,383
h7,3,277
d7,2,383
g8,3,297
d7,2,383
e1,1,277
g8,2,-Infinity
g1,3,368
g8,2,368
f2,3,308
g8,2,368
a3,3,354
g8,2,368
e3,3,372
g8,2,372
d4,3,376
g8,2,376
h4,3,382
g8,2,382
h5,3,350
g8,2,382
a6,3,362
g8,2,382
c6,3,369
g8,2,382
f6,3,319
g8,2,382
d7,3,365
g8,2,382
h7,3,288
g8,2,382
e1,1,277
root,0,277
f2,1,Infinity
b1,2,-Infinity
c1,3,292
b1,2,292
d1,3,306
b1,2,306
e1,3,308
b1,2,308
b2,3,270
b1,2,308
a3,3,302
b1,2,308
e3,3,320
b1,2,320
d4,3,316
b1,2,320
g4,3,297
b1,2,320
h4,3,322
b1,2,322
h5,3,306
b1,2,322
a6,3,310
b1,2,322
c6,3,317
b1,2,322
f6,3,275
b1,2,322
d7,3,313
b1,2,322
h7,3,244
b1,2,322
g8,3,244
b1,2,322
f2,1,322
c1,2,-Infinity
b1,3,262
c1,2,262
d1,3,268
c1,2,268
e1,3,278
c1,2,278
b2,3,232
c1,2,278
a3,3,264
c1,2,278
e3,3,296
c1,2,296
d4,3,280
c1,2,296
g4,3,259
c1,2,296
h4,3,284
c1,2,296
h5,3,268
c1,2,296
a6,3,288
c1,2,296
c6,3,271
c1,2,296
f6,3,237
c1,2,296
d7,3,275
c1,2,296
h7,3,206
c1,2,296
g8,3,206
c1,2,296
f2,1,296
e1,2,-Infinity
a3,3,288
e1,2,288
e3,3,306
e1,2,306
d4,3,302
e1,2,306
g4,3,283
e1,2,306
h4,3,316
e1,2,316
h5,3,292
e1,2,316
a6,3,296
e1,2,316
c6,3,303
e1,2,316
f6,3,261
e1,2,316
d7,3,299
e1,2,316
h7,3,230
e1,2,316
g8,3,230
e1,2,316
f2,1,296
g1,2,-Infinity
e1,3,348
g1,2,348
a3,3,342
g1,2,348
e3,3,360
g1,2,360
d4,3,356
g1,2,360
h4,3,362
g1,2,362
h5,3,346
g1,2,362
a6,3,350
g1,2,362
c6,3,357
g1,2,362
f6,3,315
g1,2,362
d7,3,353
g1,2,362
h7,3,284
g1,2,362
g8,3,284
g1,2,362
f2,1,296
h1,2,-Infinity
e1,3,209
h1,2,209
a3,3,203
h1,2,209
e3,3,221
h1,2,221
d4,3,217
h1,2,221
g4,3,198
h1,2,221
h4,3,207
h1,2,221
h5,3,207
h1,2,221
a6,3,211
h1,2,221
c6,3,218
h1,2,221
f6,3,176
h1,2,221
d7,3,214
h1,2,221
h7,3,145
h1,2,221
g8,3,145
h1,2,221
f2,1,221
b2,2,-Infinity
b1,3,256
b2,2,256
c1,3,332
b2,2,332
d1,3,322
b2,2,332
e1,3,332
b2,2,332
a3,3,318
b2,2,332
e3,3,344
b2,2,344
d4,3,340
b2,2,344
g4,3,321
b2,2,344
h4,3,346
b2,2,346
h5,3,330
b2,2,346
a6,3,334
b2,2,346
c6,3,341
b2,2,346
f6,3,299
b2,2,346
d7,3,337
b2,2,346
h7,3,268
b2,2,346
g8,3,268
b2,2,346
f2,1,221
a3,2,-Infinity
e1,3,286
a3,2,286
b2,3,234
a3,2,286
d4,3,286
a3,2,286
g4,3,267
a3,2,286
h4,3,292
a3,2,292
h5,3,276
a3,2,292
a6,3,280
a3,2,292
c6,3,287
a3,2,292
f6,3,245
a3,2,292
d7,3,283
a3,2,292
h7,3,214
a3,2,292
g8,3,214
a3,2,292
f2,1,221
e3,2,-Infinity
e1,3,286
e3,2,286
a3,3,280
e3,2,286
f3,3,317
e3,2,317
d4,3,302
e3,2,317
g4,3,275
e3,2,317
h4,3,300
e3,2,317
h5,3,278
e3,2,317
a6,3,288
e3,2,317
c6,3,295
e3,2,317
f6,3,253
e3,2,317
d7,3,291
e3,2,317
h7,3,222
e3,2,317
f2,1,221
f3,2,-Infinity
e1,3,293
f3,2,293
a3,3,287
f3,2,293
e3,3,305
f3,2,305
d4,3,301
f3,2,305
g4,3,296
f3,2,305
h4,3,315
f3,2,315
h5,3,291
f3,2,315
a6,3,295
f3,2,315
c6,3,302
f3,2,315
f6,3,260
f3,2,315
d7,3,298
f3,2,315
h7,3,229
f3,2,315
g8,3,229
f3,2,315
f2,1,221
d4,2,-Infinity
d1,3,292
d4,2,292
e1,3,284
d4,2,292
a3,3,278
d4,2,292
e3,3,304
d4,2,304
g4,3,273
d4,2,304
h4,3,298
d4,2,304
h5,3,282
d4,2,304
a6,3,302
d4,2,304
c6,3,301
d4,2,304
f6,3,251
d4,2,304
d7,3,289
d4,2,304
h7,3,220
d4,2,304
g8,3,220
d4,2,304
f2,1,221
g4,2,-Infinity
e1,3,293
g4,2,293
a3,3,287
g4,2,293
e3,3,305
g4,2,305
d4,3,301
g4,2,305
h4,3,301
g4,2,305
h5,3,293
g4,2,305
a6,3,295
g4,2,305
c6,3,302
g4,2,305
f6,3,268
g4,2,305
h7,3,237
g4,2,305
g8,3,209
g4,2,305
f2,1,221
h5,2,-Infinity
e1,3,284
h5,2,284
a3,3,278
h5,2,284
e3,3,296
h5,2,296
d4,3,292
h5,2,296
g4,3,273
h5,2,296
h4,3,298
h5,2,298
a6,3,286
h5,2,298
c6,3,293
h5,2,298
f6,3,259
h5,2,298
h7,3,228
h5,2,298
f2,1,221
c6,2,-Infinity
e1,3,277
c6,2,277
a3,3,279
c6,2,279
e3,3,289
c6,2,289
d4,3,285
c6,2,289
g4,3,266
c6,2,289
h4,3,291
c6,2,291
h5,3,275
c6,2,291
a6,3,279
c6,2,291
f6,3,266
c6,2,291
b7,3,267
c6,2,291
d7,3,298
c6,2,298
h7,3,213
c6,2,298
g8,3,213
c6,2,298
f2,1,221
b7,2,-Infinity
e1,3,324
b7,2,324
a3,3,318
b7,2,324
e3,3,336
b7,2,336
d4,3,324
b7,2,336
g4,3,313
b7,2,336
h4,3,338
b7,2,338
h5,3,322
b7,2,338
a6,3,278
b7,2,338
c6,3,285
b7,2,338
f6,3,291
b7,2,338
d7,3,329
b7,2,338
h7,3,260
b7,2,338
g8,3,260
b7,2,338
f2,1,221
d7,2,-Infinity
e1,3,309
d7,2,309
a3,3,303
d7,2,309
e3,3,321
d7,2,321
d4,3,317
d7,2,321
g4,3,298
d7,2,321
h4,3,323
d7,2,323
h5,3,299
d7,2,323
a6,3,311
d7,2,323
c6,3,312
d7,2,323
f6,3,262
d7,2,323
h7,3,225
d7,2,323
g8,3,245
d7,2,323
f2,1,221
g8,2,-Infinity
e1,3,308
g8,2,308
a3,3,302
g8,2,308
e3,3,320
g8,2,320
d4,3,316
g8,2,320
g4,3,297
g8,2,320
h4,3,322
g8,2,322
h5,3,298
g8,2,322
a6,3,310
g8,2,322
c6,3,317
g8,2,322
f6,3,267
g8,2,322
d7,3,313
g8,2,322
h7,3,236
g8,2,322
f2,1,221
root,0,277
a3,1,Infinity
b1,2,-Infinity
c1,3,338
b1,2,338
d1,3,352
b1,2,352
e1,3,354
b1,2,354
b2,3,316
b1,2,354
f2,3,302
b1,2,354
e3,3,366
b1,2,366
h4,3,376
b1,2,376
h5,3,352
b1,2,376
a6,3,356
b1,2,376
c6,3,355
b1,2,376
f6,3,321
b1,2,376
d7,3,359
b1,2,376
h7,3,290
b1,2,376
g8,3,290
b1,2,376
a3,1,376
h1,2,-Infinity
e1,3,255
h1,2,255
e3,3,267
h1,2,267
h5,3,253
h1,2,267
a6,3,257
h1,2,267
c6,3,256
h1,2,267
f6,3,222
h1,2,267
d7,3,260
h1,2,267
h7,3,191
h1,2,267
g8,3,191
h1,2,267
a3,1,267
b2,2,-Infinity
b1,3,308
b2,2,308
c1,3,336
b2,2,336
d1,3,374
b2,2,374
e1,3,384
b2,2,384
f2,3,332
b2,2,384
e3,3,396
b2,2,396
h4,3,406
b2,2,406
h5,3,382
b2,2,406
a6,3,386
b2,2,406
c6,3,385
b2,2,406
f6,3,351
b2,2,406
d7,3,389
b2,2,406
h7,3,320
b2,2,406
g8,3,320
b2,2,406
a3,1,267
f2,2,-Infinity
e1,3,348
f2,2,348
e3,3,360
f2,2,360
h4,3,370
f2,2,370
h5,3,346
f2,2,370
a6,3,350
f2,2,370
c6,3,349
f2,2,370
f6,3,315
f2,2,370
d7,3,353
f2,2,370
h7,3,284
f2,2,370
g8,3,284
f2,2,370
a3,1,267
e3,2,-Infinity
e1,3,332
e3,2,332
f2,3,280
e3,2,332
f3,3,363
e3,2,363
h4,3,354
e3,2,363
h5,3,324
e3,2,363
a6,3,334
e3,2,363
c6,3,333
e3,2,363
f6,3,299
e3,2,363
d7,3,337
e3,2,363
h7,3,268
e3,2,363
a3,1,267
g4,2,-Infinity
e1,3,339
g4,2,339
f2,3,287
g4,2,339
e3,3,351
g4,2,351
h4,3,355
g4,2,355
h5,3,339
g4,2,355
a6,3,341
g4,2,355
c6,3,340
g4,2,355
f6,3,314
g4,2,355
h7,3,283
g4,2,355
a3,1,267
h5,2,-Infinity
e1,3,322
h5,2,322
f2,3,270
h5,2,322
e3,3,334
h5,2,334
d4,3,330
h5,2,334
h4,3,344
h5,2,344
a6,3,324
h5,2,344
c6,3,331
h5,2,344
f6,3,297
h5,2,344
h7,3,266
h5,2,344
a3,1,267
c6,2,-Infinity
e1,3,323
c6,2,323
f2,3,271
c6,2,323
e3,3,335
c6,2,335
h4,3,345
c6,2,345
h5,3,321
c6,2,345
a6,3,325
c6,2,345
f6,3,312
c6,2,345
b7,3,313
c6,2,345
d7,3,344
c6,2,345
h7,3,259
c6,2,345
g8,3,259
c6,2,345
a3,1,267
b7,2,-Infinity
e1,3,370
b7,2,370
f2,3,318
b7,2,370
e3,3,382
b7,2,382
h4,3,392
b7,2,392
h5,3,368
b7,2,392
a6,3,324
b7,2,392
c6,3,323
b7,2,392
f6,3,337
b7,2,392
d7,3,375
b7,2,392
h7,3,306
b7,2,392
g8,3,306
b7,2,392
a3,1,267
d7,2,-Infinity
e1,3,355
d7,2,355
f2,3,303
d7,2,355
e3,3,367
d7,2,367
h4,3,377
d7,2,377
h5,3,345
d7,2,377
a6,3,357
d7,2,377
c6,3,350
d7,2,377
f6,3,308
d7,2,377
h7,3,271
d7,2,377
g8,3,291
d7,2,377
a3,1,267
g8,2,-Infinity
e1,3,354
g8,2,354
f2,3,302
g8,2,354
e3,3,366
g8,2,366
h4,3,376
g8,2,376
h5,3,344
g8,2,376
a6,3,356
g8,2,376
c6,3,355
g8,2,376
f6,3,313
g8,2,376
d7,3,359
g8,2,376
h7,3,282
g8,2,376
a3,1,267
root,0,277
e3,1,Infinity
b1,2,-Infinity
c1,3,334
b1,2,334
d1,3,354
b1,2,354
e1,3,356
b1,2,356
b2,3,318
b1,2,356
f2,3,304
b1,2,356
a3,3,350
b1,2,356
f3,3,363
b1,2,363
d4,3,364
b1,2,364
h4,3,378
b1,2,378
h5,3,354
b1,2,378
a6,3,358
b1,2,378
c6,3,365
b1,2,378
f6,3,331
b1,2,378
h7,3,300
b1,2,378
g8,3,292
b1,2,378
e3,1,378
c1,2,-Infinity
b1,3,318
c1,2,318
d1,3,326
c1,2,326
