*XX*XX*X
OOOOX**O
XXXOOO*X
**O****O
*OXX*XX*
OXX***XO
O**XOX**
**XXXXX*
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
d1,2,-Infinity
f2,3,169
d1,2,169
g3,3,219
d1,2,219
a4,3,193
d1,2,219
b4,3,184
d1,2,219
e4,3,195
d1,2,219
f4,3,199
d1,2,219
a5,3,193
d1,2,219
h5,3,211
d1,2,219
e6,3,191
d1,2,219
f6,3,194
d1,2,219
g8,3,201
d1,2,219
a1,1,219
f2,2,-Infinity
d1,3,201
f2,2,201
g2,3,151
f2,2,201
g3,3,221
f2,2,221
a4,3,203
f2,2,221
b4,3,194
f2,2,221
e4,3,205
f2,2,221
f4,3,215
f2,2,221
a5,3,203
f2,2,221
h5,3,221
f2,2,221
e6,3,201
f2,2,221
f6,3,204
f2,2,221
g8,3,211
f2,2,221
a1,1,219
a4,2,-Infinity
g3,3,221
a4,2,221
b4,3,178
a4,2,221
e4,3,203
a4,2,221
f4,3,201
a4,2,221
g4,3,206
a4,2,221
a5,3,207
a4,2,221
h5,3,213
a4,2,221
e6,3,193
a4,2,221
f6,3,196
a4,2,221
g8,3,203
a4,2,221
a1,1,219
b4,2,-Infinity
d1,3,180
b4,2,180
g3,3,222
b4,2,222
a4,3,182
b4,2,222
d4,3,196
b4,2,222
e4,3,190
b4,2,222
f4,3,188
b4,2,222
g4,3,193
b4,2,222
a5,3,184
b4,2,222
h5,3,200
b4,2,222
e6,3,180
b4,2,222
f6,3,183
b4,2,222
g8,3,190
b4,2,222
a1,1,219
d4,2,-Infinity
d1,3,193
d4,2,193
g3,3,219
d4,2,219
a4,3,193
d4,2,219
e4,3,201
d4,2,219
f4,3,199
d4,2,219
g4,3,204
d4,2,219
a5,3,201
d4,2,219
e5,3,193
d4,2,219
h5,3,211
d4,2,219
e6,3,191
d4,2,219
f6,3,194
d4,2,219
g8,3,201
d4,2,219
a1,1,219
f4,2,-Infinity
d1,3,193
f4,2,193
f2,3,213
f4,2,213
g3,3,221
f4,2,221
a4,3,195
f4,2,221
b4,3,186
f4,2,221
e4,3,203
f4,2,221
g4,3,200
f4,2,221
a5,3,195
f4,2,221
h5,3,207
f4,2,221
e6,3,193
f4,2,221
f6,3,196
f4,2,221
g8,3,203
f4,2,221
a1,1,219
e5,2,-Infinity
d1,3,183
e5,2,183
g3,3,211
e5,2,211
a4,3,185
e5,2,211
b4,3,176
e5,2,211
d4,3,193
e5,2,211
e4,3,193
e5,2,211
f4,3,191
e5,2,211
g4,3,196
e5,2,211
a5,3,193
e5,2,211
h5,3,203
e5,2,211
e6,3,191
e5,2,211
f6,3,186
e5,2,211
g8,3,193
e5,2,211
a1,1,211
d6,2,-Infinity
d1,3,181
d6,2,181
g3,3,209
d6,2,209
a4,3,197
d6,2,209
e4,3,191
d6,2,209
f4,3,189
d6,2,209
g4,3,194
d6,2,209
a5,3,183
d6,2,209
h5,3,201
d6,2,209
e6,3,181
d6,2,209
f6,3,184
d6,2,209
b7,3,173
d6,2,209
c7,3,193
d6,2,209
g8,3,191
d6,2,209
a1,1,209
e6,2,-Infinity
d1,3,187
e6,2,187
g3,3,215
e6,2,215
a4,3,189
e6,2,215
b4,3,180
e6,2,215
e4,3,197
e6,2,215
f4,3,195
e6,2,215
g4,3,200
e6,2,215
a5,3,189
e6,2,215
e5,3,191
e6,2,215
h5,3,207
e6,2,215
f6,3,190
e6,2,215
g8,3,197
e6,2,215
a1,1,209
f6,2,-Infinity
d1,3,206
f6,2,206
g3,3,234
f6,2,234
a4,3,208
f6,2,234
b4,3,199
f6,2,234
e4,3,216
f6,2,234
f4,3,214
f6,2,234
g4,3,219
f6,2,234
a5,3,208
f6,2,234
h5,3,204
f6,2,234
e6,3,206
f6,2,234
g7,3,170
f6,2,234
h7,3,192
f6,2,234
g8,3,216
f6,2,234
a1,1,209
b7,2,-Infinity
d1,3,223
b7,2,223
g3,3,251
b7,2,251
a4,3,225
b7,2,251
e4,3,233
b7,2,251
f4,3,231
b7,2,251
g4,3,236
b7,2,251
a5,3,225
b7,2,251
h5,3,243
b7,2,251
e6,3,223
b7,2,251
f6,3,226
b7,2,251
a8,3,276
b7,2,276
g8,3,233
b7,2,276
a1,1,209
c7,2,-Infinity
d1,3,179
c7,2,179
g3,3,207
c7,2,207
a4,3,189
c7,2,207
b4,3,172
c7,2,207
d4,3,189
c7,2,207
e4,3,189
c7,2,207
f4,3,187
c7,2,207
g4,3,192
c7,2,207
a5,3,189
c7,2,207
h5,3,199
c7,2,207
d6,3,193
c7,2,207
e6,3,173
c7,2,207
f6,3,182
c7,2,207
b7,3,151
c7,2,207
g8,3,189
c7,2,207
a1,1,207
g7,2,-Infinity
d1,3,223
g7,2,223
g3,3,251
g7,2,251
a4,3,225
g7,2,251
b4,3,216
g7,2,251
e4,3,233
g7,2,251
f4,3,231
g7,2,251
g4,3,236
g7,2,251
a5,3,225
g7,2,251
h5,3,243
g7,2,251
e6,3,223
g7,2,251
f6,3,226
g7,2,251
h7,3,155
g7,2,251
g8,3,185
g7,2,251
a1,1,207
b8,2,-Infinity
d1,3,159
b8,2,159
g3,3,187
b8,2,187
a4,3,161
b8,2,187
b4,3,152
b8,2,187
e4,3,169
b8,2,187
f4,3,167
b8,2,187
g4,3,172
b8,2,187
a5,3,161
b8,2,187
h5,3,179
b8,2,187
a1,1,187
root,0,187
d1,1,Infinity
f2,2,-Infinity
a1,3,201
f2,2,201
g2,3,122
f2,2,201
g3,3,184
f2,2,201
a4,3,166
f2,2,201
b4,3,157
f2,2,201
d4,3,168
f2,2,201
e4,3,176
f2,2,201
f4,3,178
f2,2,201
g4,3,171
f2,2,201
a5,3,166
f2,2,201
h5,3,184
f2,2,201
e6,3,164
f2,2,201
f6,3,167
f2,2,201
g8,3,174
f2,2,201
d1,1,201
a4,2,-Infinity
a1,3,185
a4,2,185
g3,3,160
a4,2,185
b4,3,125
a4,2,185
d4,3,136
a4,2,185
e4,3,150
a4,2,185
f4,3,140
a4,2,185
g4,3,145
a4,2,185
a5,3,134
a4,2,185
h5,3,152
a4,2,185
e6,3,132
a4,2,185
f6,3,135
a4,2,185
g8,3,142
a4,2,185
d1,1,185
b4,2,-Infinity
a1,3,236
b4,2,236
g3,3,185
b4,2,236
a4,3,145
b4,2,236
d4,3,155
b4,2,236
e4,3,169
b4,2,236
f4,3,159
b4,2,236
g4,3,164
b4,2,236
a5,3,155
b4,2,236
h5,3,171
b4,2,236
e6,3,151
b4,2,236
f6,3,154
b4,2,236
g8,3,161
b4,2,236
d1,1,185
d4,2,-Infinity
a1,3,225
d4,2,225
g3,3,182
d4,2,225
a4,3,142
d4,2,225
b4,3,147
d4,2,225
e4,3,158
d4,2,225
f4,3,148
d4,2,225
g4,3,153
d4,2,225
a5,3,150
d4,2,225
h5,3,160
d4,2,225
e6,3,140
d4,2,225
f6,3,143
d4,2,225
g8,3,150
d4,2,225
d1,1,185
f4,2,-Infinity
a1,3,193
f4,2,193
f2,3,176
f4,2,193
g3,3,184
f4,2,193
a4,3,158
f4,2,193
b4,3,149
f4,2,193
d4,3,160
f4,2,193
e4,3,174
f4,2,193
g4,3,163
f4,2,193
a5,3,158
f4,2,193
h5,3,170
f4,2,193
e6,3,156
f4,2,193
f6,3,159
f4,2,193
g8,3,166
f4,2,193
d1,1,185
e5,2,-Infinity
a1,3,183
e5,2,183
g3,3,174
e5,2,183
a4,3,148
e5,2,183
b4,3,139
e5,2,183
d4,3,158
e5,2,183
e4,3,164
e5,2,183
f4,3,154
e5,2,183
g4,3,159
e5,2,183
a5,3,156
e5,2,183
h5,3,166
e5,2,183
e6,3,154
e5,2,183
f6,3,149
e5,2,183
g8,3,156
e5,2,183
d1,1,183
d6,2,-Infinity
a1,3,181
d6,2,181
g3,3,172
d6,2,181
a4,3,160
d6,2,181
d4,3,148
d6,2,181
e4,3,162
d6,2,181
f4,3,152
d6,2,181
g4,3,157
d6,2,181
a5,3,146
d6,2,181
h5,3,164
d6,2,181
e6,3,144
d6,2,181
f6,3,147
d6,2,181
b7,3,136
d6,2,181
c7,3,156
d6,2,181
g8,3,154
d6,2,181
d1,1,181
e6,2,-Infinity
a1,3,187
e6,2,187
g3,3,178
e6,2,187
a4,3,152
e6,2,187
b4,3,143
e6,2,187
d4,3,154
e6,2,187
e4,3,168
e6,2,187
f4,3,158
e6,2,187
g4,3,163
e6,2,187
a5,3,152
e6,2,187
e5,3,154
e6,2,187
h5,3,170
e6,2,187
f6,3,153
e6,2,187
g8,3,160
e6,2,187
d1,1,181
f6,2,-Infinity
a1,3,206
f6,2,206
g3,3,197
f6,2,206
a4,3,171
f6,2,206
b4,3,162
f6,2,206
d4,3,173
f6,2,206
e4,3,187
f6,2,206
f4,3,177
f6,2,206
g4,3,182
f6,2,206
a5,3,171
f6,2,206
h5,3,167
f6,2,206
e6,3,169
f6,2,206
g7,3,133
f6,2,206
h7,3,155
f6,2,206
g8,3,179
f6,2,206
d1,1,181
b7,2,-Infinity
a1,3,223
b7,2,223
g3,3,214
b7,2,223
a4,3,188
b7,2,223
d4,3,190
b7,2,223
e4,3,204
b7,2,223
f4,3,194
b7,2,223
g4,3,199
b7,2,223
a5,3,188
b7,2,223
h5,3,206
b7,2,223
e6,3,186
b7,2,223
f6,3,189
b7,2,223
a8,3,239
b7,2,239
g8,3,196
b7,2,239
d1,1,181
c7,2,-Infinity
a1,3,179
c7,2,179
g3,3,170
c7,2,179
a4,3,152
c7,2,179
b4,3,135
c7,2,179
d4,3,154
c7,2,179
e4,3,160
c7,2,179
f4,3,150
c7,2,179
g4,3,155
c7,2,179
a5,3,152
c7,2,179
h5,3,162
c7,2,179
d6,3,156
c7,2,179
e6,3,136
c7,2,179
f6,3,145
c7,2,179
b7,3,114
c7,2,179
g8,3,152
c7,2,179
d1,1,179
g7,2,-Infinity
a1,3,223
g7,2,223
g3,3,214
g7,2,223
a4,3,188
g7,2,223
b4,3,179
g7,2,223
d4,3,190
g7,2,223
e4,3,204
g7,2,223
f4,3,194
g7,2,223
g4,3,199
g7,2,223
a5,3,188
g7,2,223
h5,3,206
g7,2,223
e6,3,186
g7,2,223
f6,3,189
g7,2,223
h7,3,118
g7,2,223
g8,3,148
g7,2,223
d1,1,179
b8,2,-Infinity
a1,3,159
b8,2,159
g3,3,150
b8,2,159
a4,3,124
b8,2,159
b4,3,115
b8,2,159
d4,3,126
b8,2,159
e4,3,140
b8,2,159
f4,3,130
b8,2,159
g4,3,135
b8,2,159
a5,3,124
b8,2,159
h5,3,142
b8,2,159
d1,1,159
root,0,187
g3,1,Infinity
f2,2,-Infinity
a1,3,237
f2,2,237
d1,3,188
f2,2,237
g1,3,186
f2,2,237
a4,3,202
f2,2,237
b4,3,193
f2,2,237
a5,3,202
f2,2,237
h5,3,220
f2,2,237
e6,3,200
f2,2,237
f6,3,203
f2,2,237
g8,3,210
f2,2,237
g3,1,237
a4,2,-Infinity
a1,3,221
a4,2,221
d1,3,170
a4,2,221
b4,3,105
a4,2,221
a5,3,170
a4,2,221
h5,3,188
a4,2,221
e6,3,168
a4,2,221
f6,3,171
a4,2,221
g8,3,178
a4,2,221
g3,1,221
b4,2,-Infinity
a1,3,264
b4,2,264
d1,3,181
b4,2,264
a4,3,181
b4,2,264
a5,3,183
b4,2,264
h5,3,199
b4,2,264
e6,3,179
b4,2,264
f6,3,182
b4,2,264
g8,3,189
b4,2,264
g3,1,221
d4,2,-Infinity
a1,3,245
d4,2,245
d1,3,162
d4,2,245
a4,3,162
d4,2,245
b4,3,167
d4,2,245
e4,3,162
d4,2,245
a5,3,170
d4,2,245
h5,3,180
d4,2,245
e6,3,160
d4,2,245
f6,3,163
d4,2,245
g8,3,170
d4,2,245
g3,1,221
e4,2,-Infinity
a1,3,211
e4,2,211
d1,3,174
e4,2,211
a4,3,176
e4,2,211
b4,3,167
e4,2,211
a5,3,176
e4,2,211
e5,3,176
e4,2,211
h5,3,194
e4,2,211
e6,3,174
e4,2,211
f6,3,177
e4,2,211
g8,3,184
e4,2,211
g3,1,211
f4,2,-Infinity
a1,3,221
f4,2,221
d1,3,178
f4,2,221
a4,3,186
f4,2,221
b4,3,177
f4,2,221
e4,3,194
f4,2,221
g4,3,177
f4,2,221
a5,3,186
f4,2,221
h5,3,198
f4,2,221
e6,3,184
f4,2,221
f6,3,187
f4,2,221
g8,3,194
f4,2,221
g3,1,211
e5,2,-Infinity
a1,3,211
e5,2,211
d1,3,168
e5,2,211
a4,3,176
e5,2,211
b4,3,167
e5,2,211
d4,3,184
e5,2,211
e4,3,176
e5,2,211
a5,3,184
e5,2,211
h5,3,194
e5,2,211
e6,3,182
e5,2,211
f6,3,177
e5,2,211
g8,3,184
e5,2,211
g3,1,211
d6,2,-Infinity
a1,3,209
d6,2,209
d1,3,166
d6,2,209
a4,3,188
d6,2,209
a5,3,174
d6,2,209
h5,3,192
d6,2,209
e6,3,172
d6,2,209
f6,3,175
d6,2,209
b7,3,164
d6,2,209
c7,3,184
d6,2,209
g8,3,182
d6,2,209
g3,1,209
e6,2,-Infinity
a1,3,215
e6,2,215
d1,3,172
e6,2,215
a4,3,180
