O*OOOO*X
O**X****
OOX*XO**
XXXXX*OX
X*OO***O
OOOOOOOX
OO*O*OO*
*O***O*X
Node,Depth,Value
root,0,-Infinity
f1,1,Infinity
b2,2,-Infinity
c2,3,-135
b2,2,-135
f2,3,-101
b2,2,-101
d3,3,-93
b2,2,-93
h3,3,-85
b2,2,-85
f4,3,-99
b2,2,-85
e5,3,-139
b2,2,-85
h7,3,-97
b2,2,-85
f1,1,-85
c2,2,-Infinity
f2,3,-121
c2,2,-121
d3,3,-113
c2,2,-113
h3,3,-105
c2,2,-105
f4,3,-119
c2,2,-105
h7,3,-117
c2,2,-105
f1,1,-105
g2,2,-Infinity
c2,3,-109
g2,2,-109
e2,3,-116
g2,2,-109
f2,3,-123
g2,2,-109
d3,3,-115
g2,2,-109
h3,3,-155
g2,2,-109
f4,3,-121
g2,2,-109
b5,3,-136
g2,2,-109
h7,3,-119
g2,2,-109
f1,1,-109
g3,2,-Infinity
c2,3,-129
g3,2,-129
e2,3,-136
g3,2,-129
f2,3,-143
g3,2,-129
g2,3,-165
g3,2,-129
d3,3,-135
g3,2,-129
h3,3,-127
g3,2,-127
f4,3,-141
g3,2,-127
b5,3,-156
g3,2,-127
h7,3,-139
g3,2,-127
f1,1,-127
f4,2,-Infinity
c2,3,-117
f4,2,-117
f2,3,-131
f4,2,-117
d3,3,-115
f4,2,-115
h3,3,-115
f4,2,-115
b5,3,-144
f4,2,-115
f5,3,-123
f4,2,-115
g5,3,-128
f4,2,-115
h7,3,-127
f4,2,-115
f1,1,-127
e5,2,-Infinity
c2,3,-85
e5,2,-85
e2,3,-98
e5,2,-85
f2,3,-99
e5,2,-85
d3,3,-83
e5,2,-83
h3,3,-83
e5,2,-83
f4,3,-97
e5,2,-83
b5,3,-112
e5,2,-83
f5,3,-85
e5,2,-83
h7,3,-143
e5,2,-83
g8,3,-159
e5,2,-83
f1,1,-127
c7,2,-Infinity
f2,3,-143
c7,2,-143
d3,3,-127
c7,2,-127
h3,3,-127
c7,2,-127
f4,3,-141
c7,2,-127
b5,3,-142
c7,2,-127
h7,3,-139
c7,2,-127
f1,1,-127
e7,2,-Infinity
c2,3,-124
e7,2,-124
f2,3,-138
e7,2,-124
d3,3,-130
e7,2,-124
h3,3,-130
e7,2,-124
f4,3,-144
e7,2,-124
b5,3,-151
e7,2,-124
h7,3,-142
e7,2,-124
d8,3,-150
e7,2,-124
e8,3,-150
e7,2,-124
f1,1,-127
a8,2,-Infinity
c2,3,-184
a8,2,-184
f2,3,-198
a8,2,-184
d3,3,-182
a8,2,-182
h3,3,-182
a8,2,-182
f4,3,-196
a8,2,-182
b5,3,-197
a8,2,-182
e5,3,-202
a8,2,-182
c7,3,-192
a8,2,-182
h7,3,-194
a8,2,-182
f1,1,-182
d8,2,-Infinity
c2,3,-127
d8,2,-127
f2,3,-141
d8,2,-127
d3,3,-125
d8,2,-125
h3,3,-125
d8,2,-125
f4,3,-139
d8,2,-125
b5,3,-154
d8,2,-125
e5,3,-145
d8,2,-125
e7,3,-140
d8,2,-125
h7,3,-137
d8,2,-125
c8,3,-143
d8,2,-125
e8,3,-145
d8,2,-125
f1,1,-182
g8,2,-Infinity
c2,3,-111
g8,2,-111
f2,3,-125
g8,2,-111
d3,3,-109
g8,2,-109
h3,3,-109
g8,2,-109
f4,3,-123
g8,2,-109
b5,3,-138
g8,2,-109
e5,3,-129
g8,2,-109
f5,3,-117
g8,2,-109
e7,3,-140
g8,2,-109
h7,3,-121
g8,2,-109
e8,3,-131
g8,2,-109
f1,1,-182
root,0,-182
c2,1,Infinity
b1,2,-Infinity
f1,3,-127
b1,2,-127
e2,3,-168
b1,2,-127
f2,3,-155
b1,2,-127
d3,3,-147
b1,2,-127
h3,3,-139
b1,2,-127
f4,3,-155
b1,2,-127
b5,3,-168
b1,2,-127
e5,3,-159
b1,2,-127
h7,3,-151
b1,2,-127
c2,1,-127
b2,2,-Infinity
f1,3,-93
b2,2,-93
e2,3,-178
b2,2,-93
f2,3,-109
b2,2,-93
d3,3,-101
b2,2,-93
h3,3,-93
b2,2,-93
f4,3,-107
b2,2,-93
e5,3,-147
b2,2,-93
h7,3,-105
b2,2,-93
c2,1,-127
g2,2,-Infinity
f1,3,-109
g2,2,-109
e2,3,-124
g2,2,-109
f2,3,-125
g2,2,-109
d3,3,-131
g2,2,-109
h3,3,-109
g2,2,-109
f4,3,-123
g2,2,-109
b5,3,-138
g2,2,-109
e5,3,-129
g2,2,-109
h7,3,-121
g2,2,-109
c2,1,-127
g3,2,-Infinity
f1,3,-129
g3,2,-129
e2,3,-144
g3,2,-129
f2,3,-145
g3,2,-129
g2,3,-167
g3,2,-129
d3,3,-151
g3,2,-129
h3,3,-129
g3,2,-129
f4,3,-143
g3,2,-129
b5,3,-158
g3,2,-129
e5,3,-149
g3,2,-129
h7,3,-141
g3,2,-129
c2,1,-129
f4,2,-Infinity
f1,3,-117
f4,2,-117
e2,3,-146
f4,2,-117
f2,3,-133
f4,2,-117
d3,3,-131
f4,2,-117
h3,3,-117
f4,2,-117
b5,3,-146
f4,2,-117
e5,3,-137
f4,2,-117
f5,3,-125
f4,2,-117
g5,3,-130
f4,2,-117
h7,3,-129
f4,2,-117
c2,1,-129
e5,2,-Infinity
f1,3,-85
e5,2,-85
e2,3,-106
e5,2,-85
f2,3,-101
e5,2,-85
d3,3,-99
e5,2,-85
h3,3,-85
e5,2,-85
f4,3,-99
e5,2,-85
b5,3,-114
e5,2,-85
f5,3,-87
e5,2,-85
h7,3,-145
e5,2,-85
g8,3,-161
e5,2,-85
c2,1,-129
c7,2,-Infinity
f1,3,-107
c7,2,-107
e2,3,-136
c7,2,-107
f2,3,-123
c7,2,-107
d3,3,-121
c7,2,-107
h3,3,-107
c7,2,-107
f4,3,-121
c7,2,-107
b5,3,-144
c7,2,-107
e5,3,-127
c7,2,-107
h7,3,-119
c7,2,-107
c8,3,-127
c7,2,-107
c2,1,-129
e7,2,-Infinity
f1,3,-132
e7,2,-132
e2,3,-161
e7,2,-132
f2,3,-140
e7,2,-132
d3,3,-146
e7,2,-132
h3,3,-132
e7,2,-132
f4,3,-146
e7,2,-132
b5,3,-153
e7,2,-132
e5,3,-152
e7,2,-132
h7,3,-144
e7,2,-132
d8,3,-152
e7,2,-132
e8,3,-152
e7,2,-132
c2,1,-132
a8,2,-Infinity
f1,3,-184
a8,2,-184
e2,3,-213
a8,2,-184
f2,3,-200
a8,2,-184
d3,3,-198
a8,2,-184
h3,3,-184
a8,2,-184
f4,3,-198
a8,2,-184
b5,3,-199
a8,2,-184
e5,3,-204
a8,2,-184
c7,3,-194
a8,2,-184
h7,3,-196
a8,2,-184
c2,1,-184
d8,2,-Infinity
f1,3,-127
d8,2,-127
e2,3,-156
d8,2,-127
f2,3,-143
d8,2,-127
d3,3,-141
d8,2,-127
h3,3,-127
d8,2,-127
f4,3,-141
d8,2,-127
b5,3,-156
d8,2,-127
e5,3,-147
d8,2,-127
e7,3,-142
d8,2,-127
h7,3,-139
d8,2,-127
c8,3,-145
d8,2,-127
e8,3,-147
d8,2,-127
c2,1,-184
root,0,-182
f2,1,Infinity
b1,2,-Infinity
f1,3,-141
b1,2,-141
b2,3,-183
b1,2,-141
c2,3,-155
b1,2,-141
d3,3,-155
b1,2,-141
h3,3,-153
b1,2,-141
f4,3,-169
b1,2,-141
b5,3,-182
b1,2,-141
e5,3,-173
b1,2,-141
h7,3,-165
b1,2,-141
f2,1,-141
b2,2,-Infinity
f1,3,-101
b2,2,-101
c2,3,-151
b2,2,-101
d3,3,-117
b2,2,-101
h3,3,-101
b2,2,-101
f4,3,-117
b2,2,-101
e5,3,-121
b2,2,-101
h7,3,-113
b2,2,-101
f2,1,-141
c2,2,-Infinity
f1,3,-121
c2,2,-121
b2,3,-151
c2,2,-121
d3,3,-137
c2,2,-121
h3,3,-121
c2,2,-121
f4,3,-137
c2,2,-121
e5,3,-141
c2,2,-121
h7,3,-133
c2,2,-121
f2,1,-141
e2,2,-Infinity
f1,3,-138
e2,2,-138
b2,3,-168
e2,2,-138
c2,3,-152
e2,2,-138
d3,3,-138
e2,2,-138
h3,3,-138
e2,2,-138
f4,3,-152
e2,2,-138
b5,3,-167
e2,2,-138
h7,3,-150
e2,2,-138
f2,1,-141
g2,2,-Infinity
f1,3,-123
g2,2,-123
b2,3,-153
g2,2,-123
c2,3,-125
g2,2,-123
e2,3,-132
g2,2,-123
h2,3,-199
g2,2,-123
d3,3,-131
g2,2,-123
g3,3,-133
g2,2,-123
h3,3,-123
g2,2,-123
f4,3,-125
g2,2,-123
b5,3,-152
g2,2,-123
e5,3,-143
g2,2,-123
h7,3,-135
g2,2,-123
f2,1,-141
g3,2,-Infinity
f1,3,-129
g3,2,-129
g1,3,-157
g3,2,-129
b2,3,-151
g3,2,-129
c2,3,-123
g3,2,-123
g2,3,-173
g3,2,-123
d3,3,-129
g3,2,-123
h3,3,-129
g3,2,-123
f4,3,-137
g3,2,-123
b5,3,-150
g3,2,-123
e5,3,-141
g3,2,-123
h7,3,-133
g3,2,-123
f2,1,-141
f4,2,-Infinity
f1,3,-139
f4,2,-139
b2,3,-169
f4,2,-139
c2,3,-141
f4,2,-139
d3,3,-139
f4,2,-139
h3,3,-139
f4,2,-139
b5,3,-168
f4,2,-139
f5,3,-147
f4,2,-139
g5,3,-152
f4,2,-139
h7,3,-151
f4,2,-139
f2,1,-141
e5,2,-Infinity
f1,3,-99
e5,2,-99
c2,3,-101
e5,2,-99
d3,3,-107
e5,2,-99
h3,3,-99
e5,2,-99
f4,3,-115
e5,2,-99
b5,3,-128
e5,2,-99
f5,3,-101
e5,2,-99
h7,3,-159
e5,2,-99
g8,3,-175
e5,2,-99
f2,1,-141
c7,2,-Infinity
f1,3,-143
c7,2,-143
b2,3,-173
c7,2,-143
d3,3,-151
c7,2,-143
h3,3,-143
c7,2,-143
f4,3,-159
c7,2,-143
b5,3,-158
c7,2,-143
e5,3,-163
c7,2,-143
h7,3,-155
c7,2,-143
f2,1,-143
e7,2,-Infinity
f1,3,-146
e7,2,-146
b2,3,-176
e7,2,-146
c2,3,-140
e7,2,-140
d3,3,-154
e7,2,-140
h3,3,-146
e7,2,-140
f4,3,-162
e7,2,-140
b5,3,-167
e7,2,-140
e5,3,-166
e7,2,-140
h7,3,-158
e7,2,-140
d8,3,-166
e7,2,-140
e8,3,-166
e7,2,-140
f2,1,-143
a8,2,-Infinity
f1,3,-198
a8,2,-198
b2,3,-228
a8,2,-198
c2,3,-200
a8,2,-198
d3,3,-206
a8,2,-198
h3,3,-198
a8,2,-198
f4,3,-214
a8,2,-198
b5,3,-213
a8,2,-198
e5,3,-218
a8,2,-198
c7,3,-208
a8,2,-198
h7,3,-210
a8,2,-198
f2,1,-198
g8,2,-Infinity
f1,3,-125
g8,2,-125
b2,3,-155
g8,2,-125
c2,3,-127
g8,2,-125
d3,3,-133
g8,2,-125
h3,3,-125
g8,2,-125
f4,3,-141
g8,2,-125
b5,3,-154
g8,2,-125
e5,3,-145
g8,2,-125
f5,3,-133
g8,2,-125
e7,3,-156
g8,2,-125
h7,3,-137
g8,2,-125
e8,3,-147
g8,2,-125
f2,1,-198
root,0,-182
d3,1,Infinity
b1,2,-Infinity
f1,3,-125
b1,2,-125
h3,3,-137
b1,2,-125
f4,3,-153
b1,2,-125
b5,3,-158
b1,2,-125
e5,3,-157
b1,2,-125
f5,3,-153
b1,2,-125
h7,3,-149
b1,2,-125
