XXXOOO**
*OXOOO**
***X**OX
*X**O***
*XXXX*O*
**OOOOOX
X*OX*X**
OXXOXOOO
Node,Depth,Value
root,0,-Infinity
b3,1,Infinity
g1,2,-Infinity
a4,3,23
g1,2,23
c4,3,43
g1,2,43
d4,3,33
g1,2,43
f4,3,35
g1,2,43
f5,3,33
g1,2,43
a6,3,15
g1,2,43
b6,3,7
g1,2,43
g6,3,49
g1,2,49
e7,3,36
g1,2,49
b3,1,49
a3,2,-Infinity
a2,3,39
a3,2,39
a4,3,95
a3,2,95
c4,3,115
a3,2,115
d4,3,105
a3,2,115
f4,3,107
a3,2,115
f5,3,105
a3,2,115
a6,3,87
a3,2,115
b6,3,79
a3,2,115
g6,3,121
a3,2,121
e7,3,108
a3,2,121
b3,1,49
c3,2,-Infinity
a2,3,40
c3,2,40
e3,3,130
c3,2,130
a4,3,104
c3,2,130
c4,3,124
c3,2,130
d4,3,114
c3,2,130
f4,3,116
c3,2,130
a5,3,118
c3,2,130
f5,3,114
c3,2,130
a6,3,96
c3,2,130
b6,3,88
c3,2,130
g6,3,130
c3,2,130
e7,3,117
c3,2,130
b3,1,49
e3,2,-Infinity
c3,3,58
e3,2,58
f3,3,64
e3,2,64
a4,3,57
e3,2,64
c4,3,77
e3,2,77
d4,3,69
e3,2,77
f4,3,69
e3,2,77
f5,3,75
e3,2,77
a6,3,49
e3,2,77
b6,3,41
e3,2,77
g6,3,83
e3,2,83
e7,3,78
e3,2,83
b3,1,49
f3,2,-Infinity
g2,3,46
f3,2,46
a4,3,56
f3,2,56
c4,3,76
f3,2,76
d4,3,66
f3,2,76
f4,3,82
f3,2,82
g4,3,67
f3,2,82
h4,3,54
f3,2,82
f5,3,74
f3,2,82
a6,3,48
f3,2,82
b6,3,40
f3,2,82
g6,3,82
f3,2,82
e7,3,61
f3,2,82
b3,1,49
f4,2,-Infinity
a4,3,57
f4,2,57
c4,3,77
f4,2,77
d4,3,67
f4,2,77
g4,3,62
f4,2,77
f5,3,67
f4,2,77
a6,3,49
f4,2,77
b6,3,41
f4,2,77
g6,3,83
f4,2,83
e7,3,56
f4,2,83
b3,1,49
h4,2,-Infinity
a4,3,55
h4,2,55
c4,3,75
h4,2,75
d4,3,65
h4,2,75
f4,3,67
h4,2,75
f5,3,65
h4,2,75
a6,3,47
h4,2,75
b6,3,39
h4,2,75
g6,3,81
h4,2,81
e7,3,54
h4,2,81
b3,1,49
f5,2,-Infinity
f3,3,58
f5,2,58
a4,3,51
f5,2,58
c4,3,71
f5,2,71
d4,3,61
f5,2,71
f4,3,77
f5,2,77
a5,3,67
f5,2,77
a6,3,43
f5,2,77
b6,3,35
f5,2,77
g6,3,93
f5,2,93
e7,3,56
f5,2,93
b3,1,49
b6,2,-Infinity
c4,3,79
b6,2,79
d4,3,55
b6,2,79
f4,3,57
b6,2,79
a5,3,43
b6,2,79
f5,3,55
b6,2,79
a6,3,37
b6,2,79
b7,3,15
b6,2,79
e7,3,58
b6,2,79
b3,1,49
b7,2,-Infinity
c4,3,85
b7,2,85
d4,3,83
b7,2,85
f5,3,83
b7,2,85
a6,3,65
b7,2,85
b6,3,49
b7,2,85
e7,3,92
b7,2,92
b3,1,49
root,0,49
a4,1,Infinity
g1,2,-Infinity
b3,3,25
g1,2,25
c4,3,49
g1,2,49
d4,3,45
g1,2,49
f4,3,47
g1,2,49
f5,3,53
g1,2,53
a6,3,27
g1,2,53
g6,3,61
g1,2,61
e7,3,48
g1,2,61
a4,1,61
a2,2,-Infinity
b3,3,105
a2,2,105
c4,3,137
a2,2,137
d4,3,133
a2,2,137
f4,3,135
a2,2,137
f5,3,141
a2,2,141
a6,3,115
a2,2,141
g6,3,149
a2,2,149
e7,3,136
a2,2,149
a4,1,61
g2,2,-Infinity
g1,3,55
g2,2,55
h2,3,27
g2,2,55
b3,3,93
g2,2,93
c3,3,112
g2,2,112
e3,3,109
g2,2,112
f3,3,104
g2,2,112
c4,3,119
g2,2,119
d4,3,115
g2,2,119
f4,3,123
g2,2,123
f5,3,129
g2,2,129
a6,3,103
g2,2,129
g6,3,137
g2,2,137
e7,3,124
g2,2,137
a4,1,61
a3,2,-Infinity
a2,3,59
a3,2,59
b3,3,89
a3,2,89
c4,3,121
a3,2,121
d4,3,117
a3,2,121
f4,3,119
a3,2,121
f5,3,125
a3,2,125
a6,3,99
a3,2,125
g6,3,133
a3,2,133
e7,3,120
a3,2,133
a4,1,61
b3,2,-Infinity
a2,3,55
b3,2,55
c4,3,133
b3,2,133
d4,3,129
b3,2,133
f4,3,131
b3,2,133
f5,3,137
b3,2,137
a6,3,111
b3,2,137
g6,3,145
b3,2,145
e7,3,132
b3,2,145
a4,1,61
c3,2,-Infinity
a2,3,44
c3,2,44
b3,3,90
c3,2,90
c4,3,122
c3,2,122
d4,3,118
c3,2,122
f4,3,120
c3,2,122
a5,3,122
c3,2,122
f5,3,126
c3,2,126
a6,3,100
c3,2,126
g6,3,134
c3,2,134
e7,3,121
c3,2,134
a4,1,61
e3,2,-Infinity
b3,3,51
e3,2,51
c3,3,70
e3,2,70
f3,3,76
e3,2,76
c4,3,83
e3,2,83
d4,3,81
e3,2,83
f4,3,81
e3,2,83
f5,3,87
e3,2,87
a6,3,61
e3,2,87
g6,3,95
e3,2,95
e7,3,90
e3,2,95
a4,1,61
f3,2,-Infinity
g2,3,58
f3,2,58
b3,3,50
f3,2,58
c4,3,82
f3,2,82
d4,3,78
f3,2,82
f4,3,94
f3,2,94
g4,3,79
f3,2,94
h4,3,66
f3,2,94
f5,3,86
f3,2,94
a6,3,60
f3,2,94
g6,3,94
f3,2,94
e7,3,73
f3,2,94
a4,1,61
f4,2,-Infinity
b3,3,51
f4,2,51
c4,3,83
f4,2,83
d4,3,79
f4,2,83
g4,3,74
f4,2,83
f5,3,87
f4,2,87
a6,3,61
f4,2,87
g6,3,95
f4,2,95
e7,3,68
f4,2,95
a4,1,61
h4,2,-Infinity
b3,3,49
h4,2,49
c4,3,81
h4,2,81
d4,3,77
h4,2,81
f4,3,79
h4,2,81
f5,3,85
h4,2,85
a6,3,59
h4,2,85
g6,3,93
h4,2,93
e7,3,66
h4,2,93
a4,1,61
a5,2,-Infinity
b3,3,55
a5,2,55
c4,3,81
a5,2,81
d4,3,77
a5,2,81
f4,3,79
a5,2,81
f5,3,77
a5,2,81
a6,3,71
a5,2,81
g6,3,93
a5,2,93
e7,3,80
a5,2,93
a4,1,61
f5,2,-Infinity
b3,3,45
f5,2,45
f3,3,70
f5,2,70
c4,3,77
f5,2,77
d4,3,73
f5,2,77
f4,3,89
f5,2,89
a6,3,55
f5,2,89
g6,3,89
f5,2,89
e7,3,68
f5,2,89
a4,1,61
b6,2,-Infinity
b3,3,51
b6,2,51
c4,3,91
b6,2,91
d4,3,73
b6,2,91
f4,3,75
b6,2,91
a5,3,61
b6,2,91
f5,3,73
b6,2,91
a6,3,55
b6,2,91
b7,3,53
b6,2,91
e7,3,76
b6,2,91
a4,1,61
b7,2,-Infinity
b3,3,67
b7,2,67
c4,3,91
b7,2,91
d4,3,95
b7,2,95
f5,3,103
b7,2,103
a6,3,77
b7,2,103
b6,3,73
b7,2,103
e7,3,104
b7,2,104
a4,1,61
root,0,61
c4,1,Infinity
g1,2,-Infinity
a3,3,57
