*X**X**O
*X*X*OX*
OXXX**XX
*XXX**OX
OXXXXX*O
O*OXX*XO
O*X*OXX*
XXO*X*OX
Node,Depth,Value
root,0,-Infinity
e2,1,Infinity
a1,2,-Infinity
c2,3,-60
a1,2,-60
e3,3,-74
a1,2,-60
a4,3,-60
a1,2,-60
e4,3,-68
a1,2,-60
f4,3,-80
a1,2,-60
d5,3,-62
a1,2,-60
g5,3,-87
a1,2,-60
b6,3,-68
a1,2,-60
f6,3,-63
a1,2,-60
d7,3,-65
a1,2,-60
h7,3,-58
a1,2,-58
d8,3,-56
a1,2,-56
f8,3,-92
a1,2,-56
e2,1,-56
c1,2,-Infinity
a1,3,78
c1,2,78
d1,3,49
c1,2,78
e3,3,31
c1,2,78
a4,3,45
c1,2,78
e4,3,37
c1,2,78
f4,3,25
c1,2,78
d5,3,43
c1,2,78
g5,3,18
c1,2,78
b6,3,37
c1,2,78
f6,3,42
c1,2,78
d7,3,40
c1,2,78
h7,3,47
c1,2,78
d8,3,49
c1,2,78
f8,3,13
c1,2,78
e2,1,-56
d1,2,-Infinity
c1,3,-1
d1,2,-1
c2,3,-31
d1,2,-1
e3,3,-9
d1,2,-1
a4,3,-3
d1,2,-1
e4,3,-11
d1,2,-1
f4,3,-23
d1,2,-1
d5,3,-5
d1,2,-1
g5,3,-30
d1,2,-1
b6,3,-11
d1,2,-1
f6,3,-6
d1,2,-1
d7,3,-8
d1,2,-1
h7,3,-1
d1,2,-1
d8,3,1
d1,2,1
f8,3,-35
d1,2,1
e2,1,-56
f1,2,-Infinity
g1,3,-15
f1,2,-15
e3,3,-17
f1,2,-15
a4,3,-5
f1,2,-5
e4,3,-13
f1,2,-5
f4,3,-25
f1,2,-5
d5,3,1
f1,2,1
g5,3,-32
f1,2,1
b6,3,-13
f1,2,1
f6,3,-8
f1,2,1
d7,3,-10
f1,2,1
h7,3,-3
f1,2,1
d8,3,-1
f1,2,1
f8,3,-37
f1,2,1
e2,1,-56
g1,2,-Infinity
f1,3,11
g1,2,11
h2,3,-5
g1,2,11
e3,3,55
g1,2,55
f3,3,50
g1,2,55
a4,3,69
g1,2,69
e4,3,61
g1,2,69
f4,3,49
g1,2,69
d5,3,67
g1,2,69
b6,3,61
g1,2,69
f6,3,66
g1,2,69
d7,3,64
g1,2,69
h7,3,71
g1,2,71
d8,3,73
g1,2,73
f8,3,37
g1,2,73
e2,1,-56
a2,2,-Infinity
e3,3,7
a2,2,7
a4,3,21
a2,2,21
e4,3,13
a2,2,21
f4,3,1
a2,2,21
d5,3,11
a2,2,21
g5,3,-6
a2,2,21
b6,3,13
a2,2,21
f6,3,18
a2,2,21
d7,3,16
a2,2,21
h7,3,23
a2,2,23
d8,3,25
a2,2,25
f8,3,-11
a2,2,25
e2,1,-56
c2,2,-Infinity
c1,3,-1
c2,2,-1
d1,3,-25
c2,2,-1
e3,3,-19
c2,2,-1
a4,3,-5
c2,2,-1
e4,3,-13
c2,2,-1
f4,3,-25
c2,2,-1
d5,3,-7
c2,2,-1
g5,3,-32
c2,2,-1
b6,3,-13
c2,2,-1
f6,3,6
c2,2,6
d7,3,-10
c2,2,6
h7,3,-3
c2,2,6
d8,3,-1
c2,2,6
f8,3,-37
c2,2,6
e2,1,-56
h2,2,-Infinity
e3,3,-29
h2,2,-29
a4,3,-15
h2,2,-15
e4,3,-23
h2,2,-15
f4,3,-29
h2,2,-15
d5,3,-17
h2,2,-15
g5,3,-42
h2,2,-15
b6,3,-23
h2,2,-15
f6,3,-18
h2,2,-15
d7,3,-20
h2,2,-15
d8,3,-11
h2,2,-11
f8,3,-47
h2,2,-11
e2,1,-56
e3,2,-Infinity
c2,3,-13
e3,2,-13
a4,3,-13
e3,2,-13
e4,3,-13
e3,2,-13
f4,3,-25
e3,2,-13
d5,3,-15
e3,2,-13
g5,3,-40
e3,2,-13
b6,3,-21
e3,2,-13
f6,3,-2
e3,2,-2
d7,3,-18
e3,2,-2
h7,3,-11
e3,2,-2
d8,3,-9
e3,2,-2
f8,3,-45
e3,2,-2
e2,1,-56
f3,2,-Infinity
f1,3,-12
f3,2,-12
g1,3,-28
f3,2,-12
h2,3,-28
f3,2,-12
e3,3,46
f3,2,46
a4,3,46
f3,2,46
e4,3,38
f3,2,46
f4,3,40
f3,2,46
d5,3,44
f3,2,46
g5,3,19
f3,2,46
b6,3,38
f3,2,46
f6,3,43
f3,2,46
d7,3,41
f3,2,46
h7,3,48
f3,2,48
d8,3,50
f3,2,50
f8,3,14
f3,2,50
e2,1,-56
a4,2,-Infinity
a2,3,25
a4,2,25
e3,3,-3
a4,2,25
e4,3,-5
a4,2,25
f4,3,-9
a4,2,25
d5,3,9
a4,2,25
g5,3,-16
a4,2,25
b6,3,-9
a4,2,25
f6,3,8
a4,2,25
d7,3,-8
a4,2,25
h7,3,13
a4,2,25
d8,3,15
a4,2,25
f8,3,-21
a4,2,25
e2,1,-56
d5,2,-Infinity
a4,3,3
d5,2,3
e4,3,-5
d5,2,3
f4,3,-17
d5,2,3
g5,3,-24
d5,2,3
b6,3,-11
d5,2,3
f6,3,0
d5,2,3
d7,3,-16
d5,2,3
h7,3,5
d5,2,5
d8,3,7
d5,2,7
f8,3,-29
d5,2,7
e2,1,-56
g5,2,-Infinity
e3,3,42
g5,2,42
a4,3,56
g5,2,56
e4,3,48
g5,2,56
f4,3,36
g5,2,56
d5,3,54
g5,2,56
b6,3,48
g5,2,56
f6,3,-1
g5,2,56
d7,3,53
g5,2,56
h7,3,10
g5,2,56
d8,3,60
g5,2,60
f8,3,24
g5,2,60
e2,1,-56
b6,2,-Infinity
a4,3,1
b6,2,1
e4,3,-7
b6,2,1
f4,3,-19
b6,2,1
d5,3,7
b6,2,7
g5,3,-26
b6,2,7
f6,3,-2
b6,2,7
b7,3,-49
b6,2,7
d7,3,-4
b6,2,7
h7,3,3
b6,2,7
d8,3,5
b6,2,7
f8,3,-31
b6,2,7
e2,1,-56
f6,2,-Infinity
e3,3,-8
f6,2,-8
a4,3,6
f6,2,6
e4,3,-2
f6,2,6
f4,3,-14
f6,2,6
d5,3,4
f6,2,6
g5,3,-29
f6,2,6
b6,3,-2
f6,2,6
