***O*O*X
OOO*OXXO
*OO*O*OO
OXOOOXOO
X*OXO*XO
XOOOXOX*
X**OO*O*
OOX*O*OX
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
b1,2,-Infinity
g1,3,-117
b1,2,-117
a3,3,-59
b1,2,-59
c3,3,-46
b1,2,-46
f5,3,-55
b1,2,-46
h6,3,-59
b1,2,-46
f7,3,-65
b1,2,-46
d8,3,-39
b1,2,-39
e1,1,-39
g1,2,-Infinity
a3,3,-107
g1,2,-107
c3,3,-94
g1,2,-94
d3,3,-113
g1,2,-94
f3,3,-118
g1,2,-94
b5,3,-118
g1,2,-94
f5,3,-111
g1,2,-94
h6,3,-117
g1,2,-94
f7,3,-113
g1,2,-94
d8,3,-95
g1,2,-94
e1,1,-94
d2,2,-Infinity
g1,3,-172
d2,2,-172
a3,3,-114
d2,2,-114
c3,3,-107
d2,2,-107
d3,3,-124
d2,2,-107
f3,3,-123
d2,2,-107
b5,3,-125
d2,2,-107
f5,3,-110
d2,2,-107
h6,3,-116
d2,2,-107
f7,3,-112
d2,2,-107
d8,3,-94
d2,2,-94
e1,1,-94
a3,2,-Infinity
g1,3,-201
a3,2,-201
c3,3,-130
a3,2,-130
b5,3,-154
a3,2,-130
f5,3,-139
a3,2,-130
h6,3,-143
a3,2,-130
f7,3,-141
a3,2,-130
d8,3,-123
a3,2,-123
e1,1,-123
c3,2,-Infinity
g1,3,-154
c3,2,-154
a3,3,-96
c3,2,-96
d3,3,-80
c3,2,-80
b5,3,-107
c3,2,-80
f5,3,-92
c3,2,-80
h6,3,-74
c3,2,-74
f7,3,-94
c3,2,-74
d8,3,-76
c3,2,-74
e1,1,-123
d3,2,-Infinity
g1,3,-185
d3,2,-185
d2,3,-124
d3,2,-124
a3,3,-127
d3,2,-124
c3,3,-106
d3,2,-106
b5,3,-122
d3,2,-106
f5,3,-123
d3,2,-106
h6,3,-127
d3,2,-106
f7,3,-125
d3,2,-106
d8,3,-107
d3,2,-106
e1,1,-123
f3,2,-Infinity
g1,3,-188
f3,2,-188
a3,3,-130
f3,2,-130
c3,3,-117
f3,2,-117
b5,3,-141
f3,2,-117
f5,3,-104
f3,2,-104
h6,3,-130
f3,2,-104
f7,3,-128
f3,2,-104
d8,3,-110
f3,2,-104
e1,1,-123
b5,2,-Infinity
g1,3,-186
b5,2,-186
a3,3,-120
b5,2,-120
c3,3,-107
b5,2,-107
f5,3,-124
b5,2,-107
h6,3,-128
b5,2,-107
f7,3,-126
b5,2,-107
d8,3,-108
b5,2,-107
e1,1,-123
f5,2,-Infinity
g1,3,-185
f5,2,-185
a3,3,-127
f5,2,-127
c3,3,-114
f5,2,-114
f3,3,-106
f5,2,-106
b5,3,-138
f5,2,-106
h6,3,-127
f5,2,-106
f7,3,-125
f5,2,-106
h7,3,-137
f5,2,-106
d8,3,-107
f5,2,-106
e1,1,-123
h6,2,-Infinity
g1,3,-213
h6,2,-213
a3,3,-155
h6,2,-155
c3,3,-142
h6,2,-142
b5,3,-166
h6,2,-142
f5,3,-145
h6,2,-142
f7,3,-145
h6,2,-142
d8,3,-135
h6,2,-135
e1,1,-135
b7,2,-Infinity
g1,3,-171
b7,2,-171
a3,3,-113
b7,2,-113
c3,3,-100
b7,2,-100
b5,3,-110
b7,2,-100
f5,3,-109
b7,2,-100
h6,3,-113
b7,2,-100
c7,3,-105
b7,2,-100
f7,3,-111
b7,2,-100
d8,3,-93
b7,2,-93
e1,1,-135
c7,2,-Infinity
g1,3,-199
c7,2,-199
a3,3,-125
c7,2,-125
b5,3,-138
c7,2,-125
f5,3,-137
c7,2,-125
h6,3,-141
c7,2,-125
b7,3,-161
c7,2,-125
f7,3,-139
c7,2,-125
d8,3,-121
c7,2,-121
e1,1,-135
d8,2,-Infinity
g1,3,-197
d8,2,-197
a3,3,-139
d8,2,-139
c3,3,-126
d8,2,-126
b5,3,-150
d8,2,-126
f5,3,-143
d8,2,-126
h6,3,-109
d8,2,-109
c7,3,-137
d8,2,-109
f7,3,-137
d8,2,-109
f8,3,-131
d8,2,-109
e1,1,-135
f8,2,-Infinity
g1,3,-183
f8,2,-183
c3,3,-104
f8,2,-104
b5,3,-128
f8,2,-104
f5,3,-121
f8,2,-104
h6,3,-125
f8,2,-104
c7,3,-123
f8,2,-104
f7,3,-129
f8,2,-104
d8,3,-111
f8,2,-104
e1,1,-135
root,0,-135
g1,1,Infinity
b1,2,-Infinity
a3,3,-121
b1,2,-121
c3,3,-108
b1,2,-108
f5,3,-117
b1,2,-108
h6,3,-121
b1,2,-108
f7,3,-127
b1,2,-108
d8,3,-101
b1,2,-101
g1,1,-101
e1,2,-Infinity
d2,3,-204
e1,2,-204
a3,3,-193
e1,2,-193
c3,3,-180
e1,2,-180
f3,3,-194
e1,2,-180
b5,3,-204
e1,2,-180
f5,3,-189
e1,2,-180
h6,3,-195
e1,2,-180
f7,3,-191
e1,2,-180
d8,3,-173
e1,2,-173
g1,1,-173
d2,2,-Infinity
a3,3,-190
d2,2,-190
c3,3,-177
d2,2,-177
d3,3,-194
d2,2,-177
b5,3,-201
d2,2,-177
f5,3,-186
d2,2,-177
h6,3,-192
d2,2,-177
f7,3,-188
d2,2,-177
d8,3,-170
d2,2,-170
g1,1,-173
a3,2,-Infinity
c3,3,-192
a3,2,-192
b5,3,-216
a3,2,-192
f5,3,-201
a3,2,-192
h6,3,-205
a3,2,-192
f7,3,-203
a3,2,-192
d8,3,-185
a3,2,-185
g1,1,-185
c3,2,-Infinity
a3,3,-158
c3,2,-158
d3,3,-142
c3,2,-142
b5,3,-169
c3,2,-142
f5,3,-154
c3,2,-142
h6,3,-136
c3,2,-136
f7,3,-156
c3,2,-136
d8,3,-138
c3,2,-136
g1,1,-185
d3,2,-Infinity
d2,3,-186
d3,2,-186
a3,3,-189
d3,2,-186
c3,3,-168
d3,2,-168
b5,3,-184
d3,2,-168
f5,3,-185
d3,2,-168
h6,3,-189
d3,2,-168
f7,3,-187
d3,2,-168
d8,3,-169
d3,2,-168
g1,1,-185
f3,2,-Infinity
a3,3,-144
f3,2,-144
c3,3,-131
f3,2,-131
b5,3,-155
f3,2,-131
f5,3,-118
f3,2,-118
h6,3,-144
f3,2,-118
f7,3,-142
f3,2,-118
d8,3,-124
f3,2,-118
g1,1,-185
b5,2,-Infinity
a3,3,-182
b5,2,-182
c3,3,-169
b5,2,-169
f5,3,-186
b5,2,-169
h6,3,-190
b5,2,-169
f7,3,-188
b5,2,-169
d8,3,-170
b5,2,-169
g1,1,-185
f5,2,-Infinity
a3,3,-189
f5,2,-189
c3,3,-176
f5,2,-176
f3,3,-168
f5,2,-168
b5,3,-200
f5,2,-168
h6,3,-189
f5,2,-168
f7,3,-187
f5,2,-168
h7,3,-199
f5,2,-168
d8,3,-169
f5,2,-168
g1,1,-185
h6,2,-Infinity
a3,3,-217
h6,2,-217
c3,3,-204
h6,2,-204
b5,3,-228
h6,2,-204
f5,3,-207
h6,2,-204
f7,3,-207
h6,2,-204
d8,3,-197
h6,2,-197
g1,1,-197
b7,2,-Infinity
a3,3,-175
b7,2,-175
c3,3,-162
b7,2,-162
b5,3,-172
b7,2,-162
f5,3,-171
b7,2,-162
h6,3,-175
b7,2,-162
c7,3,-167
b7,2,-162
f7,3,-173
b7,2,-162
d8,3,-155
b7,2,-155
g1,1,-197
c7,2,-Infinity
a3,3,-187
c7,2,-187
b5,3,-200
c7,2,-187
f5,3,-199
c7,2,-187
h6,3,-203
c7,2,-187
b7,3,-223
c7,2,-187
f7,3,-201
c7,2,-187
d8,3,-183
c7,2,-183
g1,1,-197
d8,2,-Infinity
a3,3,-201
d8,2,-201
c3,3,-188
d8,2,-188
b5,3,-212
d8,2,-188
f5,3,-205
d8,2,-188
h6,3,-171
d8,2,-171
c7,3,-199
d8,2,-171
f7,3,-199
d8,2,-171
f8,3,-193
d8,2,-171
g1,1,-197
f8,2,-Infinity
c3,3,-166
f8,2,-166
b5,3,-190
f8,2,-166
f5,3,-183
f8,2,-166
h6,3,-187
f8,2,-166
c7,3,-185
f8,2,-166
f7,3,-191
f8,2,-166
d8,3,-173
f8,2,-166
g1,1,-197
root,0,-135
a3,1,Infinity
a1,2,-Infinity
e1,3,-234
a1,2,-234
g1,3,-296
a1,2,-234
c3,3,-217
a1,2,-217
f3,3,-233
a1,2,-217
f5,3,-226
a1,2,-217
h6,3,-230
a1,2,-217
f7,3,-228
a1,2,-217
d8,3,-210
a1,2,-210
a3,1,-210
e1,2,-Infinity
g1,3,-185
e1,2,-185
d2,3,-194
e1,2,-185
c3,3,-114
e1,2,-114
d3,3,-131
e1,2,-114
f3,3,-136
e1,2,-114
f5,3,-123
e1,2,-114
h6,3,-129
e1,2,-114
f7,3,-125
e1,2,-114
d8,3,-107
e1,2,-107
a3,1,-210
d2,2,-Infinity
e1,3,-120
d2,2,-120
g1,3,-176
d2,2,-120
c3,3,-105
d2,2,-105
d3,3,-128
d2,2,-105
f3,3,-127
d2,2,-105
f5,3,-114
d2,2,-105
h6,3,-120
d2,2,-105
f7,3,-116
d2,2,-105
d8,3,-98
d2,2,-98
a3,1,-210
c3,2,-Infinity
e1,3,-90
c3,2,-90
g1,3,-152
c3,2,-90
d3,3,-70
c3,2,-70
f3,3,-89
c3,2,-70
b5,3,-97
c3,2,-70
f5,3,-82
c3,2,-70
h6,3,-64
c3,2,-64
f7,3,-84
c3,2,-64
d8,3,-66
c3,2,-64
a3,1,-210
d3,2,-Infinity
e1,3,-127
d3,2,-127
g1,3,-189
d3,2,-127
d2,3,-120
d3,2,-120
c3,3,-102
d3,2,-102
f3,3,-126
d3,2,-102
b5,3,-112
d3,2,-102
f5,3,-119
d3,2,-102
h6,3,-123
d3,2,-102
f7,3,-121
d3,2,-102
d8,3,-103
d3,2,-102
a3,1,-210
f3,2,-Infinity
e1,3,-130
f3,2,-130
g1,3,-192
f3,2,-130
c3,3,-113
f3,2,-113
f5,3,-108
f3,2,-108
h6,3,-126
f3,2,-108
f7,3,-124
f3,2,-108
d8,3,-106
f3,2,-106
a3,1,-210
b5,2,-Infinity
e1,3,-128
b5,2,-128
g1,3,-190
b5,2,-128
c3,3,-103
b5,2,-103
f3,3,-127
b5,2,-103
f5,3,-120
b5,2,-103
h6,3,-124
b5,2,-103
f7,3,-122
b5,2,-103
d8,3,-104
b5,2,-103
a3,1,-210
f5,2,-Infinity
e1,3,-127
f5,2,-127
g1,3,-189
f5,2,-127
c3,3,-110
f5,2,-110
f3,3,-110
f5,2,-110
h6,3,-123
f5,2,-110
f7,3,-121
f5,2,-110
h7,3,-133
f5,2,-110
d8,3,-103
f5,2,-103
a3,1,-210
h6,2,-Infinity
e1,3,-155
h6,2,-155
g1,3,-217
h6,2,-155
c3,3,-138
h6,2,-138
f3,3,-154
h6,2,-138
f5,3,-141
h6,2,-138
f7,3,-141
h6,2,-138
d8,3,-131
h6,2,-131
a3,1,-210
b7,2,-Infinity
e1,3,-113
b7,2,-113
g1,3,-175
b7,2,-113
c3,3,-96
b7,2,-96
f3,3,-112
b7,2,-96
b5,3,-100
b7,2,-96
f5,3,-105
b7,2,-96
h6,3,-109
b7,2,-96
c7,3,-101
b7,2,-96
f7,3,-107
b7,2,-96
d8,3,-89
b7,2,-89
a3,1,-210
c7,2,-Infinity
e1,3,-141
c7,2,-141
g1,3,-203
c7,2,-141
f3,3,-140
c7,2,-140
b5,3,-128
c7,2,-128
f5,3,-133
c7,2,-128
h6,3,-137
c7,2,-128
b7,3,-157
c7,2,-128
f7,3,-135
c7,2,-128
d8,3,-117
c7,2,-117
a3,1,-210
d8,2,-Infinity
e1,3,-139
d8,2,-139
g1,3,-201
d8,2,-139
c3,3,-122
d8,2,-122
f3,3,-138
d8,2,-122
f5,3,-139
d8,2,-122
h6,3,-105
d8,2,-105
c7,3,-133
d8,2,-105
f7,3,-133
d8,2,-105
f8,3,-127
d8,2,-105
a3,1,-210
f8,2,-Infinity
e1,3,-115
f8,2,-115
g1,3,-177
f8,2,-115
c3,3,-98
f8,2,-98
f3,3,-114
f8,2,-98
f5,3,-107
f8,2,-98
h6,3,-111
f8,2,-98
f7,3,-109
f8,2,-98
d8,3,-91
f8,2,-91
a3,1,-210
root,0,-135
c3,1,Infinity
a1,2,-Infinity
b1,3,-195
a1,2,-195
e1,3,-141
a1,2,-141
g1,3,-203
a1,2,-141
a3,3,-137
a1,2,-137
d3,3,-121
a1,2,-121
f3,3,-140
a1,2,-121
b5,3,-148
a1,2,-121
f5,3,-133
a1,2,-121
h6,3,-115
a1,2,-115
f7,3,-143
a1,2,-115
d8,3,-117
a1,2,-115
c3,1,-115
b1,2,-Infinity
a1,3,7
b1,2,7
e1,3,-46
b1,2,7
g1,3,-108
b1,2,7
a3,3,-50
b1,2,7
f3,3,-45
b1,2,7
f5,3,-38
b1,2,7
h6,3,-42
b1,2,7
f7,3,-48
b1,2,7
d8,3,-22
b1,2,7
c3,1,-115
e1,2,-Infinity
g1,3,-172
e1,2,-172
d2,3,-181
e1,2,-172
a3,3,-114
e1,2,-114
d3,3,-118
e1,2,-114
f3,3,-123
e1,2,-114
b5,3,-125
e1,2,-114
f5,3,-110
e1,2,-110
h6,3,-116
e1,2,-110
f7,3,-120
e1,2,-110
d8,3,-94
e1,2,-94
c3,1,-115
d2,2,-Infinity
e1,3,-121
d2,2,-121
g1,3,-177
d2,2,-121
a3,3,-119
d2,2,-119
d3,3,-115
d2,2,-115
f3,3,-128
d2,2,-115
b5,3,-130
d2,2,-115
f5,3,-115
d2,2,-115
h6,3,-121
d2,2,-115
f7,3,-125
d2,2,-115
d8,3,-99
d2,2,-99
c3,1,-115
a3,2,-Infinity
e1,3,-130
a3,2,-130
g1,3,-192
a3,2,-130
f3,3,-129
a3,2,-129
b5,3,-137
a3,2,-129
f5,3,-122
a3,2,-122
h6,3,-126
a3,2,-122
f7,3,-132
a3,2,-122
d8,3,-106
a3,2,-106
c3,1,-115
d3,2,-Infinity
e1,3,-114
d3,2,-114
g1,3,-176
d3,2,-114
d2,3,-107
d3,2,-107
a3,3,-110
d3,2,-107
f3,3,-113
d3,2,-107
b5,3,-121
d3,2,-107
f5,3,-106
d3,2,-106
h6,3,-110
d3,2,-106
f7,3,-116
d3,2,-106
d8,3,-90
d3,2,-90
c3,1,-115
f3,2,-Infinity
e1,3,-117
f3,2,-117
g1,3,-179
f3,2,-117
a3,3,-113
f3,2,-113
b5,3,-124
f3,2,-113
f5,3,-95
f3,2,-95
h6,3,-113
f3,2,-95
f7,3,-119
f3,2,-95
d8,3,-93
f3,2,-93
c3,1,-115
b5,2,-Infinity
e1,3,-115
b5,2,-115
g1,3,-177
b5,2,-115
a3,3,-103
b5,2,-103
f3,3,-114
b5,2,-103
f5,3,-107
b5,2,-103
h6,3,-111
b5,2,-103
f7,3,-117
b5,2,-103
d8,3,-91
b5,2,-91
c3,1,-115
f5,2,-Infinity
e1,3,-114
f5,2,-114
g1,3,-176
f5,2,-114
a3,3,-110
f5,2,-110
f3,3,-97
f5,2,-97
b5,3,-121
f5,2,-97
h6,3,-110
f5,2,-97
f7,3,-116
f5,2,-97
h7,3,-120
f5,2,-97
d8,3,-90
f5,2,-90
c3,1,-115
h6,2,-Infinity
e1,3,-142
h6,2,-142
g1,3,-204
h6,2,-142
a3,3,-138
h6,2,-138
f3,3,-141
h6,2,-138
b5,3,-149
h6,2,-138
f5,3,-128
h6,2,-128
f7,3,-136
h6,2,-128
d8,3,-118
h6,2,-118
c3,1,-118
b7,2,-Infinity
e1,3,-100
b7,2,-100
g1,3,-162
b7,2,-100
a3,3,-96
b7,2,-96
f3,3,-99
b7,2,-96
b5,3,-93
b7,2,-93
f5,3,-92
b7,2,-92
h6,3,-96
b7,2,-92
c7,3,-88
b7,2,-88
f7,3,-102
b7,2,-88
d8,3,-76
b7,2,-76
c3,1,-118
c7,2,-Infinity
e1,3,-106
c7,2,-106
g1,3,-168
c7,2,-106
a3,3,-102
c7,2,-102
f3,3,-105
c7,2,-102
b5,3,-113
c7,2,-102
f5,3,-98
c7,2,-98
h6,3,-102
c7,2,-98
b7,3,-136
c7,2,-98
f7,3,-108
c7,2,-98
