OX*X*XXO
XOX*XXXX
XXXXXX**
XO*O**O*
O***OX**
OOXXXXXO
***O**X*
***XX*XO
Node,Depth,Value
root,0,-Infinity
h3,1,Infinity
c1,2,-Infinity
a4,3,-291
c1,2,-291
c4,3,-309
c1,2,-291
e4,3,-305
c1,2,-291
f4,3,-301
c1,2,-291
c5,3,-301
c1,2,-291
d5,3,-305
c1,2,-291
c8,3,-303
c1,2,-291
h3,1,-291
e1,2,-Infinity
a4,3,-305
e1,2,-305
c4,3,-323
e1,2,-305
e4,3,-319
e1,2,-305
f4,3,-315
e1,2,-305
b5,3,-384
e1,2,-305
c5,3,-315
e1,2,-305
d5,3,-319
e1,2,-305
c8,3,-317
e1,2,-305
h3,1,-305
d2,2,-Infinity
c1,3,-322
d2,2,-322
a4,3,-318
d2,2,-318
c4,3,-320
d2,2,-318
e4,3,-324
d2,2,-318
f4,3,-320
d2,2,-318
b5,3,-389
d2,2,-318
c5,3,-320
d2,2,-318
d5,3,-322
d2,2,-318
c8,3,-322
d2,2,-318
h3,1,-318
g3,2,-Infinity
a4,3,-339
g3,2,-339
c4,3,-335
g3,2,-335
e4,3,-323
g3,2,-323
f4,3,-343
g3,2,-323
h4,3,-355
g3,2,-323
b5,3,-418
g3,2,-323
c5,3,-341
g3,2,-323
d5,3,-353
g3,2,-323
c8,3,-351
g3,2,-323
h3,1,-323
e4,2,-Infinity
g3,3,-317
e4,2,-317
a4,3,-265
e4,2,-265
c4,3,-283
e4,2,-265
f4,3,-261
e4,2,-261
b5,3,-344
e4,2,-261
c5,3,-275
e4,2,-261
d5,3,-279
e4,2,-261
c8,3,-277
e4,2,-261
h3,1,-323
h4,2,-Infinity
a4,3,-305
h4,2,-305
c4,3,-323
h4,2,-305
e4,3,-319
h4,2,-305
f4,3,-315
h4,2,-305
b5,3,-384
h4,2,-305
c5,3,-315
h4,2,-305
d5,3,-319
h4,2,-305
c8,3,-317
h4,2,-305
h3,1,-323
b5,2,-Infinity
a4,3,-308
b5,2,-308
c4,3,-328
b5,2,-308
e4,3,-324
b5,2,-308
f4,3,-320
b5,2,-308
c5,3,-320
b5,2,-308
d5,3,-324
b5,2,-308
b7,3,-424
b5,2,-308
c8,3,-322
b5,2,-308
h3,1,-323
d5,2,-Infinity
a4,3,-307
d5,2,-307
c4,3,-325
d5,2,-307
e4,3,-321
d5,2,-307
b5,3,-386
d5,2,-307
c5,3,-317
d5,2,-307
c8,3,-319
d5,2,-307
h3,1,-323
g5,2,-Infinity
a4,3,-304
g5,2,-304
c4,3,-322
g5,2,-304
e4,3,-310
g5,2,-304
f4,3,-306
g5,2,-304
h4,3,-318
g5,2,-304
b5,3,-383
g5,2,-304
c5,3,-314
g5,2,-304
d5,3,-318
g5,2,-304
c8,3,-316
g5,2,-304
h3,1,-323
c7,2,-Infinity
a4,3,-303
c7,2,-303
c4,3,-321
c7,2,-303
e4,3,-317
c7,2,-303
b5,3,-382
c7,2,-303
c5,3,-313
c7,2,-303
d5,3,-315
c7,2,-303
c8,3,-323
c7,2,-303
h3,1,-323
e7,2,-Infinity
a4,3,-304
e7,2,-304
c4,3,-322
e7,2,-304
e4,3,-316
e7,2,-304
f4,3,-314
e7,2,-304
b5,3,-383
e7,2,-304
c5,3,-314
e7,2,-304
d5,3,-318
e7,2,-304
c8,3,-308
e7,2,-304
f8,3,-316
e7,2,-304
h3,1,-323
f8,2,-Infinity
a4,3,-243
f8,2,-243
c4,3,-261
f8,2,-243
e4,3,-257
f8,2,-243
f4,3,-253
f8,2,-243
b5,3,-322
f8,2,-243
c5,3,-253
f8,2,-243
d5,3,-257
f8,2,-243
c8,3,-255
f8,2,-243
h3,1,-323
root,0,-323
a4,1,Infinity
c1,2,-Infinity
h3,3,-291
c1,2,-291
c4,3,-295
c1,2,-291
e4,3,-293
c1,2,-291
f4,3,-289
c1,2,-289
b5,3,-302
c1,2,-289
c5,3,-295
c1,2,-289
d5,3,-293
c1,2,-289
h5,3,-293
c1,2,-289
a7,3,-273
c1,2,-273
c8,3,-291
c1,2,-273
a4,1,-273
e1,2,-Infinity
c1,3,-347
e1,2,-347
h3,3,-305
e1,2,-305
c4,3,-309
e1,2,-305
e4,3,-307
e1,2,-305
f4,3,-303
e1,2,-303
b5,3,-316
e1,2,-303
c5,3,-309
e1,2,-303
d5,3,-307
e1,2,-303
h5,3,-307
e1,2,-303
a7,3,-287
e1,2,-287
c8,3,-305
e1,2,-287
a4,1,-287
d2,2,-Infinity
c1,3,-358
d2,2,-358
h3,3,-310
d2,2,-310
c4,3,-306
d2,2,-306
e4,3,-312
d2,2,-306
f4,3,-308
d2,2,-306
b5,3,-321
d2,2,-306
c5,3,-314
d2,2,-306
d5,3,-310
d2,2,-306
h5,3,-312
d2,2,-306
a7,3,-292
d2,2,-292
c8,3,-310
d2,2,-292
a4,1,-292
h3,2,-Infinity
c1,3,-333
h3,2,-333
c4,3,-295
h3,2,-295
e4,3,-293
h3,2,-293
f4,3,-289
h3,2,-289
b5,3,-302
h3,2,-289
c5,3,-295
h3,2,-289
d5,3,-293
h3,2,-289
h5,3,-293
h3,2,-289
a7,3,-273
h3,2,-273
c8,3,-291
h3,2,-273
a4,1,-292
e4,2,-Infinity
c1,3,-307
e4,2,-307
g3,3,-305
e4,2,-305
h3,3,-313
e4,2,-305
c4,3,-269
e4,2,-269
f4,3,-249
e4,2,-249
b5,3,-276
e4,2,-249
c5,3,-269
e4,2,-249
d5,3,-267
e4,2,-249
h5,3,-253
e4,2,-249
a7,3,-247
e4,2,-247
c8,3,-265
e4,2,-247
a4,1,-292
b5,2,-Infinity
c1,3,-352
b5,2,-352
h3,3,-310
b5,2,-310
c4,3,-314
b5,2,-310
e4,3,-312
b5,2,-310
f4,3,-308
b5,2,-308
c5,3,-314
b5,2,-308
d5,3,-312
b5,2,-308
h5,3,-312
b5,2,-308
a7,3,-292
b5,2,-292
b7,3,-356
b5,2,-292
c8,3,-310
b5,2,-292
a4,1,-292
d5,2,-Infinity
c1,3,-349
d5,2,-349
h3,3,-307
d5,2,-307
c4,3,-311
d5,2,-307
e4,3,-309
d5,2,-307
b5,3,-318
d5,2,-307
c5,3,-311
d5,2,-307
h5,3,-309
d5,2,-307
a7,3,-289
d5,2,-289
c8,3,-307
d5,2,-289
a4,1,-292
g5,2,-Infinity
c1,3,-346
g5,2,-346
g3,3,-322
g5,2,-322
h3,3,-296
g5,2,-296
c4,3,-308
g5,2,-296
e4,3,-298
g5,2,-296
f4,3,-294
g5,2,-294
h4,3,-306
g5,2,-294
b5,3,-315
g5,2,-294
c5,3,-308
g5,2,-294
d5,3,-306
g5,2,-294
h5,3,-306
g5,2,-294
a7,3,-286
g5,2,-286
c8,3,-304
g5,2,-286
a4,1,-292
c7,2,-Infinity
c1,3,-345
c7,2,-345
h3,3,-303
c7,2,-303
c4,3,-307
c7,2,-303
e4,3,-305
c7,2,-303
b5,3,-314
c7,2,-303
c5,3,-307
c7,2,-303
d5,3,-303
c7,2,-303
h5,3,-305
c7,2,-303
a7,3,-285
c7,2,-285
c8,3,-311
c7,2,-285
a4,1,-292
e7,2,-Infinity
c1,3,-346
e7,2,-346
h3,3,-304
e7,2,-304
c4,3,-308
e7,2,-304
e4,3,-304
e7,2,-304
f4,3,-302
e7,2,-302
b5,3,-315
e7,2,-302
c5,3,-308
e7,2,-302
d5,3,-306
e7,2,-302
h5,3,-306
e7,2,-302
a7,3,-286
e7,2,-286
c8,3,-296
e7,2,-286
f8,3,-304
e7,2,-286
a4,1,-292
f8,2,-Infinity
c1,3,-285
f8,2,-285
h3,3,-243
f8,2,-243
c4,3,-247
