O*OOO*OX
XOO**XOX
OOOOO**O
OXOO*X*O
XOXXXXO*
***X*X*O
*X*O*O*X
OX*XOXXX
Node,Depth,Value
root,0,-Infinity
e2,1,Infinity
b1,2,-Infinity
d3,3,77
b1,2,77
f3,3,104
b1,2,104
a6,3,87
b1,2,104
b6,3,71
b1,2,104
c6,3,34
b1,2,104
e6,3,71
b1,2,104
e7,3,88
b1,2,104
g7,3,57
b1,2,104
c8,3,71
b1,2,104
e2,1,104
f1,2,-Infinity
d3,3,29
f1,2,29
f3,3,48
f1,2,48
a6,3,31
f1,2,48
b6,3,15
f1,2,48
c6,3,-22
f1,2,48
e6,3,15
f1,2,48
e7,3,32
f1,2,48
g7,3,1
f1,2,48
c8,3,15
f1,2,48
e2,1,48
d2,2,-Infinity
b1,3,60
d2,2,60
f1,3,76
d2,2,76
d3,3,128
d2,2,128
f3,3,147
d2,2,147
g3,3,56
d2,2,147
e4,3,118
d2,2,147
a6,3,136
d2,2,147
b6,3,120
d2,2,147
c6,3,83
d2,2,147
e6,3,120
d2,2,147
e7,3,137
d2,2,147
g7,3,106
d2,2,147
c8,3,120
d2,2,147
e2,1,48
d3,2,-Infinity
d2,3,12
d3,2,12
f3,3,36
d3,2,36
e4,3,7
d3,2,36
a6,3,19
d3,2,36
b6,3,3
d3,2,36
c6,3,-34
d3,2,36
e6,3,3
d3,2,36
e7,3,20
d3,2,36
g7,3,3
d3,2,36
c8,3,3
d3,2,36
e2,1,36
f3,2,-Infinity
f1,3,4
f3,2,4
d3,3,62
f3,2,62
g3,3,6
f3,2,62
g4,3,55
f3,2,62
a6,3,64
f3,2,64
b6,3,48
f3,2,64
c6,3,11
f3,2,64
e6,3,48
f3,2,64
e7,3,65
f3,2,65
g7,3,34
f3,2,65
c8,3,48
f3,2,65
e2,1,36
e4,2,-Infinity
d3,3,29
e4,2,29
f3,3,32
e4,2,32
g4,3,2
e4,2,32
a6,3,15
e4,2,32
b6,3,-1
e4,2,32
c6,3,-16
e4,2,32
e6,3,7
e4,2,32
e7,3,16
e4,2,32
g7,3,-1
e4,2,32
c8,3,-1
e4,2,32
e2,1,32
h5,2,-Infinity
d3,3,-23
h5,2,-23
f3,3,-4
h5,2,-4
a6,3,-21
h5,2,-4
b6,3,-37
h5,2,-4
c6,3,-74
h5,2,-4
e6,3,-37
h5,2,-4
e7,3,-34
h5,2,-4
g7,3,-51
h5,2,-4
c8,3,-37
h5,2,-4
e2,1,-4
b6,2,-Infinity
d3,3,31
b6,2,31
f3,3,50
b6,2,50
a6,3,27
b6,2,50
c6,3,-26
b6,2,50
e6,3,17
b6,2,50
a7,3,5
b6,2,50
e7,3,34
b6,2,50
g7,3,3
b6,2,50
c8,3,17
b6,2,50
e2,1,-4
e6,2,-Infinity
d3,3,25
e6,2,25
g4,3,20
e6,2,25
a6,3,27
e6,2,27
b6,3,11
e6,2,27
c6,3,-26
e6,2,27
g6,3,-5
e6,2,27
e7,3,28
e6,2,28
g7,3,-3
e6,2,28
c8,3,11
e6,2,28
e2,1,-4
root,0,-4
d3,1,Infinity
b1,2,-Infinity
e2,3,85
b1,2,85
f3,3,133
b1,2,133
g3,3,84
b1,2,133
a6,3,116
b1,2,133
b6,3,100
b1,2,133
c6,3,63
b1,2,133
e6,3,100
b1,2,133
e7,3,117
b1,2,133
g7,3,86
b1,2,133
c8,3,100
b1,2,133
d3,1,133
f1,2,-Infinity
e2,3,29
f1,2,29
f3,3,77
f1,2,77
g3,3,28
f1,2,77
a6,3,60
f1,2,77
b6,3,44
f1,2,77
c6,3,7
f1,2,77
e6,3,44
f1,2,77
e7,3,61
f1,2,77
g7,3,30
f1,2,77
c8,3,44
f1,2,77
d3,1,77
d2,2,-Infinity
b1,3,5
d2,2,5
e2,3,58
d2,2,58
f3,3,128
d2,2,128
g3,3,49
d2,2,128
e4,3,61
d2,2,128
a6,3,81
d2,2,128
b6,3,65
d2,2,128
c6,3,28
d2,2,128
e6,3,65
d2,2,128
e7,3,82
d2,2,128
g7,3,17
d2,2,128
c8,3,65
d2,2,128
d3,1,77
f3,2,-Infinity
f1,3,69
f3,2,69
g3,3,27
f3,2,69
a6,3,93
f3,2,93
b6,3,77
f3,2,93
c6,3,40
f3,2,93
e6,3,77
f3,2,93
e7,3,94
f3,2,94
g7,3,63
f3,2,94
c8,3,77
f3,2,94
d3,1,77
e4,2,-Infinity
e2,3,13
e4,2,13
f3,3,61
e4,2,61
g3,3,12
e4,2,61
g4,3,31
e4,2,61
a6,3,44
e4,2,61
b6,3,28
e4,2,61
c6,3,-1
e4,2,61
e6,3,36
e4,2,61
g6,3,28
e4,2,61
e7,3,45
e4,2,61
g7,3,14
e4,2,61
c8,3,28
e4,2,61
d3,1,61
h5,2,-Infinity
e2,3,-23
h5,2,-23
f3,3,25
h5,2,25
g3,3,-24
h5,2,25
a6,3,8
h5,2,25
b6,3,-8
h5,2,25
c6,3,-45
h5,2,25
e6,3,-8
h5,2,25
e7,3,-5
h5,2,25
g7,3,-22
h5,2,25
c8,3,-8
h5,2,25
d3,1,25
b6,2,-Infinity
e2,3,31
b6,2,31
f3,3,79
b6,2,79
g3,3,30
b6,2,79
a6,3,56
b6,2,79
c6,3,3
b6,2,79
e6,3,46
b6,2,79
a7,3,34
b6,2,79
e7,3,63
b6,2,79
g7,3,32
b6,2,79
c8,3,46
b6,2,79
d3,1,25
e6,2,-Infinity
e2,3,25
e6,2,25
g3,3,24
e6,2,25
g4,3,49
e6,2,49
a6,3,56
e6,2,56
b6,3,40
e6,2,56
c6,3,3
e6,2,56
g6,3,24
e6,2,56
e7,3,57
e6,2,57
g7,3,26
e6,2,57
c8,3,40
e6,2,57
d3,1,25
root,0,25
f3,1,Infinity
b1,2,-Infinity
f1,3,115
b1,2,115
e2,3,104
b1,2,115
d3,3,125
b1,2,125
g3,3,103
b1,2,125
a6,3,135
b1,2,135
b6,3,119
b1,2,135
c6,3,82
b1,2,135
e6,3,119
b1,2,135
c7,3,119
b1,2,135
e7,3,122
b1,2,135
c8,3,119
b1,2,135
f3,1,135
f1,2,-Infinity
e2,3,48
f1,2,48
d3,3,77
f1,2,77
g3,3,47
f1,2,77
