XXOOOXXX
X*X*X*XO
XX*XOO*X
**O*O*XO
*OXOOXX*
**OXO**O
XOO*OXXO
O**XOX*O
Node,Depth,Value
root,0,-Infinity
f2,1,Infinity
c3,2,-Infinity
d2,3,-64
c3,2,-64
a4,3,-65
c3,2,-64
b4,3,-42
c3,2,-42
f4,3,-63
c3,2,-42
h5,3,-53
c3,2,-42
f6,3,-102
c3,2,-42
g6,3,-59
c3,2,-42
d7,3,-50
c3,2,-42
a8,3,-4
c3,2,-4
c8,3,-35
c3,2,-4
g8,3,-55
c3,2,-4
f2,1,-4
g3,2,-Infinity
d2,3,-19
g3,2,-19
c3,3,-11
g3,2,-11
a4,3,-20
g3,2,-11
b4,3,3
g3,2,3
d4,3,-2
g3,2,3
f4,3,-12
g3,2,3
h5,3,0
g3,2,3
f6,3,-57
g3,2,3
g6,3,-14
g3,2,3
d7,3,-5
g3,2,3
a8,3,41
g3,2,41
c8,3,10
g3,2,41
g8,3,-10
g3,2,41
f2,1,-4
d4,2,-Infinity
d2,3,-57
d4,2,-57
c3,3,-25
d4,2,-25
g3,3,-52
d4,2,-25
a4,3,-50
d4,2,-25
b4,3,-27
d4,2,-25
f4,3,-48
d4,2,-25
h5,3,-38
d4,2,-25
f6,3,-87
d4,2,-25
g6,3,-44
d4,2,-25
a8,3,11
d4,2,11
c8,3,-20
d4,2,11
g8,3,-40
d4,2,11
f2,1,-4
f4,2,-Infinity
d2,3,-67
f4,2,-67
c3,3,-43
f4,2,-43
g3,3,-32
f4,2,-32
a4,3,-60
f4,2,-32
b4,3,-37
f4,2,-32
h5,3,-40
f4,2,-32
f6,3,-97
f4,2,-32
g6,3,-54
f4,2,-32
d7,3,-45
f4,2,-32
a8,3,1
f4,2,1
c8,3,-30
f4,2,1
g8,3,-50
f4,2,1
f2,1,-4
a5,2,-Infinity
d2,3,-49
a5,2,-49
c3,3,-33
a5,2,-33
a4,3,-56
a5,2,-33
b4,3,-27
a5,2,-27
f4,3,-48
a5,2,-27
h5,3,-38
a5,2,-27
a6,3,-38
a5,2,-27
f6,3,-87
a5,2,-27
g6,3,-44
a5,2,-27
d7,3,-35
a5,2,-27
a8,3,11
a5,2,11
c8,3,-20
a5,2,11
g8,3,-40
a5,2,11
f2,1,-4
h5,2,-Infinity
d2,3,-67
h5,2,-67
c3,3,-51
h5,2,-51
a4,3,-68
h5,2,-51
b4,3,-45
h5,2,-45
f4,3,-60
h5,2,-45
f6,3,-99
h5,2,-45
g6,3,-62
h5,2,-45
d7,3,-53
h5,2,-45
a8,3,-7
h5,2,-7
c8,3,-38
h5,2,-7
g8,3,-58
h5,2,-7
f2,1,-7
a6,2,-Infinity
d2,3,-59
a6,2,-59
c3,3,-27
a6,2,-27
a4,3,-66
a6,2,-27
b4,3,-37
a6,2,-27
f4,3,-58
a6,2,-27
a5,3,-42
a6,2,-27
h5,3,-48
a6,2,-27
f6,3,-97
a6,2,-27
g6,3,-54
a6,2,-27
d7,3,-45
a6,2,-27
a8,3,1
a6,2,1
c8,3,-30
a6,2,1
g8,3,-50
a6,2,1
f2,1,-7
b6,2,-Infinity
d2,3,-51
b6,2,-51
c3,3,-35
b6,2,-35
a4,3,-52
b6,2,-35
b4,3,-29
b6,2,-29
f4,3,-50
b6,2,-29
h5,3,-40
b6,2,-29
a6,3,-20
b6,2,-20
f6,3,-89
b6,2,-20
g6,3,-46
b6,2,-20
d7,3,-23
b6,2,-20
a8,3,23
b6,2,23
b8,3,-106
b6,2,23
c8,3,-8
b6,2,23
g8,3,-42
b6,2,23
f2,1,-7
f6,2,-Infinity
d2,3,-58
f6,2,-58
c3,3,-42
f6,2,-42
a4,3,-59
f6,2,-42
f4,3,-57
f6,2,-42
h5,3,-47
f6,2,-42
g6,3,-23
f6,2,-23
d7,3,-106
f6,2,-23
a8,3,2
f6,2,2
c8,3,-29
f6,2,2
g8,3,-41
f6,2,2
f2,1,-7
d7,2,-Infinity
d2,3,-40
d7,2,-40
c3,3,-24
d7,2,-24
a4,3,-41
d7,2,-24
f4,3,-39
d7,2,-24
h5,3,-29
d7,2,-24
f6,3,-62
d7,2,-24
g6,3,-35
d7,2,-24
a8,3,20
d7,2,20
b8,3,-39
d7,2,20
c8,3,-19
d7,2,20
g8,3,-23
d7,2,20
f2,1,-7
b8,2,-Infinity
d2,3,-33
b8,2,-33
c3,3,-17
b8,2,-17
a4,3,-34
b8,2,-17
b4,3,-11
b8,2,-11
f4,3,-32
b8,2,-11
h5,3,-22
b8,2,-11
f6,3,-71
b8,2,-11
g6,3,-28
b8,2,-11
d7,3,-19
b8,2,-11
a8,3,27
b8,2,27
c8,3,-12
b8,2,27
g8,3,-24
b8,2,27
f2,1,-7
c8,2,-Infinity
d2,3,-63
c8,2,-63
c3,3,-47
c8,2,-47
a4,3,-64
c8,2,-47
b4,3,-41
c8,2,-41
f4,3,-62
c8,2,-41
h5,3,-52
c8,2,-41
b6,3,-36
c8,2,-36
f6,3,-101
c8,2,-36
g6,3,-58
c8,2,-36
d7,3,-35
c8,2,-35
a8,3,11
c8,2,11
b8,3,-34
c8,2,11
g8,3,-54
c8,2,11
f2,1,-7
root,0,-7
c3,1,Infinity
g3,2,-Infinity
f2,3,-81
g3,2,-81
a4,3,-23
g3,2,-23
b4,3,-8
g3,2,-8
f4,3,-37
g3,2,-8
h5,3,-11
g3,2,-8
f6,3,-68
g3,2,-8
g6,3,-25
g3,2,-8
d7,3,-16
g3,2,-8
a8,3,30
g3,2,30
c8,3,-1
g3,2,30
g8,3,-21
g3,2,30
c3,1,30
d4,2,-Infinity
f2,3,-33
d4,2,-33
a4,3,17
d4,2,17
b4,3,32
d4,2,32
f4,3,11
d4,2,32
h5,3,21
d4,2,32
b6,3,23
d4,2,32
f6,3,-28
d4,2,32
g6,3,15
d4,2,32
d7,3,24
d4,2,32
a8,3,70
d4,2,70
c8,3,39
d4,2,70
g8,3,19
d4,2,70
c3,1,30
f4,2,-Infinity
f2,3,-37
f4,2,-37
g3,3,27
f4,2,27
a4,3,13
f4,2,27
b4,3,28
f4,2,28
h5,3,17
f4,2,28
f6,3,-16
f4,2,28
g6,3,11
f4,2,28
d7,3,20
f4,2,28
a8,3,66
f4,2,66
c8,3,35
f4,2,66
g8,3,15
f4,2,66
c3,1,30
a5,2,-Infinity
f2,3,-33
a5,2,-33
a4,3,11
a5,2,11
b4,3,32
a5,2,32
f4,3,11
a5,2,32
h5,3,21
a5,2,32
a6,3,21
a5,2,32
f6,3,-28
a5,2,32
g6,3,15
a5,2,32
d7,3,24
a5,2,32
a8,3,70
a5,2,70
c8,3,39
a5,2,70
g8,3,19
a5,2,70
c3,1,30
h5,2,-Infinity
f2,3,-51
h5,2,-51
a4,3,-1
h5,2,-1
b4,3,14
h5,2,14
f4,3,-1
h5,2,14
f6,3,-40
h5,2,14
g6,3,-3
h5,2,14
d7,3,6
h5,2,14
a8,3,52
h5,2,52
c8,3,21
h5,2,52
g8,3,1
h5,2,52
c3,1,30
a6,2,-Infinity
f2,3,-51
a6,2,-51
a4,3,-7
a6,2,-7
b4,3,14
a6,2,14
f4,3,-7
a6,2,14
a5,3,9
a6,2,14
h5,3,3
a6,2,14
f6,3,-46
a6,2,14
g6,3,-3
a6,2,14
d7,3,6
a6,2,14
a8,3,52
a6,2,52
c8,3,21
a6,2,52
g8,3,1
a6,2,52
c3,1,30
b6,2,-Infinity
f2,3,-35
b6,2,-35
a4,3,15
b6,2,15
b4,3,30
b6,2,30
f4,3,9
b6,2,30
h5,3,19
b6,2,30
a6,3,39
b6,2,39
f6,3,-30
b6,2,39
g6,3,13
b6,2,39
d7,3,36
b6,2,39
a8,3,82
b6,2,82
b8,3,-47
b6,2,82
c8,3,51
b6,2,82
g8,3,17
b6,2,82
c3,1,30
f6,2,-Infinity
f2,3,-42
f6,2,-42
a4,3,8
f6,2,8
f4,3,2
f6,2,8
h5,3,12
f6,2,12
g6,3,36
f6,2,36
d7,3,-47
f6,2,36
a8,3,61
f6,2,61
c8,3,30
f6,2,61
g8,3,18
f6,2,61
c3,1,30
d7,2,-Infinity
f2,3,-24
d7,2,-24
a4,3,26
d7,2,26
f4,3,20
d7,2,26
h5,3,30
d7,2,30
f6,3,-3
d7,2,30
g6,3,24
d7,2,30
a8,3,79
d7,2,79
b8,3,20
d7,2,79
c8,3,40
d7,2,79
g8,3,36
d7,2,79
c3,1,30
b8,2,-Infinity
f2,3,-17
b8,2,-17
a4,3,33
b8,2,33
b4,3,48
b8,2,48
f4,3,27
b8,2,48
h5,3,37
b8,2,48
f6,3,-12
b8,2,48
g6,3,31
b8,2,48
d7,3,40
b8,2,48
a8,3,86
b8,2,86
c8,3,47
b8,2,86
g8,3,35
b8,2,86
c3,1,30
c8,2,-Infinity
f2,3,-47
c8,2,-47
a4,3,3
c8,2,3
b4,3,18
c8,2,18
f4,3,-3
c8,2,18
h5,3,7
c8,2,18
b6,3,23
c8,2,23
f6,3,-42
c8,2,23
g6,3,1
c8,2,23
d7,3,24
c8,2,24
a8,3,70
c8,2,70
b8,3,25
c8,2,70
g8,3,5
c8,2,70
c3,1,30
root,0,30
a4,1,Infinity
c3,2,-Infinity
f2,3,-57
c3,2,-57
b4,3,8
c3,2,8
f4,3,-13
c3,2,8
h5,3,-3
c3,2,8
f6,3,-52
c3,2,8
g6,3,-9
c3,2,8
d7,3,0
c3,2,8
a8,3,46
c3,2,46
c8,3,15
c3,2,46
g8,3,-5
c3,2,46
a4,1,46
g3,2,-Infinity
f2,3,-76
g3,2,-76
b4,3,-3
g3,2,-3
f4,3,-32
g3,2,-3
h5,3,-6
g3,2,-3
f6,3,-63
g3,2,-3
g6,3,-20
g3,2,-3
d7,3,-11
g3,2,-3
a8,3,35
g3,2,35
c8,3,4
g3,2,35
g8,3,-16
g3,2,35
a4,1,35
d4,2,-Infinity
f2,3,-50
d4,2,-50
c3,3,17
d4,2,17
b4,3,15
d4,2,17
f4,3,-6
d4,2,17
h5,3,4
d4,2,17
b6,3,6
d4,2,17
f6,3,-45
d4,2,17
g6,3,-2
d4,2,17
a8,3,53
d4,2,53
c8,3,22
d4,2,53
g8,3,2
d4,2,53
a4,1,35
f4,2,-Infinity
f2,3,-54
f4,2,-54
c3,3,13
f4,2,13
g3,3,10
f4,2,13
b4,3,11
f4,2,13
h5,3,0
f4,2,13
f6,3,-33
f4,2,13
g6,3,-6
f4,2,13
d7,3,3
f4,2,13
a8,3,49
f4,2,49
c8,3,18
f4,2,49
g8,3,-2
f4,2,49
a4,1,35
a5,2,-Infinity
f2,3,-62
a5,2,-62
c3,3,5
a5,2,5
b4,3,3
a5,2,5
f4,3,-18
a5,2,5
h5,3,-8
a5,2,5
a6,3,-8
a5,2,5
f6,3,-57
a5,2,5
g6,3,-14
a5,2,5
d7,3,-5
a5,2,5
a8,3,41
a5,2,41
c8,3,10
a5,2,41
g8,3,-10
a5,2,41
a4,1,35
h5,2,-Infinity
f2,3,-68
h5,2,-68
c3,3,-1
h5,2,-1
b4,3,-3
h5,2,-1
f4,3,-18
h5,2,-1
f6,3,-57
h5,2,-1
g6,3,-20
h5,2,-1
d7,3,-11
h5,2,-1
a8,3,35
h5,2,35
c8,3,4
h5,2,35
g8,3,-16
h5,2,35
a4,1,35
a6,2,-Infinity
f2,3,-60
a6,2,-60
c3,3,23
a6,2,23
b4,3,5
a6,2,23
f4,3,-16
a6,2,23
a5,3,0
a6,2,23
h5,3,-6
a6,2,23
f6,3,-55
a6,2,23
g6,3,-12
a6,2,23
d7,3,-3
a6,2,23
a8,3,43
a6,2,43
c8,3,12
a6,2,43
g8,3,-8
a6,2,43
a4,1,35
b6,2,-Infinity
f2,3,-52
