**OOXXXO
X*O*XO*X
XXXXX**X
*OXXXOO*
XOOX**OO
XOX***O*
*XXOOXOX
XOX****X
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
a1,2,-Infinity
g2,3,-7
a1,2,-7
f3,3,40
a1,2,40
a4,3,19
a1,2,40
e4,3,33
a1,2,40
e5,3,27
a1,2,40
f5,3,15
a1,2,40
d6,3,31
a1,2,40
e6,3,23
a1,2,40
f6,3,-16
a1,2,40
a7,3,17
a1,2,40
e8,3,25
a1,2,40
b1,1,40
b2,2,-Infinity
a1,3,231
b2,2,231
g2,3,148
b2,2,231
f3,3,187
b2,2,231
g3,3,168
b2,2,231
a4,3,166
b2,2,231
e4,3,188
b2,2,231
e5,3,182
b2,2,231
f5,3,170
b2,2,231
d6,3,186
b2,2,231
e6,3,178
b2,2,231
f6,3,139
b2,2,231
a7,3,172
b2,2,231
e8,3,180
b2,2,231
b1,1,40
d2,2,-Infinity
g2,3,91
d2,2,91
f3,3,158
d2,2,158
g3,3,123
d2,2,158
a4,3,129
d2,2,158
e4,3,145
d2,2,158
e5,3,137
d2,2,158
f5,3,125
d2,2,158
d6,3,143
d2,2,158
e6,3,133
d2,2,158
f6,3,94
d2,2,158
h6,3,147
d2,2,158
a7,3,127
d2,2,158
e8,3,135
d2,2,158
b1,1,40
e4,2,-Infinity
g2,3,108
e4,2,108
f3,3,147
e4,2,147
g3,3,128
e4,2,147
a4,3,140
e4,2,147
e5,3,150
e4,2,150
f5,3,130
e4,2,150
d6,3,146
e4,2,150
e6,3,146
e4,2,150
f6,3,99
e4,2,150
a7,3,132
e4,2,150
e8,3,140
e4,2,150
b1,1,40
h4,2,-Infinity
g2,3,110
h4,2,110
f3,3,149
h4,2,149
g3,3,130
h4,2,149
a4,3,136
h4,2,149
e4,3,150
h4,2,150
e5,3,144
h4,2,150
f5,3,138
h4,2,150
d6,3,148
h4,2,150
e6,3,140
h4,2,150
f6,3,101
h4,2,150
a7,3,134
h4,2,150
e8,3,142
h4,2,150
b1,1,40
d6,2,-Infinity
g2,3,106
d6,2,106
f3,3,145
d6,2,145
g3,3,126
d6,2,145
a4,3,138
d6,2,145
e4,3,160
d6,2,160
e5,3,140
d6,2,160
f5,3,128
d6,2,160
e6,3,150
d6,2,160
f6,3,97
d6,2,160
a7,3,130
d6,2,160
d8,3,130
d6,2,160
f8,3,150
d6,2,160
b1,1,40
a7,2,-Infinity
g2,3,180
a7,2,180
f3,3,219
a7,2,219
g3,3,200
a7,2,219
a4,3,206
a7,2,219
e4,3,220
a7,2,220
e5,3,214
a7,2,220
f5,3,202
a7,2,220
d6,3,218
a7,2,220
e6,3,210
a7,2,220
f6,3,171
a7,2,220
d8,3,202
a7,2,220
e8,3,212
a7,2,220
b1,1,40
d8,2,-Infinity
g2,3,102
d8,2,102
f3,3,141
d8,2,141
g3,3,122
d8,2,141
a4,3,128
d8,2,141
e4,3,142
d8,2,142
e5,3,136
d8,2,142
f5,3,124
d8,2,142
d6,3,140
d8,2,142
e6,3,138
d8,2,142
f6,3,93
d8,2,142
a7,3,126
d8,2,142
e8,3,146
d8,2,146
b1,1,40
e8,2,-Infinity
g2,3,118
e8,2,118
f3,3,157
e8,2,157
g3,3,138
e8,2,157
a4,3,144
e8,2,157
e4,3,158
e8,2,158
e5,3,152
e8,2,158
f5,3,140
e8,2,158
d6,3,156
e8,2,158
e6,3,148
e8,2,158
f6,3,109
e8,2,158
a7,3,142
e8,2,158
b1,1,40
root,0,40
g2,1,Infinity
b2,2,-Infinity
a1,3,187
