OXXXOOOO
X***OXO*
XOOOOOOX
O*O*OXX*
**OO*OOX
O*****OX
*XO*X**O
OXX***O*
Node,Depth,Value
root,0,-Infinity
c2,1,Infinity
d2,2,-Infinity
d4,3,284
d2,2,284
h4,3,320
d2,2,320
e5,3,292
d2,2,320
c6,3,243
d2,2,320
a7,3,228
d2,2,320
d8,3,290
d2,2,320
c2,1,320
h2,2,-Infinity
h4,3,367
h2,2,367
c6,3,306
h2,2,367
a7,3,291
h2,2,367
d8,3,353
h2,2,367
c2,1,320
c4,2,-Infinity
h4,3,317
c4,2,317
b5,3,286
c4,2,317
e5,3,289
c4,2,317
c6,3,240
c4,2,317
a7,3,225
c4,2,317
d8,3,287
c4,2,317
c2,1,317
d4,2,-Infinity
d2,3,288
d4,2,288
h4,3,309
d4,2,309
e5,3,291
d4,2,309
c6,3,234
d4,2,309
a7,3,219
d4,2,309
d8,3,281
d4,2,309
c2,1,309
h4,2,-Infinity
h2,3,333
h4,2,333
c6,3,244
h4,2,333
a7,3,229
h4,2,333
d8,3,291
h4,2,333
c2,1,309
a5,2,-Infinity
h4,3,301
a5,2,301
e5,3,273
a5,2,301
c6,3,224
a5,2,301
a7,3,209
a5,2,301
d8,3,271
a5,2,301
c2,1,301
e5,2,-Infinity
h4,3,317
e5,2,317
c6,3,240
e5,2,317
d6,3,293
e5,2,317
e6,3,285
e5,2,317
f6,3,304
e5,2,317
a7,3,225
e5,2,317
d8,3,287
e5,2,317
c2,1,301
c6,2,-Infinity
h4,3,320
c6,2,320
e5,3,292
c6,2,320
d8,3,290
c6,2,320
c2,1,301
d6,2,-Infinity
h4,3,323
d6,2,323
e5,3,295
d6,2,323
c6,3,246
d6,2,323
d7,3,292
d6,2,323
d8,3,293
d6,2,323
f8,3,297
d6,2,323
c2,1,301
e6,2,-Infinity
h4,3,307
e6,2,307
e5,3,287
e6,2,307
c6,3,230
e6,2,307
f6,3,294
e6,2,307
a7,3,215
e6,2,307
f7,3,275
e6,2,307
d8,3,277
e6,2,307
c2,1,301
f6,2,-Infinity
h4,3,312
f6,2,312
e5,3,292
f6,2,312
c6,3,235
f6,2,312
a7,3,220
f6,2,312
f7,3,302
f6,2,312
g7,3,244
f6,2,312
d8,3,290
f6,2,312
c2,1,301
d7,2,-Infinity
h4,3,330
d7,2,330
e5,3,302
d7,2,330
c6,3,253
d7,2,330
d8,3,300
d7,2,330
c2,1,301
f7,2,-Infinity
h4,3,331
f7,2,331
e5,3,303
f7,2,331
c6,3,254
f7,2,331
e6,3,291
f7,2,331
a7,3,239
f7,2,331
g7,3,263
f7,2,331
d8,3,301
f7,2,331
c2,1,301
g7,2,-Infinity
h4,3,357
g7,2,357
e5,3,329
g7,2,357
c6,3,280
g7,2,357
a7,3,265
g7,2,357
f7,3,269
g7,2,357
d8,3,327
g7,2,357
c2,1,301
h8,2,-Infinity
h4,3,208
h8,2,208
e5,3,208
h8,2,208
c6,3,159
h8,2,208
a7,3,144
h8,2,208
d8,3,206
h8,2,208
c2,1,208
root,0,208
c4,1,Infinity
d2,2,-Infinity
c2,3,268
d2,2,268
d4,3,292
d2,2,292
h4,3,328
d2,2,328
e5,3,300
d2,2,328
c6,3,251
d2,2,328
a7,3,236
d2,2,328
d8,3,298
d2,2,328
c4,1,328
h2,2,-Infinity
h4,3,375
h2,2,375
c6,3,314
h2,2,375
a7,3,299
h2,2,375
d8,3,361
h2,2,375
c4,1,328
d4,2,-Infinity
d2,3,296
d4,2,296
h4,3,319
d4,2,319
e5,3,299
d4,2,319
c6,3,242
d4,2,319
a7,3,227
d4,2,319
d8,3,289
d4,2,319
c4,1,319
h4,2,-Infinity
h2,3,341
h4,2,341
c6,3,252
h4,2,341
a7,3,237
h4,2,341
d8,3,299
h4,2,341
c4,1,319
a5,2,-Infinity
h4,3,309
a5,2,309
e5,3,281
a5,2,309
c6,3,232
a5,2,309
a7,3,217
a5,2,309
d8,3,279
a5,2,309
c4,1,309
e5,2,-Infinity
h4,3,325
e5,2,325
c6,3,248
e5,2,325
d6,3,301
e5,2,325
e6,3,293
e5,2,325
f6,3,312
e5,2,325
a7,3,233
e5,2,325
d8,3,295
e5,2,325
c4,1,309
c6,2,-Infinity
h4,3,328
c6,2,328
e5,3,300
c6,2,328
d8,3,298
c6,2,328
c4,1,309
d6,2,-Infinity
h4,3,331
d6,2,331
e5,3,303
d6,2,331
c6,3,254
d6,2,331
d7,3,300
d6,2,331
d8,3,301
d6,2,331
f8,3,305
d6,2,331
c4,1,309
e6,2,-Infinity
c2,3,267
e6,2,267
h4,3,315
e6,2,315
b5,3,284
e6,2,315
e5,3,295
e6,2,315
c6,3,238
e6,2,315
f6,3,302
e6,2,315
a7,3,223
e6,2,315
d8,3,285
e6,2,315
c4,1,309
f6,2,-Infinity
h4,3,320
f6,2,320
e5,3,300
f6,2,320
c6,3,243
f6,2,320
a7,3,228
f6,2,320
f7,3,310
f6,2,320
g7,3,252
f6,2,320
d8,3,298
f6,2,320
c4,1,309
d7,2,-Infinity
h4,3,338
d7,2,338
e5,3,310
d7,2,338
c6,3,261
d7,2,338
d8,3,308
d7,2,338
c4,1,309
f7,2,-Infinity
h4,3,339
f7,2,339
e5,3,311
f7,2,339
c6,3,262
f7,2,339
e6,3,299
f7,2,339
a7,3,247
f7,2,339
g7,3,271
f7,2,339
d8,3,309
f7,2,339
c4,1,309
g7,2,-Infinity
h4,3,365
g7,2,365
e5,3,337
g7,2,365
c6,3,288
g7,2,365
a7,3,273
g7,2,365
f7,3,277
g7,2,365
d8,3,335
g7,2,365
c4,1,309
h8,2,-Infinity
h4,3,216
h8,2,216
e5,3,216
h8,2,216
c6,3,167
h8,2,216
a7,3,152
h8,2,216
d8,3,214
h8,2,216
c4,1,216
root,0,216
h4,1,Infinity
d2,2,-Infinity
c2,3,308
d2,2,308
h2,3,332
d2,2,332
c4,3,330
d2,2,332
c6,3,283
d2,2,332
a7,3,268
d2,2,332
d8,3,330
d2,2,332
h4,1,332
h2,2,-Infinity
c2,3,375
h2,2,375
c4,3,383
h2,2,383
c6,3,330
h2,2,383
a7,3,315
h2,2,383
d8,3,377
h2,2,383
h4,1,332
c4,2,-Infinity
c2,3,315
c4,2,315
h2,3,327
c4,2,327
b5,3,332
c4,2,332
c6,3,278
c4,2,332
a7,3,263
c4,2,332
d8,3,325
c4,2,332
h4,1,332
d4,2,-Infinity
c2,3,311
d4,2,311
d2,3,320
d4,2,320
h2,3,315
d4,2,320
c4,3,319
d4,2,320
e5,3,307
d4,2,320
c6,3,266
d4,2,320
a7,3,251
d4,2,320
d8,3,313
d4,2,320
h4,1,320
a5,2,-Infinity
c2,3,301
a5,2,301
h2,3,305
a5,2,305
c4,3,309
a5,2,309
c6,3,256
a5,2,309
a7,3,241
a5,2,309
d8,3,303
a5,2,309
h4,1,309
c6,2,-Infinity
c2,3,320
c6,2,320
h2,3,324
c6,2,324
c4,3,328
c6,2,328
d8,3,322
c6,2,328
h4,1,309
d6,2,-Infinity
c2,3,323
d6,2,323
h2,3,327
d6,2,327
c4,3,331
d6,2,331
c6,3,278
d6,2,331
d7,3,324
d6,2,331
d8,3,325
d6,2,331
f8,3,329
d6,2,331
h4,1,309
e6,2,-Infinity
c2,3,313
e6,2,313
h2,3,317
e6,2,317
c4,3,321
e6,2,321
e5,3,317
e6,2,321
c6,3,268
e6,2,321
f6,3,324
e6,2,324
a7,3,253
e6,2,324
f7,3,313
e6,2,324
d8,3,315
e6,2,324
h4,1,309
f6,2,-Infinity
c2,3,282
f6,2,282
h2,3,286
f6,2,286
c4,3,290
f6,2,290
e5,3,294
f6,2,294
c6,3,237
f6,2,294
e6,3,304
f6,2,304
a7,3,222
f6,2,304
f7,3,310
f6,2,310
d8,3,292
f6,2,310
h4,1,309
d7,2,-Infinity
c2,3,330
d7,2,330
h2,3,334
d7,2,334
c4,3,338
d7,2,338
c6,3,285
d7,2,338
d8,3,332
d7,2,338
h4,1,309
h8,2,-Infinity
c2,3,196
h8,2,196
c4,3,204
h8,2,204
c6,3,151
h8,2,204
a7,3,136
h8,2,204
d8,3,198
h8,2,204
h4,1,204
root,0,216
e5,1,Infinity
d2,2,-Infinity
c2,3,270
d2,2,270
c4,3,292
d2,2,292
d4,3,286
d2,2,292
h4,3,322
d2,2,322
c6,3,245
d2,2,322
a7,3,230
d2,2,322
d8,3,292
d2,2,322
e5,1,322
h2,2,-Infinity
c2,3,347
h2,2,347
c4,3,355
h2,2,355
h4,3,371
h2,2,371
c6,3,302
h2,2,371
a7,3,287
h2,2,371
d8,3,349
h2,2,371
e5,1,322
c4,2,-Infinity
c2,3,287
c4,2,287
h4,3,319
c4,2,319
b5,3,304
c4,2,319
c6,3,250
c4,2,319
a7,3,235
c4,2,319
d8,3,297
c4,2,319
e5,1,319
d4,2,-Infinity
c2,3,275
d4,2,275
d2,3,292
d4,2,292
c4,3,283
d4,2,292
h4,3,305
d4,2,305
c6,3,230
d4,2,305
a7,3,215
d4,2,305
d8,3,277
d4,2,305
e5,1,305
h4,2,-Infinity
c2,3,293
h4,2,293
h2,3,329
h4,2,329
c4,3,301
h4,2,329
c6,3,248
h4,2,329
a7,3,233
h4,2,329
d8,3,295
h4,2,329
e5,1,305
a5,2,-Infinity
c2,3,273
a5,2,273
c4,3,281
a5,2,281
h4,3,297
a5,2,297
c6,3,228
a5,2,297
a7,3,213
a5,2,297
d8,3,275
a5,2,297
e5,1,297
b5,2,-Infinity
c2,3,284
b5,2,284
c4,3,286
b5,2,286
h4,3,308
b5,2,308
c6,3,233
b5,2,308
d6,3,284
b5,2,308
e6,3,284
b5,2,308
f6,3,295
b5,2,308
a7,3,224
b5,2,308
d8,3,286
b5,2,308
e5,1,297
c6,2,-Infinity
c2,3,292
c6,2,292
c4,3,300
c6,2,300
h4,3,316
c6,2,316
d8,3,294
c6,2,316
e5,1,297
d6,2,-Infinity
c2,3,295
d6,2,295
c4,3,303
d6,2,303
h4,3,319
d6,2,319
c6,3,250
d6,2,319
d7,3,296
d6,2,319
d8,3,297
d6,2,319
f8,3,301
d6,2,319
e5,1,297
e6,2,-Infinity
c2,3,279
e6,2,279
c4,3,287
e6,2,287
h4,3,303
e6,2,303
c6,3,234
e6,2,303
f6,3,290
e6,2,303
a7,3,219
e6,2,303
f7,3,279
e6,2,303
d8,3,281
e6,2,303
e8,3,283
e6,2,303
e5,1,297
f6,2,-Infinity
c2,3,262
f6,2,262
c4,3,270
f6,2,270
h4,3,294
f6,2,294
c6,3,217
f6,2,294
a7,3,202
f6,2,294
f7,3,290
f6,2,294
g7,3,240
f6,2,294
d8,3,272
f6,2,294
e5,1,294
d7,2,-Infinity
c2,3,302
d7,2,302
c4,3,310
d7,2,310
h4,3,326
d7,2,326
c6,3,257
d7,2,326
d8,3,304
d7,2,326
e5,1,294
f7,2,-Infinity
c2,3,303
f7,2,303
c4,3,311
f7,2,311
h4,3,327
f7,2,327
c6,3,258
f7,2,327
e6,3,295
f7,2,327
a7,3,243
f7,2,327
g7,3,267
f7,2,327
d8,3,305
f7,2,327
e5,1,294
g7,2,-Infinity
c2,3,329
g7,2,329
c4,3,337
g7,2,337
h4,3,353
g7,2,353
c6,3,284
g7,2,353
a7,3,269
g7,2,353
f7,3,273
g7,2,353
d8,3,331
g7,2,353
e5,1,294
h8,2,-Infinity
c2,3,208
h8,2,208
c4,3,216
h8,2,216
h4,3,204
h8,2,216
c6,3,163
h8,2,216
a7,3,148
h8,2,216
d8,3,210
h8,2,216
e5,1,216
root,0,216
c6,1,Infinity
d2,2,-Infinity
c2,3,223
d2,2,223
c4,3,245
d2,2,245
d4,3,239
d2,2,245
h4,3,275
d2,2,275
e5,3,247
d2,2,275
d8,3,245
d2,2,275
c6,1,275
h2,2,-Infinity
c2,3,306
h2,2,306
c4,3,314
h2,2,314
h4,3,322
h2,2,322
d8,3,308
h2,2,322
c6,1,275
c4,2,-Infinity
c2,3,224
c4,2,224
h4,3,264
c4,2,264
b5,3,249
c4,2,264
e5,3,236
c4,2,264
d7,3,217
c4,2,264
d8,3,234
c4,2,264
c6,1,264
d4,2,-Infinity
c2,3,234
d4,2,234
d2,3,251
d4,2,251
c4,3,242
d4,2,251
h4,3,264
d4,2,264
e5,3,246
d4,2,264
d8,3,236
d4,2,264
c6,1,264
h4,2,-Infinity
c2,3,244
h4,2,244
h2,3,288
h4,2,288
c4,3,252
h4,2,288
d8,3,246
h4,2,288
c6,1,264
a5,2,-Infinity
c2,3,224
a5,2,224
c4,3,232
a5,2,232
h4,3,256
a5,2,256
e5,3,228
a5,2,256
d8,3,226
a5,2,256
c6,1,256
e5,2,-Infinity
c2,3,240
e5,2,240
c4,3,248
e5,2,248
h4,3,272
e5,2,272
d6,3,248
e5,2,272
e6,3,240
e5,2,272
f6,3,259
e5,2,272
d8,3,242
e5,2,272
c6,1,256
b6,2,-Infinity
c2,3,294
b6,2,294
c4,3,302
b6,2,302
