O*OXX**X
OOO*OOOO
*XOOXXO*
OOOO*OXX
OOXXXXOO
**O*OO*O
O*X*O**O
XOOXX*O*
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
b1,2,-Infinity
f1,3,-109
b1,2,-109
d2,3,-136
b1,2,-109
a3,3,-141
b1,2,-109
h3,3,-119
b1,2,-109
e4,3,-119
b1,2,-109
b6,3,-137
b1,2,-109
d6,3,-137
b1,2,-109
f8,3,-109
b1,2,-109
a1,1,-109
f1,2,-Infinity
g1,3,-149
f1,2,-149
d2,3,-176
f1,2,-149
a3,3,-181
f1,2,-149
h3,3,-159
f1,2,-149
e4,3,-159
f1,2,-149
b6,3,-177
f1,2,-149
d6,3,-177
f1,2,-149
f8,3,-149
f1,2,-149
a1,1,-149
g1,2,-Infinity
f1,3,-71
g1,2,-71
d2,3,-104
g1,2,-71
a3,3,-109
g1,2,-71
h3,3,-73
g1,2,-71
e4,3,-101
g1,2,-71
b6,3,-105
g1,2,-71
d6,3,-105
g1,2,-71
f8,3,-77
g1,2,-71
a1,1,-149
d2,2,-Infinity
f1,3,-154
d2,2,-154
a3,3,-186
d2,2,-154
h3,3,-164
d2,2,-154
e4,3,-156
d2,2,-154
b6,3,-174
d2,2,-154
d6,3,-182
d2,2,-154
f8,3,-154
d2,2,-154
a1,1,-154
a3,2,-Infinity
f1,3,-151
a3,2,-151
d2,3,-178
a3,2,-151
h3,3,-161
a3,2,-151
e4,3,-161
a3,2,-151
b6,3,-179
a3,2,-151
d6,3,-187
a3,2,-151
f8,3,-151
a3,2,-151
a1,1,-154
h3,2,-Infinity
f1,3,-133
h3,2,-133
d2,3,-160
h3,2,-133
a3,3,-165
h3,2,-133
e4,3,-143
h3,2,-133
b6,3,-161
h3,2,-133
d6,3,-161
h3,2,-133
f8,3,-133
h3,2,-133
a1,1,-154
e4,2,-Infinity
f1,3,-157
e4,2,-157
d2,3,-176
e4,2,-157
a3,3,-189
e4,2,-157
h3,3,-167
e4,2,-157
b6,3,-185
e4,2,-157
d6,3,-177
e4,2,-157
g6,3,-185
e4,2,-157
f8,3,-157
e4,2,-157
a1,1,-157
a6,2,-Infinity
f1,3,-141
a6,2,-141
d2,3,-168
a6,2,-141
a3,3,-173
a6,2,-141
h3,3,-151
a6,2,-141
e4,3,-151
a6,2,-141
b6,3,-169
a6,2,-141
d6,3,-169
a6,2,-141
f8,3,-141
a6,2,-141
a1,1,-157
b6,2,-Infinity
f1,3,-133
b6,2,-133
d2,3,-160
b6,2,-133
a3,3,-165
b6,2,-133
h3,3,-143
b6,2,-133
e4,3,-143
b6,2,-133
a6,3,-171
b6,2,-133
d6,3,-169
b6,2,-133
b7,3,-217
b6,2,-133
f8,3,-133
b6,2,-133
a1,1,-157
g6,2,-Infinity
f1,3,-139
g6,2,-139
d2,3,-166
g6,2,-139
a3,3,-171
g6,2,-139
h3,3,-149
g6,2,-139
e4,3,-149
g6,2,-139
b6,3,-167
g6,2,-139
d6,3,-167
g6,2,-139
f7,3,-183
g6,2,-139
g7,3,-215
g6,2,-139
f8,3,-139
g6,2,-139
a1,1,-157
b7,2,-Infinity
f1,3,-139
b7,2,-139
d2,3,-166
b7,2,-139
a3,3,-171
b7,2,-139
h3,3,-149
b7,2,-139
e4,3,-149
b7,2,-139
a6,3,-211
b7,2,-139
b6,3,-215
b7,2,-139
d6,3,-167
b7,2,-139
d7,3,-216
b7,2,-139
f8,3,-139
b7,2,-139
a1,1,-157
d7,2,-Infinity
f1,3,-154
d7,2,-154
d2,3,-181
d7,2,-154
a3,3,-186
d7,2,-154
h3,3,-162
d7,2,-154
e4,3,-156
d7,2,-154
b6,3,-182
d7,2,-154
d6,3,-174
d7,2,-154
b7,3,-224
d7,2,-154
f7,3,-182
d7,2,-154
f8,3,-154
d7,2,-154
a1,1,-157
f7,2,-Infinity
f1,3,-167
f7,2,-167
d2,3,-194
f7,2,-167
a3,3,-199
f7,2,-167
h3,3,-179
f7,2,-167
e4,3,-169
f7,2,-167
b6,3,-195
f7,2,-167
d6,3,-195
f7,2,-167
g7,3,-217
f7,2,-167
f8,3,-153
f7,2,-153
a1,1,-157
g7,2,-Infinity
f1,3,-139
g7,2,-139
d2,3,-166
g7,2,-139
a3,3,-171
g7,2,-139
h3,3,-149
g7,2,-139
e4,3,-149
g7,2,-139
b6,3,-167
g7,2,-139
d6,3,-167
g7,2,-139
g6,3,-209
g7,2,-139
f7,3,-201
g7,2,-139
f8,3,-187
g7,2,-139
h8,3,-106
g7,2,-106
a1,1,-157
h8,2,-Infinity
f1,3,-260
h8,2,-260
d2,3,-287
h8,2,-260
a3,3,-292
h8,2,-260
h3,3,-282
h8,2,-260
e4,3,-270
h8,2,-260
b6,3,-288
h8,2,-260
d6,3,-288
h8,2,-260
f8,3,-260
h8,2,-260
a1,1,-260
root,0,-260
b1,1,Infinity
a1,2,-Infinity
d2,3,-342
a1,2,-342
h3,3,-339
a1,2,-339
e4,3,-339
a1,2,-339
b6,3,-357
a1,2,-339
d6,3,-357
a1,2,-339
f8,3,-329
a1,2,-329
b1,1,-329
f1,2,-Infinity
g1,3,-278
f1,2,-278
d2,3,-291
f1,2,-278
h3,3,-288
f1,2,-278
e4,3,-288
f1,2,-278
b6,3,-306
f1,2,-278
d6,3,-306
f1,2,-278
f8,3,-278
f1,2,-278
b1,1,-329
g1,2,-Infinity
f1,3,-200
g1,2,-200
d2,3,-219
g1,2,-200
h3,3,-202
g1,2,-200
e4,3,-230
g1,2,-200
b6,3,-234
g1,2,-200
d6,3,-234
g1,2,-200
f8,3,-206
g1,2,-200
b1,1,-329
d2,2,-Infinity
f1,3,-283
d2,2,-283
h3,3,-293
d2,2,-283
e4,3,-285
d2,2,-283
b6,3,-303
d2,2,-283
d6,3,-311
d2,2,-283
f8,3,-283
d2,2,-283
b1,1,-329
a3,2,-Infinity
f1,3,-272
a3,2,-272
d2,3,-291
a3,2,-272
h3,3,-282
a3,2,-272
e4,3,-282
a3,2,-272
b6,3,-300
a3,2,-272
d6,3,-308
a3,2,-272
f8,3,-272
a3,2,-272
b1,1,-329
h3,2,-Infinity
f1,3,-262
h3,2,-262
d2,3,-275
h3,2,-262
e4,3,-272
h3,2,-262
b6,3,-290
h3,2,-262
d6,3,-290
h3,2,-262
f8,3,-262
h3,2,-262
b1,1,-329
e4,2,-Infinity
f1,3,-286
e4,2,-286
d2,3,-291
e4,2,-286
h3,3,-296
e4,2,-286
b6,3,-314
e4,2,-286
d6,3,-306
e4,2,-286
g6,3,-314
e4,2,-286
f8,3,-286
e4,2,-286
b1,1,-329
a6,2,-Infinity
f1,3,-270
a6,2,-270
d2,3,-283
a6,2,-270
h3,3,-280
a6,2,-270
e4,3,-280
a6,2,-270
b6,3,-298
a6,2,-270
d6,3,-298
a6,2,-270
f8,3,-270
a6,2,-270
b1,1,-329
g6,2,-Infinity
f1,3,-268
g6,2,-268
d2,3,-281
g6,2,-268
h3,3,-278
g6,2,-268
e4,3,-278
g6,2,-268
b6,3,-296
g6,2,-268
d6,3,-296
g6,2,-268
f7,3,-312
g6,2,-268
g7,3,-344
g6,2,-268
f8,3,-268
g6,2,-268
b1,1,-329
b7,2,-Infinity
f1,3,-268
b7,2,-268
d2,3,-281
b7,2,-268
h3,3,-278
b7,2,-268
e4,3,-278
b7,2,-268
a6,3,-340
b7,2,-268
b6,3,-344
b7,2,-268
d6,3,-296
b7,2,-268
d7,3,-345
b7,2,-268
f8,3,-268
b7,2,-268
b1,1,-329
d7,2,-Infinity
f1,3,-283
d7,2,-283
d2,3,-296
d7,2,-283
h3,3,-291
d7,2,-283
e4,3,-285
d7,2,-283
b6,3,-311
d7,2,-283
d6,3,-303
d7,2,-283
b7,3,-353
d7,2,-283
f7,3,-311
d7,2,-283
f8,3,-283
d7,2,-283
b1,1,-329
f7,2,-Infinity
f1,3,-296
f7,2,-296
d2,3,-309
f7,2,-296
h3,3,-308
f7,2,-296
e4,3,-298
f7,2,-296
b6,3,-324
f7,2,-296
d6,3,-324
f7,2,-296
g7,3,-346
f7,2,-296
f8,3,-282
f7,2,-282
b1,1,-329
g7,2,-Infinity
f1,3,-268
g7,2,-268
d2,3,-281
g7,2,-268
h3,3,-278
g7,2,-268
e4,3,-278
g7,2,-268
b6,3,-296
g7,2,-268
d6,3,-296
g7,2,-268
g6,3,-338
g7,2,-268
f7,3,-330
g7,2,-268
f8,3,-316
g7,2,-268
h8,3,-235
g7,2,-235
b1,1,-329
h8,2,-Infinity
f1,3,-389
h8,2,-389
d2,3,-402
h8,2,-389
h3,3,-411
h8,2,-389
e4,3,-399
h8,2,-389
b6,3,-417
h8,2,-389
d6,3,-417
h8,2,-389
f8,3,-389
h8,2,-389
b1,1,-389
root,0,-260
f1,1,Infinity
g1,2,-Infinity
a1,3,-77
g1,2,-77
b1,3,-206
g1,2,-77
d2,3,-123
g1,2,-77
a3,3,-176
g1,2,-77
h3,3,-154
g1,2,-77
e4,3,-134
g1,2,-77
b6,3,-138
g1,2,-77
d6,3,-138
g1,2,-77
f8,3,-110
g1,2,-77
f1,1,-77
d2,2,-Infinity
a1,3,-146
d2,2,-146
b1,3,-275
d2,2,-146
a3,3,-215
d2,2,-146
h3,3,-189
d2,2,-146
e4,3,-189
d2,2,-146
b6,3,-199
d2,2,-146
d6,3,-205
d2,2,-146
f8,3,-179
d2,2,-146
f1,1,-146
a3,2,-Infinity
a1,3,-151
a3,2,-151
b1,3,-286
a3,2,-151
d2,3,-203
a3,2,-151
h3,3,-194
a3,2,-151
e4,3,-194
a3,2,-151
b6,3,-212
a3,2,-151
d6,3,-220
a3,2,-151
f8,3,-184
a3,2,-151
f1,1,-151
h3,2,-Infinity
a1,3,-133
h3,2,-133
b1,3,-262
h3,2,-133
d2,3,-179
h3,2,-133
a3,3,-232
h3,2,-133
e4,3,-176
h3,2,-133
b6,3,-194
h3,2,-133
d6,3,-194
h3,2,-133
f8,3,-166
h3,2,-133
f1,1,-151
e4,2,-Infinity
a1,3,-157
e4,2,-157
b1,3,-286
e4,2,-157
d2,3,-195
e4,2,-157
a3,3,-256
e4,2,-157
h3,3,-200
e4,2,-157
b6,3,-218
e4,2,-157
d6,3,-210
e4,2,-157
g6,3,-218
e4,2,-157
f8,3,-190
e4,2,-157
f1,1,-157
a6,2,-Infinity
a1,3,-141
a6,2,-141
b1,3,-270
a6,2,-141
d2,3,-187
a6,2,-141
a3,3,-240
a6,2,-141
h3,3,-184
a6,2,-141
e4,3,-184
a6,2,-141
b6,3,-202
a6,2,-141
d6,3,-202
a6,2,-141
f8,3,-174
a6,2,-141
f1,1,-157
b6,2,-Infinity
a1,3,-133
b6,2,-133
d2,3,-185
b6,2,-133
a3,3,-232
b6,2,-133
h3,3,-176
b6,2,-133
e4,3,-176
b6,2,-133
a6,3,-204
b6,2,-133
d6,3,-202
b6,2,-133
f8,3,-166
b6,2,-133
f1,1,-157
g6,2,-Infinity
a1,3,-139
g6,2,-139
b1,3,-268
g6,2,-139
d2,3,-185
g6,2,-139
a3,3,-238
g6,2,-139
h3,3,-182
g6,2,-139
e4,3,-182
g6,2,-139
b6,3,-200
g6,2,-139
d6,3,-200
g6,2,-139
f7,3,-216
g6,2,-139
g7,3,-248
g6,2,-139
f8,3,-172
g6,2,-139
f1,1,-157
b7,2,-Infinity
a1,3,-139
b7,2,-139
b1,3,-268
b7,2,-139
d2,3,-185
b7,2,-139
a3,3,-238
b7,2,-139
h3,3,-182
b7,2,-139
e4,3,-182
b7,2,-139
a6,3,-244
b7,2,-139
b6,3,-248
b7,2,-139
d6,3,-200
b7,2,-139
d7,3,-249
b7,2,-139
f8,3,-172
b7,2,-139
f1,1,-157
d7,2,-Infinity
a1,3,-154
d7,2,-154
b1,3,-283
d7,2,-154
d2,3,-200
d7,2,-154
a3,3,-253
d7,2,-154
h3,3,-195
d7,2,-154
e4,3,-189
d7,2,-154
b6,3,-215
d7,2,-154
d6,3,-207
d7,2,-154
b7,3,-257
d7,2,-154
f7,3,-215
d7,2,-154
f8,3,-187
d7,2,-154
f1,1,-157
f7,2,-Infinity
a1,3,-167
f7,2,-167
b1,3,-296
f7,2,-167
d2,3,-213
f7,2,-167
a3,3,-266
f7,2,-167
h3,3,-212
f7,2,-167
e4,3,-202
f7,2,-167
b6,3,-228
f7,2,-167
d6,3,-228
f7,2,-167
g7,3,-250
f7,2,-167
f8,3,-186
f7,2,-167
f1,1,-167
g7,2,-Infinity
a1,3,-139
g7,2,-139
b1,3,-268
g7,2,-139
d2,3,-185
g7,2,-139
a3,3,-238
g7,2,-139
h3,3,-182
g7,2,-139
e4,3,-182
g7,2,-139
b6,3,-200
g7,2,-139
d6,3,-200
g7,2,-139
g6,3,-242
g7,2,-139
f7,3,-234
g7,2,-139
f8,3,-220
g7,2,-139
h8,3,-139
g7,2,-139
f1,1,-167
h8,2,-Infinity
a1,3,-260
h8,2,-260
b1,3,-389
h8,2,-260
d2,3,-306
h8,2,-260
a3,3,-359
h8,2,-260
h3,3,-315
h8,2,-260
e4,3,-303
h8,2,-260
b6,3,-321
h8,2,-260
d6,3,-321
h8,2,-260
f8,3,-293
h8,2,-260
