OOOO**XO
*XO*OOXO
O*OOOOO*
XXO*OOOX
X*OOOOXO
OO**O*X*
X*XO*OXX
**XO**O*
Node,Depth,Value
root,0,-Infinity
f1,1,Infinity
e1,2,-Infinity
b3,3,259
e1,2,259
d3,3,315
e1,2,315
h3,3,283
e1,2,315
h6,3,321
e1,2,321
b7,3,287
e1,2,321
a8,3,402
e1,2,402
b8,3,327
e1,2,402
f1,1,402
a2,2,-Infinity
b3,3,241
a2,2,241
d3,3,297
a2,2,297
h3,3,273
a2,2,297
h6,3,303
a2,2,303
b7,3,269
a2,2,303
a8,3,384
a2,2,384
b8,3,309
a2,2,384
f1,1,384
d2,2,-Infinity
e1,3,296
d2,2,296
a2,3,164
d2,2,296
b3,3,236
d2,2,296
d3,3,288
d2,2,296
h3,3,268
d2,2,296
d4,3,262
d2,2,296
h6,3,308
d2,2,308
b7,3,264
d2,2,308
a8,3,379
d2,2,379
b8,3,304
d2,2,379
f1,1,379
d3,2,-Infinity
b3,3,237
d3,2,237
h3,3,269
d3,2,269
d4,3,297
d3,2,297
f6,3,312
d3,2,312
h6,3,299
d3,2,312
b7,3,265
d3,2,312
a8,3,380
d3,2,380
b8,3,305
d3,2,380
f1,1,379
h3,2,-Infinity
b3,3,237
h3,2,237
d3,3,293
h3,2,293
d6,3,295
h3,2,295
f6,3,312
h3,2,312
h6,3,299
h3,2,312
e7,3,302
h3,2,312
a8,3,380
h3,2,380
b8,3,305
h3,2,380
f1,1,379
d4,2,-Infinity
b3,3,233
d4,2,233
d3,3,281
d4,2,281
h3,3,251
d4,2,281
b5,3,290
d4,2,290
c6,3,306
d4,2,306
d6,3,291
d4,2,306
h6,3,295
d4,2,306
b7,3,253
d4,2,306
a8,3,368
d4,2,368
b8,3,293
d4,2,368
f1,1,368
b5,2,-Infinity
b3,3,224
b5,2,224
d3,3,292
b5,2,292
h3,3,268
b5,2,292
d4,3,304
b5,2,304
c6,3,311
b5,2,311
d6,3,302
b5,2,311
f6,3,311
b5,2,311
h6,3,298
b5,2,311
b7,3,264
b5,2,311
a8,3,379
b5,2,379
b8,3,304
b5,2,379
f1,1,368
c6,2,-Infinity
b3,3,206
c6,2,206
d3,3,254
c6,2,254
h3,3,230
c6,2,254
d4,3,232
c6,2,254
b5,3,277
c6,2,277
d6,3,278
c6,2,278
h6,3,260
c6,2,278
b7,3,206
c6,2,278
a8,3,341
c6,2,341
b8,3,266
c6,2,341
f1,1,341
d6,2,-Infinity
b3,3,237
d6,2,237
d3,3,293
d6,2,293
h3,3,269
d6,2,293
d4,3,305
d6,2,305
b5,3,302
d6,2,305
c6,3,320
d6,2,320
h6,3,299
d6,2,320
b7,3,265
d6,2,320
e7,3,304
d6,2,320
a8,3,380
d6,2,380
b8,3,305
d6,2,380
f1,1,341
h6,2,-Infinity
b3,3,229
h6,2,229
d3,3,285
h6,2,285
h3,3,249
h6,2,285
b7,3,257
h6,2,285
a8,3,372
h6,2,372
b8,3,297
h6,2,372
f1,1,341
e7,2,-Infinity
b3,3,266
e7,2,266
d3,3,322
e7,2,322
h3,3,298
e7,2,322
d6,3,324
e7,2,324
f6,3,327
e7,2,327
h6,3,328
e7,2,328
a8,3,409
e7,2,409
b8,3,334
e7,2,409
e8,3,310
e7,2,409
f1,1,341
e8,2,-Infinity
b3,3,239
e8,2,239
d3,3,295
e8,2,295
h3,3,271
e8,2,295
h6,3,301
e8,2,301
b7,3,267
e8,2,301
a8,3,382
e8,2,382
f1,1,341
root,0,341
b3,1,Infinity
e1,2,-Infinity
f1,3,263
e1,2,263
h3,3,279
e1,2,279
b5,3,258
e1,2,279
h6,3,269
e1,2,279
b7,3,235
e1,2,279
a8,3,350
e1,2,350
b8,3,275
e1,2,350
b3,1,350
a2,2,-Infinity
f1,3,241
a2,2,241
h3,3,269
a2,2,269
b5,3,240
a2,2,269
h6,3,251
a2,2,269
b7,3,217
a2,2,269
a8,3,332
a2,2,332
b8,3,257
a2,2,332
b3,1,332
d2,2,-Infinity
e1,3,244
d2,2,244
f1,3,228
d2,2,244
d3,3,264
d2,2,264
h3,3,264
d2,2,264
d4,3,258
d2,2,264
b5,3,235
d2,2,264
h6,3,256
d2,2,264
b7,3,212
d2,2,264
a8,3,327
d2,2,327
b8,3,252
d2,2,327
b3,1,327
d3,2,-Infinity
f1,3,237
d3,2,237
h3,3,265
d3,2,265
d4,3,245
d3,2,265
b5,3,236
d3,2,265
f6,3,260
d3,2,265
h6,3,247
d3,2,265
b7,3,213
d3,2,265
a8,3,328
d3,2,328
b8,3,253
d3,2,328
b3,1,327
h3,2,-Infinity
f1,3,237
h3,2,237
b5,3,236
h3,2,237
d6,3,243
h3,2,243
f6,3,260
h3,2,260
h6,3,247
h3,2,260
e7,3,250
h3,2,260
a8,3,328
h3,2,328
b8,3,253
h3,2,328
b3,1,327
d4,2,-Infinity
e1,3,245
d4,2,245
f1,3,231
d4,2,245
d3,3,259
d4,2,259
h3,3,261
d4,2,261
b5,3,246
d4,2,261
c6,3,262
d4,2,262
d6,3,253
d4,2,262
b7,3,215
d4,2,262
a8,3,330
d4,2,330
b8,3,255
d4,2,330
b3,1,327
b5,2,-Infinity
f1,3,236
b5,2,236
h3,3,264
b5,2,264
d4,3,252
b5,2,264
c6,3,259
b5,2,264
d6,3,250
b5,2,264
f6,3,259
b5,2,264
h6,3,246
b5,2,264
b7,3,212
b5,2,264
a8,3,327
b5,2,327
b8,3,252
b5,2,327
b3,1,327
c6,2,-Infinity
f1,3,228
c6,2,228
d3,3,240
c6,2,240
h3,3,256
c6,2,256
d4,3,236
c6,2,256
b5,3,241
c6,2,256
d6,3,254
c6,2,256
h6,3,238
c6,2,256
b7,3,184
c6,2,256
a8,3,319
c6,2,319
b8,3,244
c6,2,319
b3,1,319
d6,2,-Infinity
f1,3,237
d6,2,237
h3,3,265
d6,2,265
d4,3,253
d6,2,265
b5,3,244
d6,2,265
c6,3,268
d6,2,268
h6,3,247
d6,2,268
b7,3,213
d6,2,268
e7,3,252
d6,2,268
a8,3,328
d6,2,328
b8,3,253
d6,2,328
b3,1,319
h6,2,-Infinity
f1,3,229
h6,2,229
b5,3,228
h6,2,229
b7,3,205
h6,2,229
a8,3,320
h6,2,320
b8,3,245
h6,2,320
b3,1,319
e7,2,-Infinity
f1,3,266
e7,2,266
h3,3,294
e7,2,294
b5,3,265
e7,2,294
d6,3,272
e7,2,294
f6,3,275
e7,2,294
h6,3,276
e7,2,294
a8,3,357
e7,2,357
b8,3,282
e7,2,357
e8,3,258
e7,2,357
b3,1,319
e8,2,-Infinity
f1,3,239
e8,2,239
h3,3,267
e8,2,267
b5,3,238
e8,2,267
h6,3,249
e8,2,267
b7,3,215
e8,2,267
a8,3,330
e8,2,330
b3,1,319
root,0,341
d3,1,Infinity
e1,2,-Infinity
f1,3,319
e1,2,319
a2,3,267
e1,2,319
b3,3,271
e1,2,319
h3,3,335
e1,2,335
h6,3,325
e1,2,335
b7,3,291
e1,2,335
a8,3,406
e1,2,406
b8,3,331
e1,2,406
d3,1,406
a2,2,-Infinity
f1,3,297
a2,2,297
b3,3,253
a2,2,297
h3,3,325
a2,2,325
h6,3,307
a2,2,325
b7,3,273
a2,2,325
a8,3,388
a2,2,388
b8,3,313
a2,2,388
d3,1,388
d2,2,-Infinity
e1,3,308
d2,2,308
f1,3,286
d2,2,308
a2,3,176
d2,2,308
b3,3,262
d2,2,308
h3,3,328
d2,2,328
d4,3,274
d2,2,328
h6,3,320
d2,2,328
b7,3,276
d2,2,328
a8,3,391
d2,2,391
b8,3,316
d2,2,391
d3,1,388
h3,2,-Infinity
f1,3,293
h3,2,293
a2,3,245
h3,2,293
b3,3,249
h3,2,293
d6,3,299
h3,2,299
f6,3,316
h3,2,316
h6,3,303
h3,2,316
e7,3,306
h3,2,316
a8,3,384
h3,2,384
b8,3,309
h3,2,384
d3,1,384
d4,2,-Infinity
e1,3,287
d4,2,287
f1,3,273
d4,2,287
a2,3,233
d4,2,287
b3,3,259
d4,2,287
h3,3,303
d4,2,303
b5,3,302
d4,2,303
c6,3,318
d4,2,318
d6,3,295
d4,2,318
b7,3,257
d4,2,318
a8,3,372
d4,2,372
b8,3,297
d4,2,372
d3,1,372
b5,2,-Infinity
f1,3,292
b5,2,292
a2,3,244
b5,2,292
b3,3,236
b5,2,292
h3,3,320
b5,2,320
d4,3,308
b5,2,320
c6,3,315
b5,2,320
d6,3,306
b5,2,320
f6,3,315
b5,2,320
h6,3,302
b5,2,320
b7,3,268
b5,2,320
a8,3,383
b5,2,383
b8,3,308
b5,2,383
d3,1,372
c6,2,-Infinity
f1,3,284
c6,2,284
a2,3,236
c6,2,284
b3,3,240
c6,2,284
h3,3,312
c6,2,312
d4,3,292
c6,2,312
b5,3,303
c6,2,312
d6,3,310
c6,2,312
h6,3,294
c6,2,312
b7,3,240
c6,2,312
a8,3,375
c6,2,375
b8,3,300
c6,2,375
d3,1,372
d6,2,-Infinity
f1,3,293
d6,2,293
a2,3,245
d6,2,293
b3,3,249
d6,2,293
h3,3,321
d6,2,321
d4,3,309
d6,2,321
b5,3,306
d6,2,321
c6,3,324
d6,2,324
h6,3,303
d6,2,324
b7,3,269
d6,2,324
e7,3,308
d6,2,324
a8,3,384
d6,2,384
b8,3,309
d6,2,384
d3,1,372
h6,2,-Infinity
f1,3,285
h6,2,285
a2,3,237
h6,2,285
b3,3,241
h6,2,285
b7,3,261
h6,2,285
a8,3,376
h6,2,376
b8,3,301
h6,2,376
d3,1,372
e7,2,-Infinity
f1,3,322
e7,2,322
a2,3,274
e7,2,322
b3,3,278
e7,2,322
h3,3,350
e7,2,350
d6,3,328
e7,2,350
f6,3,331
e7,2,350
h6,3,332
e7,2,350
a8,3,413
e7,2,413
b8,3,338
e7,2,413
e8,3,314
e7,2,413
d3,1,372
e8,2,-Infinity
f1,3,295
e8,2,295
a2,3,247
e8,2,295
b3,3,251
e8,2,295
h3,3,323
e8,2,323
h6,3,305
e8,2,323
b7,3,271
e8,2,323
a8,3,386
e8,2,386
d3,1,372
root,0,372
h3,1,Infinity
a2,2,-Infinity
f1,3,273
a2,2,273
b3,3,269
a2,2,273
d3,3,325
a2,2,325
f6,3,330
a2,2,330
h6,3,331
a2,2,331
b7,3,297
a2,2,331
a8,3,412
a2,2,412
b8,3,337
a2,2,412
h3,1,412
d2,2,-Infinity
e1,3,324
d2,2,324
f1,3,260
d2,2,324
a2,3,192
d2,2,324
b3,3,264
d2,2,324
d3,3,322
d2,2,324
d4,3,290
d2,2,324
f6,3,325
d2,2,325
h6,3,336
d2,2,336
b7,3,292
d2,2,336
a8,3,407
d2,2,407
b8,3,332
d2,2,407
h3,1,407
d3,2,-Infinity
f1,3,269
d3,2,269
b3,3,265
d3,2,269
d4,3,325
d3,2,325
f6,3,334
d3,2,334
h6,3,327
d3,2,334
b7,3,293
d3,2,334
a8,3,408
d3,2,408
b8,3,333
d3,2,408
h3,1,407
d4,2,-Infinity
e1,3,313
d4,2,313
f1,3,251
d4,2,313
d2,3,320
d4,2,320
b3,3,263
d4,2,320
d3,3,319
d4,2,320
b5,3,320
d4,2,320
c6,3,336
d4,2,336
d6,3,321
d4,2,336
f6,3,316
d4,2,336
h6,3,317
d4,2,336
b7,3,283
d4,2,336
a8,3,398
d4,2,398
b8,3,323
d4,2,398
h3,1,398
b5,2,-Infinity
f1,3,268
b5,2,268
b3,3,252
b5,2,268
d3,3,320
b5,2,320
d4,3,332
b5,2,332
