OO*XXOX*
*OOXX*OO
OO*OOOX*
*OXX**OO
O***X***
*OOOXXOO
OOXX*XO*
OOOO**O*
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
a2,2,-Infinity
h1,3,222
a2,2,222
f2,3,127
a2,2,222
c3,3,90
a2,2,222
h3,3,139
a2,2,222
a4,3,129
a2,2,222
e4,3,147
a2,2,222
f4,3,135
a2,2,222
b5,3,144
a2,2,222
c5,3,143
a2,2,222
d5,3,139
a2,2,222
f5,3,145
a2,2,222
e7,3,114
a2,2,222
a8,3,222
a2,2,222
e8,3,131
a2,2,222
c1,1,222
f2,2,-Infinity
h1,3,140
f2,2,140
c3,3,78
f2,2,140
h3,3,57
f2,2,140
e4,3,67
f2,2,140
f4,3,61
f2,2,140
b5,3,62
f2,2,140
d5,3,65
f2,2,140
f5,3,63
f2,2,140
e7,3,32
f2,2,140
a8,3,140
f2,2,140
e8,3,49
f2,2,140
c1,1,140
c3,2,-Infinity
h1,3,107
c3,2,107
f2,3,6
c3,2,107
h3,3,68
c3,2,107
e4,3,56
c3,2,107
f4,3,28
c3,2,107
b5,3,31
c3,2,107
c5,3,50
c3,2,107
d5,3,40
c3,2,107
f5,3,30
c3,2,107
e7,3,-1
c3,2,107
a8,3,107
c3,2,107
e8,3,16
c3,2,107
c1,1,107
a4,2,-Infinity
h1,3,144
a4,2,144
f2,3,43
a4,2,144
c3,3,76
a4,2,144
h3,3,61
a4,2,144
f4,3,57
a4,2,144
b5,3,60
a4,2,144
c5,3,59
a4,2,144
d5,3,69
a4,2,144
f5,3,67
a4,2,144
e7,3,36
a4,2,144
a8,3,144
a4,2,144
e8,3,53
a4,2,144
c1,1,107
e4,2,-Infinity
h1,3,136
e4,2,136
f2,3,35
e4,2,136
c3,3,74
e4,2,136
h3,3,53
e4,2,136
f4,3,65
e4,2,136
b5,3,58
e4,2,136
d5,3,61
e4,2,136
f5,3,59
e4,2,136
e7,3,38
e4,2,136
a8,3,136
e4,2,136
e8,3,45
e4,2,136
c1,1,107
b5,2,-Infinity
h1,3,189
b5,2,189
f2,3,88
b5,2,189
c3,3,127
b5,2,189
h3,3,106
b5,2,189
e4,3,114
b5,2,189
f4,3,102
b5,2,189
c5,3,102
b5,2,189
d5,3,114
b5,2,189
f5,3,112
b5,2,189
a6,3,74
b5,2,189
e7,3,33
b5,2,189
a8,3,189
b5,2,189
e8,3,104
b5,2,189
c1,1,107
c5,2,-Infinity
h1,3,126
c5,2,126
f2,3,25
c5,2,126
c3,3,86
c5,2,126
h3,3,43
c5,2,126
e4,3,51
c5,2,126
f4,3,39
c5,2,126
b5,3,48
c5,2,126
d5,3,65
c5,2,126
f5,3,49
c5,2,126
e7,3,18
c5,2,126
a8,3,126
c5,2,126
e8,3,41
c5,2,126
c1,1,107
d5,2,-Infinity
h1,3,136
d5,2,136
f2,3,35
d5,2,136
c3,3,74
d5,2,136
h3,3,53
d5,2,136
e4,3,61
d5,2,136
f4,3,49
d5,2,136
b5,3,58
d5,2,136
c5,3,57
d5,2,136
f5,3,59
d5,2,136
e7,3,28
d5,2,136
a8,3,136
d5,2,136
e8,3,45
d5,2,136
c1,1,107
g5,2,-Infinity
h1,3,153
g5,2,153
f2,3,52
g5,2,153
c3,3,91
g5,2,153
h3,3,70
g5,2,153
e4,3,78
g5,2,153
f4,3,54
g5,2,153
b5,3,75
g5,2,153
c5,3,74
g5,2,153
d5,3,78
g5,2,153
f5,3,76
g5,2,153
h5,3,70
g5,2,153
e7,3,53
g5,2,153
a8,3,153
g5,2,153
e8,3,62
g5,2,153
c1,1,107
h5,2,-Infinity
h1,3,138
h5,2,138
f2,3,37
h5,2,138
c3,3,76
h5,2,138
h3,3,69
h5,2,138
e4,3,77
h5,2,138
f4,3,45
h5,2,138
b5,3,60
h5,2,138
c5,3,59
h5,2,138
d5,3,63
h5,2,138
f5,3,61
h5,2,138
g5,3,30
h5,2,138
e7,3,30
h5,2,138
a8,3,138
h5,2,138
e8,3,55
h5,2,138
c1,1,107
a6,2,-Infinity
h1,3,122
a6,2,122
f2,3,21
a6,2,122
c3,3,60
a6,2,122
h3,3,39
a6,2,122
e4,3,47
a6,2,122
f4,3,35
a6,2,122
b5,3,36
a6,2,122
c5,3,41
a6,2,122
d5,3,63
a6,2,122
f5,3,45
a6,2,122
e7,3,14
a6,2,122
a8,3,122
a6,2,122
e8,3,37
a6,2,122
c1,1,107
h7,2,-Infinity
h1,3,200
h7,2,200
f2,3,99
h7,2,200
h3,3,117
h7,2,200
e4,3,125
h7,2,200
f4,3,113
h7,2,200
b5,3,122
h7,2,200
c5,3,121
h7,2,200
d5,3,125
h7,2,200
f5,3,123
h7,2,200
e7,3,100
h7,2,200
a8,3,200
h7,2,200
e8,3,109
h7,2,200
f8,3,77
h7,2,200
h8,3,200
h7,2,200
c1,1,107
e8,2,-Infinity
h1,3,110
e8,2,110
f2,3,9
e8,2,110
c3,3,48
e8,2,110
h3,3,27
e8,2,110
e4,3,35
e8,2,110
f4,3,23
e8,2,110
b5,3,32
e8,2,110
c5,3,31
e8,2,110
d5,3,35
e8,2,110
e7,3,2
e8,2,110
c1,1,107
h8,2,-Infinity
h1,3,93
h8,2,93
f2,3,-8
h8,2,93
h3,3,10
h8,2,93
e4,3,18
h8,2,93
f4,3,6
h8,2,93
b5,3,15
h8,2,93
c5,3,14
h8,2,93
d5,3,18
h8,2,93
f5,3,16
h8,2,93
e7,3,-7
h8,2,93
a8,3,93
h8,2,93
e8,3,2
h8,2,93
f8,3,-30
h8,2,93
c1,1,93
root,0,93
h1,1,Infinity
a2,2,-Infinity
c1,3,168
a2,2,168
f2,3,178
a2,2,178
c3,3,155
a2,2,178
h3,3,190
a2,2,190
e4,3,198
a2,2,198
f4,3,186
a2,2,198
b5,3,195
a2,2,198
c5,3,194
a2,2,198
d5,3,190
a2,2,198
f5,3,196
a2,2,198
e7,3,165
a2,2,198
a8,3,273
a2,2,273
e8,3,182
a2,2,273
h1,1,273
f2,2,-Infinity
c1,3,146
f2,2,146
c3,3,135
f2,2,146
h3,3,114
f2,2,146
e4,3,122
f2,2,146
f4,3,110
f2,2,146
b5,3,119
f2,2,146
c5,3,118
f2,2,146
d5,3,122
f2,2,146
f5,3,120
f2,2,146
e7,3,89
f2,2,146
a8,3,197
f2,2,197
e8,3,106
f2,2,197
h1,1,197
c3,2,-Infinity
c1,3,113
c3,2,113
f2,3,57
c3,2,113
h3,3,125
c3,2,125
e4,3,111
c3,2,125
f4,3,77
c3,2,125
b5,3,88
c3,2,125
c5,3,107
c3,2,125
d5,3,89
c3,2,125
f5,3,87
c3,2,125
e7,3,56
c3,2,125
a8,3,164
c3,2,164
e8,3,73
c3,2,164
h1,1,164
a4,2,-Infinity
c1,3,160
a4,2,160
f2,3,102
a4,2,160
c3,3,141
a4,2,160
h3,3,134
a4,2,160
f4,3,130
a4,2,160
b5,3,125
a4,2,160
c5,3,132
a4,2,160
d5,3,134
a4,2,160
f5,3,140
a4,2,160
e7,3,109
a4,2,160
a8,3,217
a4,2,217
e8,3,126
a4,2,217
h1,1,164
e4,2,-Infinity
c1,3,142
e4,2,142
f2,3,86
e4,2,142
c3,3,131
e4,2,142
h3,3,110
e4,2,142
f4,3,114
e4,2,142
b5,3,115
e4,2,142
d5,3,118
e4,2,142
f5,3,116
e4,2,142
e7,3,85
e4,2,142
a8,3,193
e4,2,193
e8,3,102
e4,2,193
h1,1,164
f4,2,-Infinity
c1,3,138
f4,2,138
f2,3,82
f4,2,138
c3,3,127
f4,2,138
h3,3,106
f4,2,138
e4,3,122
f4,2,138
b5,3,111
f4,2,138
d5,3,114
f4,2,138
f5,3,120
f4,2,138
e7,3,81
f4,2,138
a8,3,189
f4,2,189
e8,3,98
f4,2,189
h1,1,164
b5,2,-Infinity
c1,3,189
b5,2,189
f2,3,139
b5,2,189
c3,3,184
b5,2,189
h3,3,163
b5,2,189
e4,3,171
b5,2,189
f4,3,159
b5,2,189
c5,3,159
b5,2,189
d5,3,171
b5,2,189
f5,3,169
b5,2,189
a6,3,131
b5,2,189
e7,3,90
b5,2,189
a8,3,246
b5,2,246
e8,3,161
b5,2,246
h1,1,164
c5,2,-Infinity
c1,3,126
c5,2,126
f2,3,76
c5,2,126
c3,3,143
c5,2,143
h3,3,100
c5,2,143
e4,3,108
c5,2,143
f4,3,96
c5,2,143
b5,3,105
c5,2,143
d5,3,122
c5,2,143
f5,3,106
c5,2,143
e7,3,75
c5,2,143
a8,3,183
c5,2,183
e8,3,98
c5,2,183
h1,1,164
d5,2,-Infinity
c1,3,136
d5,2,136
f2,3,86
d5,2,136
c3,3,131
d5,2,136
h3,3,110
d5,2,136
e4,3,118
d5,2,136
f4,3,106
d5,2,136
b5,3,115
d5,2,136
c5,3,114
d5,2,136
f5,3,116
d5,2,136
e7,3,85
d5,2,136
a8,3,193
d5,2,193
e8,3,102
d5,2,193
h1,1,164
g5,2,-Infinity
c1,3,153
g5,2,153
f2,3,103
g5,2,153
c3,3,148
g5,2,153
h3,3,127
g5,2,153
e4,3,135
g5,2,153
f4,3,111
g5,2,153
b5,3,132
g5,2,153
c5,3,131
g5,2,153
d5,3,135
g5,2,153
f5,3,133
g5,2,153
h5,3,127
g5,2,153
e7,3,110
g5,2,153
a8,3,210
g5,2,210
e8,3,119
g5,2,210
h1,1,164
h5,2,-Infinity
c1,3,138
h5,2,138
f2,3,88
h5,2,138
c3,3,133
h5,2,138
h3,3,126
h5,2,138
e4,3,134
h5,2,138
f4,3,102
h5,2,138
b5,3,117
h5,2,138
c5,3,116
h5,2,138
d5,3,120
h5,2,138
f5,3,118
h5,2,138
g5,3,87
h5,2,138
e7,3,87
h5,2,138
a8,3,195
h5,2,195
e8,3,112
h5,2,195
h1,1,164
a6,2,-Infinity
c1,3,122
a6,2,122
f2,3,72
a6,2,122
c3,3,117
a6,2,122
h3,3,96
a6,2,122
e4,3,104
a6,2,122
f4,3,92
a6,2,122
b5,3,93
a6,2,122
c5,3,98
a6,2,122
d5,3,120
a6,2,122
f5,3,102
a6,2,122
