OXXX**OO
X***O*OO
OXOXXX*X
*XOXOX*O
*X*****X
*O*XOXXX
*X*O*X*X
**XOXO*X
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
f1,2,-Infinity
b2,3,-221
f1,2,-221
d2,3,-192
f1,2,-192
a4,3,-189
f1,2,-189
d5,3,-195
f1,2,-189
e5,3,-211
f1,2,-189
f5,3,-205
f1,2,-189
c6,3,-210
f1,2,-189
g8,3,-203
f1,2,-189
h8,3,-112
f1,2,-112
e1,1,-112
b2,2,-Infinity
f1,3,-173
b2,2,-173
c2,3,-185
b2,2,-173
a4,3,-109
b2,2,-109
d5,3,-125
b2,2,-109
e5,3,-133
b2,2,-109
f5,3,-127
b2,2,-109
a6,3,-123
b2,2,-109
c6,3,-132
b2,2,-109
g8,3,-125
b2,2,-109
h8,3,-34
b2,2,-34
e1,1,-112
c2,2,-Infinity
f1,3,-221
c2,2,-221
b2,3,-191
c2,2,-191
d2,3,-162
c2,2,-162
a4,3,-159
c2,2,-159
c5,3,-163
c2,2,-159
d5,3,-165
c2,2,-159
e5,3,-181
c2,2,-159
f5,3,-175
c2,2,-159
c6,3,-180
c2,2,-159
g8,3,-173
c2,2,-159
h8,3,-82
c2,2,-82
e1,1,-112
g3,2,-Infinity
f1,3,-243
g3,2,-243
b2,3,-213
g3,2,-213
d2,3,-176
g3,2,-176
f2,3,-185
g3,2,-176
a4,3,-181
g3,2,-176
g4,3,-192
g3,2,-176
d5,3,-187
g3,2,-176
e5,3,-195
g3,2,-176
f5,3,-197
g3,2,-176
c6,3,-202
g3,2,-176
g8,3,-195
g3,2,-176
h8,3,-104
g3,2,-104
e1,1,-112
a4,2,-Infinity
f1,3,-217
a4,2,-217
b2,3,-187
a4,2,-187
a5,3,-143
a4,2,-143
d5,3,-161
a4,2,-143
e5,3,-177
a4,2,-143
f5,3,-171
a4,2,-143
c6,3,-176
a4,2,-143
g8,3,-169
a4,2,-143
h8,3,-78
a4,2,-78
e1,1,-112
g4,2,-Infinity
f1,3,-222
g4,2,-222
b2,3,-192
g4,2,-192
d2,3,-171
g4,2,-171
a4,3,-160
g4,2,-160
d5,3,-166
g4,2,-160
e5,3,-182
g4,2,-160
f5,3,-174
g4,2,-160
g5,3,-177
g4,2,-160
c6,3,-181
g4,2,-160
g8,3,-174
g4,2,-160
h8,3,-83
g4,2,-83
e1,1,-112
a5,2,-Infinity
f1,3,-217
a5,2,-217
b2,3,-187
a5,2,-187
a4,3,-153
a5,2,-153
d5,3,-161
a5,2,-153
e5,3,-177
a5,2,-153
f5,3,-171
a5,2,-153
c6,3,-176
a5,2,-153
g8,3,-169
a5,2,-153
h8,3,-78
a5,2,-78
e1,1,-112
c5,2,-Infinity
f1,3,-215
c5,2,-215
b2,3,-185
c5,2,-185
a4,3,-151
c5,2,-151
d5,3,-151
c5,2,-151
e5,3,-175
c5,2,-151
f5,3,-169
c5,2,-151
c6,3,-174
c5,2,-151
a7,3,-183
c5,2,-151
g8,3,-167
c5,2,-151
h8,3,-76
c5,2,-76
e1,1,-112
d5,2,-Infinity
f1,3,-225
d5,2,-225
b2,3,-195
d5,2,-195
d2,3,-174
d5,2,-174
a4,3,-163
d5,2,-163
e5,3,-185
d5,2,-163
f5,3,-179
d5,2,-163
c6,3,-168
d5,2,-163
g8,3,-177
d5,2,-163
h8,3,-86
d5,2,-86
e1,1,-112
e5,2,-Infinity
f1,3,-217
e5,2,-217
b2,3,-187
e5,2,-187
d2,3,-166
e5,2,-166
a4,3,-155
e5,2,-155
c5,3,-173
e5,2,-155
d5,3,-161
e5,2,-155
f5,3,-171
e5,2,-155
c6,3,-176
e5,2,-155
e7,3,-172
e5,2,-155
g8,3,-169
e5,2,-155
h8,3,-78
e5,2,-78
e1,1,-112
f5,2,-Infinity
f1,3,-219
f5,2,-219
b2,3,-189
f5,2,-189
d2,3,-168
f5,2,-168
a4,3,-157
f5,2,-157
g4,3,-172
f5,2,-157
d5,3,-171
f5,2,-157
e5,3,-179
f5,2,-157
c6,3,-178
f5,2,-157
g8,3,-171
f5,2,-157
h8,3,-80
f5,2,-80
e1,1,-112
a6,2,-Infinity
f1,3,-219
a6,2,-219
b2,3,-189
a6,2,-189
d2,3,-168
a6,2,-168
a4,3,-157
a6,2,-157
d5,3,-163
a6,2,-157
e5,3,-179
a6,2,-157
f5,3,-173
a6,2,-157
c6,3,-178
a6,2,-157
g8,3,-171
a6,2,-157
h8,3,-80
a6,2,-80
e1,1,-112
c6,2,-Infinity
f1,3,-232
c6,2,-232
b2,3,-202
c6,2,-202
d2,3,-181
c6,2,-181
a4,3,-170
c6,2,-170
d5,3,-162
c6,2,-162
e5,3,-192
c6,2,-162
f5,3,-186
c6,2,-162
a6,3,-162
c6,2,-162
g8,3,-184
c6,2,-162
h8,3,-93
c6,2,-93
e1,1,-112
b8,2,-Infinity
f1,3,-177
b8,2,-177
b2,3,-147
b8,2,-147
d2,3,-126
b8,2,-126
a4,3,-115
b8,2,-115
d5,3,-121
b8,2,-115
e5,3,-137
b8,2,-115
f5,3,-133
b8,2,-115
c6,3,-136
b8,2,-115
a8,3,-26
b8,2,-26
g8,3,-129
b8,2,-26
h8,3,-38
b8,2,-26
e1,1,-112
g8,2,-Infinity
f1,3,-201
g8,2,-201
b2,3,-171
g8,2,-171
d2,3,-150
g8,2,-150
a4,3,-139
g8,2,-139
d5,3,-153
g8,2,-139
e5,3,-161
g8,2,-139
f5,3,-155
g8,2,-139
c6,3,-160
g8,2,-139
h8,3,-62
g8,2,-62
e1,1,-112
root,0,-112
f1,1,Infinity
e1,2,-Infinity
b2,3,-269
e1,2,-269
d2,3,-240
e1,2,-240
f2,3,-255
e1,2,-240
a4,3,-237
e1,2,-237
d5,3,-243
e1,2,-237
f5,3,-253
e1,2,-237
c6,3,-258
e1,2,-237
g8,3,-251
e1,2,-237
h8,3,-160
e1,2,-160
f1,1,-160
b2,2,-Infinity
c2,3,-231
b2,2,-231
a4,3,-155
b2,2,-155
d5,3,-171
b2,2,-155
e5,3,-179
b2,2,-155
f5,3,-173
b2,2,-155
a6,3,-169
b2,2,-155
c6,3,-178
b2,2,-155
g8,3,-171
b2,2,-155
h8,3,-80
b2,2,-80
f1,1,-160
c2,2,-Infinity
b2,3,-237
c2,2,-237
d2,3,-208
c2,2,-208
a4,3,-205
c2,2,-205
c5,3,-209
c2,2,-205
d5,3,-211
c2,2,-205
e5,3,-227
c2,2,-205
f5,3,-221
c2,2,-205
c6,3,-226
c2,2,-205
g8,3,-219
c2,2,-205
h8,3,-128
c2,2,-128
f1,1,-160
f2,2,-Infinity
b2,3,-181
f2,2,-181
d2,3,-160
f2,2,-160
a4,3,-149
f2,2,-149
d5,3,-155
f2,2,-149
e5,3,-171
f2,2,-149
f5,3,-165
f2,2,-149
c6,3,-170
f2,2,-149
g8,3,-163
f2,2,-149
h8,3,-72
f2,2,-72
f1,1,-160
g3,2,-Infinity
b2,3,-211
g3,2,-211
d2,3,-174
g3,2,-174
f2,3,-183
g3,2,-174
a4,3,-179
g3,2,-174
g4,3,-190
g3,2,-174
d5,3,-185
g3,2,-174
e5,3,-193
g3,2,-174
f5,3,-195
g3,2,-174
c6,3,-200
g3,2,-174
g8,3,-193
g3,2,-174
h8,3,-102
g3,2,-102
f1,1,-160
a4,2,-Infinity
b2,3,-233
a4,2,-233
a5,3,-189
a4,2,-189
d5,3,-207
a4,2,-189
e5,3,-223
a4,2,-189
f5,3,-217
a4,2,-189
c6,3,-222
a4,2,-189
g8,3,-215
a4,2,-189
h8,3,-124
a4,2,-124
f1,1,-160
g4,2,-Infinity
b2,3,-238
g4,2,-238
d2,3,-217
g4,2,-217
a4,3,-206
g4,2,-206
d5,3,-212
g4,2,-206
e5,3,-228
g4,2,-206
f5,3,-220
g4,2,-206
g5,3,-223
g4,2,-206
c6,3,-227
g4,2,-206
g8,3,-220
g4,2,-206
h8,3,-129
g4,2,-129
f1,1,-160
a5,2,-Infinity
b2,3,-233
a5,2,-233
a4,3,-199
a5,2,-199
d5,3,-207
a5,2,-199
e5,3,-223
a5,2,-199
f5,3,-217
a5,2,-199
c6,3,-222
a5,2,-199
g8,3,-215
a5,2,-199
h8,3,-124
a5,2,-124
f1,1,-160
c5,2,-Infinity
b2,3,-231
c5,2,-231
a4,3,-197
c5,2,-197
d5,3,-197
c5,2,-197
e5,3,-221
c5,2,-197
f5,3,-215
c5,2,-197
c6,3,-220
c5,2,-197
a7,3,-229
c5,2,-197
g8,3,-213
c5,2,-197
h8,3,-122
c5,2,-122
f1,1,-160
d5,2,-Infinity
b2,3,-241
d5,2,-241
d2,3,-220
d5,2,-220
a4,3,-209
d5,2,-209
e5,3,-231
d5,2,-209
f5,3,-225
d5,2,-209
c6,3,-214
d5,2,-209
g8,3,-223
d5,2,-209
h8,3,-132
d5,2,-132
f1,1,-160
e5,2,-Infinity
b2,3,-233
e5,2,-233
d2,3,-212
e5,2,-212
a4,3,-201
e5,2,-201
c5,3,-219
e5,2,-201
d5,3,-207
e5,2,-201
f5,3,-217
e5,2,-201
c6,3,-222
e5,2,-201
e7,3,-218
e5,2,-201
g8,3,-215
e5,2,-201
h8,3,-124
e5,2,-124
f1,1,-160
f5,2,-Infinity
b2,3,-235
f5,2,-235
d2,3,-214
f5,2,-214
a4,3,-203
f5,2,-203
g4,3,-218
f5,2,-203
d5,3,-217
f5,2,-203
e5,3,-225
f5,2,-203
c6,3,-224
f5,2,-203
g8,3,-217
f5,2,-203
h8,3,-126
f5,2,-126
f1,1,-160
a6,2,-Infinity
b2,3,-235
a6,2,-235
d2,3,-214
a6,2,-214
a4,3,-203
a6,2,-203
d5,3,-209
a6,2,-203
e5,3,-225
a6,2,-203
f5,3,-219
a6,2,-203
c6,3,-224
a6,2,-203
g8,3,-217
a6,2,-203
h8,3,-126
a6,2,-126
f1,1,-160
c6,2,-Infinity
b2,3,-248
c6,2,-248
d2,3,-227
c6,2,-227
a4,3,-216
c6,2,-216
d5,3,-208
c6,2,-208
e5,3,-238
c6,2,-208
f5,3,-232
c6,2,-208
a6,3,-208
c6,2,-208
g8,3,-230
c6,2,-208
h8,3,-139
c6,2,-139
f1,1,-160
b8,2,-Infinity
b2,3,-193
b8,2,-193
d2,3,-172
b8,2,-172
a4,3,-161
b8,2,-161
d5,3,-167
b8,2,-161
e5,3,-183
b8,2,-161
f5,3,-179
b8,2,-161
c6,3,-182
b8,2,-161
a8,3,-72
b8,2,-72
g8,3,-175
b8,2,-72
h8,3,-84
b8,2,-72
f1,1,-160
g8,2,-Infinity
b2,3,-217
g8,2,-217
d2,3,-196
g8,2,-196
a4,3,-185
g8,2,-185
d5,3,-199
g8,2,-185
e5,3,-207
g8,2,-185
f5,3,-201
g8,2,-185
c6,3,-206
g8,2,-185
h8,3,-108
g8,2,-108
f1,1,-160
root,0,-112
b2,1,Infinity
e1,2,-Infinity
f1,3,-251
e1,2,-251
a4,3,-183
e1,2,-183
c5,3,-193
e1,2,-183
d5,3,-189
e1,2,-183
e5,3,-205
e1,2,-183
f5,3,-199
e1,2,-183
c6,3,-204
e1,2,-183
g8,3,-197
e1,2,-183
h8,3,-106
e1,2,-106
b2,1,-106
c2,2,-Infinity
e1,3,-205
c2,2,-205
f1,3,-235
c2,2,-205
d2,3,-194
c2,2,-194
a4,3,-183
c2,2,-183
c5,3,-187
c2,2,-183
d5,3,-189
c2,2,-183
e5,3,-205
c2,2,-183
f5,3,-199
c2,2,-183
c6,3,-204
c2,2,-183
g8,3,-197
c2,2,-183
h8,3,-106
c2,2,-106
b2,1,-106
g3,2,-Infinity
f1,3,-249
g3,2,-249
d2,3,-192
g3,2,-192
f2,3,-201
g3,2,-192
a4,3,-197
g3,2,-192
g4,3,-214
g3,2,-192
d5,3,-211
g3,2,-192
f5,3,-213
g3,2,-192
c6,3,-218
g3,2,-192
g8,3,-211
g3,2,-192
h8,3,-120
g3,2,-120
b2,1,-120
a4,2,-Infinity
e1,3,-187
a4,2,-187
f1,3,-233
a4,2,-187
a5,3,-159
a4,2,-159
c5,3,-175
a4,2,-159
d5,3,-171
a4,2,-159
e5,3,-187
a4,2,-159
f5,3,-181
a4,2,-159
c6,3,-186
a4,2,-159
g8,3,-179
a4,2,-159
h8,3,-88
a4,2,-88
b2,1,-120
g4,2,-Infinity
e1,3,-206
g4,2,-206
f1,3,-252
g4,2,-206
g3,3,-196
g4,2,-196
a4,3,-184
g4,2,-184
c5,3,-194
g4,2,-184
d5,3,-190
g4,2,-184
e5,3,-206
g4,2,-184
f5,3,-206
g4,2,-184
g5,3,-201
g4,2,-184
c6,3,-205
g4,2,-184
g8,3,-198
g4,2,-184
h8,3,-107
g4,2,-107
b2,1,-120
c5,2,-Infinity
e1,3,-185
c5,2,-185
f1,3,-231
c5,2,-185
a4,3,-161
c5,2,-161
a5,3,-185
c5,2,-161
d5,3,-161
c5,2,-161
e5,3,-185
c5,2,-161
f5,3,-179
c5,2,-161
c6,3,-168
c5,2,-161
a7,3,-193
c5,2,-161
g8,3,-177
c5,2,-161
h8,3,-86
c5,2,-86
b2,1,-120
d5,2,-Infinity
e1,3,-195
d5,2,-195
f1,3,-241
d5,2,-195
a4,3,-173
d5,2,-173
c5,3,-183
d5,2,-173
e5,3,-195
d5,2,-173
f5,3,-189
d5,2,-173
c6,3,-178
d5,2,-173
g8,3,-187
d5,2,-173
h8,3,-96
d5,2,-96
b2,1,-120
e5,2,-Infinity
e1,3,-153
e5,2,-153
f1,3,-199
e5,2,-153
c2,3,-205
e5,2,-153
d2,3,-142
e5,2,-142
a4,3,-131
e5,2,-131
c5,3,-149
e5,2,-131
d5,3,-137
e5,2,-131
f5,3,-147
e5,2,-131
c6,3,-152
e5,2,-131
e7,3,-148
e5,2,-131
g8,3,-145
e5,2,-131
h8,3,-54
e5,2,-54
b2,1,-120
f5,2,-Infinity
e1,3,-189
f5,2,-189
f1,3,-235
f5,2,-189
a4,3,-167
f5,2,-167
g4,3,-182
f5,2,-167
c5,3,-177
f5,2,-167
d5,3,-181
f5,2,-167
e5,3,-189
f5,2,-167
c6,3,-188
f5,2,-167
g8,3,-181
f5,2,-167
h8,3,-90
f5,2,-90
b2,1,-120
a6,2,-Infinity
e1,3,-189
a6,2,-189
f1,3,-235
a6,2,-189
a4,3,-167
a6,2,-167
c5,3,-177
a6,2,-167
d5,3,-173
a6,2,-167
e5,3,-189
a6,2,-167
f5,3,-183
a6,2,-167
c6,3,-188
a6,2,-167
g8,3,-181
a6,2,-167
h8,3,-90
a6,2,-90
b2,1,-120
c6,2,-Infinity
e1,3,-202
c6,2,-202
f1,3,-248
c6,2,-202
a4,3,-180
c6,2,-180
c5,3,-190
c6,2,-180
d5,3,-172
c6,2,-172
e5,3,-202
c6,2,-172
f5,3,-196
c6,2,-172
a6,3,-172
c6,2,-172
g8,3,-194
c6,2,-172
h8,3,-103
c6,2,-103
b2,1,-120
b8,2,-Infinity
e1,3,-147
b8,2,-147
f1,3,-193
b8,2,-147
a4,3,-125
b8,2,-125
c5,3,-135
b8,2,-125
d5,3,-131
b8,2,-125
e5,3,-147
b8,2,-125
f5,3,-143
b8,2,-125
c6,3,-146
b8,2,-125
a8,3,-36
b8,2,-36
g8,3,-139
b8,2,-36
h8,3,-48
b8,2,-36
b2,1,-120
g8,2,-Infinity
e1,3,-171
g8,2,-171
f1,3,-217
g8,2,-171
a4,3,-149
g8,2,-149
c5,3,-159
g8,2,-149
d5,3,-163
g8,2,-149
e5,3,-171
g8,2,-149
f5,3,-165
g8,2,-149
c6,3,-170
g8,2,-149
h8,3,-72
g8,2,-72
b2,1,-120
root,0,-112
d2,1,Infinity
e1,2,-Infinity
f1,3,-230
e1,2,-230
f2,3,-194
e1,2,-194
a4,3,-162
e1,2,-162
c5,3,-172
e1,2,-162
d5,3,-168
e1,2,-162
e5,3,-184
e1,2,-162
f5,3,-178
e1,2,-162
c6,3,-183
e1,2,-162
g8,3,-176
e1,2,-162
h8,3,-85
e1,2,-85
d2,1,-85
b2,2,-Infinity
e1,3,-122
b2,2,-122
f1,3,-168
b2,2,-122
c2,3,-174
b2,2,-122
f2,3,-132
b2,2,-122
