OO*XX*XX
XOX**XOO
*X***OO*
O***XXXX
XO*O***X
**XO*X*X
X*X*OOOO
*XXXXXX*
Node,Depth,Value
root,0,-Infinity
e2,1,Infinity
d2,2,-Infinity
f1,3,136
d2,2,136
a3,3,156
d2,2,156
c3,3,137
d2,2,156
d3,3,134
d2,2,156
e3,3,126
d2,2,156
h3,3,120
d2,2,156
c5,3,136
d2,2,156
e5,3,144
d2,2,156
e6,3,140
d2,2,156
g6,3,84
d2,2,156
e8,3,154
d2,2,156
h8,3,171
d2,2,171
e2,1,171
a3,2,-Infinity
h3,3,103
a3,2,103
c5,3,119
a3,2,119
e5,3,127
a3,2,127
e6,3,123
a3,2,127
g6,3,67
a3,2,127
e8,3,137
a3,2,137
h8,3,154
a3,2,154
e2,1,154
d3,2,-Infinity
d2,3,56
d3,2,56
a3,3,135
d3,2,135
h3,3,99
d3,2,135
c4,3,127
d3,2,135
c5,3,115
d3,2,135
e5,3,123
d3,2,135
e6,3,119
d3,2,135
g6,3,63
d3,2,135
e8,3,133
d3,2,135
h8,3,150
d3,2,150
e2,1,150
e3,2,-Infinity
d2,3,98
e3,2,98
a3,3,113
e3,2,113
h3,3,85
e3,2,113
d4,3,101
e3,2,113
c5,3,93
e3,2,113
e5,3,101
e3,2,113
e6,3,97
e3,2,113
g6,3,41
e3,2,113
e8,3,111
e3,2,113
h8,3,128
e3,2,128
e2,1,128
h3,2,-Infinity
a3,3,83
h3,2,83
c5,3,63
h3,2,83
e5,3,71
h3,2,83
e6,3,67
h3,2,83
g6,3,11
h3,2,83
e8,3,81
h3,2,83
h8,3,138
h3,2,138
e2,1,128
b4,2,-Infinity
a3,3,142
b4,2,142
c3,3,123
b4,2,142
h3,3,106
b4,2,142
c4,3,118
b4,2,142
c5,3,122
b4,2,142
e5,3,130
b4,2,142
e6,3,126
b4,2,142
g6,3,70
b4,2,142
e8,3,140
b4,2,142
h8,3,157
b4,2,157
e2,1,128
e5,2,-Infinity
a3,3,109
e5,2,109
h3,3,73
e5,2,109
c5,3,89
e5,2,109
f5,3,107
e5,2,109
e6,3,93
e5,2,109
g6,3,37
e5,2,109
e8,3,107
e5,2,109
h8,3,172
e5,2,172
e2,1,128
f5,2,-Infinity
a3,3,113
f5,2,113
h3,3,77
f5,2,113
c5,3,93
f5,2,113
e5,3,101
f5,2,113
e6,3,105
f5,2,113
g6,3,49
f5,2,113
e8,3,111
f5,2,113
h8,3,176
f5,2,176
e2,1,128
g5,2,-Infinity
a3,3,126
g5,2,126
h3,3,90
g5,2,126
c5,3,106
g5,2,126
e5,3,114
g5,2,126
f5,3,110
g5,2,126
e6,3,110
g5,2,126
g6,3,-14
g5,2,126
e8,3,124
g5,2,126
h8,3,189
g5,2,189
e2,1,128
a6,2,-Infinity
a3,3,139
a6,2,139
h3,3,75
a6,2,139
c5,3,97
a6,2,139
e5,3,99
a6,2,139
e6,3,95
a6,2,139
g6,3,39
a6,2,139
e8,3,109
a6,2,139
h8,3,126
a6,2,139
e2,1,128
b6,2,-Infinity
a3,3,129
b6,2,129
h3,3,93
b6,2,129
c5,3,107
b6,2,129
e5,3,109
b6,2,129
e6,3,105
b6,2,129
g6,3,57
b6,2,129
b7,3,99
b6,2,129
e8,3,127
b6,2,129
h8,3,144
b6,2,144
e2,1,128
b7,2,-Infinity
a3,3,141
b7,2,141
h3,3,105
b7,2,141
c5,3,135
b7,2,141
e5,3,129
b7,2,141
a6,3,81
b7,2,141
b6,3,69
b7,2,141
e6,3,117
b7,2,141
g6,3,69
b7,2,141
a8,3,186
b7,2,186
e8,3,139
b7,2,186
h8,3,156
b7,2,186
e2,1,128
d7,2,-Infinity
a3,3,120
d7,2,120
h3,3,84
d7,2,120
c5,3,114
d7,2,120
e5,3,108
d7,2,120
e6,3,90
d7,2,120
g6,3,48
d7,2,120
b7,3,90
d7,2,120
e8,3,118
d7,2,120
h8,3,135
d7,2,135
e2,1,128
a8,2,-Infinity
a3,3,32
a8,2,32
h3,3,-4
a8,2,32
c5,3,12
a8,2,32
e5,3,20
a8,2,32
e6,3,16
a8,2,32
g6,3,-40
a8,2,32
h8,3,47
a8,2,47
e2,1,47
root,0,47
a3,1,Infinity
f1,2,-Infinity
c1,3,80
f1,2,80
e2,3,131
f1,2,131
e3,3,116
f1,2,131
h3,3,112
f1,2,131
c5,3,120
f1,2,131
e5,3,128
f1,2,131
e6,3,124
f1,2,131
g6,3,68
f1,2,131
e8,3,138
f1,2,138
h8,3,155
f1,2,155
a3,1,155
d2,2,-Infinity
c1,3,91
d2,2,91
e2,3,80
d2,2,91
c3,3,132
d2,2,132
d3,3,129
d2,2,132
h3,3,123
d2,2,132
c5,3,131
d2,2,132
e5,3,139
d2,2,139
e6,3,135
d2,2,139
g6,3,79
d2,2,139
e8,3,149
d2,2,149
h8,3,166
d2,2,166
a3,1,155
e2,2,-Infinity
c1,3,91
e2,2,91
f1,3,145
e2,2,145
e3,3,121
e2,2,145
h3,3,123
e2,2,145
c5,3,131
e2,2,145
e5,3,139
e2,2,145
e6,3,135
e2,2,145
g6,3,79
e2,2,145
e8,3,149
e2,2,149
h8,3,166
e2,2,166
a3,1,155
d3,2,-Infinity
c1,3,84
d3,2,84
d2,3,65
d3,2,84
e2,3,135
d3,2,135
h3,3,116
d3,2,135
c5,3,124
d3,2,135
e5,3,132
d3,2,135
e6,3,128
d3,2,135
g6,3,72
d3,2,135
e8,3,142
d3,2,142
h8,3,159
d3,2,159
a3,1,155
h3,2,-Infinity
c1,3,32
h3,2,32
e2,3,83
h3,2,83
c5,3,72
h3,2,83
e5,3,80
h3,2,83
e6,3,76
h3,2,83
g6,3,20
h3,2,83
e8,3,90
h3,2,90
h8,3,147
h3,2,147
a3,1,147
b4,2,-Infinity
c1,3,91
b4,2,91
e2,3,142
b4,2,142
c3,3,124
b4,2,142
h3,3,123
b4,2,142
c4,3,121
b4,2,142
c5,3,125
b4,2,142
e5,3,139
b4,2,142
e6,3,135
b4,2,142
g6,3,79
b4,2,142
e8,3,149
b4,2,149
h8,3,166
b4,2,166
a3,1,147
e5,2,-Infinity
c1,3,58
e5,2,58
e2,3,109
e5,2,109
h3,3,90
