OOOOXOOX
XXXOO**O
OOX*XX**
X*X**OOO
XOO*OO**
XXOXXX**
OOOXXX**
OOO*OO*O
Node,Depth,Value
root,0,-Infinity
f2,1,Infinity
g2,2,-Infinity
d3,3,195
g2,2,195
g3,3,129
g2,2,195
h3,3,141
g2,2,195
d4,3,147
g2,2,195
d5,3,189
g2,2,195
g6,3,199
g2,2,199
g7,3,151
g2,2,199
a8,3,232
g2,2,232
f2,1,232
g3,2,-Infinity
g2,3,87
g3,2,87
d3,3,145
g3,2,145
b4,3,138
g3,2,145
d4,3,93
g3,2,145
e4,3,145
g3,2,145
d5,3,135
g3,2,145
g5,3,140
g3,2,145
g6,3,145
g3,2,145
g7,3,83
g3,2,145
a8,3,178
g3,2,178
f2,1,178
h3,2,-Infinity
d3,3,169
h3,2,169
b4,3,154
h3,2,169
d4,3,117
h3,2,169
e4,3,151
h3,2,169
d5,3,151
h3,2,169
g5,3,148
h3,2,169
h5,3,143
h3,2,169
g6,3,161
h3,2,169
g7,3,113
h3,2,169
a8,3,194
h3,2,194
f2,1,178
b4,2,-Infinity
d3,3,156
b4,2,156
d4,3,120
b4,2,156
e4,3,154
b4,2,156
g6,3,164
b4,2,164
g7,3,116
b4,2,164
a8,3,197
b4,2,197
f2,1,178
d4,2,-Infinity
d3,3,155
d4,2,155
b4,3,150
d4,2,155
e4,3,139
d4,2,155
d5,3,145
d4,2,155
g6,3,147
d4,2,155
g7,3,65
d4,2,155
a8,3,180
d4,2,180
f2,1,178
e4,2,-Infinity
d3,3,163
e4,2,163
b4,3,148
e4,2,163
d4,3,111
e4,2,163
d5,3,145
e4,2,163
g6,3,155
e4,2,163
g7,3,93
e4,2,163
a8,3,188
e4,2,188
f2,1,178
d5,2,-Infinity
d3,3,139
d5,2,139
b4,3,80
d5,2,139
d4,3,95
d5,2,139
e4,3,129
d5,2,139
g6,3,109
d5,2,139
g7,3,91
d5,2,139
g8,3,121
d5,2,139
f2,1,139
g5,2,-Infinity
d3,3,158
g5,2,158
g3,3,136
g5,2,158
b4,3,143
g5,2,158
d4,3,106
g5,2,158
e4,3,148
g5,2,158
d5,3,140
g5,2,158
h5,3,132
g5,2,158
g6,3,144
g5,2,158
h6,3,150
g5,2,158
g7,3,102
g5,2,158
a8,3,183
g5,2,183
d8,3,140
g5,2,183
f2,1,139
a8,2,-Infinity
d3,3,80
a8,2,80
b4,3,65
a8,2,80
d4,3,28
a8,2,80
e4,3,62
a8,2,80
d5,3,62
a8,2,80
g6,3,72
a8,2,80
g7,3,24
a8,2,80
f2,1,80
d8,2,-Infinity
d3,3,165
d8,2,165
b4,3,150
d8,2,165
d4,3,113
d8,2,165
e4,3,147
d8,2,165
d5,3,147
d8,2,165
g6,3,157
d8,2,165
g7,3,53
d8,2,165
a8,3,190
d8,2,190
f2,1,80
root,0,80
d3,1,Infinity
f2,2,-Infinity
g3,3,187
f2,2,187
d4,3,169
f2,2,187
g6,3,187
f2,2,187
g7,3,139
f2,2,187
a8,3,220
f2,2,220
d3,1,220
g3,2,-Infinity
f2,3,151
g3,2,151
g2,3,109
g3,2,151
h3,3,163
g3,2,163
e4,3,159
g3,2,163
d5,3,141
g3,2,163
g5,3,154
g3,2,163
g6,3,159
g3,2,163
g7,3,97
g3,2,163
a8,3,192
g3,2,192
d3,1,192
h3,2,-Infinity
f2,3,161
h3,2,161
g3,3,169
h3,2,169
e4,3,159
h3,2,169
g5,3,156
h3,2,169
h5,3,165
h3,2,169
g6,3,169
h3,2,169
g7,3,121
h3,2,169
a8,3,202
h3,2,202
d3,1,192
b4,2,-Infinity
f2,3,156
b4,2,156
g3,3,164
b4,2,164
d4,3,112
b4,2,164
e4,3,154
b4,2,164
g6,3,164
b4,2,164
g7,3,116
b4,2,164
a8,3,197
b4,2,197
d3,1,192
d4,2,-Infinity
f2,3,141
d4,2,141
g3,3,141
d4,2,141
b4,3,144
d4,2,144
e4,3,133
d4,2,144
d5,3,131
d4,2,144
g6,3,141
d4,2,144
g7,3,59
d4,2,144
a8,3,174
d4,2,174
d3,1,174
e4,2,-Infinity
f2,3,155
e4,2,155
g3,3,163
e4,2,163
d4,3,145
e4,2,163
d5,3,145
e4,2,163
g6,3,163
e4,2,163
g7,3,101
e4,2,163
a8,3,196
e4,2,196
d3,1,174
d5,2,-Infinity
f2,3,139
d5,2,139
g3,3,147
d5,2,147
b4,3,18
d5,2,147
d4,3,129
d5,2,147
e4,3,137
d5,2,147
g6,3,117
d5,2,147
g7,3,99
d5,2,147
d3,1,147
g5,2,-Infinity
f2,3,158
g5,2,158
g3,3,166
g5,2,166
e4,3,156
g5,2,166
h5,3,140
g5,2,166
g6,3,152
g5,2,166
h6,3,158
g5,2,166
g7,3,110
g5,2,166
a8,3,191
g5,2,191
d8,3,148
g5,2,191
d3,1,147
h5,2,-Infinity
f2,3,155
h5,2,155
g3,3,163
h5,2,163
h3,3,147
h5,2,163
e4,3,153
h5,2,163
g6,3,163
h5,2,163
h6,3,165
h5,2,165
g7,3,115
h5,2,165
a8,3,196
h5,2,196
d3,1,147
a8,2,-Infinity
f2,3,72
a8,2,72
g3,3,80
a8,2,80
e4,3,70
a8,2,80
g6,3,80
a8,2,80
g7,3,32
a8,2,80
d3,1,80
d8,2,-Infinity
f2,3,157
d8,2,157
g3,3,165
d8,2,165
e4,3,155
d8,2,165
g6,3,165
d8,2,165
g7,3,61
d8,2,165
a8,3,198
d8,2,198
d3,1,80
root,0,80
b4,1,Infinity
f2,2,-Infinity
d3,3,146
f2,2,146
d4,3,162
f2,2,162
d5,3,162
f2,2,162
g6,3,172
f2,2,172
g7,3,124
f2,2,172
a8,3,205
f2,2,205
b4,1,205
g3,2,-Infinity
f2,3,144
g3,2,144
g2,3,102
g3,2,144
d3,3,138
g3,2,144
d4,3,142
g3,2,144
e4,3,152
g3,2,152
d5,3,142
g3,2,152
g5,3,147
g3,2,152
g6,3,152
g3,2,152
g7,3,90
g3,2,152
a8,3,185
g3,2,185
b4,1,185
h3,2,-Infinity
f2,3,154
h3,2,154
d3,3,148
h3,2,154
d4,3,152
h3,2,154
e4,3,152
h3,2,154
d5,3,152
h3,2,154
g5,3,149
h3,2,154
h5,3,158
h3,2,158
g6,3,162
h3,2,162
g7,3,114
h3,2,162
a8,3,195
h3,2,195
b4,1,185
d4,2,-Infinity
f2,3,134
d4,2,134
d3,3,134
d4,2,134
e4,3,134
d4,2,134
d5,3,132
d4,2,134
g6,3,134
d4,2,134
g7,3,52
d4,2,134
a8,3,167
d4,2,167
b4,1,167
e4,2,-Infinity
f2,3,148
e4,2,148
d3,3,142
e4,2,148
d4,3,146
e4,2,148
d5,3,146
e4,2,148
g6,3,156
e4,2,156
g7,3,94
e4,2,156
a8,3,189
e4,2,189
b4,1,167
d5,2,-Infinity
f2,3,132
d5,2,132
d3,3,118
d5,2,132
d4,3,130
d5,2,132
e4,3,130
d5,2,132
g6,3,110
d5,2,132
g7,3,92
d5,2,132
g8,3,122
d5,2,132
b4,1,132
g5,2,-Infinity
f2,3,151
g5,2,151
d3,3,137
g5,2,151
g3,3,137
g5,2,151
d4,3,141
g5,2,151
e4,3,149
g5,2,151
d5,3,141
g5,2,151
h5,3,133
g5,2,151
g6,3,145
g5,2,151
h6,3,151
g5,2,151
g7,3,103
g5,2,151
a8,3,184
g5,2,184
d8,3,141
g5,2,184
b4,1,132
h5,2,-Infinity
f2,3,148
h5,2,148
d3,3,142
h5,2,148
h3,3,140
h5,2,148
d4,3,146
h5,2,148
e4,3,146
h5,2,148
d5,3,146
h5,2,148
g6,3,156
h5,2,156
h6,3,158
h5,2,158
g7,3,108
h5,2,158
a8,3,189
h5,2,189
b4,1,132
a8,2,-Infinity
f2,3,65
a8,2,65
d3,3,59
a8,2,65
d4,3,63
a8,2,65
e4,3,63
a8,2,65
d5,3,63
a8,2,65
g6,3,73
a8,2,73
g7,3,25
a8,2,73
b4,1,73
d8,2,-Infinity
f2,3,150
d8,2,150
d3,3,144
d8,2,150
d4,3,148
d8,2,150
e4,3,148
d8,2,150
d5,3,148
d8,2,150
g6,3,158
d8,2,158
g7,3,54
d8,2,158
a8,3,191
d8,2,191
b4,1,73
root,0,80
d4,1,Infinity
f2,2,-Infinity
g2,3,57
f2,2,57
d3,3,101
f2,2,101
b4,3,114
f2,2,114
d5,3,117
f2,2,117
g6,3,127
f2,2,127
g7,3,79
f2,2,127
a8,3,160
f2,2,160
d4,1,160
g3,2,-Infinity
f2,3,107
g3,2,107
g2,3,57
g3,2,107
d3,3,93
g3,2,107
b4,3,94
g3,2,107
e4,3,107
g3,2,107
d5,3,97
g3,2,107
g5,3,102
g3,2,107
g6,3,107
g3,2,107
g7,3,59
g3,2,107
a8,3,140
g3,2,140
d4,1,140
h3,2,-Infinity
f2,3,117
h3,2,117
d3,3,103
h3,2,117
b4,3,104
h3,2,117
e4,3,107
h3,2,117
d5,3,107
h3,2,117
g5,3,104
h3,2,117
h5,3,113
h3,2,117
g6,3,117
h3,2,117
g7,3,69
h3,2,117
a8,3,150
h3,2,150
d4,1,140
b4,2,-Infinity
f2,3,104
b4,2,104
d3,3,90
b4,2,104
e4,3,94
b4,2,104
d5,3,94
b4,2,104
g6,3,104
b4,2,104
g7,3,56
b4,2,104
a8,3,137
b4,2,137
d4,1,137
e4,2,-Infinity
f2,3,111
e4,2,111
d3,3,97
e4,2,111
b4,3,98
e4,2,111
d5,3,101
e4,2,111
g6,3,111
e4,2,111
g7,3,63
e4,2,111
a8,3,144
e4,2,144
d4,1,137
d5,2,-Infinity
f2,3,95
d5,2,95
d3,3,73
d5,2,95
b4,3,30
d5,2,95
e4,3,85
d5,2,95
g6,3,65
d5,2,95
g7,3,47
d5,2,95
d8,3,85
d5,2,95
g8,3,77
d5,2,95
d4,1,95
g5,2,-Infinity
f2,3,114
g5,2,114
d3,3,92
g5,2,114
g3,3,92
g5,2,114
b4,3,93
g5,2,114
e4,3,104
g5,2,114
d5,3,96
g5,2,114
h5,3,88
g5,2,114
g6,3,100
g5,2,114
h6,3,106
g5,2,114
g7,3,58
g5,2,114
a8,3,139
g5,2,139
d8,3,96
g5,2,139
d4,1,95
h5,2,-Infinity
f2,3,111
h5,2,111
d3,3,97
h5,2,111
h3,3,95
h5,2,111
b4,3,98
h5,2,111
e4,3,101
h5,2,111
d5,3,101
h5,2,111
g6,3,111
h5,2,111
h6,3,113
h5,2,113
g7,3,63
h5,2,113
a8,3,144
h5,2,144
d4,1,95
a8,2,-Infinity
f2,3,28
a8,2,28
d3,3,14
a8,2,28
b4,3,15
a8,2,28
e4,3,18
a8,2,28
d5,3,18
a8,2,28
g6,3,28
a8,2,28
g7,3,-20
a8,2,28
d4,1,28
d8,2,-Infinity
f2,3,113
d8,2,113
d3,3,99
d8,2,113
b4,3,100
d8,2,113
e4,3,103
d8,2,113
d5,3,103
d8,2,113
g6,3,113
d8,2,113
g7,3,9
d8,2,113
a8,3,146
d8,2,146
d4,1,28
root,0,80
e4,1,Infinity
f2,2,-Infinity
g2,3,141
f2,2,141
d3,3,157
f2,2,157
g3,3,161
f2,2,161
d4,3,117
f2,2,161
d5,3,159
f2,2,161
g6,3,169
f2,2,169
g7,3,121
f2,2,169
a8,3,202
f2,2,202
e4,1,202
d3,2,-Infinity
f2,3,133
d3,2,133
g2,3,113
d3,2,133
g3,3,163
d3,2,163
b4,3,134
d3,2,163
d4,3,97
d3,2,163
d5,3,131
d3,2,163
g6,3,141
d3,2,163
g7,3,93
d3,2,163
a8,3,174
d3,2,174
e4,1,174
g3,2,-Infinity
f2,3,141
g3,2,141
g2,3,113
g3,2,141
d3,3,149
g3,2,149
h3,3,145
g3,2,149
