**XOXXXX
O*XXXXXX
*O**OX**
XXOXXX**
X****XXX
**XO*X**
*****XXO
OX***XXO
Node,Depth,Value
root,0,-Infinity
b2,1,Infinity
b1,2,-Infinity
a1,3,-74
b1,2,-74
f3,3,-164
b1,2,-74
g3,3,-197
b1,2,-74
g4,3,-180
b1,2,-74
d5,3,-177
b1,2,-74
e5,3,-163
b1,2,-74
e6,3,-181
b1,2,-74
g6,3,-181
b1,2,-74
e7,3,-182
b1,2,-74
b2,1,-74
d3,2,-Infinity
c3,3,-174
d3,2,-174
f3,3,-154
d3,2,-154
g3,3,-187
d3,2,-154
g4,3,-170
d3,2,-154
b5,3,-162
d3,2,-154
d5,3,-167
d3,2,-154
e5,3,-145
d3,2,-145
e6,3,-171
d3,2,-145
g6,3,-163
d3,2,-145
e7,3,-172
d3,2,-145
b2,1,-145
f3,2,-Infinity
d3,3,-180
f3,2,-180
g3,3,-190
f3,2,-180
g4,3,-173
f3,2,-173
d5,3,-170
f3,2,-170
e5,3,-156
f3,2,-156
e6,3,-174
f3,2,-156
g6,3,-174
f3,2,-156
e7,3,-175
f3,2,-156
b2,1,-156
h4,2,-Infinity
f3,3,-156
h4,2,-156
g3,3,-189
h4,2,-156
h3,3,-157
h4,2,-156
g4,3,-172
h4,2,-156
d5,3,-169
h4,2,-156
e5,3,-161
h4,2,-156
e6,3,-173
h4,2,-156
g6,3,-173
h4,2,-156
h6,3,-159
h4,2,-156
e7,3,-188
h4,2,-156
b2,1,-156
c5,2,-Infinity
c3,3,-158
c5,2,-158
f3,3,-160
c5,2,-158
g3,3,-193
c5,2,-158
g4,3,-176
c5,2,-158
d5,3,-173
c5,2,-158
e5,3,-159
c5,2,-158
b6,3,-177
c5,2,-158
e6,3,-177
c5,2,-158
g6,3,-177
c5,2,-158
e7,3,-162
c5,2,-158
b2,1,-158
e5,2,-Infinity
f3,3,-156
e5,2,-156
g3,3,-189
e5,2,-156
g4,3,-172
e5,2,-156
d5,3,-161
e5,2,-156
e6,3,-165
e5,2,-156
e7,3,-174
e5,2,-156
b2,1,-158
b6,2,-Infinity
f3,3,-166
b6,2,-166
g3,3,-199
b6,2,-166
g4,3,-182
b6,2,-166
d5,3,-179
b6,2,-166
e5,3,-165
b6,2,-165
e6,3,-191
b6,2,-165
g6,3,-183
b6,2,-165
c7,3,-199
b6,2,-165
e7,3,-184
b6,2,-165
b2,1,-165
