OOO**OO*
O*XO**X*
OOOXO*OX
O*XX**OX
O**XXXXX
XOXO*OOO
*XOOXO**
*O*O**OO
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
e1,2,-Infinity
e2,3,-251
e1,2,-251
f2,3,-254
e1,2,-251
f3,3,-241
e1,2,-241
e4,3,-242
e1,2,-241
f4,3,-244
e1,2,-241
b5,3,-253
e1,2,-241
c5,3,-230
e1,2,-230
d5,3,-220
e1,2,-220
e6,3,-222
e1,2,-220
g7,3,-282
e1,2,-220
h7,3,-234
e1,2,-220
e8,3,-252
e1,2,-220
d1,1,-220
h2,2,-Infinity
f3,3,-247
h2,2,-247
b4,3,-251
h2,2,-247
e4,3,-262
h2,2,-247
f4,3,-250
h2,2,-247
b5,3,-273
h2,2,-247
c5,3,-250
h2,2,-247
d5,3,-240
h2,2,-240
e6,3,-244
h2,2,-240
g7,3,-302
h2,2,-240
d1,1,-240
b4,2,-Infinity
f2,3,-247
b4,2,-247
f3,3,-234
b4,2,-234
f4,3,-229
b4,2,-229
b5,3,-238
b4,2,-229
c5,3,-201
b4,2,-201
d5,3,-213
b4,2,-201
e6,3,-215
b4,2,-201
g7,3,-275
b4,2,-201
h7,3,-227
b4,2,-201
e8,3,-245
b4,2,-201
d1,1,-240
e4,2,-Infinity
b2,3,-262
e4,2,-262
e2,3,-225
e4,2,-225
f2,3,-242
e4,2,-225
f3,3,-237
e4,2,-225
b4,3,-219
e4,2,-219
f4,3,-224
e4,2,-219
b5,3,-241
e4,2,-219
c5,3,-218
e4,2,-218
d5,3,-200
e4,2,-200
e6,3,-210
e4,2,-200
g7,3,-270
e4,2,-200
h7,3,-222
e4,2,-200
e8,3,-240
e4,2,-200
d1,1,-240
f4,2,-Infinity
f2,3,-240
f4,2,-240
f3,3,-227
f4,2,-227
b4,3,-217
f4,2,-217
e4,3,-226
f4,2,-217
b5,3,-239
f4,2,-217
c5,3,-216
f4,2,-216
d5,3,-212
f4,2,-212
e6,3,-208
f4,2,-208
g7,3,-288
f4,2,-208
h7,3,-220
f4,2,-208
e8,3,-238
f4,2,-208
d1,1,-240
c5,2,-Infinity
f2,3,-254
c5,2,-254
f3,3,-241
c5,2,-241
b4,3,-215
c5,2,-215
f4,3,-236
c5,2,-215
b5,3,-245
c5,2,-215
d5,3,-220
c5,2,-215
e6,3,-222
c5,2,-215
g7,3,-282
c5,2,-215
h7,3,-234
c5,2,-215
c8,3,-198
c5,2,-198
e8,3,-252
c5,2,-198
d1,1,-240
d5,2,-Infinity
f2,3,-250
d5,2,-250
f3,3,-237
d5,2,-237
b4,3,-227
d5,2,-227
e4,3,-224
d5,2,-224
f4,3,-232
d5,2,-224
b5,3,-241
d5,2,-224
c5,3,-196
d5,2,-196
e6,3,-218
d5,2,-196
g7,3,-278
d5,2,-196
h7,3,-230
d5,2,-196
e8,3,-248
d5,2,-196
d1,1,-240
a7,2,-Infinity
f2,3,-202
a7,2,-202
f3,3,-189
a7,2,-189
b4,3,-179
a7,2,-179
e4,3,-190
a7,2,-179
f4,3,-184
a7,2,-179
c5,3,-178
a7,2,-178
d5,3,-182
a7,2,-178
e6,3,-184
a7,2,-178
g7,3,-230
a7,2,-178
h7,3,-182
a7,2,-178
e8,3,-200
a7,2,-178
d1,1,-240
a8,2,-Infinity
f2,3,-293
a8,2,-293
f3,3,-280
a8,2,-280
b4,3,-270
a8,2,-270
e4,3,-281
a8,2,-270
f4,3,-275
a8,2,-270
c5,3,-269
a8,2,-269
d5,3,-273
a8,2,-269
e6,3,-261
a8,2,-261
a7,3,-351
a8,2,-261
g7,3,-321
a8,2,-261
h7,3,-273
a8,2,-261
c8,3,-321
a8,2,-261
e8,3,-291
a8,2,-261
d1,1,-261
f8,2,-Infinity
f2,3,-244
f8,2,-244
f3,3,-231
f8,2,-231
b4,3,-221
f8,2,-221
e4,3,-232
f8,2,-221
f4,3,-226
f8,2,-221
b5,3,-243
f8,2,-221
d5,3,-210
f8,2,-210
e6,3,-212
f8,2,-210
g7,3,-292
f8,2,-210
h7,3,-224
f8,2,-210
e8,3,-242
f8,2,-210
d1,1,-261
root,0,-261
e2,1,Infinity
d1,2,-Infinity
b2,3,-277
d1,2,-277
f2,3,-251
d1,2,-251
f3,3,-246
d1,2,-246
e4,3,-231
d1,2,-231
f4,3,-241
d1,2,-231
b5,3,-250
d1,2,-231
c5,3,-227
d1,2,-227
d5,3,-217
d1,2,-217
e6,3,-219
d1,2,-217
g7,3,-279
d1,2,-217
h7,3,-231
d1,2,-217
e8,3,-249
d1,2,-217
e2,1,-217
e1,2,-Infinity
d1,3,-233
e1,2,-233
f2,3,-257
e1,2,-233
f3,3,-232
e1,2,-232
e4,3,-233
e1,2,-232
f4,3,-235
e1,2,-232
b5,3,-244
e1,2,-232
c5,3,-221
e1,2,-221
d5,3,-211
e1,2,-211
e6,3,-213
e1,2,-211
g7,3,-273
e1,2,-211
h7,3,-225
e1,2,-211
e8,3,-243
e1,2,-211
e2,1,-217
h2,2,-Infinity
f3,3,-256
h2,2,-256
b4,3,-260
h2,2,-256
e4,3,-263
h2,2,-256
f4,3,-259
h2,2,-256
b5,3,-282
h2,2,-256
c5,3,-259
h2,2,-256
d5,3,-249
h2,2,-249
e6,3,-253
h2,2,-249
g7,3,-311
h2,2,-249
e2,1,-249
b4,2,-Infinity
f2,3,-256
b4,2,-256
f3,3,-243
