O*XXO*O*
*O*OOO*O
**O*O*OO
*OO**XXX
XO*O*O*X
OOXOXOX*
X*XOXX*O
XX**XO*X
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
f1,2,-Infinity
b1,3,-105
f1,2,-105
f3,3,-138
f1,2,-105
a4,3,-135
f1,2,-105
e5,3,-145
f1,2,-105
g5,3,-154
f1,2,-105
h6,3,-129
f1,2,-105
b7,3,-171
f1,2,-105
g7,3,-191
f1,2,-105
d8,3,-149
f1,2,-105
g8,3,-161
f1,2,-105
a1,1,-105
h1,2,-Infinity
b1,3,-212
h1,2,-212
f3,3,-217
h1,2,-212
a4,3,-214
h1,2,-212
e5,3,-224
h1,2,-212
g5,3,-233
h1,2,-212
h6,3,-232
h1,2,-212
b7,3,-250
h1,2,-212
g7,3,-270
h1,2,-212
d8,3,-228
h1,2,-212
g8,3,-240
h1,2,-212
a1,1,-212
g2,2,-Infinity
b1,3,-81
g2,2,-81
f1,3,-141
g2,2,-81
f3,3,-94
g2,2,-81
a4,3,-83
g2,2,-81
e5,3,-101
g2,2,-81
g5,3,-158
g2,2,-81
h6,3,-77
g2,2,-77
b7,3,-119
g2,2,-77
g7,3,-139
g2,2,-77
d8,3,-97
g2,2,-77
g8,3,-109
g2,2,-77
a1,1,-212
a3,2,-Infinity
b1,3,-73
a3,2,-73
f3,3,-78
a3,2,-73
a4,3,-75
a3,2,-73
e5,3,-85
a3,2,-73
g5,3,-94
a3,2,-73
h6,3,-69
a3,2,-69
b7,3,-111
a3,2,-69
g7,3,-131
a3,2,-69
d8,3,-89
a3,2,-69
g8,3,-101
a3,2,-69
a1,1,-212
b3,2,-Infinity
b1,3,-117
b3,2,-117
a3,3,-137
b3,2,-117
d3,3,-125
b3,2,-117
f3,3,-122
b3,2,-117
a4,3,-119
b3,2,-117
d4,3,-129
b3,2,-117
c5,3,-125
b3,2,-117
e5,3,-129
b3,2,-117
g5,3,-138
b3,2,-117
h6,3,-113
b3,2,-113
b7,3,-169
b3,2,-113
g7,3,-175
b3,2,-113
d8,3,-133
b3,2,-113
a1,1,-212
d3,2,-Infinity
b1,3,-111
d3,2,-111
c2,3,-141
d3,2,-111
f3,3,-116
d3,2,-111
a4,3,-113
d3,2,-111
e5,3,-123
d3,2,-111
g5,3,-132
d3,2,-111
h6,3,-107
d3,2,-107
b7,3,-149
d3,2,-107
g7,3,-169
d3,2,-107
d8,3,-127
d3,2,-107
g8,3,-139
d3,2,-107
a1,1,-212
f3,2,-Infinity
b1,3,-114
f3,2,-114
a4,3,-116
f3,2,-114
e5,3,-126
f3,2,-114
g5,3,-135
f3,2,-114
h6,3,-110
f3,2,-110
b7,3,-152
f3,2,-110
g7,3,-172
f3,2,-110
d8,3,-130
f3,2,-110
g8,3,-142
f3,2,-110
a1,1,-212
a4,2,-Infinity
b1,3,-113
a4,2,-113
a3,3,-101
a4,2,-101
f3,3,-118
a4,2,-101
e5,3,-125
a4,2,-101
g5,3,-134
a4,2,-101
h6,3,-109
a4,2,-101
b7,3,-151
a4,2,-101
g7,3,-171
a4,2,-101
d8,3,-129
a4,2,-101
g8,3,-141
a4,2,-101
a1,1,-212
e4,2,-Infinity
b1,3,-121
e4,2,-121
d3,3,-137
e4,2,-121
f3,3,-118
e4,2,-118
a4,3,-123
e4,2,-118
d4,3,-141
e4,2,-118
e5,3,-133
e4,2,-118
g5,3,-142
e4,2,-118
h6,3,-117
e4,2,-117
b7,3,-173
e4,2,-117
g7,3,-179
e4,2,-117
d8,3,-137
e4,2,-117
g8,3,-149
e4,2,-117
a1,1,-212
c5,2,-Infinity
b1,3,-111
c5,2,-111
f3,3,-116
c5,2,-111
a4,3,-105
c5,2,-105
e5,3,-123
c5,2,-105
g5,3,-132
c5,2,-105
h6,3,-107
c5,2,-105
b7,3,-163
c5,2,-105
g7,3,-169
c5,2,-105
c8,3,-109
c5,2,-105
d8,3,-119
c5,2,-105
g8,3,-139
c5,2,-105
a1,1,-212
e5,2,-Infinity
b1,3,-121
e5,2,-121
f3,3,-126
e5,2,-121
a4,3,-123
e5,2,-121
d4,3,-141
e5,2,-121
c5,3,-135
e5,2,-121
g5,3,-142
e5,2,-121
h6,3,-117
e5,2,-117
b7,3,-159
e5,2,-117
g7,3,-179
e5,2,-117
d8,3,-137
e5,2,-117
g8,3,-149
e5,2,-117
a1,1,-212
g5,2,-Infinity
b1,3,-124
g5,2,-124
f3,3,-129
g5,2,-124
a4,3,-126
g5,2,-124
e5,3,-136
g5,2,-124
h6,3,-96
g5,2,-96
b7,3,-162
g5,2,-96
g7,3,-202
g5,2,-96
d8,3,-134
g5,2,-96
g8,3,-152
g5,2,-96
a1,1,-212
h6,2,-Infinity
b1,3,-105
h6,2,-105
f3,3,-110
h6,2,-105
a4,3,-107
h6,2,-105
e5,3,-117
h6,2,-105
g5,3,-126
h6,2,-105
b7,3,-143
h6,2,-105
g7,3,-163
h6,2,-105
d8,3,-121
h6,2,-105
g8,3,-133
h6,2,-105
a1,1,-212
c8,2,-Infinity
b1,3,-115
c8,2,-115
f3,3,-120
c8,2,-115
a4,3,-117
c8,2,-115
e5,3,-127
c8,2,-115
g5,3,-136
c8,2,-115
h6,3,-111
c8,2,-111
b7,3,-145
c8,2,-111
d8,3,-137
c8,2,-111
g8,3,-143
c8,2,-111
a1,1,-212
g8,2,-Infinity
b1,3,-121
g8,2,-121
f3,3,-126
g8,2,-121
a4,3,-123
g8,2,-121
e5,3,-133
g8,2,-121
g5,3,-142
g8,2,-121
h6,3,-117
g8,2,-117
b7,3,-159
g8,2,-117
g7,3,-179
g8,2,-117
d8,3,-149
g8,2,-117
a1,1,-212
root,0,-212
b1,1,Infinity
h1,2,-Infinity
a1,3,-212
h1,2,-212
a3,3,-303
h1,2,-212
b3,3,-315
h1,2,-212
f3,3,-248
h1,2,-212
a4,3,-245
h1,2,-212
e5,3,-255
h1,2,-212
g5,3,-264
h1,2,-212
h6,3,-263
h1,2,-212
b7,3,-281
h1,2,-212
g7,3,-301
h1,2,-212
d8,3,-259
h1,2,-212
g8,3,-271
h1,2,-212
b1,1,-212
g2,2,-Infinity
a1,3,-81
g2,2,-81
f1,3,-172
g2,2,-81
a3,3,-172
g2,2,-81
b3,3,-184
g2,2,-81
f3,3,-125
g2,2,-81
a4,3,-114
g2,2,-81
e5,3,-132
g2,2,-81
g5,3,-189
g2,2,-81
h6,3,-108
g2,2,-81
b7,3,-150
g2,2,-81
g7,3,-170
g2,2,-81
d8,3,-128
g2,2,-81
g8,3,-140
g2,2,-81
b1,1,-212
b3,2,-Infinity
a1,3,-117
b3,2,-117
a3,3,-216
b3,2,-117
d3,3,-156
b3,2,-117
f3,3,-153
b3,2,-117
a4,3,-150
b3,2,-117
d4,3,-160
b3,2,-117
c5,3,-156
b3,2,-117
e5,3,-160
b3,2,-117
g5,3,-169
b3,2,-117
h6,3,-144
b3,2,-117
b7,3,-200
b3,2,-117
g7,3,-206
b3,2,-117
d8,3,-164
b3,2,-117
b1,1,-212
a4,2,-Infinity
a1,3,-113
a4,2,-113
a3,3,-180
a4,2,-113
b3,3,-216
a4,2,-113
f3,3,-149
a4,2,-113
e5,3,-156
a4,2,-113
g5,3,-165
a4,2,-113
h6,3,-140
a4,2,-113
b7,3,-182
a4,2,-113
g7,3,-202
a4,2,-113
d8,3,-160
a4,2,-113
g8,3,-172
a4,2,-113
b1,1,-212
d4,2,-Infinity
c2,3,-168
d4,2,-168
a3,3,-218
d4,2,-168
b3,3,-230
d4,2,-168
d3,3,-174
d4,2,-168
f3,3,-163
d4,2,-163
a4,3,-160
d4,2,-160
e4,3,-178
d4,2,-160
c5,3,-174
d4,2,-160
e5,3,-170
d4,2,-160
g5,3,-179
d4,2,-160
h6,3,-154
d4,2,-154
b7,3,-196
d4,2,-154
g7,3,-216
d4,2,-154
d8,3,-174
d4,2,-154
g8,3,-186
d4,2,-154
b1,1,-212
e4,2,-Infinity
a1,3,-121
e4,2,-121
a3,3,-212
e4,2,-121
b3,3,-224
e4,2,-121
d3,3,-168
e4,2,-121
f3,3,-149
e4,2,-121
a4,3,-154
e4,2,-121
d4,3,-172
e4,2,-121
e5,3,-164
e4,2,-121
g5,3,-173
e4,2,-121
h6,3,-148
e4,2,-121
b7,3,-204
e4,2,-121
g7,3,-210
e4,2,-121
d8,3,-168
e4,2,-121
g8,3,-180
e4,2,-121
b1,1,-212
c5,2,-Infinity
a1,3,-111
c5,2,-111
a3,3,-202
c5,2,-111
b3,3,-214
c5,2,-111
f3,3,-147
c5,2,-111
a4,3,-136
c5,2,-111
e5,3,-154
c5,2,-111
g5,3,-163
c5,2,-111
h6,3,-138
c5,2,-111
b7,3,-194
c5,2,-111
g7,3,-200
c5,2,-111
c8,3,-140
c5,2,-111
d8,3,-150
c5,2,-111
g8,3,-170
c5,2,-111
b1,1,-212
e5,2,-Infinity
a1,3,-121
e5,2,-121
a3,3,-212
e5,2,-121
b3,3,-224
e5,2,-121
f3,3,-157
e5,2,-121
a4,3,-154
e5,2,-121
d4,3,-172
e5,2,-121
c5,3,-166
e5,2,-121
g5,3,-173
e5,2,-121
h6,3,-148
e5,2,-121
b7,3,-190
e5,2,-121
g7,3,-210
e5,2,-121
d8,3,-168
e5,2,-121
g8,3,-180
e5,2,-121
b1,1,-212
g5,2,-Infinity
a1,3,-124
g5,2,-124
a3,3,-215
g5,2,-124
b3,3,-227
g5,2,-124
f3,3,-160
g5,2,-124
a4,3,-157
g5,2,-124
e5,3,-167
g5,2,-124
h6,3,-127
g5,2,-124
b7,3,-193
g5,2,-124
g7,3,-233
g5,2,-124
d8,3,-165
g5,2,-124
g8,3,-183
g5,2,-124
b1,1,-212
h6,2,-Infinity
a1,3,-105
h6,2,-105
a3,3,-196
h6,2,-105
b3,3,-208
h6,2,-105
f3,3,-141
h6,2,-105
a4,3,-138
h6,2,-105
e5,3,-148
h6,2,-105
g5,3,-157
h6,2,-105
b7,3,-174
h6,2,-105
g7,3,-194
h6,2,-105
d8,3,-152
h6,2,-105
g8,3,-164
h6,2,-105
b1,1,-212
c8,2,-Infinity
a1,3,-115
c8,2,-115
a3,3,-206
c8,2,-115
b3,3,-218
c8,2,-115
f3,3,-151
c8,2,-115
a4,3,-148
c8,2,-115
e5,3,-158
c8,2,-115
g5,3,-167
c8,2,-115
h6,3,-142
c8,2,-115
b7,3,-176
c8,2,-115
d8,3,-168
c8,2,-115
g8,3,-174
c8,2,-115
b1,1,-212
g8,2,-Infinity
a1,3,-121
g8,2,-121
a3,3,-212
g8,2,-121
b3,3,-224
g8,2,-121
f3,3,-157
g8,2,-121
a4,3,-154
g8,2,-121
e5,3,-164
g8,2,-121
g5,3,-173
g8,2,-121
h6,3,-148
g8,2,-121
b7,3,-190
g8,2,-121
g7,3,-210
g8,2,-121
d8,3,-180
g8,2,-121
b1,1,-212
root,0,-212
f3,1,Infinity
f1,2,-Infinity
a1,3,-174
f1,2,-174
b1,3,-177
f1,2,-174
g2,3,-257
f1,2,-174
a4,3,-207
f1,2,-174
e4,3,-225
f1,2,-174
e5,3,-217
f1,2,-174
g5,3,-226
f1,2,-174
h6,3,-179
f1,2,-174
b7,3,-243
f1,2,-174
g7,3,-263
f1,2,-174
d8,3,-215
f1,2,-174
g8,3,-233
f1,2,-174
f3,1,-174
h1,2,-Infinity
a1,3,-217
h1,2,-217
b1,3,-248
h1,2,-217
a4,3,-250
h1,2,-217
g5,3,-277
h1,2,-217
h6,3,-268
h1,2,-217
b7,3,-286
h1,2,-217
g7,3,-306
h1,2,-217
d8,3,-264
h1,2,-217
g8,3,-276
h1,2,-217
f3,1,-217
g2,2,-Infinity
a1,3,-86
g2,2,-86
b1,3,-117
g2,2,-86
f1,3,-177
g2,2,-86
h1,3,-86
g2,2,-86
a4,3,-119
g2,2,-86
g5,3,-202
g2,2,-86
h6,3,-113
g2,2,-86
b7,3,-155
g2,2,-86
g7,3,-175
g2,2,-86
d8,3,-133
g2,2,-86
g8,3,-145
g2,2,-86
f3,1,-217
b3,2,-Infinity
a1,3,-122
b3,2,-122
b1,3,-209
b3,2,-122
a3,3,-173
b3,2,-122
d3,3,-161
b3,2,-122
a4,3,-155
b3,2,-122
d4,3,-165
b3,2,-122
c5,3,-161
b3,2,-122
g5,3,-182
b3,2,-122
h6,3,-149
b3,2,-122
b7,3,-205
b3,2,-122
g7,3,-211
b3,2,-122
d8,3,-169
b3,2,-122
f3,1,-217
d3,2,-Infinity
a1,3,-116
d3,2,-116
b1,3,-147
d3,2,-116
c2,3,-177
d3,2,-116
a4,3,-149
d3,2,-116
g5,3,-176
d3,2,-116
h6,3,-143
d3,2,-116
b7,3,-185
d3,2,-116
g7,3,-205
d3,2,-116
d8,3,-163
d3,2,-116
g8,3,-175
d3,2,-116
f3,1,-217
a4,2,-Infinity
a1,3,-118
a4,2,-118
b1,3,-149
a4,2,-118
a3,3,-137
a4,2,-118
g5,3,-178
a4,2,-118
h6,3,-145
a4,2,-118
b7,3,-187
a4,2,-118
g7,3,-207
a4,2,-118
d8,3,-165
a4,2,-118
g8,3,-177
a4,2,-118
f3,1,-217
d4,2,-Infinity
b1,3,-163
