OXXO*XXO
XO*OXX*O
X**OOXO*
OO*XOO*X
*X**O**X
X*OOXXO*
O*XOO*OO
***OX*XX
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
c2,2,-Infinity
g2,3,56
c2,2,56
b3,3,54
c2,2,56
c3,3,25
c2,2,56
c4,3,70
c2,2,70
f4,3,84
c2,2,84
g4,3,77
c2,2,84
a5,3,88
c2,2,88
c5,3,70
c2,2,88
d5,3,66
c2,2,88
f5,3,78
c2,2,88
g5,3,77
c2,2,88
b6,3,48
c2,2,88
b7,3,34
c2,2,88
b8,3,50
c2,2,88
c8,3,66
c2,2,88
f8,3,86
c2,2,88
e1,1,88
b3,2,-Infinity
c2,3,60
b3,2,60
g2,3,62
b3,2,62
c3,3,31
b3,2,62
c4,3,70
b3,2,70
f4,3,90
b3,2,90
g4,3,83
b3,2,90
a5,3,94
b3,2,94
c5,3,76
b3,2,94
d5,3,72
b3,2,94
f5,3,84
b3,2,94
g5,3,83
b3,2,94
b6,3,60
b3,2,94
b7,3,40
b3,2,94
b8,3,56
b3,2,94
c8,3,72
b3,2,94
f8,3,92
b3,2,94
e1,1,88
c3,2,-Infinity
c2,3,-5
c3,2,-5
g2,3,-19
c3,2,-5
b3,3,31
c3,2,31
c4,3,3
c3,2,31
f4,3,17
c3,2,31
g4,3,2
c3,2,31
a5,3,13
c3,2,31
c5,3,3
c3,2,31
d5,3,-1
c3,2,31
f5,3,3
c3,2,31
g5,3,2
c3,2,31
b6,3,-27
c3,2,31
b7,3,-41
c3,2,31
b8,3,-25
c3,2,31
c8,3,-9
c3,2,31
f8,3,11
c3,2,31
e1,1,31
h3,2,-Infinity
g2,3,4
h3,2,4
c3,3,21
h3,2,21
c4,3,18
h3,2,21
f4,3,24
h3,2,24
g4,3,25
h3,2,25
a5,3,36
h3,2,36
c5,3,18
h3,2,36
d5,3,14
h3,2,36
f5,3,26
h3,2,36
g5,3,25
h3,2,36
b6,3,-4
h3,2,36
h6,3,62
h3,2,62
b7,3,-18
h3,2,62
b8,3,-2
h3,2,62
c8,3,14
h3,2,62
f8,3,34
h3,2,62
e1,1,31
f4,2,-Infinity
c2,3,-10
f4,2,-10
c3,3,15
f4,2,15
g4,3,11
f4,2,15
a5,3,22
f4,2,22
c5,3,20
f4,2,22
d5,3,8
f4,2,22
f5,3,34
f4,2,34
g5,3,11
f4,2,34
b6,3,-18
f4,2,34
b7,3,-32
f4,2,34
b8,3,0
f4,2,34
c8,3,0
f4,2,34
f8,3,20
f4,2,34
e1,1,31
a5,2,-Infinity
g2,3,-14
a5,2,-14
c3,3,3
a5,2,3
c4,3,0
a5,2,3
f4,3,14
a5,2,14
g4,3,7
a5,2,14
c5,3,0
a5,2,14
d5,3,-4
a5,2,14
f5,3,8
a5,2,14
g5,3,7
a5,2,14
b6,3,-22
a5,2,14
b7,3,-36
a5,2,14
b8,3,-20
a5,2,14
c8,3,-4
a5,2,14
f8,3,16
a5,2,16
e1,1,16
c5,2,-Infinity
g2,3,-8
c5,2,-8
c3,3,9
c5,2,9
c4,3,0
c5,2,9
f4,3,20
c5,2,20
g4,3,13
c5,2,20
a5,3,24
c5,2,24
d5,3,2
c5,2,24
f5,3,14
c5,2,24
g5,3,13
c5,2,24
b6,3,12
c5,2,24
b7,3,-30
c5,2,24
b8,3,-14
c5,2,24
f8,3,22
c5,2,24
e1,1,16
d5,2,-Infinity
g2,3,4
d5,2,4
c3,3,21
d5,2,21
f4,3,32
d5,2,32
g4,3,25
d5,2,32
a5,3,36
d5,2,36
c5,3,18
d5,2,36
f5,3,26
d5,2,36
g5,3,25
d5,2,36
b6,3,-4
d5,2,36
b7,3,-18
d5,2,36
b8,3,-2
d5,2,36
c8,3,14
d5,2,36
f8,3,34
d5,2,36
e1,1,16
g5,2,-Infinity
g2,3,63
g5,2,63
c3,3,80
g5,2,80
c4,3,77
g5,2,80
f4,3,91
g5,2,91
g4,3,84
g5,2,91
a5,3,95
g5,2,95
c5,3,77
g5,2,95
d5,3,73
g5,2,95
f5,3,77
g5,2,95
b6,3,55
g5,2,95
h6,3,95
g5,2,95
b7,3,41
g5,2,95
f7,3,21
g5,2,95
b8,3,57
g5,2,95
c8,3,73
g5,2,95
f8,3,93
g5,2,95
e1,1,16
b6,2,-Infinity
g2,3,-14
b6,2,-14
c3,3,3
b6,2,3
c4,3,0
b6,2,3
f4,3,14
b6,2,14
g4,3,7
b6,2,14
a5,3,2
b6,2,14
c5,3,0
b6,2,14
d5,3,4
b6,2,14
f5,3,8
b6,2,14
g5,3,7
b6,2,14
b7,3,-50
b6,2,14
b8,3,-12
b6,2,14
f8,3,16
b6,2,16
e1,1,16
h6,2,-Infinity
g2,3,20
h6,2,20
c3,3,37
h6,2,37
c4,3,34
h6,2,37
f4,3,48
h6,2,48
g4,3,41
h6,2,48
a5,3,52
h6,2,52
c5,3,34
h6,2,52
d5,3,30
h6,2,52
f5,3,42
h6,2,52
g5,3,33
h6,2,52
b6,3,12
h6,2,52
b7,3,-2
h6,2,52
b8,3,14
h6,2,52
c8,3,30
h6,2,52
f8,3,50
h6,2,52
e1,1,16
f7,2,-Infinity
g2,3,28
f7,2,28
c3,3,45
f7,2,45
c4,3,42
f7,2,45
f4,3,56
f7,2,56
g4,3,49
f7,2,56
a5,3,60
f7,2,60
c5,3,42
f7,2,60
d5,3,38
f7,2,60
f5,3,34
f7,2,60
g5,3,35
f7,2,60
b6,3,20
f7,2,60
h6,3,60
f7,2,60
b7,3,-14
f7,2,60
b8,3,22
f7,2,60
c8,3,38
f7,2,60
f8,3,52
f7,2,60
e1,1,16
a8,2,-Infinity
g2,3,-79
a8,2,-79
c3,3,-62
a8,2,-62
c4,3,-65
a8,2,-62
f4,3,-51
a8,2,-51
g4,3,-58
a8,2,-51
c5,3,-65
a8,2,-51
d5,3,-69
a8,2,-51
f5,3,-57
a8,2,-51
g5,3,-58
a8,2,-51
b6,3,-87
a8,2,-51
b7,3,-101
a8,2,-51
b8,3,-85
a8,2,-51
c8,3,-69
a8,2,-51
f8,3,-49
a8,2,-49
e1,1,-49
c8,2,-Infinity
g2,3,-10
c8,2,-10
c3,3,7
c8,2,7
c4,3,4
c8,2,7
f4,3,18
c8,2,18
g4,3,11
c8,2,18
a5,3,22
c8,2,22
c5,3,4
c8,2,22
d5,3,0
c8,2,22
g5,3,11
c8,2,22
b6,3,-10
c8,2,22
b7,3,-38
c8,2,22
b8,3,-16
c8,2,22
e1,1,-49
root,0,-49
g2,1,Infinity
e1,2,-Infinity
c3,3,1
e1,2,1
h3,3,-6
e1,2,1
c4,3,-2
e1,2,1
f4,3,-2
e1,2,1
g4,3,-17
e1,2,1
a5,3,16
e1,2,16
d5,3,-6
e1,2,16
f5,3,6
e1,2,16
g5,3,5
e1,2,16
b6,3,-24
e1,2,16
b7,3,-38
e1,2,16
b8,3,-22
e1,2,16
c8,3,-6
e1,2,16
f8,3,14
e1,2,16
g2,1,16
c2,2,-Infinity
e1,3,48
c2,2,48
b3,3,30
c2,2,48
c3,3,1
c2,2,48
c4,3,46
c2,2,48
f4,3,54
c2,2,54
a5,3,64
c2,2,64
c5,3,54
c2,2,64
d5,3,42
c2,2,64
f5,3,54
c2,2,64
g5,3,53
c2,2,64
b6,3,24
c2,2,64
b7,3,10
c2,2,64
b8,3,26
c2,2,64
c8,3,42
c2,2,64
f8,3,62
c2,2,64
g2,1,16
b3,2,-Infinity
e1,3,54
b3,2,54
c2,3,36
b3,2,54
c3,3,7
b3,2,54
c4,3,46
b3,2,54
f4,3,60
b3,2,60
a5,3,70
b3,2,70
c5,3,60
b3,2,70
d5,3,48
b3,2,70
f5,3,60
b3,2,70
g5,3,59
b3,2,70
b6,3,36
b3,2,70
b7,3,16
b3,2,70
b8,3,32
b3,2,70
c8,3,48
b3,2,70
f8,3,68
b3,2,70
g2,1,16
c3,2,-Infinity
e1,3,-19
c3,2,-19
c2,3,-21
c3,2,-19
b3,3,1
c3,2,1
c4,3,-13
c3,2,1
f4,3,-13
c3,2,1
a5,3,-3
c3,2,1
c5,3,-13
c3,2,1
d5,3,-17
c3,2,1
f5,3,-13
c3,2,1
g5,3,-14
c3,2,1
b6,3,-43
c3,2,1
b7,3,-57
c3,2,1
b8,3,-41
c3,2,1
c8,3,-25
c3,2,1
f8,3,-5
c3,2,1
g2,1,1
h3,2,-Infinity
e1,3,30
h3,2,30
c3,3,31
h3,2,31
c4,3,28
h3,2,31
f4,3,42
h3,2,42
g4,3,35
h3,2,42
a5,3,46
h3,2,46
c5,3,36
h3,2,46
d5,3,24
h3,2,46
f5,3,36
h3,2,46
g5,3,35
h3,2,46
b6,3,6
h3,2,46
h6,3,72
h3,2,72
b7,3,-8
h3,2,72
b8,3,8
h3,2,72
c8,3,24
h3,2,72
f8,3,44
h3,2,72
g2,1,1
c4,2,-Infinity
e1,3,-8
c4,2,-8
c2,3,-12
c4,2,-8
c3,3,7
c4,2,7
f4,3,-4
c4,2,7
a5,3,6
c4,2,7
c5,3,-4
c4,2,7
d5,3,-8
c4,2,7
f5,3,-4
c4,2,7
g5,3,-5
c4,2,7
b6,3,-34
c4,2,7
b7,3,-48
c4,2,7
b8,3,-32
c4,2,7
c8,3,-16
c4,2,7
f8,3,4
c4,2,7
g2,1,1
f4,2,-Infinity
e1,3,-30
f4,2,-30
c3,3,-7
f4,2,-7
g4,3,-17
f4,2,-7
a5,3,-6
f4,2,-6
c5,3,-16
f4,2,-6
d5,3,-6
f4,2,-6
f5,3,-16
f4,2,-6
g5,3,-1
f4,2,-1
b6,3,-46
f4,2,-1
b7,3,-60
f4,2,-1
b8,3,-28
f4,2,-1
c8,3,-28
f4,2,-1
f8,3,-8
f4,2,-1
g2,1,-1
g4,2,-Infinity
e1,3,55
g4,2,55
c3,3,56
g4,2,56
h3,3,49
g4,2,56
c4,3,53
g4,2,56
f4,3,53
g4,2,56
a5,3,71
g4,2,71
c5,3,61
g4,2,71
d5,3,49
g4,2,71
f5,3,61
g4,2,71
g5,3,60
g4,2,71
b6,3,31
g4,2,71
b7,3,17
g4,2,71
b8,3,33
g4,2,71
c8,3,49
g4,2,71
f8,3,69
g4,2,71
g2,1,-1
a5,2,-Infinity
e1,3,-22
a5,2,-22
c3,3,-21
a5,2,-21
c4,3,-24
a5,2,-21
f4,3,-16
a5,2,-16
c5,3,-16
a5,2,-16
d5,3,-28
a5,2,-16
f5,3,-16
a5,2,-16
g5,3,-17
a5,2,-16
b6,3,-46
a5,2,-16
b7,3,-60
a5,2,-16
b8,3,-44
a5,2,-16
c8,3,-28
a5,2,-16
f8,3,-8
a5,2,-8
g2,1,-8
c5,2,-Infinity
e1,3,-16
c5,2,-16
c3,3,-15
c5,2,-15
c4,3,-24
c5,2,-15
f4,3,-10
c5,2,-10
a5,3,0
c5,2,0
d5,3,-22
c5,2,0
f5,3,-10
c5,2,0
g5,3,-11
c5,2,0
b6,3,-4
c5,2,0
b7,3,-54
c5,2,0
b8,3,-38
c5,2,0
f8,3,-2
c5,2,0
g2,1,-8
g5,2,-Infinity
e1,3,55
g5,2,55
c3,3,56
g5,2,56
c4,3,53
g5,2,56
f4,3,61
g5,2,61
a5,3,71
g5,2,71
c5,3,61
g5,2,71
d5,3,49
g5,2,71
f5,3,53
g5,2,71
b6,3,31
g5,2,71
h6,3,71
g5,2,71
b7,3,17
g5,2,71
f7,3,-3
g5,2,71
b8,3,33
g5,2,71
c8,3,49
g5,2,71
f8,3,69
g5,2,71
g2,1,-8
b6,2,-Infinity
e1,3,-22
b6,2,-22
c3,3,-21
b6,2,-21
c4,3,-24
b6,2,-21
f4,3,-16
b6,2,-16
a5,3,-22
b6,2,-16
c5,3,-16
b6,2,-16
d5,3,-20
b6,2,-16
f5,3,-16
b6,2,-16
g5,3,-17
b6,2,-16
b7,3,-74
b6,2,-16
b8,3,-36
b6,2,-16
f8,3,-8
b6,2,-8
g2,1,-8
h6,2,-Infinity
e1,3,12
h6,2,12
c3,3,13
h6,2,13
c4,3,10
h6,2,13
f4,3,18
h6,2,18
a5,3,28
h6,2,28
c5,3,18
h6,2,28
d5,3,6
h6,2,28
f5,3,18
h6,2,28
g5,3,9
h6,2,28
b6,3,-12
h6,2,28
b7,3,-26
h6,2,28
b8,3,-10
h6,2,28
c8,3,6
h6,2,28
f8,3,26
h6,2,28
g2,1,-8
f7,2,-Infinity
e1,3,20
f7,2,20
c3,3,21
f7,2,21
c4,3,18
f7,2,21
f4,3,26
f7,2,26
a5,3,36
f7,2,36
c5,3,26
f7,2,36
d5,3,14
f7,2,36
f5,3,10
f7,2,36
g5,3,11
f7,2,36
b6,3,-4
f7,2,36
h6,3,36
f7,2,36
b7,3,-38
f7,2,36
b8,3,-2
f7,2,36
c8,3,14
f7,2,36
f8,3,28
f7,2,36
g2,1,-8
a8,2,-Infinity
e1,3,-87
a8,2,-87
c3,3,-86
a8,2,-86
c4,3,-89
a8,2,-86
f4,3,-81
a8,2,-81
c5,3,-81
a8,2,-81
d5,3,-93
a8,2,-81
f5,3,-81
a8,2,-81
g5,3,-82
a8,2,-81
b6,3,-111
a8,2,-81
b7,3,-125
a8,2,-81
b8,3,-109
a8,2,-81
c8,3,-93
a8,2,-81
f8,3,-73
a8,2,-73
g2,1,-73
c8,2,-Infinity
e1,3,-18
c8,2,-18
c3,3,-17
c8,2,-17
c4,3,-20
c8,2,-17
f4,3,-12
c8,2,-12
a5,3,-2
c8,2,-2
c5,3,-12
c8,2,-2
d5,3,-24
c8,2,-2
g5,3,-13
c8,2,-2
b6,3,-34
c8,2,-2
b7,3,-62
c8,2,-2
b8,3,-40
c8,2,-2
g2,1,-73
root,0,-49
c3,1,Infinity
e1,2,-Infinity
g2,3,-21
e1,2,-21
f4,3,15
e1,2,15
a5,3,25
e1,2,25
f5,3,15
e1,2,25
g5,3,14
e1,2,25
b6,3,-15
e1,2,25
b7,3,-29
e1,2,25
b8,3,-13
e1,2,25
c8,3,3
e1,2,25
f8,3,23
e1,2,25
c3,1,25
c2,2,-Infinity
e1,3,73
c2,2,73
g2,3,69
c2,2,73
b3,3,67
c2,2,73
g4,3,84
c2,2,84
a5,3,101
c2,2,101
f5,3,91
c2,2,101
g5,3,90
c2,2,101
b6,3,61
c2,2,101
b7,3,47
c2,2,101
b8,3,63
c2,2,101
c8,3,79
c2,2,101
f8,3,99
c2,2,101
c3,1,25
b3,2,-Infinity
e1,3,57
b3,2,57
c2,3,53
b3,2,57
g2,3,33
b3,2,57
c4,3,55
b3,2,57
f4,3,69
b3,2,69
g4,3,62
b3,2,69
a5,3,87
b3,2,87
f5,3,69
b3,2,87
g5,3,68
b3,2,87
b6,3,45
b3,2,87
b7,3,25
b3,2,87
b8,3,41
b3,2,87
c8,3,57
b3,2,87
f8,3,77
b3,2,87
c3,1,25
h3,2,-Infinity
e1,3,29
h3,2,29
g2,3,-3
h3,2,29
f4,3,25
h3,2,29
g4,3,26
h3,2,29
a5,3,43
h3,2,43
f5,3,33
h3,2,43
g5,3,32
h3,2,43
b6,3,3
h3,2,43
h6,3,69
h3,2,69
b7,3,-11
h3,2,69
b8,3,5
h3,2,69
c8,3,21
h3,2,69
f8,3,41
h3,2,69
c3,1,25
c4,2,-Infinity
e1,3,9
c4,2,9
c2,3,13
c4,2,13
g2,3,-15
c4,2,13
f4,3,21
c4,2,21
g4,3,14
c4,2,21
a5,3,31
c4,2,31
c5,3,21
c4,2,31
f5,3,21
c4,2,31
g5,3,20
c4,2,31
b6,3,-9
c4,2,31
b7,3,-23
c4,2,31
b8,3,-7
c4,2,31
c8,3,9
c4,2,31
f8,3,29
c4,2,31
c3,1,25
f4,2,-Infinity
e1,3,9
f4,2,9
g2,3,-15
f4,2,9
g4,3,22
f4,2,22
a5,3,31
f4,2,31
c5,3,21
f4,2,31
d5,3,17
f4,2,31
f5,3,21
f4,2,31
g5,3,36
f4,2,36
b6,3,-9
f4,2,36
b7,3,-23
f4,2,36
b8,3,9
f4,2,36
c8,3,9
f4,2,36
f8,3,29
f4,2,36
c3,1,25
a5,2,-Infinity
e1,3,3
a5,2,3
g2,3,-21
a5,2,3
f4,3,15
a5,2,15
g4,3,8
