XXXXXOXO
OX*OX**O
*XXO*XOX
X*OX**O*
OX**XXO*
XX**OXXX
X*OXXXXO
XOXOOXOX
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
c2,2,-Infinity
g2,3,202
c2,2,202
a3,3,190
c2,2,202
e3,3,266
c2,2,266
b4,3,259
c2,2,266
e4,3,246
c2,2,266
f4,3,244
c2,2,266
h4,3,246
c2,2,266
c5,3,264
c2,2,266
d5,3,262
c2,2,266
h5,3,240
c2,2,266
c6,3,245
c2,2,266
d6,3,258
c2,2,266
b7,3,214
c2,2,266
a1,1,266
f2,2,-Infinity
g2,3,174
f2,2,174
a3,3,210
f2,2,210
e3,3,210
f2,2,210
b4,3,223
f2,2,223
f4,3,216
f2,2,223
h4,3,202
f2,2,223
c5,3,230
f2,2,230
d5,3,234
f2,2,234
h5,3,212
f2,2,234
c6,3,217
f2,2,234
d6,3,230
f2,2,234
b7,3,186
f2,2,234
a1,1,234
a3,2,-Infinity
c2,3,172
a3,2,172
g2,3,138
a3,2,172
e3,3,180
a3,2,180
b4,3,187
a3,2,187
f4,3,180
a3,2,187
h4,3,182
a3,2,187
d5,3,190
a3,2,190
h5,3,176
a3,2,190
c6,3,181
a3,2,190
d6,3,194
a3,2,194
b7,3,150
a3,2,194
a1,1,194
e3,2,-Infinity
c2,3,180
e3,2,180
f2,3,194
e3,2,194
g2,3,146
e3,2,194
a3,3,182
e3,2,194
b4,3,195
e3,2,195
e4,3,198
e3,2,198
f4,3,190
e3,2,198
h4,3,190
e3,2,198
c5,3,202
e3,2,202
d5,3,206
e3,2,206
h5,3,198
e3,2,206
c6,3,189
e3,2,206
d6,3,202
e3,2,206
b7,3,158
e3,2,206
a1,1,194
b4,2,-Infinity
c2,3,187
b4,2,187
g2,3,153
b4,2,187
a3,3,189
b4,2,189
e3,3,217
b4,2,217
f4,3,195
b4,2,217
h4,3,197
b4,2,217
d5,3,213
b4,2,217
h5,3,191
b4,2,217
c6,3,196
b4,2,217
d6,3,209
b4,2,217
b7,3,165
b4,2,217
a1,1,194
e4,2,-Infinity
c2,3,198
e4,2,198
g2,3,156
e4,2,198
a3,3,200
e4,2,200
e3,3,222
e4,2,222
f4,3,214
e4,2,222
h4,3,208
e4,2,222
c5,3,220
e4,2,222
d5,3,226
e4,2,226
h5,3,200
e4,2,226
c6,3,207
e4,2,226
d6,3,220
e4,2,226
b7,3,176
e4,2,226
a1,1,194
h4,2,-Infinity
c2,3,176
h4,2,176
g2,3,142
h4,2,176
a3,3,178
h4,2,178
e3,3,192
h4,2,192
b4,3,191
h4,2,192
f4,3,184
h4,2,192
c5,3,198
h4,2,198
d5,3,202
h4,2,202
h5,3,180
h4,2,202
c6,3,185
h4,2,202
d6,3,198
h4,2,202
b7,3,154
h4,2,202
a1,1,194
c5,2,-Infinity
c2,3,200
c5,2,200
g2,3,166
c5,2,200
a3,3,202
c5,2,202
e3,3,216
c5,2,216
b4,3,209
c5,2,216
f4,3,208
c5,2,216
h4,3,210
c5,2,216
d5,3,226
c5,2,226
h5,3,204
c5,2,226
c6,3,219
c5,2,226
d6,3,222
c5,2,226
b7,3,178
c5,2,226
a1,1,194
d5,2,-Infinity
c2,3,190
d5,2,190
g2,3,156
d5,2,190
a3,3,192
d5,2,192
e3,3,206
d5,2,206
e4,3,216
d5,2,216
f4,3,206
d5,2,216
h4,3,200
d5,2,216
c5,3,212
d5,2,216
h5,3,200
d5,2,216
c6,3,199
d5,2,216
d6,3,214
d5,2,216
b7,3,168
d5,2,216
a1,1,194
h5,2,-Infinity
c2,3,192
h5,2,192
g2,3,150
h5,2,192
a3,3,194
h5,2,194
e3,3,208
h5,2,208
b4,3,207
h5,2,208
h4,3,214
h5,2,214
c5,3,214
h5,2,214
d5,3,210
h5,2,214
c6,3,201
h5,2,214
d6,3,214
h5,2,214
b7,3,170
h5,2,214
a1,1,194
c6,2,-Infinity
c2,3,197
c6,2,197
g2,3,163
c6,2,197
a3,3,199
c6,2,199
e3,3,213
c6,2,213
b4,3,212
c6,2,213
f4,3,205
c6,2,213
h4,3,207
c6,2,213
c5,3,225
c6,2,225
d5,3,223
c6,2,225
h5,3,201
c6,2,225
d6,3,233
c6,2,233
b7,3,169
c6,2,233
a1,1,194
d6,2,-Infinity
c2,3,200
d6,2,200
g2,3,166
d6,2,200
a3,3,202
d6,2,202
e3,3,216
d6,2,216
b4,3,215
d6,2,216
f4,3,208
d6,2,216
h4,3,210
d6,2,216
c5,3,230
d6,2,230
d5,3,226
d6,2,230
h5,3,204
d6,2,230
c6,3,225
d6,2,230
b7,3,172
d6,2,230
a1,1,194
root,0,194
c2,1,Infinity
a1,2,-Infinity
g2,3,-34
a1,2,-34
e3,3,36
a1,2,36
b4,3,21
a1,2,36
e4,3,26
a1,2,36
f4,3,8
a1,2,36
h4,3,10
a1,2,36
c5,3,36
a1,2,36
d5,3,34
a1,2,36
h5,3,4
a1,2,36
c6,3,9
a1,2,36
d6,3,22
a1,2,36
b7,3,-22
a1,2,36
c2,1,36
f2,2,-Infinity
a1,3,222
f2,2,222
g2,3,113
f2,2,222
a3,3,117
f2,2,222
e3,3,163
f2,2,222
b4,3,162
f2,2,222
e4,3,165
f2,2,222
f4,3,155
f2,2,222
h4,3,141
f2,2,222
c5,3,175
f2,2,222
d5,3,175
f2,2,222
h5,3,151
f2,2,222
c6,3,156
f2,2,222
d6,3,169
f2,2,222
b7,3,125
f2,2,222
c2,1,36
a3,2,-Infinity
a1,3,210
a3,2,210
g2,3,77
a3,2,210
b4,3,76
a3,2,210
e4,3,137
a3,2,210
f4,3,119
a3,2,210
h4,3,121
a3,2,210
c5,3,147
a3,2,210
d5,3,137
a3,2,210
h5,3,115
a3,2,210
c6,3,120
a3,2,210
d6,3,133
a3,2,210
b7,3,89
a3,2,210
c2,1,36
e3,2,-Infinity
a1,3,180
e3,2,180
g2,3,71
e3,2,180
a3,3,75
e3,2,180
b4,3,126
e3,2,180
e4,3,139
e3,2,180
f4,3,121
e3,2,180
h4,3,115
e3,2,180
c5,3,141
e3,2,180
d5,3,139
e3,2,180
h5,3,123
e3,2,180
c6,3,114
e3,2,180
d6,3,127
e3,2,180
b7,3,83
e3,2,180
c2,1,36
b4,2,-Infinity
a1,3,209
b4,2,209
g2,3,100
b4,2,209
a3,3,104
b4,2,209
e4,3,162
b4,2,209
f4,3,142
b4,2,209
h4,3,144
b4,2,209
c5,3,170
b4,2,209
d5,3,160
b4,2,209
h5,3,138
b4,2,209
c6,3,143
b4,2,209
d6,3,156
b4,2,209
b7,3,112
b4,2,209
c2,1,36
e4,2,-Infinity
a1,3,198
e4,2,198
g2,3,81
e4,2,198
a3,3,93
e4,2,198
e3,3,167
e4,2,198
b4,3,144
e4,2,198
f4,3,139
e4,2,198
h4,3,133
e4,2,198
c5,3,159
e4,2,198
d5,3,157
e4,2,198
h5,3,125
e4,2,198
c6,3,132
e4,2,198
d6,3,145
e4,2,198
b7,3,101
e4,2,198
c2,1,36
h4,2,-Infinity
a1,3,176
h4,2,176
g2,3,67
h4,2,176
a3,3,71
h4,2,176
e3,3,137
h4,2,176
b4,3,122
h4,2,176
e4,3,127
h4,2,176
f4,3,109
h4,2,176
c5,3,137
h4,2,176
d5,3,135
h4,2,176
h5,3,105
h4,2,176
c6,3,110
h4,2,176
d6,3,123
h4,2,176
b7,3,79
h4,2,176
c2,1,36
c5,2,-Infinity
a1,3,200
c5,2,200
g2,3,91
c5,2,200
a3,3,95
c5,2,200
e3,3,169
c5,2,200
b4,3,140
c5,2,200
e4,3,151
c5,2,200
f4,3,133
c5,2,200
h4,3,135
c5,2,200
d5,3,159
c5,2,200
h5,3,129
c5,2,200
c6,3,158
c5,2,200
d6,3,147
c5,2,200
b7,3,103
c5,2,200
c2,1,36
h5,2,-Infinity
a1,3,192
h5,2,192
g2,3,75
h5,2,192
a3,3,87
h5,2,192
e3,3,153
h5,2,192
b4,3,138
h5,2,192
e4,3,143
h5,2,192
h4,3,139
h5,2,192
c5,3,153
h5,2,192
d5,3,143
h5,2,192
c6,3,126
h5,2,192
d6,3,139
h5,2,192
b7,3,95
h5,2,192
c2,1,36
c6,2,-Infinity
a1,3,197
c6,2,197
g2,3,88
c6,2,197
a3,3,92
c6,2,197
e3,3,158
c6,2,197
b4,3,143
c6,2,197
e4,3,148
c6,2,197
f4,3,130
c6,2,197
h4,3,132
c6,2,197
c5,3,164
c6,2,197
d5,3,156
c6,2,197
h5,3,126
c6,2,197
d6,3,158
c6,2,197
b7,3,94
c6,2,197
c2,1,36
d6,2,-Infinity
a1,3,200
d6,2,200
g2,3,91
d6,2,200
a3,3,95
d6,2,200
e3,3,161
d6,2,200
b4,3,146
d6,2,200
e4,3,151
d6,2,200
f4,3,133
d6,2,200
h4,3,135
d6,2,200
c5,3,169
d6,2,200
d5,3,159
d6,2,200
h5,3,129
d6,2,200
c6,3,150
d6,2,200
b7,3,97
d6,2,200
c2,1,36
root,0,194
g2,1,Infinity
a1,2,-Infinity
c2,3,-34
a1,2,-34
e3,3,2
a1,2,2
e4,3,-16
a1,2,2
d5,3,-8
a1,2,2
c6,3,-25
a1,2,2
d6,3,-12
a1,2,2
b7,3,-56
a1,2,2
g2,1,2
f2,2,-Infinity
a1,3,222
f2,2,222
a3,3,117
f2,2,222
e3,3,163
f2,2,222
b4,3,162
f2,2,222
e4,3,165
f2,2,222
d5,3,175
f2,2,222
c6,3,156
f2,2,222
d6,3,169
f2,2,222
b7,3,125
f2,2,222
g2,1,2
a3,2,-Infinity
a1,3,176
a3,2,176
c2,3,77
a3,2,176
e3,3,85
a3,2,176
b4,3,36
a3,2,176
e4,3,95
a3,2,176
d5,3,97
a3,2,176
c6,3,86
a3,2,176
d6,3,99
a3,2,176
b7,3,55
a3,2,176
g2,1,2
b4,2,-Infinity
a1,3,175
b4,2,175
c2,3,92
b4,2,175
a3,3,70
b4,2,175
e3,3,108
b4,2,175
e4,3,120
b4,2,175
d5,3,120
b4,2,175
c6,3,109
b4,2,175
d6,3,122
b4,2,175
b7,3,78
b4,2,175
g2,1,2
e4,2,-Infinity
a1,3,198
e4,2,198
c2,3,123
e4,2,198
a3,3,93
e4,2,198
e3,3,175
e4,2,198
b4,3,138
e4,2,198
f4,3,145
e4,2,198
d5,3,159
e4,2,198
h5,3,131
e4,2,198
c6,3,132
e4,2,198
d6,3,145
e4,2,198
b7,3,101
e4,2,198
g2,1,2
f4,2,-Infinity
a1,3,168
f4,2,168
c2,3,93
f4,2,168
a3,3,63
f4,2,168
e3,3,131
f4,2,168
b4,3,108
f4,2,168
e4,3,119
f4,2,168
d5,3,121
f4,2,168
c6,3,102
f4,2,168
d6,3,115
f4,2,168
b7,3,71
f4,2,168
g2,1,2
h4,2,-Infinity
a1,3,154
h4,2,154
c2,3,65
h4,2,154
a3,3,35
h4,2,154
e3,3,95
h4,2,154
b4,3,80
h4,2,154
f4,3,73
h4,2,154
d5,3,93
h4,2,154
h5,3,75
h4,2,154
c6,3,74
h4,2,154
d6,3,95
h4,2,154
b7,3,43
h4,2,154
g2,1,2
c5,2,-Infinity
a1,3,166
c5,2,166
c2,3,91
c5,2,166
a3,3,61
c5,2,166
e3,3,129
c5,2,166
b4,3,100
c5,2,166
e4,3,109
c5,2,166
d5,3,119
c5,2,166
c6,3,94
c5,2,166
d6,3,113
c5,2,166
b7,3,69
c5,2,166
g2,1,2
h5,2,-Infinity
a1,3,156
h5,2,156
c2,3,81
h5,2,156
a3,3,51
h5,2,156
e3,3,111
h5,2,156
b4,3,96
h5,2,156
e4,3,99
h5,2,156
f4,3,103
h5,2,156
h4,3,103
h5,2,156
d5,3,101
h5,2,156
c6,3,90
h5,2,156
d6,3,103
h5,2,156
b7,3,59
h5,2,156
g2,1,2
c6,2,-Infinity
a1,3,163
c6,2,163
c2,3,88
c6,2,163
a3,3,58
c6,2,163
e3,3,118
c6,2,163
b4,3,103
c6,2,163
e4,3,106
c6,2,163
c5,3,108
c6,2,163
d5,3,116
c6,2,163
d6,3,124
c6,2,163
b7,3,60
c6,2,163
g2,1,2
d6,2,-Infinity
a1,3,166
d6,2,166
c2,3,91
d6,2,166
a3,3,61
d6,2,166
e3,3,121
d6,2,166
b4,3,106
d6,2,166
e4,3,109
d6,2,166
c5,3,113
d6,2,166
d5,3,119
d6,2,166
c6,3,116
d6,2,166
b7,3,63
d6,2,166
g2,1,2
root,0,194
a3,1,Infinity
a1,2,-Infinity
c2,3,18
a1,2,18
g2,3,-16
a1,2,18
e3,3,54
a1,2,54
e4,3,36
a1,2,54
f4,3,26
a1,2,54
h4,3,28
a1,2,54
d5,3,44
a1,2,54
h5,3,22
a1,2,54
c6,3,27
a1,2,54
d6,3,40
a1,2,54
b7,3,-4
a1,2,54
a3,1,54
c2,2,-Infinity
a1,3,204
c2,2,204
g2,3,111
c2,2,204
e3,3,175
c2,2,204
b4,3,160
c2,2,204
e4,3,163
c2,2,204
f4,3,153
c2,2,204
h4,3,155
c2,2,204
c5,3,173
c2,2,204
d5,3,173
c2,2,204
h5,3,149
c2,2,204
c6,3,154
c2,2,204
d6,3,167
c2,2,204
b7,3,123
c2,2,204
