XOXX**O*
***OXXOO
**X*OOXX
OOO**O*X
OOX*XO*O
O*O*X*XX
OX**OX*O
*OO*XXOX
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
f1,2,-Infinity
h1,3,-187
f1,2,-187
c2,3,-228
f1,2,-187
a4,3,-204
f1,2,-187
e4,3,-230
f1,2,-187
g4,3,-297
f1,2,-187
d5,3,-230
f1,2,-187
b6,3,-290
f1,2,-187
d6,3,-226
f1,2,-187
c7,3,-290
f1,2,-187
d7,3,-233
f1,2,-187
g7,3,-270
f1,2,-187
a8,3,-187
f1,2,-187
d8,3,-204
f1,2,-187
e1,1,-187
h1,2,-Infinity
f1,3,-337
h1,2,-337
c2,3,-327
h1,2,-327
a4,3,-303
h1,2,-303
e4,3,-329
h1,2,-303
g4,3,-348
h1,2,-303
d5,3,-329
h1,2,-303
b6,3,-389
h1,2,-303
d6,3,-325
h1,2,-303
c7,3,-389
h1,2,-303
d7,3,-332
h1,2,-303
g7,3,-369
h1,2,-303
a8,3,-286
h1,2,-286
d8,3,-303
h1,2,-286
e1,1,-286
c2,2,-Infinity
f1,3,-238
c2,2,-238
b2,3,-290
c2,2,-238
b3,3,-250
c2,2,-238
d3,3,-248
c2,2,-238
a4,3,-204
c2,2,-204
e4,3,-230
c2,2,-204
g4,3,-249
c2,2,-204
d5,3,-230
c2,2,-204
b6,3,-290
c2,2,-204
d6,3,-226
c2,2,-204
c7,3,-290
c2,2,-204
d7,3,-233
c2,2,-204
g7,3,-270
c2,2,-204
a8,3,-187
c2,2,-187
d8,3,-204
c2,2,-187
e1,1,-286
a3,2,-Infinity
f1,3,-256
a3,2,-256
c2,3,-246
a3,2,-246
b3,3,-266
a3,2,-246
a4,3,-228
a3,2,-228
e4,3,-248
a3,2,-228
g4,3,-267
a3,2,-228
d5,3,-248
a3,2,-228
b6,3,-308
a3,2,-228
d6,3,-252
a3,2,-228
c7,3,-308
a3,2,-228
d7,3,-251
a3,2,-228
g7,3,-288
a3,2,-228
a8,3,-205
a3,2,-205
d8,3,-222
a3,2,-205
e1,1,-286
d3,2,-Infinity
f1,3,-268
d3,2,-268
c2,3,-256
d3,2,-256
a4,3,-254
d3,2,-254
d4,3,-266
d3,2,-254
e4,3,-252
d3,2,-252
g4,3,-279
d3,2,-252
d5,3,-282
d3,2,-252
b6,3,-340
d3,2,-252
d6,3,-270
d3,2,-252
c7,3,-334
d3,2,-252
d7,3,-277
d3,2,-252
g7,3,-314
d3,2,-252
a8,3,-231
d3,2,-231
d8,3,-248
d3,2,-231
e1,1,-286
d4,2,-Infinity
f1,3,-262
d4,2,-262
c2,3,-252
d4,2,-252
d3,3,-250
d4,2,-250
a4,3,-228
d4,2,-228
e4,3,-246
d4,2,-228
g4,3,-273
d4,2,-228
d5,3,-254
d4,2,-228
b6,3,-306
d4,2,-228
d6,3,-250
d4,2,-228
c7,3,-314
d4,2,-228
d7,3,-257
d4,2,-228
g7,3,-294
d4,2,-228
a8,3,-211
d4,2,-211
d8,3,-228
d4,2,-211
e1,1,-286
e4,2,-Infinity
f1,3,-262
e4,2,-262
c2,3,-252
e4,2,-252
d3,3,-258
e4,2,-252
a4,3,-228
e4,2,-228
d4,3,-262
e4,2,-228
g4,3,-273
e4,2,-228
d5,3,-254
e4,2,-228
b6,3,-314
e4,2,-228
d6,3,-250
e4,2,-228
f6,3,-247
e4,2,-228
c7,3,-314
e4,2,-228
g7,3,-294
e4,2,-228
a8,3,-211
e4,2,-211
d8,3,-228
e4,2,-211
e1,1,-286
g4,2,-Infinity
f1,3,-259
g4,2,-259
c2,3,-249
g4,2,-249
a4,3,-225
g4,2,-225
e4,3,-251
g4,2,-225
d5,3,-251
g4,2,-225
g5,3,-276
g4,2,-225
b6,3,-311
g4,2,-225
d6,3,-247
g4,2,-225
f6,3,-244
g4,2,-225
c7,3,-311
g4,2,-225
g7,3,-291
g4,2,-225
a8,3,-208
g4,2,-208
d8,3,-225
g4,2,-208
e1,1,-286
d5,2,-Infinity
f1,3,-268
d5,2,-268
c2,3,-258
d5,2,-258
a4,3,-234
d5,2,-234
e4,3,-260
d5,2,-234
g4,3,-279
d5,2,-234
b6,3,-320
d5,2,-234
d6,3,-256
d5,2,-234
c7,3,-298
d5,2,-234
d7,3,-249
d5,2,-234
g7,3,-300
d5,2,-234
d8,3,-234
d5,2,-234
e1,1,-286
g5,2,-Infinity
f1,3,-259
g5,2,-259
c2,3,-249
g5,2,-249
a4,3,-225
g5,2,-225
e4,3,-251
g5,2,-225
g4,3,-270
g5,2,-225
d5,3,-249
g5,2,-225
b6,3,-311
g5,2,-225
d6,3,-247
g5,2,-225
f6,3,-244
g5,2,-225
c7,3,-311
g5,2,-225
g7,3,-291
g5,2,-225
a8,3,-208
g5,2,-208
d8,3,-225
g5,2,-208
e1,1,-286
d6,2,-Infinity
f1,3,-252
d6,2,-252
c2,3,-242
d6,2,-242
a4,3,-218
d6,2,-218
g4,3,-263
d6,2,-218
d5,3,-244
d6,2,-218
b6,3,-304
d6,2,-218
f6,3,-229
d6,2,-218
c7,3,-296
d6,2,-218
d7,3,-247
d6,2,-218
a8,3,-201
d6,2,-201
d8,3,-218
d6,2,-201
e1,1,-286
f6,2,-Infinity
c2,3,-281
f6,2,-281
a4,3,-257
f6,2,-257
e4,3,-269
f6,2,-257
g4,3,-288
f6,2,-257
d5,3,-283
f6,2,-257
g5,3,-272
f6,2,-257
b6,3,-343
f6,2,-257
d6,3,-279
f6,2,-257
c7,3,-343
f6,2,-257
g7,3,-323
f6,2,-257
a8,3,-240
f6,2,-240
d8,3,-257
f6,2,-240
e1,1,-286
c7,2,-Infinity
f1,3,-264
c7,2,-264
c2,3,-254
c7,2,-254
a4,3,-230
c7,2,-230
e4,3,-256
c7,2,-230
g4,3,-275
c7,2,-230
d5,3,-256
c7,2,-230
b6,3,-316
c7,2,-230
d6,3,-260
c7,2,-230
d7,3,-301
c7,2,-230
g7,3,-296
c7,2,-230
d8,3,-230
c7,2,-230
e1,1,-286
d7,2,-Infinity
f1,3,-245
d7,2,-245
c2,3,-235
d7,2,-235
a4,3,-211
d7,2,-211
g4,3,-256
d7,2,-211
d5,3,-237
d7,2,-211
b6,3,-297
d7,2,-211
d6,3,-233
d7,2,-211
c7,3,-297
d7,2,-211
a8,3,-194
d7,2,-194
d8,3,-211
d7,2,-194
e1,1,-286
a8,2,-Infinity
f1,3,-337
a8,2,-337
c2,3,-327
a8,2,-327
e4,3,-329
a8,2,-327
g4,3,-348
a8,2,-327
d5,3,-329
a8,2,-327
b6,3,-389
a8,2,-327
d6,3,-325
a8,2,-325
d7,3,-332
a8,2,-325
g7,3,-369
a8,2,-325
d8,3,-303
a8,2,-303
e1,1,-303
root,0,-303
f1,1,Infinity
e1,2,-Infinity
c2,3,-284
e1,2,-284
d3,3,-276
e1,2,-276
a4,3,-240
e1,2,-240
e4,3,-266
e1,2,-240
g4,3,-285
e1,2,-240
d5,3,-266
e1,2,-240
b6,3,-326
e1,2,-240
d6,3,-262
e1,2,-240
c7,3,-326
e1,2,-240
d7,3,-269
e1,2,-240
g7,3,-306
e1,2,-240
a8,3,-223
e1,2,-223
d8,3,-240
e1,2,-223
f1,1,-223
h1,2,-Infinity
e1,3,-337
h1,2,-337
c2,3,-355
h1,2,-337
d3,3,-367
h1,2,-337
a4,3,-331
h1,2,-331
e4,3,-357
h1,2,-331
g4,3,-376
h1,2,-331
d5,3,-357
h1,2,-331
b6,3,-417
h1,2,-331
d6,3,-353
h1,2,-331
c7,3,-417
h1,2,-331
d7,3,-360
h1,2,-331
g7,3,-397
h1,2,-331
a8,3,-314
h1,2,-314
d8,3,-331
h1,2,-314
f1,1,-314
c2,2,-Infinity
e1,3,-236
c2,2,-236
b2,3,-316
c2,2,-236
d3,3,-282
c2,2,-236
a4,3,-238
c2,2,-236
e4,3,-264
c2,2,-236
g4,3,-283
c2,2,-236
d5,3,-264
c2,2,-236
b6,3,-324
c2,2,-236
d6,3,-260
c2,2,-236
c7,3,-324
c2,2,-236
d7,3,-267
c2,2,-236
g7,3,-304
c2,2,-236
a8,3,-221
c2,2,-221
d8,3,-238
c2,2,-221
f1,1,-314
a3,2,-Infinity
e1,3,-256
a3,2,-256
c2,3,-274
a3,2,-256
b3,3,-294
a3,2,-256
d3,3,-286
a3,2,-256
a4,3,-256
a3,2,-256
e4,3,-276
a3,2,-256
g4,3,-295
a3,2,-256
d5,3,-276
a3,2,-256
b6,3,-336
a3,2,-256
d6,3,-280
a3,2,-256
c7,3,-336
a3,2,-256
d7,3,-279
a3,2,-256
g7,3,-316
a3,2,-256
a8,3,-233
a3,2,-233
d8,3,-250
a3,2,-233
f1,1,-314
d3,2,-Infinity
e1,3,-262
d3,2,-262
c2,3,-290
d3,2,-262
a4,3,-276
d3,2,-262
d4,3,-288
d3,2,-262
e4,3,-282
d3,2,-262
g4,3,-315
d3,2,-262
d5,3,-304
d3,2,-262
b6,3,-362
d3,2,-262
d6,3,-292
d3,2,-262
c7,3,-356
d3,2,-262
d7,3,-299
d3,2,-262
g7,3,-336
d3,2,-262
a8,3,-253
d3,2,-253
d8,3,-270
d3,2,-253
f1,1,-314
e4,2,-Infinity
e1,3,-254
e4,2,-254
c2,3,-288
e4,2,-254
d3,3,-292
e4,2,-254
a4,3,-264
e4,2,-254
d4,3,-290
e4,2,-254
g4,3,-309
e4,2,-254
d5,3,-290
e4,2,-254
b6,3,-350
e4,2,-254
d6,3,-286
e4,2,-254
f6,3,-283
e4,2,-254
c7,3,-350
e4,2,-254
g7,3,-330
e4,2,-254
a8,3,-247
e4,2,-247
d8,3,-264
e4,2,-247
f1,1,-314
g4,2,-Infinity
e1,3,-273
g4,2,-273
c2,3,-291
g4,2,-273
d3,3,-303
g4,2,-273
a4,3,-267
g4,2,-267
e4,3,-279
g4,2,-267
d5,3,-293
g4,2,-267
g5,3,-318
g4,2,-267
b6,3,-353
g4,2,-267
d6,3,-289
g4,2,-267
f6,3,-286
g4,2,-267
c7,3,-353
g4,2,-267
g7,3,-333
g4,2,-267
a8,3,-250
g4,2,-250
d8,3,-267
g4,2,-250
f1,1,-314
d5,2,-Infinity
e1,3,-268
d5,2,-268
c2,3,-286
d5,2,-268
d3,3,-298
d5,2,-268
a4,3,-262
d5,2,-262
e4,3,-288
d5,2,-262
g4,3,-307
d5,2,-262
b6,3,-348
d5,2,-262
d6,3,-284
d5,2,-262
c7,3,-326
d5,2,-262
d7,3,-277
d5,2,-262
g7,3,-328
d5,2,-262
d8,3,-262
d5,2,-262
f1,1,-314
g5,2,-Infinity
e1,3,-255
g5,2,-255
c2,3,-299
g5,2,-255
d3,3,-291
g5,2,-255
a4,3,-263
g5,2,-255
d4,3,-289
g5,2,-255
e4,3,-289
g5,2,-255
g4,3,-308
g5,2,-255
d5,3,-287
g5,2,-255
b6,3,-349
g5,2,-255
d6,3,-285
g5,2,-255
f6,3,-274
g5,2,-255
c7,3,-349
g5,2,-255
g7,3,-329
g5,2,-255
a8,3,-246
g5,2,-246
d8,3,-263
g5,2,-246
f1,1,-314
d6,2,-Infinity
e1,3,-252
d6,2,-252
c2,3,-270
d6,2,-252
d3,3,-282
d6,2,-252
a4,3,-246
d6,2,-246
g4,3,-291
d6,2,-246
d5,3,-272
d6,2,-246
b6,3,-332
d6,2,-246
f6,3,-257
d6,2,-246
c7,3,-324
d6,2,-246
d7,3,-275
d6,2,-246
a8,3,-229
d6,2,-229
d8,3,-246
d6,2,-229
f1,1,-314
c7,2,-Infinity
e1,3,-264
c7,2,-264
c2,3,-282
c7,2,-264
d3,3,-294
c7,2,-264
a4,3,-258
c7,2,-258
e4,3,-284
c7,2,-258
g4,3,-303
c7,2,-258
d5,3,-284
c7,2,-258
b6,3,-344
c7,2,-258
d6,3,-288
c7,2,-258
d7,3,-329
c7,2,-258
g7,3,-324
c7,2,-258
d8,3,-258
c7,2,-258
f1,1,-314
d7,2,-Infinity
e1,3,-245
d7,2,-245
c2,3,-263
d7,2,-245
d3,3,-275
d7,2,-245
a4,3,-239
d7,2,-239
g4,3,-284
d7,2,-239
d5,3,-265
d7,2,-239
b6,3,-325
d7,2,-239
d6,3,-261
d7,2,-239
c7,3,-325
d7,2,-239
a8,3,-222
d7,2,-222
d8,3,-239
d7,2,-222
f1,1,-314
a8,2,-Infinity
e1,3,-337
a8,2,-337
c2,3,-355
a8,2,-337
d3,3,-367
a8,2,-337
e4,3,-357
a8,2,-337
g4,3,-376
a8,2,-337
d5,3,-357
a8,2,-337
b6,3,-417
a8,2,-337
d6,3,-353
a8,2,-337
d7,3,-360
a8,2,-337
g7,3,-397
a8,2,-337
d8,3,-331
a8,2,-331
f1,1,-331
root,0,-303
c2,1,Infinity
e1,2,-Infinity
f1,3,-240
e1,2,-240
b3,3,-290
e1,2,-240
a4,3,-252
e1,2,-240
e4,3,-272
e1,2,-240
g4,3,-291
e1,2,-240
d5,3,-272
e1,2,-240
b6,3,-332
e1,2,-240
d6,3,-276
e1,2,-240
c7,3,-332
e1,2,-240
d7,3,-275
e1,2,-240
g7,3,-312
e1,2,-240
a8,3,-229
e1,2,-229
d8,3,-246
e1,2,-229
c2,1,-229
f1,2,-Infinity
e1,3,-188
f1,2,-188
h1,3,-181
f1,2,-181
a4,3,-198
f1,2,-181
e4,3,-224
f1,2,-181
g4,3,-291
f1,2,-181
d5,3,-224
f1,2,-181
b6,3,-284
f1,2,-181
d6,3,-220
f1,2,-181
c7,3,-284
f1,2,-181
d7,3,-227
f1,2,-181
g7,3,-264
f1,2,-181
a8,3,-181
f1,2,-181
d8,3,-198
f1,2,-181
c2,1,-229
h1,2,-Infinity
e1,3,-327
h1,2,-327
f1,3,-355
h1,2,-327
a4,3,-321
h1,2,-321
e4,3,-347
h1,2,-321
g4,3,-366
h1,2,-321
d5,3,-347
h1,2,-321
b6,3,-407
h1,2,-321
d6,3,-343
h1,2,-321
c7,3,-407
h1,2,-321
d7,3,-350
h1,2,-321
g7,3,-387
h1,2,-321
a8,3,-304
h1,2,-304
d8,3,-321
h1,2,-304
c2,1,-304
b2,2,-Infinity
e1,3,-212
b2,2,-212
f1,3,-234
b2,2,-212
a2,3,-318
b2,2,-212
b3,3,-286
b2,2,-212
d3,3,-238
b2,2,-212
a4,3,-200
b2,2,-200
e4,3,-226
b2,2,-200
g4,3,-245
b2,2,-200
d5,3,-226
b2,2,-200
b6,3,-286
b2,2,-200
d6,3,-222
b2,2,-200
c7,3,-286
b2,2,-200
d7,3,-229
b2,2,-200
g7,3,-266
b2,2,-200
a8,3,-183
b2,2,-183
d8,3,-200
b2,2,-183
c2,1,-304
a3,2,-Infinity
e1,3,-246
a3,2,-246
f1,3,-274
a3,2,-246
b3,3,-284
a3,2,-246
a4,3,-246
a3,2,-246
e4,3,-266
a3,2,-246
g4,3,-285
a3,2,-246
d5,3,-266
a3,2,-246
b6,3,-326
a3,2,-246
d6,3,-270
a3,2,-246
c7,3,-326
a3,2,-246
d7,3,-269
a3,2,-246
g7,3,-306
a3,2,-246
a8,3,-223
a3,2,-223
d8,3,-240
a3,2,-223
c2,1,-304
b3,2,-Infinity
e1,3,-232
b3,2,-232
f1,3,-260
b3,2,-232
a2,3,-276
b3,2,-232
b2,3,-300
b3,2,-232
a3,3,-260
b3,2,-232
d3,3,-264
b3,2,-232
a4,3,-226
b3,2,-226
e4,3,-252
b3,2,-226
g4,3,-271
b3,2,-226
d5,3,-252
b3,2,-226
b6,3,-312
b3,2,-226
d6,3,-248
b3,2,-226
c7,3,-312
b3,2,-226
d7,3,-255
b3,2,-226
g7,3,-292
b3,2,-226
a8,3,-209
b3,2,-209
d8,3,-226
b3,2,-209
c2,1,-304
d3,2,-Infinity
e1,3,-266
d3,2,-266
f1,3,-280
d3,2,-266
a4,3,-266
d3,2,-266
d4,3,-286
d3,2,-266
e4,3,-264
d3,2,-264
g4,3,-305
d3,2,-264
d5,3,-294
d3,2,-264
b6,3,-352
d3,2,-264
d6,3,-282
d3,2,-264
c7,3,-346
d3,2,-264
d7,3,-289
d3,2,-264
g7,3,-326
d3,2,-264
a8,3,-243
d3,2,-243
d8,3,-260
d3,2,-243
