X*X**O*X
*XXXXO*O
O*XX*OOO
XX**O**O
XX*OO**O
XXOOXXXX
OOXOO*XO
**OX*XOO
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
e1,2,-Infinity
b1,3,-97
e1,2,-97
a2,3,-199
e1,2,-97
b3,3,-153
e1,2,-97
e3,3,-125
e1,2,-97
c4,3,-117
e1,2,-97
c5,3,-131
e1,2,-97
d5,3,-121
e1,2,-97
f5,3,-125
e1,2,-97
g5,3,-174
e1,2,-97
f7,3,-189
e1,2,-97
b8,3,-137
e1,2,-97
e8,3,-95
e1,2,-95
d1,1,-95
a2,2,-Infinity
b1,3,-111
a2,2,-111
b3,3,-151
a2,2,-111
e3,3,-115
a2,2,-111
c4,3,-107
a2,2,-107
d4,3,-117
a2,2,-107
c5,3,-115
a2,2,-107
d5,3,-111
a2,2,-107
f5,3,-115
a2,2,-107
g5,3,-164
a2,2,-107
f7,3,-179
a2,2,-107
b8,3,-127
a2,2,-107
e8,3,-85
a2,2,-85
d1,1,-95
g2,2,-Infinity
b1,3,-79
g2,2,-79
e1,3,-89
g2,2,-79
g1,3,-143
g2,2,-79
a2,3,-219
g2,2,-79
b3,3,-119
g2,2,-79
e3,3,-69
g2,2,-69
c4,3,-81
g2,2,-69
d4,3,-85
g2,2,-69
f4,3,-77
g2,2,-69
g4,3,-82
g2,2,-69
c5,3,-89
g2,2,-69
d5,3,-79
g2,2,-69
f5,3,-83
g2,2,-69
g5,3,-132
g2,2,-69
f7,3,-147
g2,2,-69
b8,3,-95
g2,2,-69
e8,3,-53
g2,2,-53
d1,1,-95
d4,2,-Infinity
b1,3,-103
d4,2,-103
a2,3,-181
d4,2,-103
b3,3,-143
d4,2,-103
e3,3,-99
d4,2,-99
c4,3,-99
d4,2,-99
c5,3,-113
d4,2,-99
d5,3,-101
d4,2,-99
f5,3,-107
d4,2,-99
g5,3,-156
d4,2,-99
f7,3,-171
d4,2,-99
e8,3,-77
d4,2,-77
d1,1,-95
f4,2,-Infinity
b1,3,-107
f4,2,-107
a2,3,-185
f4,2,-107
b3,3,-147
f4,2,-107
e3,3,-103
f4,2,-103
c4,3,-103
f4,2,-103
d4,3,-147
f4,2,-103
c5,3,-117
f4,2,-103
d5,3,-107
f4,2,-103
f5,3,-103
f4,2,-103
g5,3,-160
f4,2,-103
f7,3,-175
f4,2,-103
b8,3,-115
f4,2,-103
e8,3,-81
f4,2,-81
d1,1,-95
c5,2,-Infinity
b1,3,-121
c5,2,-121
a2,3,-199
c5,2,-121
b3,3,-161
c5,2,-121
e3,3,-125
c5,2,-121
c4,3,-103
c5,2,-103
d4,3,-127
c5,2,-103
d5,3,-107
c5,2,-103
f5,3,-125
c5,2,-103
g5,3,-174
c5,2,-103
f7,3,-189
c5,2,-103
b8,3,-137
c5,2,-103
e8,3,-95
c5,2,-95
d1,1,-95
f7,2,-Infinity
b1,3,-87
f7,2,-87
a2,3,-165
f7,2,-87
b3,3,-127
f7,2,-87
e3,3,-91
f7,2,-87
c4,3,-83
f7,2,-83
d4,3,-93
f7,2,-83
c5,3,-105
f7,2,-83
d5,3,-95
f7,2,-83
f5,3,-97
f7,2,-83
g5,3,-154
f7,2,-83
b8,3,-103
f7,2,-83
e8,3,-81
f7,2,-81
d1,1,-95
a8,2,-Infinity
b1,3,-186
a8,2,-186
a2,3,-264
a8,2,-186
b3,3,-226
a8,2,-186
e3,3,-190
a8,2,-186
c4,3,-182
a8,2,-182
d4,3,-192
a8,2,-182
c5,3,-188
a8,2,-182
d5,3,-186
a8,2,-182
f5,3,-190
a8,2,-182
g5,3,-239
a8,2,-182
f7,3,-254
a8,2,-182
b8,3,-202
a8,2,-182
e8,3,-160
a8,2,-160
d1,1,-160
b8,2,-Infinity
b1,3,-63
b8,2,-63
a2,3,-141
b8,2,-63
b3,3,-83
b8,2,-63
e3,3,-67
b8,2,-63
c4,3,-59
b8,2,-59
d4,3,-69
b8,2,-59
c5,3,-73
b8,2,-59
d5,3,-63
b8,2,-59
f5,3,-67
b8,2,-59
g5,3,-116
b8,2,-59
f7,3,-131
b8,2,-59
a8,3,-20
b8,2,-20
e8,3,-49
b8,2,-20
d1,1,-160
e8,2,-Infinity
b1,3,-111
e8,2,-111
a2,3,-189
e8,2,-111
b3,3,-151
e8,2,-111
e3,3,-115
e8,2,-111
c4,3,-107
e8,2,-107
d4,3,-117
e8,2,-107
c5,3,-123
e8,2,-107
d5,3,-105
e8,2,-105
f5,3,-121
e8,2,-105
g5,3,-178
e8,2,-105
f7,3,-199
e8,2,-105
b8,3,-127
e8,2,-105
d1,1,-160
root,0,-160
a2,1,Infinity
b1,2,-Infinity
b3,3,-195
b1,2,-195
e3,3,-167
b1,2,-167
c4,3,-159
b1,2,-159
d4,3,-149
b1,2,-149
c5,3,-173
b1,2,-149
d5,3,-163
b1,2,-149
f5,3,-167
b1,2,-149
g5,3,-216
b1,2,-149
f7,3,-231
b1,2,-149
b8,3,-179
b1,2,-149
e8,3,-137
b1,2,-137
a2,1,-137
d1,2,-Infinity
b3,3,-211
d1,2,-211
e3,3,-183
d1,2,-183
c4,3,-161
d1,2,-161
d4,3,-173
d1,2,-161
c5,3,-189
d1,2,-161
d5,3,-179
d1,2,-161
f5,3,-175
d1,2,-161
g5,3,-232
d1,2,-161
f7,3,-247
d1,2,-161
b8,3,-195
d1,2,-161
e8,3,-153
d1,2,-153
