X*OX***X
XOXOO*OO
XXOO*XXO
X**XOOOO
OX*OOOOX
OX*XX*X*
OXOOX**O
*XX*XXXO
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
f2,2,-Infinity
g1,3,56
f2,2,56
e3,3,144
f2,2,144
a4,3,130
f2,2,144
b4,3,73
f2,2,144
c4,3,142
f2,2,144
c5,3,138
f2,2,144
c6,3,91
f2,2,144
f6,3,139
f2,2,144
d8,3,124
f2,2,144
b1,1,144
e3,2,-Infinity
e1,3,132
e3,2,132
g1,3,48
e3,2,132
f2,3,116
e3,2,132
a4,3,122
e3,2,132
b4,3,65
e3,2,132
c4,3,134
e3,2,134
c5,3,130
e3,2,134
c6,3,83
e3,2,134
f6,3,131
e3,2,134
h6,3,136
e3,2,136
d8,3,116
e3,2,136
b1,1,136
c4,2,-Infinity
g1,3,80
c4,2,80
f2,3,120
c4,2,120
e3,3,148
c4,2,148
a4,3,134
c4,2,148
b4,3,71
c4,2,148
c5,3,164
c4,2,164
c6,3,129
c4,2,164
f6,3,125
c4,2,164
d8,3,128
c4,2,164
b1,1,136
c5,2,-Infinity
g1,3,88
c5,2,88
f2,3,128
c5,2,128
e3,3,156
c5,2,156
a4,3,142
c5,2,156
b4,3,79
c5,2,156
c4,3,154
c5,2,156
c6,3,137
c5,2,156
f6,3,167
c5,2,167
d8,3,144
c5,2,167
b1,1,136
c6,2,-Infinity
g1,3,79
c6,2,79
f2,3,119
c6,2,119
e3,3,147
c6,2,147
a4,3,133
c6,2,147
b4,3,76
c6,2,147
c4,3,145
c6,2,147
c5,3,147
c6,2,147
f6,3,158
c6,2,158
d8,3,135
c6,2,158
b1,1,136
h6,2,-Infinity
g1,3,58
h6,2,58
f2,3,98
h6,2,98
e3,3,126
h6,2,126
a4,3,112
h6,2,126
b4,3,55
h6,2,126
c4,3,124
h6,2,126
c6,3,107
h6,2,126
f6,3,137
h6,2,137
d8,3,106
h6,2,137
b1,1,136
f7,2,-Infinity
g1,3,80
f7,2,80
f2,3,120
f7,2,120
e3,3,150
f7,2,150
a4,3,134
f7,2,150
b4,3,77
f7,2,150
c4,3,146
f7,2,150
c5,3,142
f7,2,150
c6,3,129
f7,2,150
f6,3,159
f7,2,159
g7,3,84
f7,2,159
d8,3,128
f7,2,159
b1,1,136
g7,2,-Infinity
g1,3,110
g7,2,110
f2,3,150
g7,2,150
e3,3,178
g7,2,178
a4,3,164
g7,2,178
b4,3,107
g7,2,178
c4,3,176
g7,2,178
c5,3,172
g7,2,178
c6,3,159
g7,2,178
f6,3,189
g7,2,189
h6,3,126
g7,2,189
f7,3,154
g7,2,189
d8,3,158
g7,2,189
b1,1,136
d8,2,-Infinity
g1,3,60
d8,2,60
f2,3,100
d8,2,100
e3,3,128
d8,2,128
a4,3,114
d8,2,128
b4,3,57
d8,2,128
c4,3,126
d8,2,128
c5,3,122
d8,2,128
c6,3,115
d8,2,128
f6,3,139
d8,2,139
b1,1,136
root,0,136
g1,1,Infinity
b1,2,-Infinity
f2,3,14
b1,2,14
e3,3,104
b1,2,104
a4,3,76
b1,2,104
c4,3,82
b1,2,104
c5,3,92
b1,2,104
c6,3,79
b1,2,104
f6,3,109
b1,2,109
d8,3,78
b1,2,109
g1,1,109
e1,2,-Infinity
f2,3,36
e1,2,36
e3,3,70
e1,2,70
a4,3,50
e1,2,70
c4,3,62
e1,2,70
c5,3,58
e1,2,70
c6,3,45
e1,2,70
f6,3,75
e1,2,75
d8,3,44
e1,2,75
g1,1,75
f1,2,-Infinity
b1,3,118
f1,2,118
