XX**X*OO
*X*XXO*X
*XOO****
*XXXOX*O
OXO***OO
*OOOXOXO
OOXOXO*O
*OX*O*X*
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
c1,2,-Infinity
f1,3,4
c1,2,4
a3,3,-4
c1,2,4
e3,3,14
c1,2,14
h3,3,-6
c1,2,14
a4,3,4
c1,2,14
g4,3,7
c1,2,14
h4,3,20
c1,2,20
d5,3,10
c1,2,20
e5,3,4
c1,2,20
f5,3,6
c1,2,20
a6,3,12
c1,2,20
g7,3,-30
c1,2,20
d8,3,10
c1,2,20
f8,3,4
c1,2,20
d1,1,20
c2,2,-Infinity
c1,3,40
c2,2,40
f1,3,32
c2,2,40
a2,3,-58
c2,2,40
a3,3,26
c2,2,40
e3,3,30
c2,2,40
f3,3,19
c2,2,40
h3,3,10
c2,2,40
a4,3,4
c2,2,40
g4,3,23
c2,2,40
h4,3,36
c2,2,40
d5,3,26
c2,2,40
e5,3,20
c2,2,40
f5,3,22
c2,2,40
a6,3,28
c2,2,40
g7,3,-14
c2,2,40
d8,3,26
c2,2,40
f8,3,20
c2,2,40
d1,1,20
g2,2,-Infinity
f1,3,68
g2,2,68
a3,3,48
g2,2,68
e3,3,58
g2,2,68
f3,3,7
g2,2,68
g3,3,2
g2,2,68
h3,3,46
g2,2,68
a4,3,56
g2,2,68
g4,3,59
g2,2,68
h4,3,72
g2,2,72
d5,3,62
g2,2,72
e5,3,56
g2,2,72
f5,3,58
g2,2,72
a6,3,64
g2,2,72
g7,3,22
g2,2,72
d8,3,62
g2,2,72
f8,3,56
g2,2,72
d1,1,20
e3,2,-Infinity
f1,3,16
e3,2,16
c2,3,22
e3,2,22
a3,3,-2
e3,2,22
f3,3,-3
e3,2,22
h3,3,-12
e3,2,22
a4,3,-2
e3,2,22
g4,3,1
e3,2,22
h4,3,14
e3,2,22
d5,3,12
e3,2,22
e5,3,-2
e3,2,22
f5,3,0
e3,2,22
g7,3,-36
e3,2,22
d8,3,4
e3,2,22
f8,3,-2
e3,2,22
d1,1,20
g3,2,-Infinity
f1,3,48
g3,2,48
g2,3,-4
g3,2,48
a3,3,28
g3,2,48
e3,3,38
g3,2,48
f3,3,35
g3,2,48
h3,3,26
g3,2,48
a4,3,36
g3,2,48
g4,3,39
g3,2,48
h4,3,52
g3,2,52
d5,3,42
g3,2,52
e5,3,36
g3,2,52
f5,3,38
g3,2,52
a6,3,44
g3,2,52
g7,3,2
g3,2,52
d8,3,42
g3,2,52
f8,3,36
g3,2,52
d1,1,20
g4,2,-Infinity
f1,3,45
g4,2,45
a3,3,25
g4,2,45
e3,3,37
g4,2,45
f3,3,32
g4,2,45
h3,3,23
g4,2,45
a4,3,33
g4,2,45
h4,3,45
g4,2,45
d5,3,39
g4,2,45
e5,3,33
g4,2,45
f5,3,35
g4,2,45
a6,3,41
g4,2,45
d8,3,39
g4,2,45
f8,3,33
g4,2,45
d1,1,20
h4,2,-Infinity
f1,3,22
h4,2,22
a3,3,2
h4,2,22
e3,3,14
h4,2,22
f3,3,9
h4,2,22
h3,3,24
h4,2,24
a4,3,10
h4,2,24
g4,3,13
h4,2,24
d5,3,16
h4,2,24
e5,3,10
h4,2,24
f5,3,26
h4,2,26
a6,3,18
h4,2,26
d8,3,22
h4,2,26
f8,3,10
h4,2,26
d1,1,20
d5,2,-Infinity
f1,3,28
d5,2,28
a2,3,14
d5,2,28
a3,3,16
d5,2,28
e3,3,34
d5,2,34
f3,3,15
d5,2,34
h3,3,6
d5,2,34
a4,3,16
d5,2,34
g4,3,19
d5,2,34
h4,3,32
d5,2,34
e5,3,18
d5,2,34
f5,3,18
d5,2,34
a6,3,24
d5,2,34
g7,3,-18
d5,2,34
d8,3,22
d5,2,34
f8,3,16
d5,2,34
d1,1,20
e5,2,-Infinity
f1,3,28
e5,2,28
a3,3,8
e5,2,28
e3,3,26
e5,2,28
f3,3,15
e5,2,28
g3,3,18
e5,2,28
h3,3,6
e5,2,28
a4,3,16
e5,2,28
g4,3,19
e5,2,28
h4,3,32
e5,2,32
d5,3,30
e5,2,32
f5,3,18
e5,2,32
a6,3,24
e5,2,32
g7,3,-18
e5,2,32
d8,3,22
e5,2,32
f8,3,24
e5,2,32
d1,1,20
f5,2,-Infinity
f1,3,38
f5,2,38
a3,3,18
f5,2,38
e3,3,30
f5,2,38
f3,3,41
f5,2,41
h3,3,16
f5,2,41
a4,3,26
f5,2,41
g4,3,45
f5,2,45
h4,3,36
f5,2,45
d5,3,32
f5,2,45
e5,3,26
f5,2,45
a6,3,34
f5,2,45
d8,3,32
f5,2,45
f8,3,26
f5,2,45
d1,1,20
a6,2,-Infinity
f1,3,62
a6,2,62
a3,3,42
a6,2,62
e3,3,60
a6,2,62
f3,3,49
a6,2,62
h3,3,40
a6,2,62
a4,3,64
a6,2,64
g4,3,53
a6,2,64
h4,3,66
a6,2,66
d5,3,64
a6,2,66
e5,3,50
a6,2,66
f5,3,52
a6,2,66
g7,3,16
a6,2,66
d8,3,48
a6,2,66
f8,3,58
a6,2,66
d1,1,20
g7,2,-Infinity
f1,3,68
g7,2,68
a3,3,48
g7,2,68
e3,3,66
g7,2,68
f3,3,55
g7,2,68
h3,3,46
g7,2,68
a4,3,56
g7,2,68
g4,3,59
g7,2,68
h4,3,72
g7,2,72
d5,3,54
g7,2,72
e5,3,56
g7,2,72
f5,3,58
g7,2,72
a6,3,64
