OOOOX**X
*OXOO*X*
OXXOOOOO
O*X*OXXO
OOX*OX*O
OXX****O
*XXX*OO*
XX*XOO*X
Node,Depth,Value
root,0,-Infinity
f1,1,Infinity
a2,2,-Infinity
h2,3,-92
a2,2,-92
h3,3,-108
a2,2,-92
b4,3,-129
a2,2,-92
d4,3,-118
a2,2,-92
d5,3,-76
a2,2,-76
g5,3,-71
a2,2,-71
d6,3,-74
a2,2,-71
f6,3,-61
a2,2,-61
g6,3,-80
a2,2,-61
c8,3,-84
a2,2,-61
f1,1,-61
f2,2,-Infinity
g1,3,-154
f2,2,-154
h2,3,-222
f2,2,-154
h3,3,-148
f2,2,-148
b4,3,-141
f2,2,-141
d4,3,-124
f2,2,-124
d5,3,-130
f2,2,-124
g5,3,-125
f2,2,-124
d6,3,-128
f2,2,-124
f6,3,-109
f2,2,-109
g6,3,-134
f2,2,-109
c8,3,-138
f2,2,-109
f1,1,-109
b4,2,-Infinity
h2,3,-139
b4,2,-139
h3,3,-155
b4,2,-139
d4,3,-115
b4,2,-115
d5,3,-129
b4,2,-115
g5,3,-118
b4,2,-115
d6,3,-119
b4,2,-115
f6,3,-108
b4,2,-108
g6,3,-127
b4,2,-108
c8,3,-131
b4,2,-108
f1,1,-109
d4,2,-Infinity
h2,3,-148
d4,2,-148
h3,3,-164
d4,2,-148
b4,3,-137
d4,2,-137
d5,3,-132
d4,2,-132
g5,3,-127
d4,2,-127
d6,3,-130
d4,2,-127
f6,3,-117
d4,2,-117
g6,3,-136
d4,2,-117
a7,3,-148
d4,2,-117
c8,3,-140
d4,2,-117
f1,1,-117
d5,2,-Infinity
h3,3,-164
d5,2,-164
b4,3,-151
d5,2,-151
d4,3,-140
d5,2,-140
g5,3,-133
d5,2,-133
d6,3,-144
d5,2,-133
e6,3,-150
d5,2,-133
g6,3,-150
d5,2,-133
c8,3,-154
d5,2,-133
f1,1,-133
d6,2,-Infinity
h3,3,-168
d6,2,-168
b4,3,-141
d6,2,-141
d4,3,-130
d6,2,-130
d5,3,-136
d6,2,-130
g5,3,-139
d6,2,-130
e6,3,-126
d6,2,-126
f6,3,-121
d6,2,-121
g6,3,-140
d6,2,-121
c8,3,-144
d6,2,-121
f1,1,-133
f6,2,-Infinity
h2,3,-107
f6,2,-107
h3,3,-123
f6,2,-107
b4,3,-96
f6,2,-96
d4,3,-85
f6,2,-85
d5,3,-91
f6,2,-85
g5,3,-86
f6,2,-85
d6,3,-89
f6,2,-85
g6,3,-95
f6,2,-85
h7,3,-155
f6,2,-85
c8,3,-99
f6,2,-85
f1,1,-133
h7,2,-Infinity
h2,3,-156
h7,2,-156
h3,3,-196
h7,2,-156
b4,3,-145
h7,2,-145
d4,3,-134
h7,2,-134
d5,3,-140
h7,2,-134
g5,3,-135
h7,2,-134
d6,3,-138
h7,2,-134
f6,3,-125
h7,2,-125
g6,3,-144
h7,2,-125
c8,3,-148
h7,2,-125
f1,1,-133
g8,2,-Infinity
h2,3,-168
g8,2,-168
h3,3,-184
g8,2,-168
b4,3,-157
g8,2,-157
d4,3,-146
g8,2,-146
d5,3,-152
g8,2,-146
g5,3,-147
g8,2,-146
d6,3,-150
g8,2,-146
f6,3,-137
g8,2,-137
g6,3,-156
g8,2,-137
c8,3,-172
g8,2,-137
f1,1,-137
root,0,-137
h2,1,Infinity
f1,2,-Infinity
g1,3,-206
f1,2,-206
f2,3,-236
f1,2,-206
h3,3,-146
f1,2,-146
b4,3,-175
f1,2,-146
d4,3,-156
f1,2,-146
d5,3,-170
f1,2,-146
g5,3,-179
f1,2,-146
d6,3,-168
f1,2,-146
f6,3,-163
f1,2,-146
g6,3,-174
f1,2,-146
c8,3,-178
f1,2,-146
h2,1,-146
a2,2,-Infinity
f1,3,-92
a2,2,-92
g1,3,-168
a2,2,-92
f2,3,-164
a2,2,-92
h3,3,-80
a2,2,-80
b4,3,-157
a2,2,-80
d4,3,-146
a2,2,-80
d5,3,-104
a2,2,-80
g5,3,-113
a2,2,-80
d6,3,-102
a2,2,-80
f6,3,-97
a2,2,-80
g6,3,-108
a2,2,-80
c8,3,-112
a2,2,-80
h2,1,-146
f2,2,-Infinity
f1,3,-152
f2,2,-152
g1,3,-182
f2,2,-152
h3,3,-128
f2,2,-128
b4,3,-177
f2,2,-128
d4,3,-152
f2,2,-128
d5,3,-158
f2,2,-128
g5,3,-153
f2,2,-128
d6,3,-156
f2,2,-128
g6,3,-162
f2,2,-128
c8,3,-166
f2,2,-128
h2,1,-146
h3,2,-Infinity
f1,3,-162
h3,2,-162
f2,3,-172
h3,2,-162
b4,3,-179
h3,2,-162
d4,3,-160
h3,2,-160
d5,3,-174
h3,2,-160
g5,3,-177
h3,2,-160
d6,3,-172
h3,2,-160
f6,3,-167
h3,2,-160
g6,3,-178
h3,2,-160
c8,3,-182
h3,2,-160
h2,1,-160
b4,2,-Infinity
f1,3,-139
b4,2,-139
g1,3,-215
b4,2,-139
f2,3,-211
b4,2,-139
h3,3,-127
b4,2,-127
d4,3,-143
b4,2,-127
d5,3,-157
b4,2,-127
g5,3,-160
b4,2,-127
d6,3,-147
b4,2,-127
f6,3,-144
b4,2,-127
g6,3,-155
b4,2,-127
c8,3,-159
b4,2,-127
h2,1,-160
d4,2,-Infinity
f1,3,-156
d4,2,-156
g1,3,-232
d4,2,-156
f2,3,-228
d4,2,-156
h3,3,-144
d4,2,-144
b4,3,-173
d4,2,-144
d5,3,-168
d4,2,-144
g5,3,-169
d4,2,-144
d6,3,-166
d4,2,-144
f6,3,-153
d4,2,-144
g6,3,-172
d4,2,-144
a7,3,-184
d4,2,-144
c8,3,-176
d4,2,-144
h2,1,-160
d5,2,-Infinity
f1,3,-162
d5,2,-162
g1,3,-238
d5,2,-162
f2,3,-220
d5,2,-162
h3,3,-150
d5,2,-150
b4,3,-179
d5,2,-150
d4,3,-168
d5,2,-150
g5,3,-175
d5,2,-150
d6,3,-172
d5,2,-150
e6,3,-178
d5,2,-150
f6,3,-167
d5,2,-150
g6,3,-178
d5,2,-150
c8,3,-182
d5,2,-150
h2,1,-160
e6,2,-Infinity
f1,3,-160
e6,2,-160
g1,3,-230
e6,2,-160
f2,3,-232
e6,2,-160
h3,3,-142
e6,2,-142
b4,3,-171
e6,2,-142
d4,3,-160
e6,2,-142
d5,3,-158
e6,2,-142
g5,3,-183
e6,2,-142
d6,3,-164
e6,2,-142
f6,3,-159
e6,2,-142
g6,3,-170
e6,2,-142
c8,3,-174
e6,2,-142
h2,1,-160
f6,2,-Infinity
f1,3,-107
f6,2,-107
g1,3,-183
f6,2,-107
f2,3,-179
f6,2,-107
h3,3,-95
f6,2,-95
b4,3,-124
f6,2,-95
d4,3,-113
f6,2,-95
d5,3,-119
f6,2,-95
g5,3,-128
f6,2,-95
d6,3,-117
f6,2,-95
g6,3,-123
f6,2,-95
h7,3,-183
f6,2,-95
c8,3,-127
f6,2,-95
h2,1,-160
h7,2,-Infinity
f1,3,-156
h7,2,-156
g1,3,-232
h7,2,-156
f2,3,-228
h7,2,-156
b4,3,-173
h7,2,-156
d4,3,-162
h7,2,-156
d5,3,-168
h7,2,-156
g5,3,-177
h7,2,-156
d6,3,-166
h7,2,-156
f6,3,-161
h7,2,-156
g6,3,-172
h7,2,-156
c8,3,-176
h7,2,-156
h2,1,-160
g8,2,-Infinity
f1,3,-168
g8,2,-168
g1,3,-244
g8,2,-168
f2,3,-240
g8,2,-168
h3,3,-156
g8,2,-156
b4,3,-185
g8,2,-156
d4,3,-174
g8,2,-156
d5,3,-180
g8,2,-156
g5,3,-189
g8,2,-156
d6,3,-178
g8,2,-156
f6,3,-173
g8,2,-156
g6,3,-184
g8,2,-156
c8,3,-200
g8,2,-156
h2,1,-160
root,0,-137
h3,1,Infinity
f1,2,-Infinity
g1,3,-174
f1,2,-174
f2,3,-156
f1,2,-156
b4,3,-143
f1,2,-143
d4,3,-124
f1,2,-124
d5,3,-138
f1,2,-124
g5,3,-139
f1,2,-124
d6,3,-136
f1,2,-124
e6,3,-140
f1,2,-124
f6,3,-123
f1,2,-123
g6,3,-142
f1,2,-123
c8,3,-146
f1,2,-123
h3,1,-123
a2,2,-Infinity
f1,3,-108
a2,2,-108
g1,3,-136
a2,2,-108
b4,3,-125
a2,2,-108
d4,3,-114
a2,2,-108
d5,3,-72
a2,2,-72
g5,3,-73
a2,2,-72
d6,3,-70
a2,2,-70
e6,3,-74
a2,2,-70
f6,3,-57
a2,2,-57
g6,3,-76
a2,2,-57
c8,3,-80
a2,2,-57
h3,1,-123
f2,2,-Infinity
f1,3,-168
f2,2,-168
g1,3,-198
f2,2,-168
h2,3,-218
f2,2,-168
b4,3,-145
f2,2,-145
d4,3,-120
f2,2,-120
d5,3,-126
f2,2,-120
g5,3,-127
f2,2,-120
d6,3,-124
f2,2,-120
e6,3,-128
f2,2,-120
g6,3,-130
f2,2,-120
c8,3,-134
f2,2,-120
h3,1,-123
h2,2,-Infinity
f1,3,-148
h2,2,-148
f2,3,-132
h2,2,-132
b4,3,-117
h2,2,-117
d4,3,-106
h2,2,-106
d5,3,-112
h2,2,-106
g5,3,-107
h2,2,-106
d6,3,-110
h2,2,-106
e6,3,-114
h2,2,-106
f6,3,-97
h2,2,-97
g6,3,-116
h2,2,-97
c8,3,-120
h2,2,-97
h3,1,-123
b4,2,-Infinity
f1,3,-155
b4,2,-155
g1,3,-183
b4,2,-155
d4,3,-111
b4,2,-111
d5,3,-125
b4,2,-111
g5,3,-120
b4,2,-111
d6,3,-115
b4,2,-111
e6,3,-121
b4,2,-111
f6,3,-104
b4,2,-104
g6,3,-123
b4,2,-104
c8,3,-127
b4,2,-104
h3,1,-123
d4,2,-Infinity
f1,3,-164
d4,2,-164
g1,3,-192
d4,2,-164
b4,3,-123
d4,2,-123
d5,3,-128
d4,2,-123
g5,3,-129
d4,2,-123
d6,3,-126
d4,2,-123
e6,3,-130
d4,2,-123
f6,3,-113
d4,2,-113
g6,3,-132
d4,2,-113
a7,3,-144
d4,2,-113
c8,3,-136
d4,2,-113
h3,1,-123
d5,2,-Infinity
f1,3,-178
d5,2,-178
g1,3,-206
d5,2,-178
b4,3,-147
d5,2,-147
d4,3,-134
d5,2,-134
g5,3,-135
d5,2,-134
d6,3,-132
d5,2,-132
e6,3,-144
d5,2,-132
g6,3,-146
d5,2,-132
c8,3,-150
d5,2,-132
h3,1,-132
d6,2,-Infinity
f1,3,-168
d6,2,-168
g1,3,-196
d6,2,-168
b4,3,-137
d6,2,-137
d4,3,-126
d6,2,-126
d5,3,-132
d6,2,-126
g5,3,-141
d6,2,-126
e6,3,-120
d6,2,-120
f6,3,-117
d6,2,-117
g6,3,-136
d6,2,-117
c8,3,-140
d6,2,-117
h3,1,-132
e6,2,-Infinity
f1,3,-176
e6,2,-176
g1,3,-198
e6,2,-176
f2,3,-152
e6,2,-152
b4,3,-139
e6,2,-139
d4,3,-126
e6,2,-126
d5,3,-126
e6,2,-126
g5,3,-135
e6,2,-126
d6,3,-124
e6,2,-124
f6,3,-119
e6,2,-119
g6,3,-138
e6,2,-119
c8,3,-138
e6,2,-119
h3,1,-132
f6,2,-Infinity
f1,3,-123
f6,2,-123
g1,3,-151
f6,2,-123
b4,3,-92
f6,2,-92
d4,3,-81
f6,2,-81
d5,3,-87
f6,2,-81
g5,3,-88
f6,2,-81
d6,3,-85
f6,2,-81
e6,3,-89
f6,2,-81
g6,3,-91
f6,2,-81
h7,3,-151
f6,2,-81
c8,3,-95
