X*OXOOXO
XOX***O*
XOO*OX**
O*OO**X*
*XOO*XOX
X*O**OXO
O*XOOOOX
O*OO*XXX
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
d2,2,-Infinity
b1,3,30
d2,2,30
e2,3,-43
d2,2,30
d3,3,42
d2,2,42
g3,3,-30
d2,2,42
a5,3,40
d2,2,42
e5,3,-38
d2,2,42
d6,3,20
d2,2,42
e6,3,32
d2,2,42
e8,3,28
d2,2,42
a1,1,42
g3,2,-Infinity
b1,3,15
g3,2,15
e2,3,12
g3,2,15
d3,3,25
g3,2,25
h3,3,9
g3,2,25
a5,3,25
g3,2,25
e5,3,-53
g3,2,25
d6,3,5
g3,2,25
e6,3,17
g3,2,25
e8,3,13
g3,2,25
a1,1,25
e4,2,-Infinity
b1,3,5
e4,2,5
e2,3,8
e4,2,8
d3,3,15
e4,2,15
g3,3,-55
e4,2,15
a5,3,15
e4,2,15
e5,3,-63
e4,2,15
d6,3,-5
e4,2,15
e6,3,7
e4,2,15
e8,3,3
e4,2,15
a1,1,15
f4,2,-Infinity
b1,3,7
f4,2,7
d3,3,25
f4,2,25
g3,3,-53
f4,2,25
e4,3,15
f4,2,25
a5,3,17
f4,2,25
e5,3,-59
f4,2,25
d6,3,-3
f4,2,25
e6,3,17
f4,2,25
e8,3,5
f4,2,25
a1,1,15
h4,2,-Infinity
b1,3,1
h4,2,1
d3,3,19
h4,2,19
g3,3,-59
h4,2,19
h3,3,41
h4,2,41
a5,3,11
h4,2,41
e5,3,-67
h4,2,41
d6,3,-9
h4,2,41
e6,3,3
h4,2,41
e8,3,-1
h4,2,41
a1,1,15
a5,2,-Infinity
b1,3,3
a5,2,3
d3,3,13
a5,2,13
g3,3,-57
a5,2,13
e5,3,-73
a5,2,13
d6,3,-7
a5,2,13
e6,3,5
a5,2,13
e8,3,-7
a5,2,13
a1,1,13
e5,2,-Infinity
b1,3,11
e5,2,11
d3,3,29
e5,2,29
g3,3,-49
e5,2,29
e4,3,11
e5,2,29
f4,3,21
e5,2,29
a5,3,21
e5,2,29
d6,3,1
e5,2,29
e6,3,21
e5,2,29
e8,3,9
e5,2,29
a1,1,13
b6,2,-Infinity
b1,3,31
b6,2,31
d3,3,49
b6,2,49
g3,3,-29
b6,2,49
a5,3,41
b6,2,49
e5,3,-37
b6,2,49
d6,3,27
b6,2,49
e6,3,33
b6,2,49
b7,3,-85
b6,2,49
e8,3,29
b6,2,49
a1,1,13
b7,2,-Infinity
b1,3,51
b7,2,51
d3,3,69
b7,2,69
g3,3,-9
b7,2,69
a5,3,61
b7,2,69
e5,3,-17
b7,2,69
d6,3,41
b7,2,69
e6,3,53
b7,2,69
e8,3,49
b7,2,69
a1,1,13
root,0,13
b1,1,Infinity
a1,2,-Infinity
d3,3,-149
a1,2,-149
g3,3,-227
a1,2,-149
a5,3,-157
a1,2,-149
e5,3,-201
a1,2,-149
d6,3,-177
a1,2,-149
e6,3,-165
a1,2,-149
e8,3,-169
a1,2,-149
b1,1,-149
d2,2,-Infinity
a1,3,30
d2,2,30
d3,3,-41
d2,2,30
g3,3,-105
d2,2,30
b4,3,-112
d2,2,30
f4,3,-47
d2,2,30
a5,3,-35
d2,2,30
e5,3,-79
d2,2,30
d6,3,-55
d2,2,30
e6,3,-43
d2,2,30
e8,3,-47
d2,2,30
b1,1,-149
g3,2,-Infinity
a1,3,15
g3,2,15
e2,3,-63
g3,2,15
d3,3,-50
g3,2,15
h3,3,-66
g3,2,15
b4,3,-127
g3,2,15
a5,3,-50
g3,2,15
e5,3,-94
g3,2,15
d6,3,-70
g3,2,15
e6,3,-58
g3,2,15
e8,3,-62
g3,2,15
b1,1,-149
e4,2,-Infinity
a1,3,5
e4,2,5
e2,3,-67
e4,2,5
d3,3,-60
e4,2,5
g3,3,-130
e4,2,5
b4,3,-137
e4,2,5
a5,3,-60
e4,2,5
e5,3,-104
e4,2,5
d6,3,-80
e4,2,5
e6,3,-68
e4,2,5
e8,3,-72
e4,2,5
b1,1,-149
f4,2,-Infinity
a1,3,7
f4,2,7
d3,3,-50
f4,2,7
g3,3,-128
f4,2,7
b4,3,-135
f4,2,7
e4,3,-60
f4,2,7
a5,3,-58
f4,2,7
e5,3,-100
f4,2,7
d6,3,-78
f4,2,7
e6,3,-58
f4,2,7
e8,3,-70
f4,2,7
b1,1,-149
h4,2,-Infinity
a1,3,1
h4,2,1
d3,3,-56
h4,2,1
g3,3,-134
h4,2,1
h3,3,-34
h4,2,1
b4,3,-141
h4,2,1
a5,3,-64
h4,2,1
e5,3,-108
h4,2,1
d6,3,-84
h4,2,1
e6,3,-72
h4,2,1
e8,3,-76
h4,2,1
b1,1,-149
a5,2,-Infinity
a1,3,3
a5,2,3
d3,3,-62
a5,2,3
g3,3,-132
a5,2,3
b4,3,-139
a5,2,3
e5,3,-114
a5,2,3
d6,3,-82
a5,2,3
e6,3,-70
a5,2,3
e8,3,-82
a5,2,3
b1,1,-149
e5,2,-Infinity
a1,3,-57
e5,2,-57
d3,3,-46
e5,2,-46
g3,3,-124
e5,2,-46
b4,3,-131
e5,2,-46
e4,3,-64
e5,2,-46
f4,3,-54
e5,2,-46
a5,3,-54
e5,2,-46
d6,3,-74
e5,2,-46
e6,3,-54
e5,2,-46
e8,3,-66
e5,2,-46
b1,1,-149
b6,2,-Infinity
a1,3,31
b6,2,31
d3,3,-26
b6,2,31
g3,3,-104
b6,2,31
b4,3,-111
b6,2,31
a5,3,-34
b6,2,31
e5,3,-78
b6,2,31
d6,3,-48
b6,2,31
e6,3,-42
b6,2,31
b7,3,-160
b6,2,31
e8,3,-46
b6,2,31
b1,1,-149
b7,2,-Infinity
a1,3,51
b7,2,51
d3,3,-6
b7,2,51
g3,3,-84
b7,2,51
b4,3,-91
b7,2,51
a5,3,-14
b7,2,51
e5,3,-58
b7,2,51
d6,3,-34
b7,2,51
e6,3,-22
b7,2,51
e8,3,-26
b7,2,51
b1,1,-149
root,0,13
d3,1,Infinity
d2,2,-Infinity
a1,3,-8
d2,2,-8
b1,3,-83
d2,2,-8
e2,3,-38
d2,2,-8
g3,3,-95
d2,2,-8
e4,3,-43
d2,2,-8
a5,3,-25
d2,2,-8
e5,3,-69
d2,2,-8
b6,3,-39
d2,2,-8
d6,3,-43
d2,2,-8
e6,3,-33
d2,2,-8
e8,3,-37
d2,2,-8
d3,1,-8
f2,2,-Infinity
a1,3,-15
f2,2,-15
b1,3,-90
f2,2,-15
g3,3,-102
f2,2,-15
e4,3,-50
f2,2,-15
a5,3,-32
f2,2,-15
e5,3,-76
f2,2,-15
b6,3,-46
f2,2,-15
d6,3,-52
f2,2,-15
e6,3,-40
f2,2,-15
e8,3,-44
f2,2,-15
d3,1,-15
g3,2,-Infinity
a1,3,-1
g3,2,-1
b1,3,-76
g3,2,-1
h3,3,-42
g3,2,-1
e4,3,-36
g3,2,-1
a5,3,-18
g3,2,-1
e5,3,-62
g3,2,-1
b6,3,-32
g3,2,-1
d6,3,-38
g3,2,-1
e6,3,-26
g3,2,-1
e8,3,-30
g3,2,-1
d3,1,-15
b4,2,-Infinity
a1,3,-8
b4,2,-8
b1,3,-97
b4,2,-8
g3,3,-95
b4,2,-8
a5,3,-31
b4,2,-8
e5,3,-69
b4,2,-8
b6,3,-39
b4,2,-8
d6,3,-43
b4,2,-8
e6,3,-33
b4,2,-8
e8,3,-37
b4,2,-8
d3,1,-15
e4,2,-Infinity
a1,3,-25
e4,2,-25
b1,3,-100
e4,2,-25
e2,3,-49
e4,2,-25
g3,3,-98
e4,2,-25
f4,3,-56
e4,2,-25
a5,3,-42
e4,2,-25
e5,3,-86
e4,2,-25
b6,3,-56
e4,2,-25
d6,3,-62
e4,2,-25
e6,3,-50
e4,2,-25
e8,3,-54
e4,2,-25
d3,1,-25
f4,2,-Infinity
a1,3,-23
f4,2,-23
b1,3,-98
f4,2,-23
g3,3,-110
f4,2,-23
e4,3,-42
f4,2,-23
a5,3,-40
f4,2,-23
e5,3,-82
f4,2,-23
b6,3,-54
f4,2,-23
d6,3,-60
f4,2,-23
e6,3,-40
f4,2,-23
e8,3,-52
f4,2,-23
d3,1,-25
h4,2,-Infinity
a1,3,-29
h4,2,-29
b1,3,-104
h4,2,-29
g3,3,-116
h4,2,-29
h3,3,-16
h4,2,-16
e4,3,-64
h4,2,-16
a5,3,-46
h4,2,-16
e5,3,-90
h4,2,-16
b6,3,-60
h4,2,-16
d6,3,-66
h4,2,-16
e6,3,-54
h4,2,-16
e8,3,-58
h4,2,-16
d3,1,-25
a5,2,-Infinity
a1,3,-27
a5,2,-27
b1,3,-102
a5,2,-27
g3,3,-114
a5,2,-27
e4,3,-62
a5,2,-27
e5,3,-96
a5,2,-27
b6,3,-58
a5,2,-27
d6,3,-64
a5,2,-27
e6,3,-52
a5,2,-27
e8,3,-64
a5,2,-27
d3,1,-27
e5,2,-Infinity
a1,3,-19
e5,2,-19
b1,3,-94
e5,2,-19
g3,3,-106
e5,2,-19
e4,3,-46
e5,2,-19
f4,3,-36
e5,2,-19
a5,3,-36
e5,2,-19
b6,3,-50
e5,2,-19
d6,3,-56
e5,2,-19
e6,3,-36
e5,2,-19
e8,3,-48
e5,2,-19
d3,1,-27
b6,2,-Infinity
a1,3,1
b6,2,1
b1,3,-74
b6,2,1
g3,3,-86
b6,2,1
e4,3,-34
b6,2,1
a5,3,-16
b6,2,1
e5,3,-60
b6,2,1
d6,3,-30
b6,2,1
e6,3,-24
b6,2,1
b7,3,-142
b6,2,1
e8,3,-28
b6,2,1
d3,1,-27
b7,2,-Infinity
a1,3,21
b7,2,21
b1,3,-54
b7,2,21
g3,3,-66
b7,2,21
e4,3,-14
b7,2,21
a5,3,4
b7,2,21
e5,3,-40
b7,2,21
b6,3,-10
b7,2,21
d6,3,-16
b7,2,21
e6,3,-4
b7,2,21
e8,3,-8
b7,2,21
d3,1,-27
root,0,13
g3,1,Infinity
d2,2,-Infinity
a1,3,-30
d2,2,-30
b1,3,-105
d2,2,-30
d3,3,-93
d2,2,-30
a5,3,-95
d2,2,-30
e5,3,-139
d2,2,-30
d6,3,-115
d2,2,-30
e6,3,-103
d2,2,-30
e8,3,-107
d2,2,-30
g3,1,-30
h3,2,-Infinity
a1,3,-7
h3,2,-7
b1,3,-82
h3,2,-7
e2,3,-79
h3,2,-7
d3,3,-72
h3,2,-7
a5,3,-72
h3,2,-7
e5,3,-116
h3,2,-7
d6,3,-92
h3,2,-7
e6,3,-80
h3,2,-7
e8,3,-84
h3,2,-7
g3,1,-30
e4,2,-Infinity
a1,3,-7
e4,2,-7
b1,3,-82
e4,2,-7
e2,3,-79
e4,2,-7
d3,3,-50
e4,2,-7
a5,3,-72
e4,2,-7
e5,3,-116
e4,2,-7
d6,3,-92
e4,2,-7
e6,3,-80
e4,2,-7
e8,3,-84
e4,2,-7
g3,1,-30
f4,2,-Infinity
a1,3,-53
f4,2,-53
b1,3,-128
f4,2,-53
d3,3,-110
f4,2,-53
e4,3,-120
f4,2,-53
a5,3,-118
f4,2,-53
e5,3,-152
f4,2,-53
d6,3,-138
f4,2,-53
e6,3,-118
f4,2,-53
e8,3,-130
f4,2,-53
g3,1,-53
h4,2,-Infinity
a1,3,-59
h4,2,-59
b1,3,-134
h4,2,-59
d3,3,-116
h4,2,-59
h3,3,-94
h4,2,-59
a5,3,-124
h4,2,-59
e5,3,-168
h4,2,-59
d6,3,-144
h4,2,-59
e6,3,-132
h4,2,-59
e8,3,-136
h4,2,-59
g3,1,-59
a5,2,-Infinity
a1,3,-57
a5,2,-57
b1,3,-132
a5,2,-57
d3,3,-122
a5,2,-57
e5,3,-174
a5,2,-57
d6,3,-142
a5,2,-57
e6,3,-130
a5,2,-57
e8,3,-142
a5,2,-57
g3,1,-59
e5,2,-Infinity
a1,3,-117
e5,2,-117
b1,3,-124
e5,2,-117
d3,3,-106
e5,2,-106
e4,3,-124
e5,2,-106
f4,3,-114
e5,2,-106
a5,3,-114
e5,2,-106
d6,3,-134
e5,2,-106
e6,3,-114
e5,2,-106
e8,3,-126
e5,2,-106
g3,1,-106
b6,2,-Infinity
a1,3,-29
b6,2,-29
b1,3,-104
b6,2,-29
d3,3,-86
b6,2,-29
a5,3,-94
b6,2,-29
e5,3,-138
b6,2,-29
d6,3,-108
b6,2,-29
e6,3,-102
b6,2,-29
b7,3,-220
b6,2,-29
e8,3,-106
b6,2,-29
g3,1,-106
b7,2,-Infinity
a1,3,-9
b7,2,-9
b1,3,-84
b7,2,-9
d3,3,-66
b7,2,-9
a5,3,-74
b7,2,-9
e5,3,-118
b7,2,-9
d6,3,-94
b7,2,-9
e6,3,-82
b7,2,-9
e8,3,-86
b7,2,-9
g3,1,-106
root,0,13
a5,1,Infinity
d2,2,-Infinity
a1,3,40
d2,2,40
b1,3,-35
d2,2,40
d3,3,-23
d2,2,40
g3,3,-95
d2,2,40
e5,3,-69
d2,2,40
d6,3,-45
d2,2,40
e6,3,-33
d2,2,40
e8,3,-37
d2,2,40
a5,1,40
g3,2,-Infinity
a1,3,25
g3,2,25
b1,3,-50
g3,2,25
e2,3,-53
g3,2,25
d3,3,-40
g3,2,25
