OXXO**OX
OOXX*OOX
***OOXXX
XXX*OX*X
*X*OXOOX
*X*XOO*O
OXXX*XO*
O*OXXXOO
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
f1,2,-Infinity
e2,3,-162
f1,2,-162
c3,3,-130
f1,2,-130
d4,3,-151
f1,2,-130
g4,3,-154
f1,2,-130
c5,3,-161
f1,2,-130
c6,3,-194
f1,2,-130
g6,3,-155
f1,2,-130
e7,3,-162
f1,2,-130
h7,3,-207
f1,2,-130
b8,3,-159
f1,2,-130
e1,1,-130
e2,2,-Infinity
f1,3,-166
e2,2,-166
a3,3,-144
e2,2,-144
b3,3,-164
e2,2,-144
c3,3,-95
e2,2,-95
d4,3,-94
e2,2,-94
g4,3,-91
e2,2,-91
c5,3,-98
e2,2,-91
c6,3,-97
e2,2,-91
g6,3,-100
e2,2,-91
e7,3,-89
e2,2,-89
h7,3,-144
e2,2,-89
b8,3,-96
e2,2,-89
e1,1,-130
h2,2,-Infinity
f1,3,-161
h2,2,-161
e2,3,-148
h2,2,-148
a3,3,-193
h2,2,-148
b3,3,-205
h2,2,-148
c3,3,-130
h2,2,-130
d4,3,-129
h2,2,-129
g4,3,-140
h2,2,-129
c6,3,-146
h2,2,-129
g6,3,-141
h2,2,-129
h7,3,-169
h2,2,-129
b8,3,-145
h2,2,-129
e1,1,-130
b3,2,-Infinity
f1,3,-189
b3,2,-189
e2,3,-120
b3,2,-120
h2,3,-189
b3,2,-120
a3,3,-173
b3,2,-120
c3,3,-110
b3,2,-110
d4,3,-101
b3,2,-101
g4,3,-120
b3,2,-101
c5,3,-127
b3,2,-101
c6,3,-126
b3,2,-101
g6,3,-121
b3,2,-101
e7,3,-128
b3,2,-101
h7,3,-173
b3,2,-101
b8,3,-125
b3,2,-101
e1,1,-130
g4,2,-Infinity
f1,3,-174
g4,2,-174
e2,3,-113
g4,2,-113
h2,3,-166
g4,2,-113
a3,3,-158
g4,2,-113
b3,3,-170
g4,2,-113
c3,3,-95
g4,2,-95
d4,3,-92
g4,2,-92
c5,3,-112
g4,2,-92
c6,3,-111
g4,2,-92
g6,3,-106
g4,2,-92
e7,3,-113
g4,2,-92
h7,3,-158
g4,2,-92
b8,3,-110
g4,2,-92
e1,1,-130
c5,2,-Infinity
f1,3,-181
c5,2,-181
e2,3,-120
c5,2,-120
h2,3,-181
c5,2,-120
a3,3,-165
c5,2,-120
b3,3,-177
c5,2,-120
c3,3,-102
c5,2,-102
d4,3,-101
c5,2,-101
g4,3,-112
c5,2,-101
a5,3,-127
c5,2,-101
c6,3,-110
c5,2,-101
g6,3,-113
c5,2,-101
e7,3,-104
c5,2,-101
h7,3,-165
c5,2,-101
b8,3,-117
c5,2,-101
e1,1,-130
a6,2,-Infinity
f1,3,-147
a6,2,-147
h2,3,-147
a6,2,-147
a3,3,-131
a6,2,-131
b3,3,-127
a6,2,-127
c3,3,-68
a6,2,-68
d4,3,-59
a6,2,-59
g4,3,-78
a6,2,-59
c5,3,-85
a6,2,-59
c6,3,-90
a6,2,-59
g6,3,-79
a6,2,-59
e7,3,-86
a6,2,-59
h7,3,-131
a6,2,-59
b8,3,-131
a6,2,-59
e1,1,-130
c6,2,-Infinity
f1,3,-136
c6,2,-136
e2,3,-75
c6,2,-75
h2,3,-136
c6,2,-75
a3,3,-120
c6,2,-75
b3,3,-132
c6,2,-75
c3,3,-57
c6,2,-57
d4,3,-56
c6,2,-56
g4,3,-67
c6,2,-56
c5,3,-74
c6,2,-56
g6,3,-24
c6,2,-24
e7,3,-75
c6,2,-24
h7,3,-120
c6,2,-24
b8,3,-112
c6,2,-24
e1,1,-130
e7,2,-Infinity
f1,3,-112
e7,2,-112
e2,3,-41
e7,2,-41
h2,3,-112
e7,2,-41
a3,3,-96
e7,2,-41
b3,3,-108
e7,2,-41
c3,3,-33
e7,2,-33
d4,3,-38
e7,2,-33
c5,3,-48
e7,2,-33
c6,3,-55
e7,2,-33
g6,3,-52
e7,2,-33
h7,3,-48
e7,2,-33
b8,3,-88
e7,2,-33
e1,1,-130
b8,2,-Infinity
f1,3,-169
b8,2,-169
e2,3,-108
b8,2,-108
h2,3,-169
b8,2,-108
a3,3,-153
b8,2,-108
b3,3,-165
b8,2,-108
c3,3,-90
b8,2,-90
d4,3,-89
b8,2,-89
g4,3,-100
b8,2,-89
c5,3,-107
b8,2,-89
c6,3,-106
b8,2,-89
g6,3,-101
b8,2,-89
e7,3,-108
b8,2,-89
h7,3,-153
b8,2,-89
e1,1,-130
root,0,-130
f1,1,Infinity
e1,2,-Infinity
e2,3,-196
e1,2,-196
h2,3,-193
e1,2,-193
a3,3,-233
e1,2,-193
b3,3,-245
e1,2,-193
c3,3,-170
e1,2,-170
d4,3,-177
e1,2,-170
g4,3,-188
e1,2,-170
c5,3,-187
e1,2,-170
c6,3,-186
e1,2,-170
g6,3,-181
e1,2,-170
e7,3,-188
e1,2,-170
h7,3,-233
e1,2,-170
b8,3,-185
e1,2,-170
f1,1,-170
e2,2,-Infinity
e1,3,-160
e2,2,-160
h2,3,-178
e2,2,-160
a3,3,-218
e2,2,-160
b3,3,-230
e2,2,-160
c3,3,-163
e2,2,-160
d4,3,-162
e2,2,-160
g4,3,-173
e2,2,-160
c5,3,-172
e2,2,-160
c6,3,-171
e2,2,-160
g6,3,-174
e2,2,-160
e7,3,-173
e2,2,-160
h7,3,-218
e2,2,-160
b8,3,-170
e2,2,-160
f1,1,-170
h2,2,-Infinity
e1,3,-209
h2,2,-209
e2,3,-222
h2,2,-209
a3,3,-267
h2,2,-209
b3,3,-279
h2,2,-209
c3,3,-204
h2,2,-204
d4,3,-203
h2,2,-203
g4,3,-222
h2,2,-203
c6,3,-220
h2,2,-203
g6,3,-215
h2,2,-203
h7,3,-243
h2,2,-203
b8,3,-219
h2,2,-203
f1,1,-203
b3,2,-Infinity
e1,3,-173
b3,2,-173
e2,3,-178
b3,2,-173
h2,3,-191
b3,2,-173
a3,3,-231
b3,2,-173
c3,3,-176
b3,2,-173
d4,3,-159
b3,2,-159
g4,3,-186
b3,2,-159
c5,3,-185
b3,2,-159
c6,3,-184
b3,2,-159
g6,3,-187
b3,2,-159
e7,3,-186
b3,2,-159
h7,3,-231
b3,2,-159
b8,3,-183
b3,2,-159
f1,1,-203
c5,2,-Infinity
e1,3,-173
c5,2,-173
e2,3,-186
c5,2,-173
h2,3,-191
c5,2,-173
a3,3,-231
c5,2,-173
b3,3,-243
c5,2,-173
c3,3,-168
c5,2,-168
d4,3,-167
c5,2,-167
g4,3,-186
c5,2,-167
a5,3,-193
c5,2,-167
c6,3,-176
c5,2,-167
g6,3,-179
c5,2,-167
e7,3,-170
c5,2,-167
h7,3,-231
c5,2,-167
b8,3,-183
c5,2,-167
f1,1,-203
a6,2,-Infinity
e1,3,-139
a6,2,-139
h2,3,-157
a6,2,-139
a3,3,-197
a6,2,-139
b3,3,-193
a6,2,-139
c3,3,-134
a6,2,-134
d4,3,-125
a6,2,-125
g4,3,-152
a6,2,-125
c5,3,-151
a6,2,-125
c6,3,-156
a6,2,-125
g6,3,-145
a6,2,-125
e7,3,-152
a6,2,-125
h7,3,-197
a6,2,-125
b8,3,-197
a6,2,-125
f1,1,-203
c6,2,-Infinity
e1,3,-128
c6,2,-128
e2,3,-141
c6,2,-128
a3,3,-186
c6,2,-128
b3,3,-198
c6,2,-128
c3,3,-123
c6,2,-123
d4,3,-122
c6,2,-122
g4,3,-141
c6,2,-122
c5,3,-140
c6,2,-122
g6,3,-90
c6,2,-90
e7,3,-141
c6,2,-90
h7,3,-186
c6,2,-90
b8,3,-186
c6,2,-90
f1,1,-203
e7,2,-Infinity
e1,3,-104
e7,2,-104
e2,3,-107
e7,2,-104
a3,3,-162
e7,2,-104
b3,3,-174
e7,2,-104
c3,3,-99
e7,2,-99
d4,3,-104
e7,2,-99
g4,3,-133
e7,2,-99
c5,3,-114
e7,2,-99
c6,3,-121
e7,2,-99
g6,3,-118
e7,2,-99
h7,3,-114
e7,2,-99
b8,3,-162
e7,2,-99
f1,1,-203
b8,2,-Infinity
e1,3,-161
b8,2,-161
e2,3,-174
b8,2,-161
a3,3,-219
b8,2,-161
b3,3,-231
b8,2,-161
c3,3,-156
b8,2,-156
d4,3,-155
b8,2,-155
g4,3,-174
b8,2,-155
c5,3,-173
b8,2,-155
c6,3,-172
b8,2,-155
g6,3,-167
b8,2,-155
e7,3,-174
b8,2,-155
h7,3,-219
b8,2,-155
f1,1,-203
root,0,-130
e2,1,Infinity
e1,2,-Infinity
f1,3,-172
e1,2,-172
h2,3,-188
e1,2,-172
a3,3,-166
e1,2,-166
b3,3,-178
e1,2,-166
d4,3,-118
e1,2,-118
g4,3,-113
e1,2,-113
c5,3,-120
e1,2,-113
c6,3,-119
e1,2,-113
g6,3,-122
e1,2,-113
e7,3,-121
e1,2,-113
h7,3,-166
e1,2,-113
b8,3,-118
e1,2,-113
e2,1,-113
h2,2,-Infinity
e1,3,-140
h2,2,-140
f1,3,-174
h2,2,-140
a3,3,-198
h2,2,-140
b3,3,-210
h2,2,-140
d4,3,-150
h2,2,-140
g4,3,-145
h2,2,-140
c6,3,-151
h2,2,-140
g6,3,-154
h2,2,-140
e7,3,-145
h2,2,-140
h7,3,-174
h2,2,-140
b8,3,-150
h2,2,-140
e2,1,-140
b3,2,-Infinity
e1,3,-120
b3,2,-120
f1,3,-186
b3,2,-120
h2,3,-178
b3,2,-120
a3,3,-162
b3,2,-120
c3,3,-123
b3,2,-120
d4,3,-106
b3,2,-106
g4,3,-109
b3,2,-106
c5,3,-116
b3,2,-106
c6,3,-115
b3,2,-106
g6,3,-118
b3,2,-106
e7,3,-101
b3,2,-101
h7,3,-162
b3,2,-101
b8,3,-114
b3,2,-101
e2,1,-140
c3,2,-Infinity
e1,3,-139
c3,2,-139
f1,3,-205
c3,2,-139
h2,3,-197
c3,2,-139
a3,3,-181
c3,2,-139
b3,3,-163
c3,2,-139
d4,3,-125
c3,2,-125
g4,3,-128
c3,2,-125
c5,3,-135
c3,2,-125
c6,3,-134
c3,2,-125
g6,3,-129
c3,2,-125
e7,3,-120
c3,2,-120
h7,3,-181
c3,2,-120
b8,3,-133
c3,2,-120
e2,1,-140
d4,2,-Infinity
e1,3,-126
d4,2,-126
f1,3,-192
d4,2,-126
h2,3,-184
d4,2,-126
a3,3,-168
d4,2,-126
b3,3,-180
d4,2,-126
c3,3,-105
d4,2,-105
g4,3,-107
d4,2,-105
c5,3,-122
d4,2,-105
c6,3,-121
d4,2,-105
g6,3,-116
d4,2,-105
e7,3,-107
d4,2,-105
h7,3,-168
d4,2,-105
b8,3,-120
d4,2,-105
e2,1,-140
g4,2,-Infinity
e1,3,-129
g4,2,-129
f1,3,-157
g4,2,-129
h2,3,-193
g4,2,-129
a3,3,-171
g4,2,-129
b3,3,-183
g4,2,-129
d4,3,-121
g4,2,-121
c5,3,-125
g4,2,-121
c6,3,-158
g4,2,-121
g6,3,-127
g4,2,-121
e7,3,-126
g4,2,-121
h7,3,-171
g4,2,-121
b8,3,-123
g4,2,-121
e2,1,-140
c5,2,-Infinity
e1,3,-120
c5,2,-120
f1,3,-186
c5,2,-120
h2,3,-178
c5,2,-120
a3,3,-162
c5,2,-120
b3,3,-174
c5,2,-120
d4,3,-114
c5,2,-114
g4,3,-109
c5,2,-109
a5,3,-124
c5,2,-109
c6,3,-107
c5,2,-107
g6,3,-118
c5,2,-107
e7,3,-85
c5,2,-85
h7,3,-162
c5,2,-85
b8,3,-114
c5,2,-85
e2,1,-140
a6,2,-Infinity
e1,3,-84
a6,2,-84
f1,3,-150
a6,2,-84
h2,3,-142
a6,2,-84
a3,3,-126
a6,2,-84
b3,3,-138
a6,2,-84
d4,3,-78
a6,2,-78
g4,3,-73
a6,2,-73
c5,3,-80
a6,2,-73
c6,3,-79
a6,2,-73
g6,3,-82
a6,2,-73
e7,3,-65
a6,2,-65
h7,3,-126
a6,2,-65
b8,3,-126
a6,2,-65
e2,1,-140
c6,2,-Infinity
e1,3,-75
c6,2,-75
f1,3,-141
c6,2,-75
h2,3,-141
c6,2,-75
a3,3,-117
c6,2,-75
b3,3,-129
c6,2,-75
d4,3,-69
c6,2,-69
g4,3,-64
c6,2,-64
c5,3,-71
c6,2,-64
g6,3,-29
c6,2,-29
e7,3,-56
c6,2,-29
h7,3,-117
c6,2,-29
b8,3,-117
c6,2,-29
e2,1,-140
e7,2,-Infinity
e1,3,-51
e7,2,-51
f1,3,-117
e7,2,-51
h2,3,-117
e7,2,-51
a3,3,-93
e7,2,-51
b3,3,-105
e7,2,-51
d4,3,-51
e7,2,-51
c5,3,-45
e7,2,-45
c6,3,-52
e7,2,-45
g6,3,-57
e7,2,-45
h7,3,-45
e7,2,-45
b8,3,-93
e7,2,-45
e2,1,-140
b8,2,-Infinity
e1,3,-108
b8,2,-108
f1,3,-174
b8,2,-108
h2,3,-174
b8,2,-108
a3,3,-150
b8,2,-108
b3,3,-162
b8,2,-108
d4,3,-102
b8,2,-102
g4,3,-97
b8,2,-97
c5,3,-104
b8,2,-97
c6,3,-103
b8,2,-97
g6,3,-106
b8,2,-97
e7,3,-89
b8,2,-89
h7,3,-150
b8,2,-89
e2,1,-140
root,0,-130
h2,1,Infinity
e2,2,-Infinity
e1,3,-102
e2,2,-102
f1,3,-176
e2,2,-102
a3,3,-154
e2,2,-102
b3,3,-166
e2,2,-102
c3,3,-99
e2,2,-99
d4,3,-114
e2,2,-99
g4,3,-101
e2,2,-99
c5,3,-110
e2,2,-99
c6,3,-107
e2,2,-99
g6,3,-88
e2,2,-88
e7,3,-101
e2,2,-88
h7,3,-154
e2,2,-88
b8,3,-106
e2,2,-88
h2,1,-88
b3,2,-Infinity
e1,3,-117
b3,2,-117
f1,3,-191
b3,2,-117
e2,3,-162
b3,2,-117
a3,3,-167
b3,2,-117
c3,3,-112
b3,2,-112
d4,3,-111
b3,2,-111
g4,3,-114
b3,2,-111
c5,3,-123
b3,2,-111
c6,3,-120
b3,2,-111
g6,3,-101
b3,2,-101
e7,3,-114
b3,2,-101
h7,3,-167
b3,2,-101
b8,3,-119
b3,2,-101
h2,1,-101
d4,2,-Infinity
e1,3,-121
d4,2,-121
f1,3,-195
d4,2,-121
e2,3,-182
d4,2,-121
a3,3,-171
d4,2,-121
b3,3,-183
d4,2,-121
c3,3,-108
d4,2,-108
g4,3,-118
d4,2,-108
c5,3,-125
d4,2,-108
c6,3,-124
d4,2,-108
g6,3,-97
d4,2,-97
e7,3,-126
d4,2,-97
h7,3,-171
d4,2,-97
b8,3,-123
d4,2,-97
h2,1,-101
g4,2,-Infinity
e1,3,-126
g4,2,-126
f1,3,-192
g4,2,-126
e2,3,-171
g4,2,-126
a3,3,-168
g4,2,-126
b3,3,-180
g4,2,-126
c3,3,-105
g4,2,-105
d4,3,-118
g4,2,-105
c5,3,-124
g4,2,-105
c6,3,-121
g4,2,-105
g6,3,-94
g4,2,-94
e7,3,-115
g4,2,-94
h7,3,-168
g4,2,-94
b8,3,-120
g4,2,-94
h2,1,-101
c5,2,-Infinity
e1,3,-117
c5,2,-117
f1,3,-191
c5,2,-117
e2,3,-170
c5,2,-117
a3,3,-167
c5,2,-117
b3,3,-179
c5,2,-117
c3,3,-104
c5,2,-104
d4,3,-119
c5,2,-104
g4,3,-114
c5,2,-104
a5,3,-129
c5,2,-104
c6,3,-112
c5,2,-104
g6,3,-93
c5,2,-93
e7,3,-114
c5,2,-93
h7,3,-167
c5,2,-93
b8,3,-119
c5,2,-93
h2,1,-101
a6,2,-Infinity
e1,3,-83
a6,2,-83
f1,3,-157
a6,2,-83
e2,3,-144
a6,2,-83
a3,3,-133
a6,2,-83
b3,3,-129
a6,2,-83
c3,3,-70
a6,2,-70
d4,3,-77
a6,2,-70
g4,3,-80
a6,2,-70
c5,3,-89
a6,2,-70
c6,3,-92
a6,2,-70
g6,3,-59
a6,2,-59
e7,3,-80
a6,2,-59
h7,3,-133
a6,2,-59
b8,3,-133
a6,2,-59
h2,1,-101
c6,2,-Infinity
e1,3,-80
c6,2,-80
f1,3,-154
c6,2,-80
e2,3,-133
c6,2,-80
a3,3,-130
