XXXOXXO*
XXOOO*X*
XOXOX*OO
X*XXX*XX
*XX*XO*X
X*OX*OO*
X*XOOOOO
XX**XX*O
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
f3,2,-Infinity
h1,3,206
f3,2,206
f2,3,99
f3,2,206
h2,3,131
f3,2,206
b4,3,112
f3,2,206
f4,3,143
f3,2,206
g5,3,128
f3,2,206
b6,3,133
f3,2,206
e6,3,129
f3,2,206
h6,3,83
f3,2,206
d8,3,123
f3,2,206
a1,1,206
b4,2,-Infinity
h1,3,194
b4,2,194
f2,3,79
b4,2,194
h2,3,119
b4,2,194
f4,3,129
b4,2,194
a5,3,119
b4,2,194
d5,3,119
b4,2,194
g5,3,116
b4,2,194
b6,3,115
b4,2,194
e6,3,117
b4,2,194
h6,3,71
b4,2,194
a1,1,194
f4,2,-Infinity
h1,3,209
f4,2,209
f2,3,102
f4,2,209
h2,3,134
f4,2,209
f3,3,171
f4,2,209
b4,3,115
f4,2,209
g5,3,141
f4,2,209
b6,3,136
f4,2,209
e6,3,132
f4,2,209
h6,3,86
f4,2,209
d8,3,126
f4,2,209
a1,1,194
d5,2,-Infinity
h1,3,205
d5,2,205
f2,3,90
d5,2,205
h2,3,130
d5,2,205
b4,3,119
d5,2,205
f4,3,148
d5,2,205
g5,3,127
d5,2,205
e6,3,128
d5,2,205
h6,3,82
d5,2,205
b7,3,112
d5,2,205
a1,1,194
g5,2,-Infinity
h1,3,230
g5,2,230
f2,3,115
g5,2,230
h2,3,155
g5,2,230
f3,3,148
g5,2,230
b4,3,136
g5,2,230
f4,3,159
g5,2,230
b6,3,157
g5,2,230
e6,3,145
g5,2,230
h6,3,107
g5,2,230
d8,3,149
g5,2,230
g8,3,63
g5,2,230
a1,1,194
e6,2,-Infinity
h1,3,201
e6,2,201
f2,3,94
e6,2,201
h2,3,126
e6,2,201
f3,3,141
e6,2,201
b4,3,107
e6,2,201
f4,3,146
e6,2,201
h6,3,78
e6,2,201
c8,3,136
e6,2,201
a1,1,194
h6,2,-Infinity
h1,3,189
h6,2,189
f2,3,82
h6,2,189
b4,3,95
h6,2,189
f4,3,124
h6,2,189
g5,3,111
h6,2,189
b6,3,116
h6,2,189
e6,3,112
h6,2,189
d8,3,106
h6,2,189
a1,1,189
b7,2,-Infinity
h1,3,253
b7,2,253
f2,3,138
b7,2,253
h2,3,178
b7,2,253
b4,3,159
b7,2,253
f4,3,188
b7,2,253
d5,3,136
b7,2,253
g5,3,175
b7,2,253
b6,3,132
b7,2,253
e6,3,176
b7,2,253
h6,3,130
b7,2,253
c8,3,136
b7,2,253
d8,3,170
b7,2,253
a1,1,189
c8,2,-Infinity
h1,3,221
c8,2,221
f2,3,106
c8,2,221
h2,3,146
c8,2,221
b4,3,127
c8,2,221
f4,3,156
c8,2,221
g5,3,143
c8,2,221
b6,3,148
c8,2,221
e6,3,144
c8,2,221
h6,3,98
c8,2,221
d8,3,154
c8,2,221
a1,1,189
root,0,189
h1,1,Infinity
a1,2,-Infinity
f2,3,-23
a1,2,-23
h2,3,65
a1,2,65
b4,3,62
a1,2,65
f4,3,75
a1,2,75
g5,3,62
a1,2,75
b6,3,67
a1,2,75
e6,3,63
a1,2,75
h6,3,17
a1,2,75
d8,3,57
a1,2,75
h1,1,75
f3,2,-Infinity
a1,3,206
f3,2,206
f2,3,69
f3,2,206
h2,3,149
f3,2,206
b4,3,90
f3,2,206
f4,3,161
f3,2,206
g5,3,146
f3,2,206
b6,3,151
f3,2,206
e6,3,147
f3,2,206
h6,3,101
f3,2,206
d8,3,141
f3,2,206
h1,1,75
b4,2,-Infinity
a1,3,208
b4,2,208
f2,3,63
b4,2,208
h2,3,151
b4,2,208
f4,3,161
b4,2,208
a5,3,151
b4,2,208
d5,3,151
b4,2,208
g5,3,148
b4,2,208
b6,3,147
b4,2,208
e6,3,149
b4,2,208
h6,3,103
b4,2,208
h1,1,75
f4,2,-Infinity
a1,3,209
f4,2,209
f2,3,72
f4,2,209
h2,3,152
f4,2,209
f3,3,195
f4,2,209
b4,3,93
f4,2,209
g5,3,159
f4,2,209
b6,3,154
f4,2,209
e6,3,150
f4,2,209
h6,3,104
f4,2,209
d8,3,144
f4,2,209
h1,1,75
d5,2,-Infinity
f2,3,60
d5,2,60
h2,3,148
d5,2,148
b4,3,97
d5,2,148
f4,3,166
d5,2,166
g5,3,145
d5,2,166
e6,3,146
d5,2,166
h6,3,100
d5,2,166
b7,3,130
d5,2,166
h1,1,75
g5,2,-Infinity
a1,3,230
g5,2,230
f2,3,85
g5,2,230
h2,3,173
g5,2,230
f3,3,166
g5,2,230
b4,3,114
g5,2,230
f4,3,177
g5,2,230
b6,3,175
g5,2,230
e6,3,163
g5,2,230
h6,3,125
g5,2,230
d8,3,167
g5,2,230
g8,3,81
g5,2,230
h1,1,75
e6,2,-Infinity
a1,3,201
e6,2,201
f2,3,64
e6,2,201
h2,3,144
e6,2,201
f3,3,165
e6,2,201
b4,3,85
e6,2,201
f4,3,164
e6,2,201
h6,3,96
e6,2,201
c8,3,154
e6,2,201
h1,1,75
h6,2,-Infinity
a1,3,189
h6,2,189
f2,3,52
h6,2,189
b4,3,73
h6,2,189
f4,3,142
h6,2,189
g5,3,129
h6,2,189
b6,3,134
h6,2,189
e6,3,130
h6,2,189
d8,3,124
h6,2,189
h1,1,75
b7,2,-Infinity
a1,3,253
b7,2,253
f2,3,108
b7,2,253
h2,3,196
b7,2,253
b4,3,137
b7,2,253
f4,3,206
b7,2,253
d5,3,154
b7,2,253
g5,3,193
b7,2,253
b6,3,150
b7,2,253
e6,3,194
b7,2,253
h6,3,148
b7,2,253
c8,3,154
b7,2,253
d8,3,188
b7,2,253
h1,1,75
c8,2,-Infinity
a1,3,221
c8,2,221
f2,3,76
c8,2,221
h2,3,164
c8,2,221
b4,3,105
c8,2,221
f4,3,174
c8,2,221
g5,3,161
c8,2,221
b6,3,166
c8,2,221
e6,3,162
c8,2,221
h6,3,116
c8,2,221
d8,3,172
c8,2,221
h1,1,75
root,0,189
f2,1,Infinity
a1,2,-Infinity
h1,3,25
a1,2,25
h2,3,-50
a1,2,25
b4,3,-47
a1,2,25
f4,3,-40
a1,2,25
g5,3,-53
a1,2,25
b6,3,-48
a1,2,25
e6,3,-52
a1,2,25
h6,3,-98
a1,2,25
d8,3,-58
a1,2,25
f2,1,25
f3,2,-Infinity
h1,3,75
f3,2,75
h2,3,0
f3,2,75
b4,3,-5
f3,2,75
f4,3,32
f3,2,75
g5,3,-3
f3,2,75
b6,3,2
f3,2,75
e6,3,-2
f3,2,75
h6,3,-48
f3,2,75
d8,3,-8
f3,2,75
f2,1,25
b4,2,-Infinity
h1,3,63
b4,2,63
h2,3,-12
b4,2,63
f4,3,-2
b4,2,63
a5,3,-6
b4,2,63
d5,3,-12
b4,2,63
g5,3,-15
b4,2,63
b6,3,-16
b4,2,63
e6,3,-14
b4,2,63
h6,3,-60
b4,2,63
f2,1,25
d5,2,-Infinity
h1,3,60
d5,2,60
h2,3,-15
d5,2,60
b4,3,-12
d5,2,60
f4,3,3
d5,2,60
g5,3,-18
d5,2,60
e6,3,-17
d5,2,60
h6,3,-63
d5,2,60
b7,3,-33
d5,2,60
d8,3,-7
d5,2,60
f2,1,25
g5,2,-Infinity
h1,3,141
g5,2,141
h2,3,18
g5,2,141
f3,3,59
g5,2,141
b4,3,61
g5,2,141
f4,3,70
g5,2,141
b6,3,68
g5,2,141
e6,3,56
g5,2,141
h6,3,18
g5,2,141
d8,3,60
g5,2,141
f2,1,25
b6,2,-Infinity
h1,3,72
b6,2,72
h2,3,-3
b6,2,72
f3,3,10
b6,2,72
b4,3,0
b6,2,72
f4,3,15
b6,2,72
a5,3,-13
b6,2,72
d5,3,5
b6,2,72
g5,3,-6
b6,2,72
e6,3,-5
b6,2,72
h6,3,-51
b6,2,72
b7,3,-43
b6,2,72
d8,3,-11
b6,2,72
f2,1,25
e6,2,-Infinity
h1,3,64
e6,2,64
h2,3,-11
e6,2,64
b4,3,-16
e6,2,64
f4,3,-1
e6,2,64
g5,3,-14
e6,2,64
h6,3,-59
e6,2,64
c8,3,-1
e6,2,64
f2,1,25
h6,2,-Infinity
h1,3,44
h6,2,44
b4,3,-36
h6,2,44
f4,3,-21
h6,2,44
g5,3,-34
h6,2,44
b6,3,-29
h6,2,44
e6,3,-33
h6,2,44
d8,3,-39
h6,2,44
f2,1,25
b7,2,-Infinity
h1,3,108
b7,2,108
h2,3,33
b7,2,108
b4,3,28
b7,2,108
f4,3,43
b7,2,108
d5,3,-9
b7,2,108
g5,3,30
b7,2,108
b6,3,-13
b7,2,108
e6,3,31
b7,2,108
h6,3,-15
b7,2,108
c8,3,-9
b7,2,108
d8,3,25
b7,2,108
f2,1,25
c8,2,-Infinity
h1,3,76
c8,2,76
h2,3,1
c8,2,76
b4,3,-4
c8,2,76
f4,3,11
c8,2,76
g5,3,-2
c8,2,76
b6,3,3
c8,2,76
e6,3,-1
c8,2,76
h6,3,-47
c8,2,76
d8,3,9
c8,2,76
f2,1,25
root,0,189
h2,1,Infinity
a1,2,-Infinity
h1,3,65
a1,2,65
f2,3,-98
a1,2,65
f3,3,-19
a1,2,65
b4,3,-13
a1,2,65
f4,3,-8
a1,2,65
g5,3,-13
a1,2,65
b6,3,-8
a1,2,65
e6,3,-12
a1,2,65
h6,3,-58
a1,2,65
d8,3,-18
a1,2,65
h2,1,65
f3,2,-Infinity
a1,3,131
f3,2,131
h1,3,149
f3,2,149
f2,3,-6
f3,2,149
b4,3,15
f3,2,149
f4,3,78
f3,2,149
g5,3,71
f3,2,149
b6,3,76
f3,2,149
e6,3,72
f3,2,149
h6,3,26
f3,2,149
d8,3,66
f3,2,149
h2,1,65
b4,2,-Infinity
a1,3,133
b4,2,133
h1,3,151
b4,2,151
f2,3,-12
b4,2,151
f3,3,67
b4,2,151
f4,3,78
b4,2,151
a5,3,76
b4,2,151
d5,3,76
b4,2,151
g5,3,73
b4,2,151
b6,3,72
b4,2,151
e6,3,74
b4,2,151
h6,3,28
b4,2,151
h2,1,65
f4,2,-Infinity
a1,3,134
f4,2,134
h1,3,152
f4,2,152
f2,3,-3
f4,2,152
f3,3,112
f4,2,152
b4,3,18
f4,2,152
g5,3,84
f4,2,152
b6,3,79
f4,2,152
e6,3,75
f4,2,152
h6,3,29
f4,2,152
d8,3,69
f4,2,152
h2,1,65
d5,2,-Infinity
h1,3,148
d5,2,148
f2,3,-15
d5,2,148
f3,3,64
d5,2,148
b4,3,22
d5,2,148
f4,3,83
d5,2,148
g5,3,70
d5,2,148
e6,3,71
d5,2,148
h6,3,25
d5,2,148
b7,3,55
d5,2,148
h2,1,65
g5,2,-Infinity
a1,3,155
g5,2,155
h1,3,173
g5,2,173
f2,3,10
g5,2,173
f3,3,83
g5,2,173
b4,3,39
g5,2,173
f4,3,94
g5,2,173
b6,3,100
g5,2,173
e6,3,90
g5,2,173
h6,3,50
g5,2,173
d8,3,92
g5,2,173
g8,3,6
g5,2,173
h2,1,65
e6,2,-Infinity
a1,3,126
e6,2,126
h1,3,144
e6,2,144
f2,3,-11
e6,2,144
f3,3,82
e6,2,144
b4,3,10
e6,2,144
f4,3,81
e6,2,144
h6,3,21
e6,2,144
c8,3,79
e6,2,144
h2,1,65
b7,2,-Infinity
a1,3,178
b7,2,178
h1,3,196
b7,2,196
f2,3,33
b7,2,196
f3,3,112
b7,2,196
b4,3,62
b7,2,196
f4,3,123
b7,2,196
d5,3,79
b7,2,196
g5,3,118
b7,2,196
b6,3,75
b7,2,196
e6,3,119
b7,2,196
h6,3,73
b7,2,196
c8,3,79
b7,2,196
d8,3,113
b7,2,196
h2,1,65
c8,2,-Infinity
a1,3,146
c8,2,146
h1,3,164
c8,2,164
f2,3,1
c8,2,164
f3,3,80
c8,2,164
b4,3,30
c8,2,164
f4,3,91
c8,2,164
g5,3,86
c8,2,164
b6,3,91
c8,2,164
e6,3,87
c8,2,164
h6,3,41
c8,2,164
d8,3,97
c8,2,164
h2,1,65
root,0,189
b4,1,Infinity
a1,2,-Infinity
h1,3,40
a1,2,40
f2,3,-61
a1,2,40
h2,3,-35
a1,2,40
f4,3,-25
a1,2,40
d5,3,-35
a1,2,40
b6,3,-33
a1,2,40
e6,3,-37
a1,2,40
h6,3,-83
a1,2,40
d8,3,-43
a1,2,40
b4,1,40
f3,2,-Infinity
h1,3,90
f3,2,90
f2,3,-3
f3,2,90
h2,3,15
f3,2,90
f4,3,33
f3,2,90
g5,3,12
f3,2,90
b6,3,17
f3,2,90
e6,3,13
f3,2,90
h6,3,-33
f3,2,90
d8,3,7
f3,2,90
b4,1,40
d5,2,-Infinity
h1,3,97
d5,2,97
f2,3,-4
d5,2,97
h2,3,22
d5,2,97
f4,3,40
d5,2,97
g5,3,19
d5,2,97
e6,3,20
d5,2,97
h6,3,-26
d5,2,97
b7,3,4
d5,2,97
d8,3,30
d5,2,97
b4,1,40
g5,2,-Infinity
h1,3,114
g5,2,114
f2,3,13
g5,2,114
h2,3,39
g5,2,114
f3,3,32
g5,2,114
f4,3,43
g5,2,114
b6,3,41
g5,2,114
e6,3,29
g5,2,114
