*X***XXX
X*O*XO**
****OO*O
OXOOXOXO
*XO*XXO*
*OOX*OO*
****XXOX
XXXXOX*O
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
e1,2,-Infinity
d2,3,-80
e1,2,-80
a3,3,-69
e1,2,-69
b3,3,-87
e1,2,-69
d3,3,-51
e1,2,-51
a5,3,-71
e1,2,-51
d5,3,-71
e1,2,-51
h5,3,-71
e1,2,-51
a6,3,-69
e1,2,-51
e6,3,-63
e1,2,-51
h6,3,-79
e1,2,-51
d7,3,-88
e1,2,-51
g8,3,-63
e1,2,-51
d1,1,-51
d2,2,-Infinity
a3,3,-66
d2,2,-66
b3,3,-84
d2,2,-66
d3,3,-54
d2,2,-54
a5,3,-68
d2,2,-54
d5,3,-68
d2,2,-54
h5,3,-68
d2,2,-54
a6,3,-66
d2,2,-54
e6,3,-52
d2,2,-52
h6,3,-76
d2,2,-52
d7,3,-85
d2,2,-52
g8,3,-60
d2,2,-52
d1,1,-52
g2,2,-Infinity
h2,3,-109
g2,2,-109
a3,3,-51
g2,2,-51
b3,3,-69
g2,2,-51
d3,3,-41
g2,2,-41
g3,3,-43
g2,2,-41
a5,3,-53
g2,2,-41
g5,3,-48
g2,2,-41
h5,3,-39
g2,2,-39
a6,3,-51
g2,2,-39
e6,3,-45
g2,2,-39
h6,3,-61
g2,2,-39
d7,3,-70
g2,2,-39
g8,3,-45
g2,2,-39
d1,1,-52
c3,2,-Infinity
b2,3,-80
c3,2,-80
a3,3,-68
c3,2,-68
b3,3,-86
c3,2,-68
d3,3,-58
c3,2,-58
a5,3,-70
c3,2,-58
d5,3,-70
c3,2,-58
g5,3,-65
c3,2,-58
h5,3,-70
c3,2,-58
a6,3,-68
c3,2,-58
e6,3,-62
c3,2,-58
h6,3,-78
c3,2,-58
d7,3,-87
c3,2,-58
g8,3,-62
c3,2,-58
d1,1,-58
d3,2,-Infinity
e1,3,-61
d3,2,-61
d2,3,-62
d3,2,-61
a3,3,-59
d3,2,-59
b3,3,-85
d3,2,-59
c3,3,-38
d3,2,-38
a5,3,-61
d3,2,-38
d5,3,-61
d3,2,-38
g5,3,-56
d3,2,-38
h5,3,-61
d3,2,-38
e6,3,-53
d3,2,-38
h6,3,-69
d3,2,-38
d7,3,-78
d3,2,-38
g8,3,-53
d3,2,-38
d1,1,-58
d5,2,-Infinity
b3,3,-87
d5,2,-87
d3,3,-59
d5,2,-59
g5,3,-66
d5,2,-59
h5,3,-71
d5,2,-59
a6,3,-69
d5,2,-59
e6,3,-63
d5,2,-59
h6,3,-79
d5,2,-59
d7,3,-80
d5,2,-59
g8,3,-63
d5,2,-59
d1,1,-59
g5,2,-Infinity
a3,3,-72
g5,2,-72
b3,3,-90
g5,2,-72
d3,3,-62
g5,2,-62
g3,3,-90
g5,2,-62
a5,3,-74
g5,2,-62
d5,3,-74
g5,2,-62
h5,3,-74
g5,2,-62
a6,3,-72
g5,2,-62
e6,3,-52
g5,2,-52
h6,3,-80
g5,2,-52
d7,3,-91
g5,2,-52
g8,3,-66
g5,2,-52
d1,1,-59
h5,2,-Infinity
a3,3,-59
h5,2,-59
b3,3,-77
h5,2,-59
a5,3,-61
h5,2,-59
d5,3,-61
h5,2,-59
g5,3,-64
h5,2,-59
a6,3,-59
h5,2,-59
e6,3,-53
h5,2,-53
h6,3,-65
h5,2,-53
d7,3,-78
h5,2,-53
g8,3,-53
h5,2,-53
d1,1,-59
a6,2,-Infinity
a3,3,-75
a6,2,-75
d3,3,-65
a6,2,-65
a5,3,-77
a6,2,-65
d5,3,-77
a6,2,-65
g5,3,-72
a6,2,-65
h5,3,-77
a6,2,-65
e6,3,-77
a6,2,-65
h6,3,-85
a6,2,-65
a7,3,-93
a6,2,-65
c7,3,-67
a6,2,-65
d7,3,-86
a6,2,-65
g8,3,-69
a6,2,-65
d1,1,-65
h6,2,-Infinity
a3,3,-21
h6,2,-21
b3,3,-39
h6,2,-21
d3,3,-11
h6,2,-11
a5,3,-23
h6,2,-11
d5,3,-23
h6,2,-11
g5,3,-18
h6,2,-11
h5,3,-23
h6,2,-11
a6,3,-21
h6,2,-11
e6,3,-15
h6,2,-11
g8,3,-63
h6,2,-11
d1,1,-65
a7,2,-Infinity
g2,3,-87
a7,2,-87
c3,3,-48
a7,2,-48
d3,3,-35
a7,2,-35
d5,3,-55
a7,2,-35
h5,3,-55
a7,2,-35
a6,3,-61
a7,2,-35
e6,3,-39
a7,2,-35
h6,3,-63
a7,2,-35
d7,3,-72
a7,2,-35
g8,3,-47
a7,2,-35
d1,1,-65
b7,2,-Infinity
a3,3,-29
b7,2,-29
d3,3,-19
b7,2,-19
a5,3,-31
b7,2,-19
d5,3,-31
b7,2,-19
g5,3,-26
b7,2,-19
h5,3,-31
b7,2,-19
a6,3,-37
b7,2,-19
e6,3,-23
b7,2,-19
h6,3,-39
b7,2,-19
a7,3,-47
b7,2,-19
d7,3,-48
b7,2,-19
g8,3,-23
b7,2,-19
d1,1,-65
d7,2,-Infinity
a3,3,-72
d7,2,-72
b3,3,-90
d7,2,-72
d3,3,-62
d7,2,-62
a5,3,-74
d7,2,-62
d5,3,-74
d7,2,-62
g5,3,-69
d7,2,-62
h5,3,-74
d7,2,-62
a6,3,-72
d7,2,-62
e6,3,-52
d7,2,-52
h6,3,-82
d7,2,-52
c7,3,-84
d7,2,-52
g8,3,-66
d7,2,-52
